Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.2708 North,77.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,27.5,12.5,28,-0.1
1958,2,0,29.4,13.2,10,-0.3
1958,3,4,34.9,18.1,10,-0.6
1958,4,2,39.9,23.6,6,-0.6
1958,5,4,41.5,27,7,-0.7
1958,6,70,39,25.8,69,-1
1958,7,461,28.7,23.4,115,0.7
1958,8,382,29.3,22.9,105,1.1
1958,9,305,28.1,22.9,105,1.6
1958,10,57,30.4,18.5,104,2.3
1958,11,26,28.9,14.2,65,3
1958,12,0,26.3,12.3,34,2.4
1959,1,23,26.1,11.5,40,2.5
1959,2,1,28.9,12.4,11,2.1
1959,3,0,36.3,17.6,6,1.5
1959,4,3,39.1,22.2,8,1.5
1959,5,9,40.8,26.4,12,1.5
1959,6,90,36.4,25.5,88,1.4
1959,7,541,28.6,22.7,120,2.6
1959,8,401,27.6,22.2,97,3.1
1959,9,502,28.5,22.6,104,5
1959,10,69,30.9,19.6,97,5.8
1959,11,8,28.9,13.6,57,5.8
1959,12,0,27.2,11.2,34,5.1
1960,1,58,25.3,9.9,65,6.3
1960,2,0,32.2,12.8,18,5.9
1960,3,9,32.9,17.2,18,5.4
1960,4,3,38.4,21.7,9,5.1
1960,5,5,41.1,25.8,9,4.6
1960,6,99,36.9,25.2,98,4.2
1960,7,345,30,23,120,3.5
1960,8,438,27.3,22,100,4.3
1960,9,105,31,22.4,112,2.9
1960,10,58,31.5,18,99,3.4
1960,11,0,29.2,12,50,3.1
1960,12,3,27.6,12,32,2.3
1961,1,20,26.4,11.8,32,2.2
1961,2,1,26.7,11.6,8,1.7
1961,3,2,35.3,18.3,7,1.2
1961,4,2,38.7,21.8,6,1
1961,5,7,40.7,26.2,9,1
1961,6,63,35.7,24.3,62,-1.1
1961,7,446,28.7,22.8,111,0.6
1961,8,316,28.2,22.6,109,-0.4
1961,9,635,28.2,22.4,101,3.5
1961,10,80,29.9,17.7,109,4.7
1961,11,11,27.5,13.8,58,4.9
