Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.8125 North,79.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,7,26.5,12,32,-0.4
1958,2,1,29,12.7,13,-0.8
1958,3,10,34.8,18.4,16,-0.7
1958,4,2,40.4,24.4,7,-0.7
1958,5,1,43.3,28.4,4,-1
1958,6,70,41.4,28.2,69,-1.5
1958,7,511,30.2,25,118,-0.6
1958,8,351,30.5,23.8,104,0.1
1958,9,224,28.9,24.4,111,1.1
1958,10,117,30.6,19.3,114,3
1958,11,10,28.8,14.4,60,3.8
1958,12,0,25.4,11.7,37,3.9
1959,1,34,25.3,10.8,49,4.4
1959,2,4,28.3,11.8,19,4.1
1959,3,0,36.4,17.5,8,3.4
1959,4,7,39.7,23,12,3.4
1959,5,16,42.6,27.7,18,3.5
1959,6,102,38.4,28.1,99,3
1959,7,390,30.2,24.4,123,2.7
1959,8,466,29.2,23.7,99,3.6
1959,9,324,29.5,24.2,107,4.6
1959,10,56,31.1,20.5,85,4.8
1959,11,0,28.8,13.7,46,4.8
1959,12,0,26.5,10.4,29,4.3
1960,1,74,24.6,9.4,71,5.7
1960,2,0,31.8,12.3,15,5.2
1960,3,14,33.1,17.6,21,4.9
1960,4,5,39,22.7,10,4.5
1960,5,2,43.3,27.4,5,3.9
1960,6,77,39.4,28.1,75,2.9
1960,7,441,31.5,24.1,119,3
1960,8,571,28.7,23.4,102,4.8
1960,9,75,31.9,23.2,100,3.2
1960,10,94,31.5,18.6,104,4.2
1960,11,0,29.1,11.8,45,4.1
1960,12,0,26.3,10.6,25,3.6
1961,1,32,25.4,11.3,41,3.7
1961,2,2,25.9,11.3,9,3.1
1961,3,3,35.3,18.4,7,2.5
1961,4,6,39.4,22.8,9,2.4
1961,5,6,42.5,27.7,8,2.1
1961,6,93,37.5,26.7,90,1.7
1961,7,498,30.2,24.2,112,2.2
1961,8,416,29.2,23.6,104,2.7
1961,9,408,29.1,24,95,4.7
1961,10,112,30.2,18.6,111,6.2
1961,11,8,26.9,13.8,54,6.5
1961,12,7,23.8,8,36,6.6
1962,1,12,24.4,7.9,36,6.4
1962,2,11,27.8,12.4,27,6.3
1962,3,13,33.5,17.2,21,6
1962,4,16,39,22.4,21,6.2
1962,5,7,42.4,27.1,10,5.6
1962,6,38,40.3,27.2,39,3.9
1962,7,418,31.6,24.9,120,3.6
1962,8,524,29.9,23.2,105,5
1962,9,393,29.3,23.4,108,6.4
1962,10,1,31.2,16.9,75,5.1
1962,11,3,29.1,13.2,36,4.5
1962,12,26,25.3,11,39,4.5
1963,1,20,25.4,7.7,29,4.1
1963,2,11,30.1,12.5,16,3.6
1963,3,4,33.5,16.5,7,3
1963,4,10,36.9,21.7,12,3
1963,5,5,41,26.4,7,2.6
1963,6,120,36.9,26.2,116,2.3
1963,7,404,31.4,23.5,115,2.2
1963,8,322,28.9,23.3,100,1.9
1963,9,312,30.4,22.6,120,2.7
1963,10,29,32.2,19.3,87,2.4
1963,11,1,29.2,16.4,44,2.2
1963,12,1,26.2,9.8,19,1.6
1964,1,0,25.2,9.1,9,0.8
1964,2,2,28.8,12.6,7,-1.3
1964,3,19,36.5,18.7,22,-0.9
1964,4,0,40.5,24.3,3,-1.1
1964,5,12,42.2,26.7,13,-0.8
1964,6,104,38.6,27.4,101,-0.8
1964,7,359,30.4,24.3,122,-1
1964,8,423,29.6,23.7,99,0.8
1964,9,166,31.2,23.5,114,-0.3
1964,10,11,32.7,19.4,84,-0.7
1964,11,0,29.1,12,37,-1
1964,12,0,26.1,10.2,14,-1.6
1965,1,14,26.1,11.1,21,-1.8
1965,2,2,28.7,12.6,7,-2
1965,3,10,33.6,17.1,13,-1.9
1965,4,11,37.2,22.6,13,-1.4
1965,5,2,42.3,28,4,-1.5
1965,6,71,39.8,28.3,70,-2.1
1965,7,241,31.6,25,130,-2.8
1965,8,185,31.2,23.7,124,-4.5
1965,9,212,31,22.7,124,-4
1965,10,12,32.2,20.3,81,-4
1965,11,0,29.7,14.2,39,-3.8
1965,12,8,26.3,9.7,22,-3.8
1966,1,7,25.9,10,15,-3.9
1966,2,1,30.4,14.4,6,-3.9
1966,3,3,34.9,16.9,7,-3.9
1966,4,1,39.2,23.1,4,-3.6
1966,5,10,42.3,27.1,12,-3.2
1966,6,109,38,27.3,105,-2.9
1966,7,380,33.8,25.3,140,-2.9
1966,8,183,30,23.5,118,-4.1
1966,9,77,31.9,23.7,111,-4.8
1966,10,3,33.8,20,68,-5.3
1966,11,26,28.8,16.8,41,-5.4
1966,12,7,26.7,8.4,15,-5.5
1967,1,1,25.9,8.7,6,-5.6
1967,2,0,31.5,12.8,4,-5.5
1967,3,48,32,17.3,49,-3.6
1967,4,2,38,22.3,4,-3.3
1967,5,1,43.1,27.6,3,-3.3
1967,6,87,39.2,27.5,84,-3.3
1967,7,406,31.2,24.7,126,-2.9
1967,8,335,28.8,23.4,104,-2.6
1967,9,179,29.8,23,111,-2.5
1967,10,1,33.1,19.2,72,-2.9
1967,11,0,28.8,15,38,-2.8
1967,12,58,27.1,11.8,61,-1.1
1968,1,22,23.7,10.2,33,-0.8
1968,2,6,27.5,11.4,13,-0.8
1968,3,15,34.6,16.9,19,1.4
1968,4,4,38.5,20.9,7,1.3
1968,5,0,41.8,26.2,2,0.8
1968,6,82,38.2,26.6,80,-0.5
1968,7,530,31.3,23.8,116,0.9
1968,8,217,29.7,22.9,114,-1.1
1968,9,160,33.2,22.7,129,-1.6
1968,10,40,32.1,18.7,85,-1.1
1968,11,0,30.2,13.1,41,-0.8
1968,12,2,26.1,10.3,27,-0.7
1969,1,4,25.5,11.3,16,-1
1969,2,0,29.4,14.4,7,-1.1
1969,3,2,36.1,20.3,7,-1.3
1969,4,0,40.3,24.4,3,-1.3
1969,5,14,41.3,26.8,16,-0.7
1969,6,31,39.7,28.8,31,-1.7
1969,7,625,31.2,23.6,115,1.6
1969,8,410,29.4,22.8,105,2.1
1969,9,189,30.1,23.1,105,1.9
1969,10,0,33.2,19.2,70,1.1
1969,11,24,30.4,15.6,50,1.5
1969,12,0,27,9.6,20,1.2
1970,1,35,25.2,11.1,43,1.6
1970,2,12,27.3,13,18,1.6
1970,3,31,33,17.9,34,2.3
1970,4,0,40.2,23.8,3,2
1970,5,10,42.7,28.3,12,2
1970,6,147,36,25.6,142,2.5
1970,7,301,32.2,24,134,1.5
1970,8,483,29.4,23.8,110,2.6
1970,9,266,29.8,23.6,110,3
1970,10,7,32.5,19.6,75,2.3
1970,11,0,29.2,12.1,35,1.9
1970,12,0,26.2,9.2,18,1.5
1971,1,18,24.4,10.2,26,1.3
1971,2,4,29,11.3,10,1
1971,3,5,34.3,15.9,8,0.8
1971,4,4,39.1,22.8,7,0.8
1971,5,14,40.3,26.1,16,1.1
1971,6,254,34.2,25.5,152,3.2
1971,7,334,29.3,23.8,112,3.2
1971,8,295,28.9,23.5,106,2.5
1971,9,181,30.6,23,114,2
1971,10,126,30.8,19.3,113,4.1
1971,11,0,28.5,12.9,50,4.4
1971,12,0,25.6,8.8,36,4.5
1972,1,3,25.3,9.5,26,4.1
1972,2,3,26.2,10.7,17,3.8
1972,3,0,34.1,17.1,8,3.2
1972,4,1,38.4,22.5,6,2.9
1972,5,2,43.2,27.5,5,2.4
1972,6,44,40.7,28.1,45,1.2
1972,7,172,32.2,24.9,137,-2.2
1972,8,449,29,23.5,105,-2
1972,9,133,31.7,21.2,125,-2.6
1972,10,61,32.5,18.7,90,-1.5
1972,11,9,29.5,12.9,47,-0.6
1972,12,3,26.4,10.9,36,1.6
1973,1,1,26,10.9,19,1.2
1973,2,8,29.6,13.8,17,1.1
1973,3,0,34.6,17.9,6,0.7
1973,4,1,41.9,24.8,4,0.6
1973,5,3,44.2,29.3,6,-0.2
1973,6,27,38.1,28.5,28,-1.8
1973,7,716,30.5,23.9,117,2.2
1973,8,461,29.2,23.9,103,3.1
1973,9,224,30.6,23,108,3.1
1973,10,45,31.2,19,85,3.2
1973,11,0,29,12.1,40,3.2
1973,12,11,24.5,9.4,36,3.2
1974,1,0,24.9,8.4,15,2.5
1974,2,1,28,11.7,10,2.1
1974,3,1,36.3,18.4,6,1.6
1974,4,1,40.5,24.1,4,1.4
1974,5,6,41.7,27.4,9,1.2
1974,6,84,38.7,27.5,82,0.7
1974,7,353,31,24.4,121,-1.2
1974,8,445,29.8,23,104,1
1974,9,55,32.9,23.6,89,-1.1
1974,10,101,31.5,20.6,104,1.4
1974,11,2,28.7,12.2,43,1.6
1974,12,0,24.6,9.5,26,1.4
1975,1,13,23.4,9.4,25,1.3
1975,2,13,27.7,11.9,19,1.4
1975,3,10,34,17.3,14,1.3
1975,4,0,40.6,23.1,4,1
1975,5,0,43.3,28.8,3,0.6
1975,6,166,37.8,26.6,160,1.2
1975,7,330,30.4,23.8,126,0.6
1975,8,359,29.2,23.8,107,0.7
1975,9,267,28.9,24.4,129,1.2
1975,10,55,31.2,21.2,88,1.8
1975,11,0,28.5,11.6,46,2
1975,12,0,25.7,8.5,27,1.8
1976,1,16,24.8,10.8,29,1.7
1976,2,0,27.8,13.7,8,1.2
1976,3,7,33.3,18.6,12,1.1
1976,4,10,38.2,22.4,13,1.3
1976,5,6,41.6,27.3,9,1.2
1976,6,57,37.2,26.4,57,-0.6
1976,7,373,31.4,24.8,124,-0.8
1976,8,347,29.5,23.5,104,-0.6
1976,9,254,30.4,22.8,111,0.6
1976,10,0,32.4,20.2,71,-0.6
1976,11,16,31.7,16.9,46,0.3
1976,12,1,27.2,11.9,19,-0.2
1977,1,6,25.1,9.8,15,-0.8
1977,2,3,28.7,13.2,9,-1
1977,3,8,37.2,18.2,12,-1
1977,4,2,38.5,23.4,5,-1
1977,5,7,40.3,26.8,9,-0.9
1977,6,258,38.2,27.3,216,1.8
1977,7,351,30.7,24.1,132,1.5
1977,8,363,29.7,23.6,111,1.5
1977,9,181,30.3,22.6,124,1.1
1977,10,40,32.6,19.3,90,1.2
1977,11,23,30.2,16.4,55,1.9
1977,12,5,26.4,10.3,31,1.9
1978,1,12,24.7,9.2,25,1.6
1978,2,42,26.6,12.4,47,2.7
1978,3,39,31.8,17.2,42,3.6
1978,4,8,38.7,23.1,11,3.4
1978,5,1,44,29.7,3,2.8
1978,6,163,37.4,26.5,157,3.3
1978,7,345,30.5,23.9,119,2.7
1978,8,501,29,23,107,3.8
1978,9,162,30.6,23,116,3.1
1978,10,5,31.8,19.5,71,2.3
1978,11,7,30.7,15.9,44,2.1
1978,12,33,25.5,9.4,43,2.7
1979,1,76,25.5,11.3,73,4
1979,2,22,26,12.3,32,4.3
1979,3,2,32.8,17.1,9,3.7
1979,4,0,40.1,22.9,5,3.2
1979,5,15,41,26.3,18,3.4
1979,6,83,39.5,27.5,81,2.6
1979,7,402,31.8,25.3,143,2.2
1979,8,307,30.6,23.7,130,1.5
1979,9,68,33.3,23.5,111,-2
1979,10,11,33.2,21.4,68,-3
1979,11,23,29,19.1,38,-3
1979,12,1,25.3,12.3,10,-3.4
1980,1,4,26,10.6,10,-3.7
1980,2,2,29.8,13.5,6,-3.8
1980,3,2,33.8,18.6,4,-3.8
1980,4,1,41.2,24.5,3,-3.7
1980,5,0,44,28.9,2,-3.7
1980,6,181,36.8,26,170,-2.2
1980,7,355,29.9,24.6,113,-2.1
1980,8,414,30,22.9,97,-1.2
1980,9,77,32.3,23,105,-2.1
1980,10,2,33.1,20.7,73,-2.9
1980,11,0,29.4,15.4,18,-3.8
1980,12,18,25.4,11.4,26,-3.5
1981,1,11,23.9,10.6,16,-3.5
1981,2,1,29.6,13.3,5,-3.6
1981,3,13,32.8,18.5,15,-3.2
1981,4,1,39.8,23.7,3,-3.1
1981,5,9,42.3,27.3,10,-2.7
1981,6,81,40.1,28,79,-2.9
1981,7,317,30,24.9,126,-3.2
1981,8,291,29.8,23.9,110,-3.3
1981,9,216,31.8,23.6,121,-2.9
1981,10,10,32,19.8,87,-3.1
1981,11,1,27.4,14,35,-3.2
1981,12,13,25.2,9.8,25,-3
1982,1,74,24.8,12.4,71,-1.2
1982,2,7,25.8,13.5,13,-1
1982,3,3,31.5,17,8,-1.1
1982,4,4,37.6,22.9,7,-1
1982,5,5,39.4,27,7,-0.9
1982,6,80,38.6,27.2,78,-1.4
1982,7,336,33.3,25.7,139,-1.8
1982,8,191,29.4,23.6,103,-2.9
1982,9,188,32.1,22.4,124,-2.8
1982,10,17,32,20.6,79,-2.7
1982,11,22,27.4,16,49,-1.9
1982,12,1,26.4,12,26,-1.7
1983,1,11,23.9,10.1,21,-1.9
1983,2,3,26.8,12.2,10,-1.9
1983,3,2,33.4,18.1,6,-2.1
1983,4,3,36.1,22.6,6,-1.9
1983,5,6,41,26.9,8,-1.7
1983,6,89,38.9,28.6,86,-1.9
1983,7,481,32.1,24.6,135,-1.3
1983,8,390,29.9,24.7,112,-0.7
1983,9,448,30.6,23.9,99,3.4
1983,10,64,30.1,19,95,3.9
1983,11,0,28.1,11.5,53,4
1983,12,3,24.4,10.6,29,3.6
1984,1,81,24.1,10.6,75,5.1
1984,2,21,26.7,10.4,33,5.6
1984,3,0,36.1,17.7,8,4.7
1984,4,1,39.5,23.4,6,4.2
1984,5,2,44.3,28,6,3.5
1984,6,91,37.4,27,89,2.8
1984,7,237,31.4,24.8,134,1.6
1984,8,411,28.9,22.8,104,1.6
1984,9,62,30.1,22.3,98,-2.3
1984,10,18,32.7,18.8,75,-2.7
1984,11,0,28.9,12.5,21,-3.5
1984,12,0,26.6,11.1,10,-4
1985,1,25,24.8,11.5,30,-3.5
1985,2,0,28.2,13.1,4,-3.6
1985,3,1,37.5,19.2,4,-3.7
1985,4,11,39.6,23.7,12,-3
1985,5,10,43.2,28.6,11,-2.6
1985,6,85,38.3,27.6,83,-2.9
1985,7,447,30.3,24.9,129,-2.3
1985,8,391,29.3,23.7,112,-1.6
1985,9,207,31.4,22.9,118,-1.4
1985,10,135,29.8,18.8,114,3.1
1985,11,0,28.9,13.8,63,3.7
1985,12,2,25.8,12.8,36,3.6
1986,1,16,24.2,11.3,36,3.4
1986,2,24,27,13.5,33,3.8
1986,3,15,33.9,18.4,20,3.7
1986,4,0,39.7,23.5,4,3.1
1986,5,13,41.3,27,16,3.2
1986,6,114,38,27.3,110,2.9
1986,7,363,30.4,24,117,2.4
1986,8,215,30.3,23,122,0.9
1986,9,78,32.3,23.6,109,-2.4
1986,10,18,31.9,20,77,-2.7
1986,11,1,30,15,23,-3.4
1986,12,19,25.8,10,29,-3
1987,1,31,24.5,10.8,36,-2.5
1987,2,21,28.9,13.6,24,-1.9
1987,3,5,34,18.8,7,-1.9
1987,4,0,40.1,23.8,2,-2
1987,5,12,40.5,26.6,13,-1.5
1987,6,54,40.4,28.8,53,-2.2
1987,7,226,33.5,24.9,164,-3
1987,8,366,31.8,23.7,125,-3.5
1987,9,155,32.7,23.5,126,-3.7
1987,10,29,32.8,19.6,89,-3.3
