Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.6458 North,78.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,7,25,10.2,31,0.7
1958,2,1,27.6,11.1,21,-0.2
1958,3,5,34.1,17.4,15,-0.1
1958,4,0,40.8,24.8,7,-0.5
1958,5,0,43.8,29.5,5,-0.7
1958,6,27,42.9,29.9,29,-1.6
1958,7,442,32.2,26.2,134,2.3
1958,8,318,31.8,24.8,114,3
1958,9,307,30.4,25.1,120,4.2
1958,10,75,31.7,18.8,100,5.1
1958,11,4,28.8,12.2,48,5.3
1958,12,2,24.8,9.8,32,5.2
1959,1,25,23.5,8.7,42,5.3
1959,2,1,26.9,10.2,25,5.2
1959,3,0,35.5,16.6,12,4.6
1959,4,1,39.6,23.2,8,4.2
1959,5,13,42.9,28.9,18,4.4
1959,6,50,40.6,30.1,51,3.7
1959,7,280,32.3,25.8,136,3.6
1959,8,364,30.8,24.8,114,4.2
1959,9,231,31.1,25.1,117,4.4
1959,10,40,32.5,20.1,86,4.4
1959,11,4,29,11.7,44,4.4
1959,12,0,25.8,8.6,29,4
1960,1,25,22.9,7.4,39,4.2
1960,2,0,31,11.6,17,3.9
1960,3,15,32.3,16.4,24,4
1960,4,1,38.7,22.5,7,3.6
1960,5,3,43.9,28.7,7,3.2
1960,6,38,41.7,30.2,39,2.2
1960,7,284,33.5,25.6,141,2.2
1960,8,540,30.3,24.6,111,4.9
1960,9,81,33.2,24.2,110,3.3
1960,10,96,32.6,18.2,107,4.5
1960,11,0,29.3,9.8,44,4.4
1960,12,4,25.5,8.7,28,4.2
1961,1,45,23.5,9,51,5.1
1961,2,5,24.7,9.6,27,5.1
1961,3,1,34.2,17.2,12,4.5
1961,4,3,39,22.6,9,4.2
1961,5,2,43.1,28.9,7,3.7
1961,6,55,39.7,28.9,56,3.2
1961,7,262,32.6,25.8,135,2.8
1961,8,467,30.6,24.7,118,4.4
1961,9,295,30.7,24.9,105,5.6
1961,10,93,31.4,18.2,110,6.7
1961,11,5,26.8,11.5,48,6.9
1961,12,4,22.7,5.9,31,6.7
1962,1,18,22.7,6.2,39,6.7
1962,2,2,26.9,11.1,29,6.8
1962,3,8,32.7,16.3,22,6.6
1962,4,5,39.4,23,13,6.3
1962,5,1,43.1,28.6,7,5.6
1962,6,16,42.2,29.4,19,3.8
1962,7,322,33.9,26.5,135,4.2
1962,8,360,31.5,24.5,119,5
1962,9,324,30.6,24.2,119,6.3
1962,10,0,32.1,16.7,75,5.2
1962,11,2,29.4,11.3,43,4.5
1962,12,6,24.5,9,27,4
1963,1,17,23.8,6.2,29,3.7
1963,2,2,29.3,11.5,12,3.1
1963,3,3,32.8,15.7,9,2.5
1963,4,3,37.4,22.2,7,2.3
1963,5,3,41.6,27.8,6,2
1963,6,49,39.4,28.6,49,1.3
1963,7,257,34.1,25.6,130,1.1
1963,8,309,30.5,24.6,110,1.2
1963,9,341,31.6,23.3,126,3
1963,10,7,33.4,19.2,83,2.3
1963,11,3,29.5,14.5,46,2
1963,12,5,25.2,7.8,25,1.7
1964,1,0,22.9,6.7,15,0.8
1964,2,0,27.4,10.9,9,-1.5
1964,3,6,35.7,17.9,12,-1.5
1964,4,0,40.5,24.3,4,-1.5
1964,5,8,42.5,27.5,11,-1.1
1964,6,39,40.7,29.5,39,-1.5
1964,7,347,32.4,25.6,135,1
1964,8,347,31.3,25,114,2.1
1964,9,250,30.9,24.5,120,2.8
1964,10,3,33.6,18.9,81,2.1
1964,11,0,29.2,9.9,38,1.7
1964,12,2,25.2,8.2,27,1.2
1965,1,5,24.9,9.5,19,-1.3
1965,2,2,27.4,10.7,11,-1.5
1965,3,5,32.6,15.8,10,-1.5
1965,4,5,36.9,22.3,8,-1.3
1965,5,1,42.5,28.8,4,-1.3
1965,6,20,42.1,30.6,22,-2.5
1965,7,260,33.8,26.4,157,-2.5
1965,8,146,32.6,24.6,140,-3.9
1965,9,189,32.4,23.4,137,-3.6
1965,10,34,33.3,19.7,85,-3.3
1965,11,0,30.1,12.4,35,-3.2
1965,12,3,25.2,7.4,19,-3.1
1966,1,2,24.7,8.4,11,-3.4
1966,2,1,29.6,13.1,7,-3.5
1966,3,1,34.1,15.9,5,-3.5
1966,4,0,39.4,23.2,3,-3.3
1966,5,6,43.1,28.4,8,-3
1966,6,98,39.8,29,96,-2
1966,7,199,35.9,26.6,161,-2.9
1966,8,270,31.3,24.5,134,-3.8
1966,9,45,33,24.3,102,-4.9
1966,10,4,34.8,19.4,51,-5.9
1966,11,19,28.6,14.4,35,-6.1
1966,12,1,25.5,6.4,10,-6.4
1967,1,0,23.8,6.6,6,-6.6
1967,2,0,30.4,11.6,4,-6.5
1967,3,30,31.3,16,31,-4.8
1967,4,0,38,22.2,3,-4.6
1967,5,0,43.4,28.6,2,-4.4
1967,6,50,41.3,29.5,49,-4.4
1967,7,278,33.3,25.8,146,-3.9
1967,8,458,30.3,24.3,115,-1.7
1967,9,226,31.1,23.7,120,-0.9
1967,10,3,33.9,18.6,76,-1.3
