Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.8542 North,81.0625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,25.3,10.1,45,-0.3
1958,2,7,27.7,11.3,43,-0.9
1958,3,38,32.5,15.2,60,-0.8
1958,4,16,37,21.1,28,-0.7
1958,5,1,39.8,25.2,9,-1.1
1958,6,79,37.3,25.1,80,-1.9
1958,7,495,27,22,101,-1.4
1958,8,433,27.7,21.6,98,-1
1958,9,277,26.3,21.4,99,1
1958,10,98,27,16.6,99,2.1
1958,11,12,25.9,11,55,2.6
1958,12,0,24.1,8.9,38,2.5
1959,1,43,24.2,9.3,58,3.1
1959,2,7,27.1,10.2,45,2.7
1959,3,1,33.4,14.9,32,2
1959,4,31,36.4,20,44,2.4
1959,5,19,39.2,24.6,27,2.5
1959,6,118,34,24.6,119,2.1
1959,7,473,26.9,21.7,106,2
1959,8,426,26.4,21.3,89,2.1
1959,9,298,26.5,21.3,94,2.7
1959,10,95,27.3,17.6,91,3.6
1959,11,0,25.6,10.1,50,3.5
1959,12,0,24.8,7.8,37,3.3
1960,1,65,23.6,8,67,4.4
1960,2,0,30,10.3,42,3.9
1960,3,48,30.5,14.7,78,4.3
1960,4,22,36,19.4,41,4.2
1960,5,3,39.5,24.2,14,3.5
1960,6,102,34.8,24.5,104,2.7
1960,7,595,27.8,21.4,98,3.5
1960,8,476,26.3,21.5,90,3.9
1960,9,108,28.6,20.6,102,2.3
1960,10,84,27.7,15.8,95,2.9
1960,11,0,25.9,8.5,51,2.9
1960,12,0,24.9,7.7,35,2.5
1961,1,26,24.4,9.7,46,2.6
1961,2,14,25,9.7,44,2.3
1961,3,8,32.5,16,33,1.7
1961,4,14,36.3,19.9,27,1.6
1961,5,12,39.2,24.6,19,1.5
1961,6,131,33.1,23.2,130,1.4
1961,7,555,26.8,21.4,94,2
1961,8,513,26.8,21.5,92,3
1961,9,476,26.1,21,86,5.3
1961,10,91,26.6,15.9,96,5.8
1961,11,3,24.1,9.9,48,5.6
1961,12,11,22.9,5.6,40,5.4
1962,1,9,23.3,6.4,41,4.9
1962,2,27,26.5,10.4,50,4.8
1962,3,41,31.4,14.2,67,4.9
1962,4,42,35.5,19.3,57,5.5
1962,5,13,38.7,23.9,22,5.2
1962,6,53,35.4,23.9,57,3.5
1962,7,433,28.1,22,109,3
1962,8,465,27.2,21.1,95,3.3
1962,9,379,26.5,20.7,99,4.6
1962,10,4,27.3,14.7,68,3.3
1962,11,3,26,9.5,40,2.8
1962,12,35,24.1,8.3,49,3.3
1963,1,9,23.9,6.2,35,2.7
1963,2,27,28.7,10.5,47,2.6
1963,3,18,31.1,13.9,37,2
1963,4,40,34,18.7,50,2.7
1963,5,10,37.7,23.4,17,2.3
1963,6,164,32.7,23,158,2.4
1963,7,489,27.8,21,107,2.4
1963,8,453,26.6,21.3,88,2.8
1963,9,282,27.5,20.3,106,3
1963,10,64,28.2,16.7,89,3.1
1963,11,0,26.2,12.5,49,2.9
1963,12,1,24.6,7.6,35,2.5
1964,1,0,24.1,8.2,35,1.7
1964,2,6,27.5,11.2,36,1
1964,3,20,33.5,15.9,34,-1.4
1964,4,2,36.9,21.3,11,-1.8
1964,5,6,38.8,23.9,12,-1.9
1964,6,127,34.1,23.8,125,-1.8
1964,7,413,26.9,21.3,108,-2
1964,8,555,26.8,21.3,89,1.6
1964,9,188,27.5,20.6,100,1.1
1964,10,26,28.6,16.8,78,0.6
1964,11,2,25.7,8.9,48,-0.2
1964,12,0,24.5,7.6,35,-1.2
1965,1,21,24.7,9.4,42,-1.2
1965,2,5,27.4,10.6,29,-1.7
1965,3,40,31.2,14.3,51,-1.5
1965,4,31,34.2,19.5,38,-0.9
1965,5,3,39,24.9,9,-1.2
1965,6,99,35.6,24.7,98,-1.7
1965,7,278,28.1,22.1,111,-2.5
1965,8,205,28.4,21.7,115,-5.2
1965,9,230,27.6,20.3,108,-4.6
1965,10,18,28.4,17.3,75,-4.7
1965,11,0,26.6,10.7,45,-4.5
1965,12,3,24.4,8.2,33,-4.4
