Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.7708 North,77.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,8,28,13.9,36,-0.1
1958,2,0,30.4,14.4,20,-0.5
1958,3,3,35.8,19,14,-0.6
1958,4,3,40.8,25.1,10,-0.6
1958,5,6,43.3,28.8,10,-0.7
1958,6,81,40.3,27.7,80,-1.1
1958,7,454,29.1,24.1,117,-0.6
1958,8,383,30,23.9,104,0.4
1958,9,286,28.6,23.7,106,1
1958,10,56,31,19.5,102,1.7
1958,11,19,29.6,15,65,2.3
1958,12,0,27.1,13.4,40,1.7
1959,1,19,26.7,13.1,43,1.9
1959,2,1,29.9,13.8,22,1.6
1959,3,0,37.1,18.7,12,1.1
1959,4,6,40.1,23.9,13,1.2
1959,5,11,42.8,28.3,16,1.2
1959,6,109,37.7,27.1,107,1.3
1959,7,561,29,23.3,121,2.5
1959,8,388,28.4,23.3,98,2.8
1959,9,521,29.1,23.5,106,4.5
1959,10,74,31.3,20.5,97,5.5
1959,11,5,29.6,14.5,57,5.5
1959,12,0,28,12.4,38,4.8
1960,1,62,25.9,11.4,67,6.3
1960,2,0,33,13.8,35,6.4
1960,3,7,33.8,18.2,28,6.1
1960,4,5,39.6,23.4,16,5.8
1960,5,6,43,27.6,13,5.2
1960,6,107,38,26.8,107,4.7
1960,7,406,30.5,23.8,118,4.3
1960,8,396,28.1,23,102,4.4
1960,9,116,31.2,23.2,116,3
1960,10,61,31.8,18.9,98,3.7
1960,11,0,29.8,12.9,55,3.5
1960,12,4,28.4,13.2,41,2.8
1961,1,13,27.1,13.3,40,2.6
1961,2,1,27.8,12.8,19,2.1
1961,3,2,36.3,19.4,12,1.6
1961,4,2,39.9,23.6,9,1.5
1961,5,9,42.4,27.8,13,1.4
1961,6,71,36.9,25.9,71,0.6
1961,7,494,29.1,23.5,111,1.4
1961,8,344,29,23.6,109,1.1
1961,9,682,28.5,23,102,4.3
1961,10,75,30.4,18.7,105,5.2
1961,11,6,28.2,14.5,57,5.2
1961,12,13,26,10.5,47,4.9
1962,1,9,25.9,9.9,39,4.6
1962,2,3,29.9,13.7,29,4.4
1962,3,15,34.4,17.9,28,4.4
1962,4,9,39.2,23.1,17,4.4
1962,5,8,42.5,27.4,14,4
1962,6,35,39.1,26.6,38,2
1962,7,489,30.3,24.1,123,2.4
1962,8,364,29.5,23.3,109,2.3
1962,9,509,29.1,22.9,109,4
1962,10,4,31.5,17.1,85,2.9
1962,11,12,29.9,14,52,2.5
1962,12,76,26.8,13,79,4.1
1963,1,10,26.8,10.3,38,3.8
1963,2,10,31.7,14,32,3.7
1963,3,3,34.6,17.5,15,3.2
1963,4,4,37.7,22.3,12,3
1963,5,9,41.4,26.9,14,2.8
1963,6,98,36.6,25.6,97,2.3
1963,7,380,30.4,23.2,118,1.9
1963,8,302,28.6,23.1,98,1.3
1963,9,296,30.1,22.4,118,1.4
1963,10,42,32.3,19.5,96,1.7
1963,11,4,30.1,16.7,55,1.6
1963,12,1,27.9,12.1,37,1
1964,1,0,26.6,11.3,31,-0.5
1964,2,1,30.5,14,15,-1.2
1964,3,9,37.3,19.5,17,-1
1964,4,0,41.1,25,6,-1.2
1964,5,6,42.3,27.3,10,-1.2
1964,6,146,37.9,26.4,143,0.8
1964,7,447,29.9,23.8,121,1
1964,8,387,29,23.3,93,1.5
1964,9,214,30.5,22.9,113,1.1
1964,10,12,32.8,19.7,87,-0.5
1964,11,0,29.6,12.9,54,-1.1
1964,12,0,27.7,11.9,35,-1.7
1965,1,18,27.5,13.1,36,-1.8
1965,2,1,30.2,14,12,-2.1
1965,3,4,34.7,17.9,11,-2.2
1965,4,7,38.3,23.3,12,-1.8
1965,5,1,42.8,28.4,5,-2
1965,6,67,38.8,27.2,66,-2.6
1965,7,298,30.4,24.2,120,-3.1
1965,8,240,30.5,23.6,112,-4.7
1965,9,205,30.5,22.5,120,-4.6
1965,10,6,33,20.1,83,-4.8
1965,11,0,30.6,14.7,51,-4.8
1965,12,11,28,12.1,41,-4.6
1966,1,12,27.2,12.1,33,-4.6
1966,2,0,32,15.7,12,-4.6
1966,3,5,35.4,17.5,12,-4.3
1966,4,1,39.7,23.7,7,-4
1966,5,18,42,27.1,21,-3.2
1966,6,49,37.7,26.9,50,-3.9
1966,7,428,32.4,24.9,135,-3.5
1966,8,178,29.5,23.5,113,-5.1
1966,9,177,31.3,23.2,126,-5.2
1966,10,3,34.2,20.3,87,-5.4
1966,11,23,30.1,17.4,69,-4.8
1966,12,15,28,11,42,-4.6
1967,1,0,27.2,11.1,22,-4.8
1967,2,0,32.9,14.4,12,-4.7
1967,3,26,33.4,18.4,32,-3.5
1967,4,2,38.8,23,7,-3.2
1967,5,1,43,27.8,5,-3.2
1967,6,117,38,26.3,114,-2.6
1967,7,416,30.1,24.1,123,-2.3
1967,8,268,28.5,23.4,105,-3
1967,9,165,29.6,22.8,114,-3.3
1967,10,2,33.4,19.6,80,-3.7
1967,11,0,30.2,15.5,49,-3.8
1967,12,111,27,14.8,87,2.9
1968,1,14,25.1,12,41,3.3
1968,2,6,29,13.2,34,3.6
1968,3,16,35.3,17.6,34,3.8
1968,4,4,39.1,21.9,15,3.6
1968,5,0,41.7,26.5,7,2.9
1968,6,55,38.1,26.5,58,1.6
1968,7,507,30.4,23.5,116,2.3
1968,8,333,28.8,22.7,107,1.9
1968,9,235,32.4,22.8,127,1.5
1968,10,22,32.7,18.7,89,1.2
1968,11,0,30.7,13.7,44,0.8
1968,12,3,27.7,12.3,35,-1.2
1969,1,8,27.2,13.5,33,-1.2
1969,2,0,31,15.9,16,-1.3
1969,3,1,37.3,21.3,10,-1.4
1969,4,0,40,23.3,6,-1.5
1969,5,9,41.9,27.6,13,-1.2
1969,6,54,38.2,26.6,55,-2.1
1969,7,547,30.2,23.2,122,-0.8
1969,8,366,28.9,22.6,103,1.3
1969,9,329,29.6,22.9,105,1.8
1969,10,0,33.4,19.3,75,0.9
1969,11,21,31.2,16.4,57,1.2
1969,12,0,28.7,11.6,30,0.6
1970,1,22,26.9,13,42,0.9
1970,2,4,29.4,14.9,23,0.8
1970,3,12,34.3,18.8,22,1
1970,4,2,40.6,24.8,9,1
1970,5,17,43,28.8,22,1.4
1970,6,184,35.5,24.9,168,3.1
1970,7,294,30.9,23.7,127,2
1970,8,494,28.9,23.6,108,3.1
1970,9,362,29.5,23.2,110,3.6
1970,10,3,32.6,19.7,79,2.5
1970,11,0,29.7,12.5,41,1.9
1970,12,0,27.7,10.7,26,1.3
1971,1,6,25.9,12.3,30,1
1971,2,3,30.7,13,20,0.8
1971,3,3,35.3,16.8,13,0.7
1971,4,2,40.2,24.1,9,0.6
1971,5,20,40.8,26.9,23,1.2
1971,6,145,34,25.3,142,2.1
1971,7,359,28.7,23.7,114,1.5
1971,8,237,28.8,23.8,105,-1.6
1971,9,257,30.5,23.1,115,-1.4
1971,10,65,31.1,19.6,101,1.1
1971,11,0,29.1,13.6,49,1.2
1971,12,0,27,10.5,38,0.9
1972,1,0,27,11.4,27,0.6
1972,2,0,27.9,12.7,25,0.7
1972,3,0,35.5,18.4,13,0.6
1972,4,1,39.2,23.4,9,0
1972,5,2,43,27.7,8,-0.2
1972,6,71,39.5,27.2,72,-1
1972,7,239,30.9,24.2,129,-2.1
1972,8,490,28.7,23.4,103,-1.5
1972,9,138,31.4,21.6,127,-2.3
1972,10,17,33.2,19.3,83,-2.3
1972,11,8,30.2,13.6,50,-2
1972,12,5,28,13,40,-2.2
1973,1,0,27.4,12.9,26,-2.3
1973,2,9,31.1,15.2,25,-1.9
1973,3,0,35.8,19,10,-2
1973,4,0,42.3,25.9,7,-1.9
1973,5,2,44.1,29.7,7,-2
1973,6,64,37.6,27.5,64,-2.7
1973,7,836,29.7,23.2,115,3.6
1973,8,440,28.8,23.5,99,4.4
1973,9,360,29.2,23.1,101,4.8
1973,10,38,31.8,19.5,86,4.7
1973,11,0,29.7,12.8,46,4.3
1973,12,11,26.5,11.8,43,3.8
1974,1,0,26.4,10.5,29,3.3
1974,2,2,29.7,13.4,24,3
1974,3,0,37.3,19.5,12,2.6
1974,4,3,40.7,24.6,11,2.4
1974,5,14,41.6,27.4,18,2.5
1974,6,65,38,26.8,66,1.4
1974,7,334,30.4,24.5,118,0.7
1974,8,460,29.3,22.9,100,1.9
1974,9,119,32.6,23.8,104,0.8
1974,10,100,31.6,20.8,109,2.8
1974,11,1,29.2,12.6,52,3.1
1974,12,0,26.3,11.6,39,2.8
1975,1,8,25,11,35,2.9
1975,2,5,29.4,13.5,34,3.4
1975,3,5,34.8,18,25,3.4
1975,4,0,40.9,24.1,11,3.1
1975,5,2,43,28.8,9,2.6
1975,6,140,37.2,26,139,3
1975,7,355,29.7,23.5,120,2.3
1975,8,443,28.7,23.6,101,3.2
1975,9,356,28.9,23.7,124,3.6
1975,10,54,31.3,21.1,92,4
1975,11,0,28.7,12.3,53,3.8
1975,12,0,27.2,10.3,38,3.1
1976,1,5,26.4,12.5,34,2.7
1976,2,0,29.6,14.8,20,2.3
1976,3,7,35,19.1,18,2.1
1976,4,8,38.9,23.4,15,2.3
1976,5,6,42,27.7,11,2
1976,6,97,36.6,25.7,96,1.7
1976,7,411,30.3,23.8,126,1.5
1976,8,351,29,22.9,106,1.4
1976,9,287,30,22.5,111,1.6
1976,10,0,33.5,19.9,80,0.6
1976,11,31,31.4,17.7,64,1.1
1976,12,3,28.1,13.9,31,0.6
1977,1,0,26.4,12,29,-0.4
1977,2,3,30.5,15,18,-1
1977,3,9,37.9,19.7,18,-0.9
1977,4,2,39.1,24.4,8,-0.9
1977,5,8,40.8,27.5,12,-0.9
1977,6,204,37.6,26.3,195,1.7
1977,7,314,29.8,23.7,132,0.8
1977,8,354,28.9,23.5,103,-1.1
1977,9,273,29.6,22.7,122,-0.9
1977,10,44,33.2,19.7,97,0.4
1977,11,41,30.7,17.4,71,2.1
1977,12,6,27.7,12.4,47,1.9
1978,1,12,26.1,11.6,39,1.9
1978,2,21,28.5,14.3,43,2.5
1978,3,22,33.2,18.3,33,3
1978,4,8,39.5,24.3,16,3.1
1978,5,1,43.5,29.4,6,2.4
1978,6,144,37.1,26.3,141,3.1
1978,7,402,29.4,23.3,122,2.8
1978,8,500,28.2,23.2,105,4.2
1978,9,113,30.3,23.7,115,2.8
1978,10,10,32.6,20,78,2
1978,11,14,30.6,17.3,54,1.9
1978,12,60,26.9,11.9,66,3.1
1979,1,57,27.1,14,67,4.6
1979,2,14,27.8,13.7,44,5.2
1979,3,2,34.1,18.1,19,4.7
1979,4,0,40.3,23.8,10,4.2
1979,5,9,41.2,26.6,15,3.9
1979,6,97,39.2,27.5,97,3.3
1979,7,388,30.6,24.7,134,2.7
1979,8,485,29.5,23.4,123,3.8
1979,9,98,32.6,23.7,120,2.3
1979,10,18,33.2,21.8,86,1.6
1979,11,24,29.8,19.4,54,1.6
1979,12,5,27.1,14.4,35,0.9
1980,1,3,27.2,13.4,26,-2
1980,2,1,31.2,15.4,13,-2.3
1980,3,1,35.1,20,8,-2.5
1980,4,0,41.2,25.3,6,-2.5
1980,5,0,43.9,29.1,4,-2.7
1980,6,165,36.4,25.2,159,-1
1980,7,265,29.2,24.2,116,-1.8
1980,8,423,29.4,23,106,-1.7
1980,9,89,31.8,23.3,112,-2.7
1980,10,1,33.5,21.3,81,-3.4
1980,11,0,30.5,16.5,43,-4.1
1980,12,46,27.2,13.3,57,-3.2
1981,1,13,25.4,12.7,32,-3.3
1981,2,0,31.2,15.2,11,-3.5
1981,3,9,34.2,19.3,16,-3.1
1981,4,1,40.4,24.7,6,-3
1981,5,11,42.5,28,14,-2.6
1981,6,84,39.3,27.7,83,-2.9
1981,7,367,29.2,24.2,121,-3
1981,8,355,29,23.5,105,-2.6
1981,9,326,31.4,23.6,116,-1.8
1981,10,19,32.5,20.3,88,-1.8
1981,11,4,28.3,14.6,52,-1.8
1981,12,16,26.8,12.2,41,-1.6
1982,1,54,26.4,14.7,62,1.6
1982,2,6,27.8,15.2,30,1.7
1982,3,4,33.1,18.1,16,1.5
1982,4,3,38.3,23.9,11,1.4
1982,5,7,40,27.3,12,1.3
1982,6,86,38.3,27.2,86,0.7
1982,7,384,31.8,25,134,-0.3
1982,8,223,28.9,23.6,105,-2.1
1982,9,176,31.5,22.7,128,-2.5
1982,10,30,32.7,21,86,-2.1
1982,11,19,28.4,16.9,58,-1.3
1982,12,0,28.4,14.5,38,-1.5
1983,1,4,25.8,12.4,36,-1.6
1983,2,1,28.3,14,19,-1.7
1983,3,1,34.3,19.3,11,-1.9
1983,4,1,37.4,23.4,8,-1.8
1983,5,2,41.6,27.8,7,-1.9
1983,6,77,38.5,28,77,-2.3
1983,7,448,31.2,24.4,133,-1.8
1983,8,424,29.4,24.6,107,-0.8
1983,9,490,30.2,23.6,102,2.8
1983,10,53,30.3,19.3,97,3.3
1983,11,0,28.6,12.3,60,3.1
1983,12,8,25.9,12.3,39,2.6
1984,1,43,25.7,12.8,57,3.5
1984,2,11,28,12.4,35,3.6
1984,3,0,36.7,18.8,13,3
1984,4,0,40.1,24.4,8,2.6
1984,5,1,44,28.7,6,1.9
1984,6,68,37.3,26.7,69,0.9
1984,7,309,30.1,24.2,131,-2.1
1984,8,562,28.2,22.8,105,1.9
1984,9,47,29.7,22.4,92,-1.3
1984,10,40,32.6,19.5,89,-1.3
1984,11,0,29.6,13.4,47,-2
1984,12,1,28.3,12.9,30,-2.7
1985,1,18,26.6,13.6,32,-2.6
1985,2,0,29.8,14.3,9,-2.9
1985,3,1,38.1,20.2,7,-3.1
1985,4,10,39.9,24.4,14,-2.5
1985,5,7,43.1,28.9,10,-2.3
1985,6,90,37.5,26.7,88,-2.7
1985,7,430,29.7,24.4,134,-2.4
1985,8,340,28.9,23.5,111,-2.3
1985,9,185,31.2,23.2,126,-2.6
1985,10,116,30.4,18.9,118,2.6
1985,11,0,29.9,14.4,66,3
1985,12,2,27.9,14.5,44,2.7
1986,1,9,26.2,13.5,41,2.6
1986,2,14,28.9,15.2,37,3.1
1986,3,5,35.3,19.5,20,2.9
1986,4,0,40.4,24.5,10,2.5
1986,5,8,42,27.9,14,2.2
1986,6,103,37.6,26.6,102,2
1986,7,501,29.6,23.5,114,2.6
1986,8,304,29.6,22.9,119,1.7
1986,9,91,32.1,23.8,116,-1.7
1986,10,11,32.9,20.5,84,-2.3
1986,11,2,31,15.9,47,-3
1986,12,19,27.7,12.1,39,-3
1987,1,20,26.5,13.2,36,-2.8
1987,2,9,30.4,15,18,-2.7
1987,3,4,35.1,19.5,10,-2.6
1987,4,0,40.6,24.6,5,-2.6
1987,5,15,41.2,27.1,17,-2
1987,6,90,39.5,27.9,88,-2.1
1987,7,246,32.5,24.6,160,-3.2
1987,8,428,31.3,24,121,-3.8
1987,9,128,32.2,23.7,129,-4.4
1987,10,32,33.4,20.3,94,-3.9
1987,11,12,31.3,14.9,61,-3.3
1987,12,27,27.1,12.5,51,-2.7
1988,1,2,28,14.1,31,-2.8
1988,2,0,31.6,16,15,-2.9
1988,3,1,35.5,19.6,10,-2.9
1988,4,6,40.8,25,12,-2.4
1988,5,3,43.9,29.7,7,-2.5
1988,6,129,38.4,27.1,126,-1.6
1988,7,412,29.7,24.1,106,-1.3
1988,8,295,29.9,24,104,-1.8
1988,9,336,31.6,24,113,-0.9
1988,10,27,32.2,19.1,95,-0.9
1988,11,3,29.7,14.3,54,-1
1988,12,1,27.9,12.4,35,-1.5
1989,1,2,26.2,11.9,27,-1.9
1989,2,0,30.5,13.7,13,-2.2
1989,3,26,34,18.3,33,-1.2
1989,4,0,39.9,23.2,6,-1.3
1989,5,5,43.6,28.2,9,-1.4
1989,6,106,37,25.8,104,-1
1989,7,203,31,23.4,121,-2.3
1989,8,308,29.6,23,101,-4.2
1989,9,155,31.3,23.1,125,-4.5
1989,10,1,33.3,19.5,86,-4.9
1989,11,0,31.1,15.6,49,-5
1989,12,16,26.9,12.7,38,-4.7
1990,1,1,29.5,13.3,23,-5
1990,2,9,29.2,15.6,21,-4.6
1990,3,2,33.2,18.5,10,-4.4
1990,4,0,40.1,24.4,5,-4.2
1990,5,32,40.1,27.1,35,-2.5
1990,6,236,35.8,25.2,173,3.8
1990,7,525,28.8,23.4,110,5
1990,8,436,29.5,23.9,101,5.5
1990,9,305,29.6,23.3,101,5.5
1990,10,24,32.1,19.8,84,4.8
1990,11,0,30.2,15.6,54,4.2
1990,12,27,27.8,13.2,50,4.1
1991,1,4,26,12,34,3.4
1991,2,3,30.8,16,20,2.8
1991,3,5,35.4,20,15,2.4
1991,4,8,39,24,14,2.4
1991,5,1,43,29.3,5,1.8
1991,6,111,37.3,26.9,109,1.8
1991,7,453,31.4,24.1,125,2
1991,8,362,28.8,23.4,108,1.9
1991,9,37,31.1,23.6,98,-1.3
1991,10,1,33.6,19.8,74,-2.9
1991,11,9,29.6,15.3,39,-3.7
1991,12,1,27.3,12.8,19,-4.5
1992,1,0,26.6,13,11,-5.1
1992,2,0,28.3,14,7,-5.2
1992,3,0,35.7,20.3,5,-5.2
1992,4,1,39.4,24.7,4,-5
1992,5,11,42.2,28.2,13,-4.4
1992,6,46,39.4,28.4,46,-5.2
1992,7,254,32,25.7,148,-5.9
1992,8,432,28.7,24.1,112,-5.8
1992,9,319,30,22.7,128,-4.8
1992,10,28,31.6,20.7,89,-4.3
1992,11,3,29.1,15.5,53,-4
1992,12,0,27.5,13,35,-4.1
1993,1,0,27.2,13.7,28,-4.3
1993,2,5,30.6,14.3,18,-4.1
1993,3,16,33.1,18.8,24,-3.3
1993,4,0,39.3,24.5,6,-3.2
1993,5,13,42.9,29.3,16,-2.7
1993,6,103,38.8,28,101,-2.4
1993,7,415,30.3,24.9,126,-2.1
1993,8,296,30.1,23.5,124,-2.7
1993,9,442,29.6,24,102,-0.9
1993,10,26,32.3,20.8,88,-0.9
1993,11,0,30,15.3,53,-1
1993,12,3,27.6,11.6,37,-1.4
1994,1,39,26.7,14.7,51,1.1
1994,2,6,28.6,14.3,24,0.9
1994,3,0,36.6,19.7,11,-0.3
1994,4,6,38.1,23.2,13,0.7
1994,5,10,42.8,28.7,14,0.7
1994,6,191,36.1,25.8,182,2.4
1994,7,681,27.8,23.1,112,4.6
1994,8,448,28,23.5,105,5.3
1994,9,243,29.8,23.1,114,4.7
1994,10,26,32.6,19.9,90,4.1
1994,11,1,29.4,15.2,51,3.5
1994,12,0,27.7,12.1,34,2.6
1995,1,38,24.3,11.4,53,3
1995,2,2,29.1,14.8,19,2.5
1995,3,27,33,18.7,35,3.2
1995,4,3,38.3,23.4,10,2.9
1995,5,6,41.4,28,10,2.5
1995,6,73,39.7,28.7,73,1.4
1995,7,567,30.9,24.8,140,2.4
1995,8,280,29.4,25.1,121,1.2
1995,9,277,31,23.9,127,1.2
1995,10,24,33,21.3,91,1
1995,11,1,30.4,15.3,55,0.6
1995,12,22,28.3,14.4,45,0.6
1996,1,25,27.2,14.5,43,0.9
1996,2,1,31,16,19,0.6
1996,3,8,36.4,21.4,18,0
1996,4,10,39.6,24.1,17,0.5
1996,5,2,42.5,29.1,7,0.1
1996,6,27,38.2,28.5,29,-1.6
1996,7,525,31.1,24.7,124,0.9
1996,8,360,28.5,23.6,107,1
1996,9,229,30.5,23.9,117,0.7
1996,10,46,31,20.2,94,1.2
1996,11,3,30.7,14.7,57,1.2
1996,12,0,28.3,11.6,41,0.6
1997,1,8,26.1,11.4,34,-0.2
1997,2,0,29.5,12.9,15,-1
1997,3,0,35.3,20.1,9,-1.3
1997,4,6,37.4,22.9,12,-1
1997,5,6,40.9,27.2,10,-1
1997,6,76,36.9,26,76,-1.4
1997,7,341,30.3,24.1,123,-1.8
1997,8,342,29.5,23.9,115,-2
1997,9,142,30.3,23.5,121,-2.6
1997,10,40,32.6,19,85,-1.9
1997,11,44,29.2,18,65,2.1
1997,12,62,25.2,14.3,67,3.8
1998,1,8,26.2,12.6,47,4.1
1998,2,3,29.6,14.5,43,4.9
1998,3,17,34,18.3,38,5.2
1998,4,9,39.7,25,21,5.3
1998,5,4,43.5,29.3,12,4.6
1998,6,68,39.5,28.2,70,3.5
1998,7,341,30.5,25.1,133,2.5
1998,8,312,30.4,24.4,121,1.5
1998,9,404,30.2,24.3,110,2.5
1998,10,24,32.8,21.5,84,2.2
1998,11,28,29.7,16.2,65,2.8
1998,12,0,28.3,11.8,40,2.2
1999,1,1,25.9,11.9,32,1.6
1999,2,21,30.3,15.7,36,2
1999,3,0,36.2,19.3,10,1.5
1999,4,0,41.7,24.9,6,1.1
1999,5,13,41.7,28.4,17,1.2
1999,6,80,36.6,26.2,80,0.6
1999,7,356,30.2,23.9,125,-1.1
1999,8,280,29.4,23.3,122,-2
1999,9,648,30,23,110,3
1999,10,71,32,20.3,101,4
1999,11,0,31.1,15.4,61,3.9
1999,12,0,27.9,11.6,42,3.1
2000,1,0,27.8,13.2,35,2.3
2000,2,2,28.9,13.9,18,1.9
2000,3,0,35.2,18.1,9,1.3
2000,4,0,41.5,26.2,7,0.9
2000,5,11,40.4,27.5,15,1
2000,6,96,36.3,25.9,94,0.8
2000,7,567,29.6,23.6,120,2
2000,8,191,30.3,24.6,120,-2
2000,9,71,31,23.3,104,-3
2000,10,6,34.3,21.3,80,-3.7
2000,11,0,31.8,16.4,45,-4.4
2000,12,1,29.4,12.2,24,-5.1
2001,1,12,26.9,13.1,24,-5.2
2001,2,0,31.1,16,8,-5.3
2001,3,6,35.3,19.3,11,-4.9
2001,4,3,39.3,23.7,7,-4.5
2001,5,21,42.7,28.6,23,-3.6
2001,6,232,35.4,24.6,192,-0.7
2001,7,337,29.4,23.2,127,-1
2001,8,200,29.8,24.2,120,-2.8
2001,9,35,32.3,24.9,98,-3.8
2001,10,44,32.6,20.3,83,-3.6
2001,11,1,30.1,15.3,44,-4.1
2001,12,0,28.4,13.4,26,-4.6
2002,1,1,26,12.3,15,-5
2002,2,14,30.4,15.3,22,-4.5
2002,3,5,35.7,19.7,11,-4.3
2002,4,6,40.5,25,10,-3.8
2002,5,9,43.4,29.4,12,-3.5
2002,6,137,37.2,26.3,133,-2.3
2002,7,82,31.9,25.8,80,-4.5
2002,8,398,28.7,23.1,101,-6.2
2002,9,189,30.6,23.2,123,-6
2002,10,13,33.2,20.9,87,-5.9
2002,11,4,30.7,15.9,51,-5.5
2002,12,2,30.2,15.2,34,-5.5
2003,1,1,27,13.2,25,-5.6
2003,2,8,30.7,15.5,21,-5.1
2003,3,4,35.7,19.7,12,-4.8
2003,4,1,40.8,25.2,7,-4.5
2003,5,5,42.9,28.9,9,-4.3
2003,6,113,38.4,27.5,110,-3.7
2003,7,421,30.6,24.5,123,-3.3
2003,8,277,29.4,23.8,105,-3.7
2003,9,389,29.5,22.1,97,-2.2
2003,10,1,32,19.7,83,-2.8
2003,11,0,31.6,16.8,44,-3
2003,12,7,28.3,13.4,36,-3.1
2004,1,20,26.3,12.5,40,-2.8
2004,2,0,30.3,15.1,14,-2.9
2004,3,0,37.5,21.5,9,-3
2004,4,3,41.4,25.8,9,-2.9
2004,5,12,42.4,28.4,15,-2.4
2004,6,132,37.3,26.5,129,-1.6
2004,7,286,31.1,25,141,-2.4
2004,8,362,28.7,23.1,102,-3
2004,9,137,31.8,24.4,122,-3.6
2004,10,26,32,19.7,87,-3.2
2004,11,6,30.6,15.9,53,-2.9
