Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.1875 North,79.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,7,26.9,11.1,39,-0.3
1958,2,2,29.5,12.1,36,-0.8
1958,3,11,34.4,16.9,26,-0.9
1958,4,6,39.9,22.9,15,-0.9
1958,5,1,42.5,27,7,-1.1
1958,6,74,40.2,27.3,75,-1.8
1958,7,513,29.2,24.1,110,-1.1
1958,8,417,30,23.4,100,-0.7
1958,9,271,28.3,24,108,1.1
1958,10,81,30,18.6,97,2.4
1958,11,22,28.3,12.8,59,3.2
1958,12,0,25.7,10.2,37,2.8
1959,1,32,25.8,10,52,3.2
1959,2,4,28.8,11.2,39,3.2
1959,3,0,35.9,16.1,20,2.6
1959,4,13,39.2,21.4,23,2.8
1959,5,18,41.7,26.3,25,2.9
1959,6,117,37,26.9,116,2.7
1959,7,455,29.2,23.5,114,2.5
1959,8,450,28.7,23.3,93,2.9
1959,9,359,28.8,23.7,102,3.9
1959,10,49,30.5,19.7,78,4.2
1959,11,0,28.2,12,47,3.9
1959,12,0,26.9,9.1,34,3.3
1960,1,71,25.2,8.7,69,4.6
1960,2,0,32,11.3,34,4.4
1960,3,21,32.6,16.1,42,4.4
1960,4,10,38.5,21.2,21,4.2
1960,5,3,42.4,25.9,10,3.5
1960,6,89,37.9,26.9,89,2.7
1960,7,528,30.5,23.1,109,3.1
1960,8,500,28.3,23.1,97,3.8
1960,9,96,31.2,22.7,105,2.3
1960,10,70,30.9,17.7,92,3.2
1960,11,0,28.5,10.1,49,3
1960,12,0,26.7,9.3,32,2.4
1961,1,24,25.9,10.5,42,2.4
1961,2,4,26.5,10.7,31,2.1
1961,3,4,34.9,17.1,18,1.5
1961,4,8,39,21.3,16,1.5
1961,5,10,41.5,26.1,15,1.4
1961,6,104,36.1,25.5,103,1.2
1961,7,565,29.2,23.3,104,2
1961,8,472,28.8,23.3,98,2.5
1961,9,506,28.3,23.4,90,5
1961,10,76,29.6,17.8,94,5.8
1961,11,8,26.3,12.1,50,5.7
1961,12,15,24.4,6.8,40,5.5
1962,1,8,24.9,7.1,38,5
1962,2,14,28.2,11.6,40,5.1
1962,3,22,33.1,15.8,43,5.2
1962,4,21,38.5,20.8,32,5.5
1962,5,11,41.5,25.6,18,5.2
1962,6,42,38.7,25.9,45,3.4
1962,7,442,30.6,24,114,3.1
1962,8,515,29.5,22.9,99,4
1962,9,408,28.7,23,104,5.3
1962,10,2,30.7,16.2,71,4.1
1962,11,7,28.5,11.5,41,3.6
1962,12,57,25.7,9.6,60,4.5
1963,1,12,25.9,6.9,36,4.1
1963,2,14,30.4,11.6,40,4
1963,3,6,33.1,15.1,21,3.3
1963,4,17,36.4,20.1,25,3.5
1963,5,7,40.2,25.2,13,3.1
1963,6,140,35.6,25.2,137,3
1963,7,422,30.4,22.6,113,2.6
1963,8,393,28.6,23.1,94,2.5
1963,9,317,30,22.4,117,3
1963,10,35,31.6,18.5,85,2.9
1963,11,1,28.6,14.7,47,2.5
1963,12,1,26.7,8.5,32,1.8
1964,1,0,25.9,8.6,30,1.1
1964,2,2,29.4,11.9,19,-1.5
1964,3,18,35.9,17.2,26,-1.4
1964,4,0,40,22.6,7,-1.7
1964,5,9,41.4,25.4,13,-1.6
1964,6,113,37.1,26.2,111,-1.6
1964,7,397,29.5,23.5,113,-1.6
1964,8,517,29.1,23.3,92,1.2
1964,9,172,30.8,23.3,110,0.7
1964,10,14,32,18.5,80,-0.4
1964,11,0,28.5,10.3,46,-1.1
1964,12,0,26.4,8.8,32,-1.6
1965,1,19,26.5,10.2,38,-1.7
1965,2,3,29,11.7,16,-2.2
1965,3,15,33.3,15.7,23,-2.1
1965,4,15,36.8,21.1,19,-1.7
1965,5,3,41.5,26.7,7,-1.8
1965,6,89,38.3,27.1,88,-2.2
1965,7,264,30.6,24,119,-2.9
1965,8,204,30.7,23.3,119,-5.1
1965,9,234,30.3,22.3,119,-4.5
1965,10,9,31.6,19.4,76,-4.6
1965,11,0,29.1,12.5,46,-4.5
1965,12,8,26.8,8.5,34,-4.4
1966,1,9,26.3,9.1,32,-4.4
1966,2,1,30.6,13.5,15,-4.6
1966,3,7,34.5,15.5,15,-4.6
1966,4,3,38.9,21.6,9,-4.3
1966,5,21,41.5,25.7,24,-3.5
1966,6,100,36.8,26.4,98,-3.4
1966,7,445,32.8,24.4,131,-3.1
1966,8,221,29.5,23.1,112,-4.4
1966,9,125,31.2,23.3,125,-5
1966,10,3,33.2,19.1,80,-5.2
1966,11,38,28.4,15.3,67,-4.1
1966,12,15,27.2,7.1,40,-3.8
1967,1,1,26.6,8.1,27,-4
1967,2,0,31.8,11.8,13,-4.1
1967,3,68,31.6,16,72,-2.1
1967,4,4,37.5,20.8,9,-2
1967,5,3,42.2,26.2,7,-2.2
1967,6,109,38,26.5,106,-2.1
1967,7,490,30.3,23.9,118,-1.5
1967,8,346,28.4,23.1,97,-1.7
1967,9,165,29.3,22.8,108,-2.1
1967,10,1,32.4,18.3,68,-2.5
1967,11,0,28.2,13.3,43,-2.6
1967,12,90,27.8,10.8,73,2.3
1968,1,22,24.1,9.3,43,2.6
1968,2,11,28,10.7,37,2.8
1968,3,24,34,15.2,46,3
1968,4,11,37.9,19.3,23,3.1
1968,5,0,41,25,8,2.5
1968,6,86,36.9,25.7,87,1.8
1968,7,551,30.4,23.1,109,2.4
1968,8,272,29.3,22.6,109,1
1968,9,254,32.3,22.1,122,1.1
1968,10,25,31.4,17.8,77,0.9
1968,11,0,29.6,11.4,42,0.7
1968,12,3,26.6,9,33,-1.1
1969,1,4,26,10.5,29,-1.3
1969,2,0,30.1,13.9,20,-1.5
1969,3,3,35.9,19.1,14,-1.7
1969,4,0,40,23,7,-1.8
1969,5,20,40.5,25.5,24,-1.1
1969,6,43,37.8,27.2,44,-2
1969,7,665,30.3,22.7,105,1.5
1969,8,419,28.9,22.4,101,1.6
1969,9,250,29.5,22.7,104,1.8
1969,10,0,32.5,18.3,67,0.9
1969,11,21,29.9,14,53,1.2
1969,12,0,27.4,8.1,27,0.7
1970,1,31,25.7,10.3,44,1.1
1970,2,11,28,12.6,32,1.2
1970,3,39,32.7,16.6,52,2
1970,4,0,39.6,22.1,9,1.6
1970,5,15,41.9,27,20,1.8
1970,6,178,34.6,24.5,162,2.7
1970,7,386,31.1,23,123,2.2
1970,8,604,29,23.5,103,3.9
1970,9,296,29.2,23.3,105,4.2
1970,10,5,31.8,18.7,71,3.2
1970,11,0,28.5,10.3,40,2.6
1970,12,0,26.4,7.7,25,1.9
1971,1,16,25,9.4,33,1.7
1971,2,7,29.4,10.6,27,1.4
1971,3,9,33.8,14.3,20,1.1
1971,4,7,38.6,21.1,14,1.1
1971,5,20,39.4,24.8,24,1.6
1971,6,240,32.8,24.4,145,3.5
1971,7,314,28.4,23,107,3
1971,8,345,28.5,23.3,100,2.3
1971,9,207,30.2,22.8,111,1.9
1971,10,98,30.2,18.6,101,3.6
1971,11,0,27.8,11.1,49,3.6
1971,12,0,25.9,7.3,39,3.2
1972,1,1,25.7,8.6,30,2.7
1972,2,3,26.8,10.1,32,2.7
1972,3,0,33.9,15.9,19,2.2
1972,4,2,38,21.1,12,1.9
1972,5,2,42.3,26.1,9,1.5
