Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.6042 North,80.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,6,27.6,11,36,-0.4
1958,2,4,31,11.5,17,-0.9
1958,3,14,35.2,16.2,22,-1
1958,4,18,40.2,22.1,22,-0.8
1958,5,1,43.5,26.6,5,-1
1958,6,98,40.9,26.7,96,-1.8
1958,7,552,29,23.8,108,-1.3
1958,8,487,29.9,23.3,102,-0.9
1958,9,287,28,23.6,106,1.2
1958,10,78,29.3,17.9,95,2.2
1958,11,11,28.6,11.4,55,2.9
1958,12,0,26.4,9.6,34,2.4
1959,1,29,26.7,10.1,49,2.8
1959,2,4,30.3,10.6,22,2.4
1959,3,1,36.7,15.4,11,1.6
1959,4,36,39.7,21,40,2.2
1959,5,12,42.9,26.2,16,2.2
1959,6,163,37.5,26.2,157,2.2
1959,7,556,29,23.2,113,2.2
1959,8,444,28.5,23.1,94,2
1959,9,350,28.4,23.2,100,3.1
1959,10,55,29.7,19,79,3.5
1959,11,0,28.4,10.5,47,3.5
1959,12,0,27.5,8.4,32,2.9
1960,1,61,26.1,8.7,64,4.1
1960,2,0,33.2,10.5,23,3.7
1960,3,38,33.4,15.5,47,3.8
1960,4,26,39,20.7,32,3.9
1960,5,3,43.4,25.5,7,3.3
1960,6,122,38.4,26.1,120,2.6
1960,7,648,30.2,22.8,105,3.1
1960,8,456,28.2,23.1,97,2.8
1960,9,104,30.9,22.3,106,1.4
1960,10,69,30.1,17.1,91,2.2
1960,11,0,28.8,8.7,49,2.3
1960,12,0,27.5,8.7,31,1.8
1961,1,17,26.8,10.5,36,1.7
1961,2,6,27.9,10.2,18,1.3
1961,3,7,35.9,16.5,14,0.7
1961,4,16,39.5,20.8,20,0.8
1961,5,9,42.6,25.9,12,0.8
1961,6,145,36.7,24.9,140,0.7
1961,7,661,28.9,22.9,100,1.5
1961,8,541,28.7,23.3,99,2.2
1961,9,527,27.9,22.9,91,5.1
1961,10,70,28.8,17.2,92,5.5
1961,11,2,26.5,10.6,47,5.5
1961,12,23,25.3,6.3,43,5.3
1962,1,6,25.8,7.1,35,4.9
1962,2,18,29.5,10.9,35,4.8
1962,3,38,34,15.2,46,4.8
1962,4,44,38.8,20.2,48,5.4
1962,5,10,42.5,25.2,14,5.1
1962,6,55,39.3,25.2,56,3.2
1962,7,493,30.2,23.5,114,2.9
1962,8,517,29.3,22.8,100,3.2
1962,9,374,28.4,22.6,104,4.4
1962,10,2,30,15.6,71,3.3
1962,11,3,28.6,9.9,37,2.8
1962,12,91,26.4,9,71,4.4
1963,1,5,26.7,6.8,35,4.3
1963,2,20,31.8,10.9,39,4.2
1963,3,10,34,14.6,19,3.5
1963,4,44,37,19.6,48,4.2
1963,5,6,41.4,24.9,10,3.7
1963,6,196,36.3,24.6,187,3.8
1963,7,470,30.2,22.3,114,3.3
1963,8,470,28.5,23,94,3.2
1963,9,283,29.7,22,115,3.4
1963,10,48,30.7,17.8,88,3.5
1963,11,0,28.7,13.1,46,3.3
1963,12,1,27.4,8,30,2.5
1964,1,0,26.9,8.8,20,1.7
1964,2,3,30.8,11.4,13,1.1
1964,3,19,36.8,16.5,24,0.8
1964,4,0,40.5,22.1,5,-1.7
1964,5,4,42.7,25.4,7,-1.7
1964,6,149,37.7,25.5,144,-1.6
1964,7,445,29.2,23.1,112,-1.8
1964,8,620,28.9,23.1,91,1.7
1964,9,163,30.3,22.8,108,1
1964,10,19,31.3,17.9,79,0.6
1964,11,0,28.7,8.8,45,-0.2
1964,12,0,27.1,8.2,27,-1.5
1965,1,19,27.1,10,31,-1.5
1965,2,4,30.5,11.1,12,-1.9
1965,3,25,34.2,15.1,29,-1.7
1965,4,28,37.4,20.7,31,-1.1
1965,5,2,42.7,26.6,5,-1.2
1965,6,130,38.9,26.4,126,-1.6
1965,7,302,30.3,23.7,115,-2.4
1965,8,221,30.6,23.2,117,-4.6
1965,9,231,30,21.8,116,-4
1965,10,9,30.8,18.8,75,-4.1
1965,11,0,29.3,11,42,-4
1965,12,6,27.8,8.1,29,-4.1
1966,1,8,27.1,9.1,20,-4.1
1966,2,0,31.9,12.8,8,-4.3
1966,3,12,35.5,15.1,17,-4.3
1966,4,9,39.4,21.1,12,-4
1966,5,22,42.6,25.5,24,-3.1
1966,6,117,37.6,25.9,113,-3.3
1966,7,541,32.5,24,128,-2.8
1966,8,267,29.6,23.2,111,-4.4
1966,9,152,30.9,22.8,126,-4.7
1966,10,5,32.3,18.3,78,-4.9
1966,11,17,28.6,13.8,54,-4.4
1966,12,26,27.9,6.5,43,-3.9
1967,1,1,27.5,8.1,15,-4.1
1967,2,0,33,11.1,8,-4.2
1967,3,108,32.6,15.4,107,-1.6
1967,4,12,38.2,20.4,15,-1.5
1967,5,3,43.3,26,6,-1.6
1967,6,156,38.7,26,151,-1.4
1967,7,602,30.1,23.6,116,-0.8
1967,8,360,28.3,23.1,97,-1.5
1967,9,136,29.1,22.4,108,-2.2
1967,10,2,31.5,17.6,69,-2.6
1967,11,0,28.3,11.7,40,-2.7
1967,12,119,28.6,10.2,74,2.6
1968,1,19,25,9.4,45,3.2
1968,2,19,29.5,10.2,44,3.7
1968,3,41,34.8,14.5,58,4
1968,4,34,38.4,18.7,42,4.5
1968,5,0,42.2,24.7,6,3.8
