Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.9375 North,79.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,6,26.8,12.4,33,-0.4
1958,2,2,29.4,13.1,17,-0.8
1958,3,7,34.5,18,16,-0.9
1958,4,5,40,24.3,10,-0.9
1958,5,1,42.6,28,5,-1
1958,6,74,40.4,27.4,73,-1.6
1958,7,405,29.3,24.4,113,-0.7
1958,8,336,30.2,23.6,102,1
1958,9,273,28.5,24.2,109,1.4
1958,10,92,30.5,19.7,106,2.7
1958,11,16,28.8,14.4,62,3.6
1958,12,0,25.6,11.8,37,3.2
1959,1,26,25.7,11.3,45,3.5
1959,2,4,28.8,12.3,23,3.2
1959,3,0,36.1,17.3,10,2.5
1959,4,10,39.3,22.9,16,2.6
1959,5,13,42,27.5,17,2.6
1959,6,118,37.2,27,116,2.5
1959,7,358,29.3,23.8,119,2.5
1959,8,360,28.7,23.3,97,3
1959,9,392,28.9,23.9,104,4.1
1959,10,51,31,20.8,82,4.3
1959,11,0,28.7,13.6,48,4.2
1959,12,0,26.8,10.7,31,3.6
1960,1,71,25,9.9,69,5.1
1960,2,0,31.9,12.3,24,4.8
1960,3,20,32.8,17.3,30,4.6
1960,4,8,38.7,22.7,14,4.4
1960,5,3,42.6,27,8,3.8
1960,6,87,38,26.9,86,3
1960,7,392,30.7,23.7,112,3.3
1960,8,396,28.3,23.1,101,4
1960,9,100,31.4,23,108,2.6
1960,10,79,31.4,18.8,97,3.5
1960,11,0,29.1,11.8,51,3.5
1960,12,1,27,11.2,32,3
1961,1,21,25.9,11.8,38,2.9
1961,2,3,26.4,11.7,16,2.4
1961,3,4,35.1,18.3,12,1.8
1961,4,7,39.1,22.8,11,1.7
1961,5,7,41.8,27.2,11,1.6
1961,6,93,36.3,25.7,91,1.2
