Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.4792 North,74.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,4,26.2,11.2,16,1.6
1958,2,0,28.4,12.2,7,1.4
1958,3,1,34.1,17.9,6,1
1958,4,1,39.2,24.1,4,0.9
1958,5,4,40.9,26.9,6,0.7
1958,6,53,39.5,26.8,52,-0.5
1958,7,340,29.7,24,117,0.9
1958,8,224,30.5,23.8,111,0.8
1958,9,442,28.3,22.7,101,3.3
1958,10,42,31.3,18.7,83,4.1
1958,11,11,29.2,13.5,55,4.9
1958,12,0,26.2,11.6,26,5
1959,1,6,24.4,9.6,18,4.9
1959,2,0,27.9,11.6,7,4.5
1959,3,0,35.4,17.3,5,3.7
1959,4,2,38.1,22.5,5,3.5
1959,5,13,40.5,26.6,15,3.4
1959,6,71,37.4,27.1,69,3
1959,7,483,29.5,23.2,122,5
1959,8,239,28.2,22.5,102,4.8
1959,9,467,28.9,22.5,100,7.2
1959,10,63,31.9,20,86,8.1
1959,11,5,29.4,13.1,53,8.6
1959,12,0,26.9,10.1,30,8.7
1960,1,6,24.1,8.6,22,8.4
1960,2,0,31.7,12.3,9,7.8
1960,3,3,31.7,16.6,8,6.9
1960,4,1,36.9,21.5,5,6.3
1960,5,10,40.5,25.6,13,5.9
1960,6,108,37.5,26.3,104,6.1
1960,7,235,31.1,23.5,141,5.1
1960,8,233,28.2,22.7,107,4.1
1960,9,78,31.8,22.6,106,2.7
1960,10,13,32.5,18.4,76,2.3
1960,11,0,29.9,11.6,22,1.4
1960,12,1,27.3,10.9,11,0.9
1961,1,13,24.7,10,18,1.2
1961,2,2,25.7,10.8,6,1.1
1961,3,0,34.3,17.9,3,0.6
1961,4,1,37.2,21.6,3,0.6
1961,5,6,40.3,26.3,7,-1.4
1961,6,55,36.5,25.6,54,-1.6
1961,7,292,29.7,23.3,124,-1.1
1961,8,170,29.1,23.3,114,-1.7
1961,9,651,28.6,22.4,100,4.7
1961,10,31,30.9,18.1,85,5
1961,11,3,27.9,13.4,44,5.1
1961,12,3,24.8,8.1,24,5.1
1962,1,1,24,7.1,11,4.6
1962,2,0,28.3,12.4,6,4.2
1962,3,25,32.8,16.9,28,4.8
1962,4,2,37.9,22.3,5,4.4
1962,5,4,40.9,26.4,6,3.8
1962,6,19,38.5,25.8,20,1.9
1962,7,335,30.8,23.8,133,2.4
1962,8,182,29.7,23,119,1.5
1962,9,338,29.3,22.4,118,2.8
1962,10,0,31.6,16.2,74,2.4
1962,11,7,29.9,12.8,38,2.5
1962,12,5,25.7,10.7,20,2.5
1963,1,2,25.5,7.7,11,2.2
1963,2,1,30.5,12.8,6,2
1963,3,5,33.1,16.6,9,1.7
1963,4,1,36.4,21.9,4,1.6
1963,5,2,39.5,25.7,5,1.1
1963,6,44,37.1,26.3,44,-1.2
1963,7,224,32,23.9,130,-1.5
1963,8,340,28.9,23.1,103,0.9
1963,9,252,30.1,21.4,118,1.4
1963,10,39,33,19.1,95,2.2
1963,11,12,29.9,15.6,52,2.9
1963,12,0,27.1,10,21,2.8
1964,1,0,23.6,7.3,10,2.4
1964,2,0,28.3,11.8,6,2.1
1964,3,3,35.6,18.3,7,1.7
1964,4,0,39,23.6,3,1.4
