Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.3125 North,77.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,26.9,12.5,26,-0.2
1958,2,0,29.3,13.4,9,-0.6
1958,3,4,34.9,18.5,10,-0.7
1958,4,2,40.3,24.6,6,-0.7
1958,5,4,42.6,28.3,7,-0.8
1958,6,77,40,27.1,75,-1.2
1958,7,496,28.9,23.8,117,0.7
1958,8,392,29.8,23.4,104,0.9
1958,9,264,28.3,23.3,107,1.3
1958,10,69,30.5,19,105,2.4
1958,11,19,28.9,14.6,63,3.1
1958,12,0,25.7,12.4,34,2.6
1959,1,26,25.5,11.5,41,2.7
1959,2,1,28.7,12.6,10,2.3
1959,3,0,36.3,18.1,6,1.7
1959,4,3,39.5,23.2,7,1.7
1959,5,10,42,27.8,13,1.7
1959,6,103,37.4,26.7,100,1.6
1959,7,539,28.9,23.1,123,2.4
1959,8,439,28.1,22.7,97,3.1
1959,9,457,28.9,23.2,105,5
1959,10,62,31,20.1,92,5.6
1959,11,5,29,14.1,54,5.6
1959,12,0,26.7,11.2,32,4.9
1960,1,70,24.7,9.9,70,6.3
1960,2,0,32.1,13,17,5.9
1960,3,10,33,17.7,19,5.5
1960,4,3,38.8,22.7,8,5.1
1960,5,5,42.4,27.2,9,4.5
1960,6,101,38,26.5,99,4
1960,7,390,30.4,23.4,122,3.5
1960,8,488,27.8,22.5,101,4.5
1960,9,97,31.3,22.7,110,3
1960,10,64,31.4,18.4,97,3.7
1960,11,0,29.1,12.3,48,3.4
1960,12,3,27,11.9,29,2.7
1961,1,22,25.8,11.8,33,2.5
1961,2,1,26.6,11.8,8,2
1961,3,2,35.4,18.8,7,1.4
1961,4,2,39,22.7,5,1.3
1961,5,8,41.9,27.5,10,1.3
1961,6,73,36.7,25.5,72,0.6
1961,7,494,29,23.2,113,1.3
1961,8,359,28.7,23.1,108,1
1961,9,556,28.4,22.8,100,4.1
1961,10,85,29.9,18.1,107,5.4
1961,11,10,27.4,14.2,57,5.7
1961,12,13,24.3,8.9,43,5.5
1962,1,11,24.8,8.5,35,5.1
1962,2,4,28.7,12.9,15,4.8
1962,3,18,33.6,17.4,24,4.7
1962,4,7,38.7,22.5,11,4.6
1962,5,7,42,27.2,10,4.2
1962,6,34,38.9,26.1,35,2.3
1962,7,484,30.3,23.9,122,2.7
1962,8,427,29.1,22.6,109,3
1962,9,456,29,22.6,111,4.9
1962,10,3,30.9,16.5,82,3.8
1962,11,11,29.3,13.6,47,3.3
1962,12,69,25.6,11.9,72,4.3
1963,1,16,25.8,8.8,31,4
1963,2,9,30.7,13.2,17,3.7
1963,3,3,33.7,16.9,9,3.1
1963,4,3,37,21.7,7,2.9
1963,5,6,40.7,26.5,9,2.5
1963,6,94,36.5,25.3,92,2.1
1963,7,389,30.3,22.8,115,1.8
1963,8,311,28.3,22.6,100,1.1
1963,9,281,29.9,22,118,1.5
1963,10,34,32,19.1,92,1.6
1963,11,4,29.4,16.4,51,1.5
1963,12,2,26.7,10.9,25,0.9
1964,1,0,25.2,9.6,11,-1
1964,2,1,29.4,13,7,-1.2
1964,3,15,36.6,19.1,19,-0.9
1964,4,0,40.4,24.4,3,-1
1964,5,8,41.7,26.8,10,-0.9
1964,6,136,37.7,26.1,132,0.6
1964,7,419,29.8,23.6,124,0.6
1964,8,400,28.8,22.9,95,1.1
1964,9,196,30.4,22.4,114,0.8
1964,10,10,32.5,19.2,85,-0.4
1964,11,0,29,12.4,44,-1
1964,12,0,26.4,10.8,16,-1.8
1965,1,20,26.7,12,28,-1.7
1965,2,1,29.1,13,6,-1.9
1965,3,5,33.7,17.3,9,-1.9
1965,4,4,37.4,22.6,7,-1.6
1965,5,1,42,28,4,-1.8
1965,6,60,38.6,26.8,59,-2.4
1965,7,293,30.4,24,124,-3
1965,8,238,30.3,23.1,114,-4.2
1965,9,190,30.4,22.1,122,-4.1
1965,10,6,32.5,19.8,81,-4.2
1965,11,0,30.1,14.4,44,-4.2
1965,12,15,26.5,10.6,31,-4.2
1966,1,13,26.3,10.8,21,-4.1
1966,2,0,30.9,14.9,6,-4
1966,3,5,34.5,16.9,9,-3.8
1966,4,1,38.9,22.9,4,-3.5
1966,5,13,41.4,26.6,15,-2.9
1966,6,56,37.4,26.4,55,-3.4
1966,7,421,32.4,24.5,138,-3
1966,8,184,29.1,22.8,115,-4.7
1966,9,140,31.2,22.9,127,-5.1
1966,10,2,33.9,19.9,85,-5.2
1966,11,28,29.2,17,65,-4.8
1966,12,12,26.8,9.6,27,-4.8
1967,1,0,26,9.4,9,-4.9
1967,2,0,31.9,13.5,6,-4.7
1967,3,36,32.3,17.7,38,-3.1
1967,4,1,37.9,22.2,4,-2.9
1967,5,1,42.4,27.4,3,-2.9
1967,6,109,37.8,25.9,106,-2.4
1967,7,408,30,23.8,128,-2.2
1967,8,298,28.2,22.8,105,-2.7
1967,9,166,29.3,22.3,113,-2.9
1967,10,2,33.1,19.2,77,-3.2
1967,11,0,29.4,15.2,43,-3.3
1967,12,109,25.6,13.4,84,2.6
1968,1,15,24,10.6,37,3.1
1968,2,5,27.8,12,20,3
1968,3,20,34.6,17.2,28,3.3
1968,4,2,38.4,21.2,8,3.1
1968,5,0,41,26.1,4,2.4
1968,6,57,37.7,26,57,1.3
1968,7,537,30.3,23.2,118,2.2
1968,8,331,28.7,22.2,106,1.6
1968,9,177,32.5,22.4,130,0.9
1968,10,26,32.3,18.4,88,0.9
1968,11,0,30.2,13.4,40,0.7
1968,12,2,26.4,11.1,27,-1
1969,1,9,26.1,12,20,-1.2
1969,2,0,29.8,14.8,7,-1.2
1969,3,1,36.3,20.6,6,-1.4
1969,4,0,39.1,22.4,3,-1.4
1969,5,8,41.1,27.1,11,-1.1
1969,6,48,37.8,26.1,47,-1.9
1969,7,575,30.2,23,122,1.2
1969,8,410,28.6,22.1,101,1.6
1969,9,272,29.6,22.6,107,2
1969,10,0,33.1,18.9,71,1.2
1969,11,33,30.4,15.9,58,1.8
1969,12,0,27.5,10.5,24,1.4
1970,1,29,25.8,11.7,42,1.7
1970,2,5,28.1,13.8,13,1.6
1970,3,18,33.3,18.2,23,1.8
1970,4,1,40,24.1,5,1.7
1970,5,13,42.3,28.5,15,1.9
1970,6,173,35.3,24.6,165,3.2
1970,7,274,30.8,23.3,130,2
1970,8,495,28.7,23.1,110,2.8
1970,9,294,29.3,22.8,111,3.3
1970,10,3,32.2,19.2,76,2.4
1970,11,0,29.2,12.3,36,1.8
1970,12,0,26.6,9.8,20,1.3
1971,1,9,24.8,10.9,20,0.9
1971,2,2,29.6,12,9,0.7
1971,3,3,34.4,16.2,8,-1.2
1971,4,1,39.6,23.5,4,-1.1
1971,5,16,40.1,26.5,17,0.5
1971,6,164,33.7,24.8,158,1.8
1971,7,382,28.4,23.2,114,1.5
1971,8,253,28.4,23.1,104,-1.3
1971,9,223,30.3,22.6,114,-1.1
1971,10,71,30.6,19,101,1.4
1971,11,0,28.7,13.3,46,1.6
1971,12,0,25.8,9.5,33,1.4
1972,1,0,26,10.2,20,1.1
1972,2,1,26.6,11.4,11,1
1972,3,0,34.5,17.6,6,0.6
1972,4,0,38.3,22.5,5,0
1972,5,2,42.3,27.3,5,-0.6
1972,6,63,39.3,26.8,62,-1.2
1972,7,215,30.9,24,132,-2.1
1972,8,501,28.4,22.8,102,-1.4
1972,9,138,31.2,20.9,126,-2.1
1972,10,26,32.8,18.8,83,-1.8
1972,11,11,29.6,13.2,47,-1.3
1972,12,5,26.7,11.7,35,-1.4
1973,1,0,26.1,11.3,13,-1.7
1973,2,8,29.9,14.2,15,-1.3
1973,3,0,34.8,18.3,5,-1.5
1973,4,0,41.6,25.1,4,-1.4
1973,5,3,43.5,29.3,5,-1.5
1973,6,52,37.2,27.1,51,-2.3
1973,7,816,29.7,23,115,3.1
1973,8,471,28.5,23,100,3.9
1973,9,308,29,22.6,100,4.5
1973,10,33,31.3,18.9,81,4.3
1973,11,0,29.1,12.4,41,4
1973,12,16,24.8,10.2,39,3.8
1974,1,0,25.2,9,18,3.2
1974,2,2,28.4,12.2,11,2.9
1974,3,1,36.5,18.9,7,2.3
1974,4,2,40.1,24,6,2.2
1974,5,12,41.1,27.1,14,2.2
1974,6,68,37.7,26.4,67,1.4
1974,7,348,30.2,24.1,120,0.8
1974,8,497,29.1,22.5,102,2.2
1974,9,99,32.6,23.4,101,1
1974,10,88,31.3,20.4,102,2.7
1974,11,1,28.7,12.3,48,3
1974,12,0,25,10.4,32,2.7
1975,1,9,23.9,9.8,29,2.7
1975,2,5,28.3,12.5,18,2.8
1975,3,6,33.9,17.4,13,2.6
1975,4,0,40.2,23.3,5,2.3
1975,5,2,42.4,28.4,6,1.9
1975,6,135,36.8,25.5,131,2.2
1975,7,357,29.5,23.1,122,1.7
1975,8,447,28.5,23.1,102,2.4
1975,9,299,28.6,23.4,124,2.8
1975,10,48,30.9,20.6,88,3.2
1975,11,0,28.3,12,49,3.1
1975,12,0,26.1,9.3,31,2.6
1976,1,8,25.4,11.3,22,2.1
1976,2,0,28.4,14,8,1.7
1976,3,9,33.9,18.6,14,1.6
1976,4,5,38.2,22.7,8,1.7
1976,5,5,41.3,27.3,8,1.4
1976,6,97,36.3,25.3,94,1.3
1976,7,409,30.3,23.6,129,1.1
1976,8,362,28.7,22.3,105,1
1976,9,242,29.8,22,111,1.1
1976,10,0,33.2,19.5,78,-0.7
1976,11,34,30.7,17.2,60,0.6
1976,12,4,26.6,12.4,26,-0.2
1977,1,0,25.3,10.5,13,-0.7
1977,2,3,29.4,14,10,-0.8
1977,3,12,37.2,19,16,-0.6
1977,4,1,38.4,23.7,5,-0.6
1977,5,7,40.1,27.1,9,-0.6
1977,6,216,37.1,25.7,206,1.9
1977,7,325,29.4,23.1,135,1.1
1977,8,373,28.6,22.9,104,1.1
1977,9,231,29.4,22.2,122,1
1977,10,35,32.8,19.4,91,1.2
1977,11,43,30.2,17,69,2.4
1977,12,6,26.8,11.5,38,2.1
1978,1,14,25,10.1,30,2
1978,2,22,27.3,13.2,30,2.6
1978,3,30,32.2,17.7,34,3.3
1978,4,5,38.7,23.5,9,3.2
1978,5,0,43,29.2,3,2.5
1978,6,146,37,26,141,3.2
1978,7,398,29.2,22.9,122,2.8
1978,8,542,28,22.7,104,4.4
1978,9,122,30.1,23.2,118,3.1
1978,10,8,32.3,19.6,75,2.3
1978,11,13,29.9,16.8,50,2.3
1978,12,64,25.7,10.5,65,3.6
1979,1,69,25.9,12.3,72,5.1
1979,2,13,26.6,12.7,29,5.5
1979,3,3,33.1,17.4,12,4.9
1979,4,0,39.7,23,6,4.4
1979,5,11,40.5,26.2,15,4.3
1979,6,87,38.9,27,86,3.5
1979,7,407,30.5,24.4,138,3
1979,8,440,29.3,22.8,123,3.3
1979,9,76,32.7,23.3,113,1.8
1979,10,15,32.9,21.3,77,0.8
1979,11,28,29.1,19.1,48,0.6
1979,12,6,25.7,13.2,19,-2.2
1980,1,3,26.1,11.7,11,-2.6
1980,2,1,30.1,14.3,6,-2.7
1980,3,1,34,19.2,4,-2.9
1980,4,0,40.5,24.5,3,-2.7
1980,5,0,43.3,28.7,2,-2.9
1980,6,171,36.1,24.8,164,-1.2
1980,7,294,29.1,23.9,117,-1.9
1980,8,420,29.3,22.5,105,-1.1
1980,9,73,31.8,22.8,107,-2.2
1980,10,1,33.2,20.9,73,-3.1
1980,11,0,29.8,16,21,-4.2
1980,12,44,25.7,12,51,-3.3
1981,1,15,24.3,11.3,21,-3.2
1981,2,0,30.1,14.1,5,-3.3
1981,3,11,33.2,18.8,14,-2.9
1981,4,0,39.7,23.9,3,-2.8
1981,5,9,41.9,27.6,11,-2.4
1981,6,72,39.2,27.3,70,-2.9
1981,7,334,29,23.9,125,-3.2
1981,8,351,28.9,23.1,104,-3
1981,9,250,31.4,23.3,119,-2.4
1981,10,15,32.2,19.9,86,-2.5
1981,11,4,27.5,14.1,46,-2.4
1981,12,18,25.6,10.9,35,-2.2
1982,1,65,25.2,13.2,66,1.5
1982,2,6,26.4,14,14,1.5
1982,3,5,31.9,17.3,10,1.2
1982,4,2,37.4,23,6,1
1982,5,5,39.1,26.8,8,0.9
1982,6,80,38.1,26.7,78,-0.6
1982,7,370,31.8,24.7,137,-1
1982,8,205,28.6,23,104,-2.6
1982,9,155,31.6,22.2,129,-3
1982,10,23,32.3,20.5,82,-2.7
1982,11,27,27.6,16.4,57,-1.6
1982,12,1,26.9,13.1,32,-1.6
1983,1,6,24.5,10.9,20,-1.8
1983,2,1,27,12.7,9,-1.8
1983,3,1,33.2,18.4,7,-2
1983,4,1,36.3,22.5,5,-1.8
1983,5,3,40.8,27.2,6,-1.8
1983,6,77,38.1,27.6,76,-2.1
1983,7,482,31,24,137,-1.4
1983,8,429,29.1,24,106,-0.6
1983,9,463,30.2,23.4,103,3.3
1983,10,52,29.9,18.8,95,3.7
1983,11,0,28,11.8,56,3.6
1983,12,6,24.7,11.3,31,3
1984,1,55,24.3,11.1,60,3.9
1984,2,10,26.7,11,19,3.8
1984,3,0,36.1,18.4,6,3.1
1984,4,0,39.5,23.8,4,2.6
1984,5,1,43.4,28.2,4,2
1984,6,69,36.9,26.2,68,1.1
1984,7,280,30,23.9,137,-2.1
1984,8,534,27.9,22.2,104,1.5
1984,9,50,29.5,21.8,93,-1.2
1984,10,28,32.2,18.8,81,-1.6
1984,11,0,29.1,13.1,28,-2.6
1984,12,2,26.9,11.8,14,-3.2
1985,1,19,25.3,12.1,25,-3
1985,2,0,28.6,13.2,5,-3
1985,3,2,37.4,19.7,6,-3.1
1985,4,6,39.2,23.7,9,-2.6
1985,5,8,42.5,28.6,9,-2.3
1985,6,76,37.2,26.3,74,-2.8
1985,7,437,29.6,24.2,137,-2.4
1985,8,373,28.5,22.9,111,-2.1
1985,9,181,31,22.5,125,-2.3
1985,10,118,30,18.5,117,2.6
1985,11,0,29.3,14.1,65,3.2
1985,12,5,26.4,13.4,40,3
1986,1,11,25.1,12.2,34,2.9
1986,2,13,27.6,14.1,24,3.1
1986,3,9,34.2,18.8,16,2.9
1986,4,0,39.7,23.8,5,2.5
1986,5,9,41.2,27.3,11,2.4
1986,6,100,37.4,26.3,97,2.1
1986,7,492,29.5,23.2,118,2.5
1986,8,271,29.4,22.4,120,1.1
1986,9,71,32.1,23.3,108,-2.2
1986,10,13,32.3,20,77,-2.9
1986,11,1,30.4,15.5,25,-3.8
1986,12,19,26.1,10.7,29,-3.7
1987,1,25,25.3,11.8,31,-3.2
1987,2,10,29.5,14.3,14,-2.8
1987,3,4,34.4,19.1,8,-2.8
1987,4,0,39.8,23.8,3,-2.7
1987,5,14,40.4,26.7,15,-2
1987,6,79,39.4,27.6,77,-2.2
1987,7,240,32.6,24.4,165,-3.1
1987,8,416,31.2,23.5,124,-3.6
1987,9,131,32.3,23.3,130,-4.1
1987,10,27,33.1,19.9,90,-3.7
1987,11,8,30.9,14.4,53,-3.3
1987,12,32,25.8,11.3,47,-2.6
1988,1,3,26.9,12.7,14,-2.9
1988,2,1,30.5,15.1,7,-2.9
1988,3,2,34.7,19,6,-2.9
1988,4,4,40.3,24.3,7,-2.5
1988,5,1,43.3,29.3,4,-2.5
1988,6,137,38.1,26.6,133,-1.6
1988,7,379,29.4,23.8,109,-1.5
1988,8,282,29.6,23.5,103,-2.2
1988,9,229,31.7,23.8,118,-1.9
1988,10,23,31.9,18.8,91,-1.8
1988,11,2,29.2,14,48,-1.8
1988,12,2,26.7,11.3,20,-2.3
1989,1,6,24.9,10.4,16,-2.6
1989,2,0,29.4,12.8,6,-2.7
1989,3,32,33.2,17.8,34,-1.4
1989,4,0,39.1,22.4,3,-1.4
1989,5,3,43,27.8,5,-1.5
1989,6,95,36.9,25.4,92,-1.4
1989,7,208,31,23.1,126,-2.3
1989,8,330,29.5,22.4,103,-3.5
1989,9,117,31.3,22.7,120,-4.1
1989,10,1,33,19.1,83,-4.4
1989,11,0,30.6,15.2,33,-4.9
1989,12,13,25.5,11.6,27,-4.8
1990,1,1,28.6,12.1,8,-5.1
1990,2,10,27.9,14.8,15,-4.4
1990,3,3,32.3,18,6,-4.3
1990,4,0,39.4,23.7,3,-4.1
1990,5,25,39.6,27,26,-2.7
1990,6,250,35.8,25,183,3.6
1990,7,568,28.6,23.1,112,5
1990,8,413,29.2,23.3,101,5
1990,9,317,29.5,23,101,5.5
1990,10,15,31.7,19.2,81,4.7
1990,11,1,29.5,15.1,46,4
1990,12,27,26.6,12,43,3.8
1991,1,3,24.7,10.5,14,2.8
1991,2,3,29.6,15,10,2.4
1991,3,9,34.3,19.3,13,2.1
1991,4,6,38.1,23.1,9,2.2
1991,5,1,42.3,28.8,4,1.6
1991,6,101,37.3,26.7,98,1.4
1991,7,448,31.6,23.9,129,1.5
1991,8,416,28.5,22.9,104,1.9
1991,9,46,30.9,23.1,100,-1.3
1991,10,1,33.2,19.2,60,-2.9
1991,11,12,28.9,14.9,30,-3.5
1991,12,3,26.1,11.8,12,-4.1
1992,1,1,25.5,11.8,7,-4.5
1992,2,0,27.1,12.9,4,-4.4
1992,3,0,34.6,19.7,4,-4.4
1992,4,0,38.4,23.8,3,-4.1
1992,5,9,41.6,27.7,10,-3.6
1992,6,35,39.3,28,35,-4.6
1992,7,260,31.8,25.4,150,-5.1
1992,8,442,28.5,23.7,111,-4.6
1992,9,302,29.8,22.2,127,-3.4
1992,10,27,31.2,20.3,88,-3
1992,11,5,28.2,15.1,49,-2.7
1992,12,0,26.3,12.2,23,-3
1993,1,0,25.8,12.2,11,-3.3
1993,2,5,29.7,13.7,12,-3.1
1993,3,20,32,18.2,23,-2.3
1993,4,0,38.5,23.7,3,-2.2
1993,5,13,42.2,28.9,15,-1.7
1993,6,103,38.5,27.5,100,-1.5
1993,7,373,30.2,24.6,130,-1.7
1993,8,310,30,23,125,-2.3
1993,9,415,29.3,23.5,102,1.9
1993,10,17,32,20.4,84,1.5
1993,11,0,29.5,14.9,46,1.1
1993,12,2,26.6,10.6,21,-1
1994,1,48,25.6,13.5,53,0.9
1994,2,5,27.4,13.4,11,-0.1
1994,3,0,35.8,19.2,5,-0.4
1994,4,4,37.3,22.5,7,0.2
1994,5,11,42.1,28.3,13,0.5
1994,6,206,35.9,25.4,196,2.3
1994,7,696,27.6,22.8,113,4.4
1994,8,445,27.7,23,103,4.8
1994,9,178,29.6,22.7,115,4
1994,10,17,32.1,19.3,85,3.3
1994,11,1,28.8,14.9,45,2.7
1994,12,0,26.5,11.1,19,1.8
1995,1,48,23.1,10.1,55,2.4
1995,2,2,27.9,13.9,8,2
1995,3,33,31.9,18.1,36,2.8
1995,4,2,37.5,22.9,6,2.6
1995,5,4,40.9,27.9,6,2.2
1995,6,65,39.5,28.3,64,1.1
1995,7,527,30.9,24.6,144,1.7
1995,8,329,29,24.6,116,1
1995,9,220,30.9,23.5,127,0.8
1995,10,20,32.7,21,88,0.6
1995,11,1,29.6,14.8,49,-0.2
1995,12,30,26.6,13.2,44,0.2
1996,1,33,25.8,12.9,42,0.6
1996,2,2,29.8,15,8,-0.2
1996,3,10,35.5,20.9,14,0
1996,4,7,39,23.5,10,0.6
1996,5,2,41.8,28.6,4,-0.3
1996,6,32,37.9,28.3,32,-1.7
1996,7,517,30.9,24.3,126,-0.7
1996,8,399,28.1,23,104,1.1
