Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.5208 North,81.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,26,25.5,10.4,48,0
1958,2,3,28.2,11.7,39,-0.7
1958,3,60,34.1,17.1,78,1.1
1958,4,2,40.1,23.7,14,0.8
1958,5,0,42.9,27.8,8,-0.3
1958,6,46,41.5,28.6,49,-1.5
1958,7,378,31.5,26.3,128,-1.3
1958,8,368,31.2,24.8,111,-1
1958,9,175,29.8,25.2,115,-1.1
1958,10,49,31,19.7,89,0.7
1958,11,9,28.7,12.9,49,0.9
1958,12,1,25.1,10,35,0.8
1959,1,63,24.2,9.2,67,1.9
1959,2,4,27.1,10.6,39,2
1959,3,1,35.3,16.3,30,1.5
1959,4,4,39.1,22.4,18,1.5
1959,5,11,42,27.1,20,1.7
1959,6,41,38.7,28.2,45,0.7
1959,7,289,31.6,25.9,136,-1.3
1959,8,454,30.4,25.2,112,-0.9
1959,9,154,30.4,24.9,113,-1.3
1959,10,96,31.2,20.8,101,2
1959,11,0,28.7,12.4,52,2.1
1959,12,0,26,8.8,38,2.1
1960,1,44,23.7,8.1,58,2.6
1960,2,0,30.7,11.7,39,2.5
1960,3,28,32.4,16.2,57,2.8
1960,4,3,38.3,21.7,18,2.6
1960,5,1,42.6,26.7,10,2.1
1960,6,64,39.7,28.7,67,1.3
1960,7,506,32.2,25.3,125,2.2
1960,8,587,30.1,25.2,107,3.2
1960,9,90,32.1,24,103,1.8
1960,10,49,31.5,18.9,92,2.3
1960,11,0,28.8,10.4,45,1.7
1960,12,0,25.3,8.1,27,1.3
1961,1,43,24.1,9.7,53,1.7
1961,2,7,25.3,10.3,38,1.6
1961,3,2,34.4,17.2,22,0.9
1961,4,3,38.8,22.1,14,0.7
1961,5,2,42.1,27.3,9,-0.1
1961,6,93,37.6,27.1,93,-0.8
1961,7,386,31.6,25.6,124,-0.6
1961,8,504,30.4,25.1,106,0.9
1961,9,267,29.9,24.8,105,1.7
1961,10,61,30.6,18.9,92,2.6
1961,11,7,26.7,12.1,48,2.6
1961,12,6,23.2,6.4,34,2.6
1962,1,22,23.2,6.6,45,2.5
1962,2,10,26.8,11.4,37,2.6
1962,3,19,32.8,15.9,48,2.7
1962,4,13,38.5,21.9,27,3.1
1962,5,2,41.8,26.7,11,2.8
1962,6,41,40.3,28.1,45,1.6
1962,7,386,33,26.2,131,1.5
1962,8,434,30.6,24.5,109,1.9
1962,9,341,29.8,23.9,109,3.3
1962,10,2,31.4,17.2,71,2.4
1962,11,2,29,11.7,42,1.8
1962,12,10,25,9.3,35,1.8
1963,1,26,24.1,6.2,42,1.6
1963,2,8,29.2,11.4,33,1.5
1963,3,15,32.4,15.5,33,1.2
1963,4,9,36.7,21.3,19,1.3
1963,5,5,40.3,26,12,1.3
1963,6,107,37.1,26.6,107,1.1
1963,7,554,32.3,24.8,121,2.3
1963,8,441,30.3,25,101,2.7
1963,9,240,31.2,23.2,119,2.8
1963,10,21,32.3,19.7,81,2.4
1963,11,3,29.2,15,49,1.9
1963,12,2,26,8.2,31,1.5
1964,1,1,24,7.5,32,-1.3
1964,2,4,27.6,11.5,28,-1.7
1964,3,14,35.5,17.4,26,-1.9
1964,4,2,39.5,23.4,10,-2.1
1964,5,4,41.4,25.9,9,-2
1964,6,84,38.9,27.4,84,-2.1
