Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.8542 North,78.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,5,25.7,12.8,31,0
1958,2,1,27.8,13.3,13,-0.4
1958,3,5,33.3,18.4,12,-0.6
1958,4,2,38.9,24.5,6,-0.6
1958,5,1,41.7,27.7,5,-0.9
1958,6,80,40.5,27.2,79,-1.4
1958,7,518,29.4,24.1,117,1
1958,8,416,29.8,23.1,104,1
1958,9,230,28,23.7,109,1.3
1958,10,150,29.6,19.4,123,3.7
1958,11,9,27.4,15.5,65,4.3
1958,12,0,24.1,13.1,38,4.1
1959,1,31,24.5,11.6,48,4.3
1959,2,4,27.2,12.6,20,4
1959,3,0,35.1,17.7,9,3.3
1959,4,7,38.2,23.1,12,3.2
1959,5,19,41,27.1,22,3.3
1959,6,116,37.4,26.9,113,3
1959,7,371,29.4,23.5,124,2.7
1959,8,621,28.3,22.8,99,3.5
1959,9,356,28.5,23.4,105,4.8
1959,10,44,30.2,20.6,85,4.6
1959,11,1,27.4,14.8,46,4.4
1959,12,0,25.4,11.9,28,3.8
1960,1,76,23.6,10,73,5.1
1960,2,0,30.6,12.9,14,4.6
1960,3,14,31.5,17.6,21,4.3
1960,4,4,37.5,22.9,9,4
1960,5,3,41.8,26.8,6,3.3
1960,6,80,38.2,26.8,79,2.4
1960,7,350,30.9,23.4,121,2.1
1960,8,797,27.8,22.5,102,3.9
1960,9,68,31,22.5,98,2.5
1960,10,113,30.6,18.7,115,3.8
1960,11,0,27.7,12.9,48,3.7
1960,12,1,25.7,12.6,28,3.2
1961,1,36,24.6,12.1,46,3.4
1961,2,2,24.7,12,11,2.8
1961,3,3,33.9,18.5,8,2.2
1961,4,7,37.8,22.8,11,2.2
1961,5,8,40.9,27,11,1.9
1961,6,97,36.6,25.6,94,1.4
1961,7,447,29.5,23.4,113,1.9
1961,8,486,28.5,22.9,106,2.1
1961,9,407,28.2,23.3,93,4
1961,10,142,29.1,18.6,120,6
1961,11,13,25.5,14.9,59,6.4
1961,12,8,22.6,9.4,41,6.3
1962,1,14,23.6,8.7,38,6.1
1962,2,14,26.5,12.9,33,6.1
1962,3,11,31.9,17.2,21,5.7
1962,4,19,37.3,22.4,24,6
1962,5,7,40.8,26.3,11,5.4
1962,6,39,39.1,25.9,40,3.7
1962,7,398,30.7,23.9,119,3.5
1962,8,705,29.2,22.5,106,4.7
1962,9,412,28.4,22.7,108,6.3
1962,10,1,30.2,17,79,5
1962,11,4,27.7,14.3,39,4.3
1962,12,35,24.2,12.5,47,4.2
1963,1,26,24.7,8.5,34,4
1963,2,14,28.9,13.1,19,3.6
1963,3,3,31.9,16.5,7,2.9
