Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.1875 North,77.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,27.5,12.1,25,-0.1
1958,2,0,29.7,13,9,-0.3
1958,3,3,35,17.8,9,-0.6
1958,4,1,40.2,23.7,5,-0.6
1958,5,6,42.2,27.6,9,-0.6
1958,6,71,39.5,26.6,70,-0.9
1958,7,481,28.7,23.4,118,0.6
1958,8,414,29.6,23.2,107,1
1958,9,346,28.1,22.7,105,1.6
1958,10,52,30.7,18.4,101,2.1
1958,11,28,29.3,14,66,2.8
1958,12,0,26.4,11.9,36,2.3
1959,1,21,26,11.1,36,2.4
1959,2,1,29.2,12.3,10,2
1959,3,0,36.4,17.5,6,1.5
1959,4,2,39.4,22.3,6,1.4
1959,5,10,41.6,27.1,12,1.4
1959,6,86,37,26.2,84,1.3
1959,7,613,28.6,22.7,121,2.7
1959,8,410,27.8,22.5,100,2.9
1959,9,574,28.5,22.5,104,4.9
1959,10,80,31.1,19.5,100,5.9
1959,11,10,29.2,13.4,60,6.1
1959,12,0,27.4,10.9,38,5.5
1960,1,50,25.2,9.5,61,6.6
1960,2,0,32.5,12.6,16,6.2
1960,3,8,33,16.9,17,5.7
1960,4,1,38.7,21.8,7,5.3
1960,5,7,41.8,26.3,11,4.8
1960,6,106,37.4,25.8,103,4.7
1960,7,355,30.1,23,122,3.8
1960,8,436,27.5,22.2,103,4.2
1960,9,124,31,22.3,119,2.8
1960,10,58,31.7,18,100,3.3
1960,11,0,29.5,11.9,54,3.1
