Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.1042 North,79.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,6,26.6,12.7,40,-0.2
1958,2,4,29.6,13.5,27,-0.7
1958,3,15,34.2,17.8,27,-0.9
1958,4,18,38.6,23.1,24,-0.7
1958,5,2,41.9,26.9,7,-1
1958,6,112,38.9,25.8,110,-1.7
1958,7,391,27.6,22.8,108,-1.5
1958,8,379,29,22.4,101,-0.8
1958,9,267,27.1,22.8,106,1.2
1958,10,77,28.6,18.6,98,1.9
1958,11,29,27.6,13.9,66,2.7
1958,12,0,25.4,11.8,39,2.2
1959,1,25,25.7,11.9,50,2.5
1959,2,5,29.2,12.9,33,2.2
1959,3,1,35.7,17,15,1.4
1959,4,32,38.1,21.9,39,1.9
1959,5,21,41.4,26.5,26,2
1959,6,191,35.5,25.1,171,2.1
1959,7,416,27.6,22.2,115,2.3
1959,8,311,27.5,22.1,96,1.9
1959,9,329,27.6,22.5,102,2.9
1959,10,66,29,19.6,85,3.3
1959,11,0,27.3,12.9,51,3.2
1959,12,0,26.6,10.6,35,2.6
1960,1,58,25.1,10.5,65,3.7
1960,2,0,31.8,12.4,35,3.4
1960,3,43,32.4,17,56,3.5
1960,4,25,37.4,21.6,33,3.5
1960,5,5,41.8,25.8,11,3
1960,6,146,36.2,24.9,143,2.3
1960,7,483,29,22.1,106,2.9
1960,8,293,27.3,22,102,2.2
1960,9,103,30,21.6,106,1.1
1960,10,73,29.4,17.8,93,1.7
1960,11,0,27.7,11.2,53,1.7
1960,12,1,26.9,11.3,36,1.2
1961,1,13,26,12.4,39,1.1
1961,2,6,26.8,12.2,25,0.7
1961,3,9,34.9,18.1,19,-1
1961,4,13,38,21.9,19,-0.9
1961,5,16,41,26.1,20,-0.6
1961,6,158,34.7,23.8,153,-0.7
1961,7,489,27.5,22,102,0.9
1961,8,409,27.8,22.3,101,1.7
1961,9,506,27,22.1,95,4.4
1961,10,71,28.1,17.8,94,4.7
1961,11,4,25.6,13.1,51,4.5
1961,12,31,24.6,8.9,51,4.4
1962,1,5,24.7,8.8,39,4.1
1962,2,18,28.3,12.8,44,4
1962,3,46,33,16.8,58,4.1
1962,4,35,37.2,21.1,41,4.4
1962,5,19,40.9,25.4,24,4.3
1962,6,63,37.1,24.1,64,2.5
1962,7,365,28.8,22.6,116,2.1
1962,8,364,28.4,21.9,100,2.2
1962,9,337,27.6,21.9,103,3.3
1962,10,3,29.3,16.3,74,2.3
1962,11,9,27.6,12.4,44,2
