Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.3125 North,81.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,17,26.9,11.4,46,-0.2
1958,2,6,29.2,12.8,43,-0.7
1958,3,44,34.8,16.8,69,0.4
1958,4,8,39.6,23.3,21,-0.1
1958,5,0,42.9,28.4,9,-0.8
1958,6,57,40.6,28.4,61,-1.7
1958,7,430,30,24.5,112,-1.1
1958,8,359,30.1,23.8,107,-0.7
1958,9,212,29.2,23.5,107,1
1958,10,63,29.9,18.9,90,1.9
1958,11,8,28.2,13,51,2.3
1958,12,1,25.9,10.2,37,2.1
1959,1,47,25.5,10.5,60,2.8
1959,2,5,28.6,11.6,43,2.5
1959,3,1,35.3,16.7,35,1.8
1959,4,13,38.9,22.2,29,2
1959,5,14,42.1,27.7,24,2.1
1959,6,78,37.3,27.8,81,1.5
1959,7,376,29.9,24.2,117,1.2
1959,8,376,29.1,23.7,99,1.6
1959,9,210,29.3,23.5,102,1.9
1959,10,71,30,19.8,86,3
1959,11,0,28.2,12.2,48,3.1
1959,12,0,26.4,9.3,37,2.9
1960,1,59,25.1,9.2,64,3.9
1960,2,0,31.5,12,41,3.4
1960,3,41,32.6,16.4,74,3.9
1960,4,9,38.8,21.5,30,3.7
1960,5,2,42.4,27.2,14,3.2
1960,6,76,38.2,27.9,80,2.3
1960,7,505,30.5,24,106,3.3
1960,8,452,28.8,23.7,98,4
1960,9,89,31.1,22.9,100,2.4
1960,10,51,30.5,18,87,2.8
1960,11,0,28.1,10.5,46,2.5
1960,12,0,26.5,8.9,31,2
1961,1,32,25.9,10.8,48,2.1
1961,2,14,26.5,11.1,43,2
1961,3,5,34.4,17.9,31,1.3
1961,4,6,38.9,22.1,20,1.1
1961,5,7,42.2,27.5,15,1
1961,6,106,36.4,26.4,107,1
1961,7,442,29.7,23.8,103,1.5
1961,8,448,29.4,23.8,100,2.3
1961,9,335,28.9,23.2,94,4.3
1961,10,60,29.4,18.1,88,4.8
1961,11,2,26.7,11.7,47,4.6
1961,12,8,24.5,6.8,37,4.5
1962,1,12,24.6,7.6,41,4
1962,2,20,28.1,11.8,46,4
1962,3,29,33.6,15.7,60,4.1
1962,4,21,38,21.5,38,4.4
1962,5,7,41.6,27,18,4.1
1962,6,45,38.6,27.4,50,2.6
1962,7,371,31,24.6,119,2.2
1962,8,393,29.5,23.3,104,2.6
1962,9,307,29.2,22.8,105,4
1962,10,3,29.9,17,69,3
1962,11,2,28.4,11.6,41,2.5
1962,12,22,25.8,9.5,43,2.8
1963,1,13,25.2,7.6,37,2.4
1963,2,18,30.2,11.9,44,2.3
1963,3,20,33.1,15.7,45,1.9
1963,4,19,36.7,20.8,31,2.2
1963,5,8,40.6,26.3,17,2
1963,6,121,36,26.2,121,2
1963,7,448,30.5,23.6,114,2.4
1963,8,400,29.2,23.6,95,2.8
1963,9,225,30,22.6,113,3
1963,10,41,30.9,19,84,3.1
1963,11,0,28.9,14.5,49,2.9
1963,12,1,26.2,9.3,34,2.4
1964,1,0,25.3,9.5,36,1.5
1964,2,6,28.8,12.7,37,0.9
1964,3,16,35.5,17.7,34,-1.5
1964,4,2,39.2,23.5,13,-1.8
1964,5,5,41.5,26.7,12,-1.8
1964,6,100,37.4,27.2,100,-1.8
1964,7,360,29.6,23.7,117,-1.8
1964,8,460,29.5,23.7,98,-0.6
1964,9,167,30.1,22.9,108,-0.7
1964,10,17,31.1,19.2,78,-1
1964,11,3,27.9,11.1,48,-1
1964,12,0,26.2,9.2,36,-1.3
1965,1,18,26.2,10.7,42,-1.4
1965,2,3,28.9,12.1,34,-1.9
1965,3,37,33.3,15.9,51,-1.6
1965,4,18,36.8,21.6,27,-1.1
1965,5,2,42,27.8,9,-1.3
1965,6,65,39,28,66,-2.1
1965,7,250,30.9,24.6,124,-3
1965,8,176,30.7,24,125,-4.3
1965,9,179,30.1,22.7,116,-4.9
1965,10,14,31.2,19.5,73,-4.8
1965,11,0,29,12.7,43,-4.6
1965,12,3,25.3,9.8,31,-4.4
1966,1,12,25.4,10,34,-4.3
1966,2,3,30.5,13.8,28,-4.6
1966,3,7,34.6,16.2,20,-4.9
1966,4,3,38.9,22.5,12,-4.7
1966,5,14,42.4,27.1,19,-4.1
1966,6,156,37.1,27.4,152,-3
1966,7,305,32.6,25.2,132,-3.4
1966,8,192,29.7,23.7,112,-4.6
1966,9,83,31.1,23.5,108,-5.5
1966,10,3,32.3,19.4,71,-5.9
1966,11,19,28.7,15,54,-5.4
1966,12,12,26.1,8.2,36,-5
1967,1,1,25.3,9.5,26,-5.3
1967,2,0,31,12.7,19,-5.6
1967,3,107,31.4,16.4,107,-3.1
1967,4,6,37.4,21.1,15,-2.9
1967,5,2,42.5,27.4,9,-3
1967,6,90,38.5,27.6,91,-2.9
1967,7,419,30.8,24.5,123,-2.4
1967,8,451,28.9,23.4,99,-1.1
1967,9,165,29.4,22.9,109,-1.2
1967,10,3,31.6,18.5,69,-1.7
1967,11,0,28.6,12.6,43,-1.8
1967,12,38,26.6,10.7,51,1.4
1968,1,28,24,9.7,46,1.6
1968,2,17,27.6,11.3,41,1.6
1968,3,26,33.5,16,57,1.7
1968,4,11,37.4,20.4,26,1.8
1968,5,0,41.7,26.4,10,1.4
1968,6,76,36.8,26.8,78,0.8
1968,7,389,30.4,24,115,0.8
1968,8,234,29.5,23.3,115,-1.2
1968,9,177,31.7,22.9,120,-1.3
1968,10,17,30.6,18.2,73,-1.4
1968,11,0,28.8,12.4,42,-1.4
1968,12,3,26.1,9.4,36,-1.4
1969,1,5,25.7,9.5,34,-1.6
1969,2,2,29.8,13.3,32,-1.9
1969,3,4,35.1,18.8,24,-2.3
1969,4,1,38.7,22.3,13,-2.4
1969,5,18,40.7,26.5,25,-1.6
1969,6,41,37.7,27.6,45,-2.5
1969,7,605,30.3,23.6,104,2.1
1969,8,326,29.1,23,104,1.9
1969,9,192,29.5,22.8,104,1.9
1969,10,0,31.7,18.8,67,1.1
1969,11,6,29.7,14.1,47,0.9
1969,12,0,26.5,8.9,28,-0.3
1970,1,41,25.1,10.9,52,0.6
1970,2,29,27.8,12.8,48,1.1
1970,3,45,32.3,17.3,68,1.9
1970,4,0,38.8,23.1,20,1.6
1970,5,14,42.3,27.9,25,1.8
1970,6,157,35,25.3,152,2.6
1970,7,377,30.9,23.8,122,2.2
1970,8,450,29.5,23.9,107,3
1970,9,349,29.1,23.3,104,4.9
1970,10,12,30.8,19.2,71,4.1
1970,11,0,27.7,11.1,42,3.5
1970,12,0,25.8,8.3,28,2.9
1971,1,30,24.2,10.1,45,2.9
1971,2,11,28.3,11.5,38,2.6
1971,3,15,33.3,15.1,43,2.4
1971,4,15,37.3,21.9,29,2.5
1971,5,21,39.4,25.6,29,3
1971,6,240,33.2,24.9,149,5
1971,7,293,28.7,23.4,109,4.5
1971,8,411,28.7,23.6,106,4.7
1971,9,164,30,23,111,4
1971,10,83,29.6,18.9,94,5.1
1971,11,0,27.5,11.2,49,5.1
1971,12,0,25.7,7.8,39,4.7
1972,1,10,25,9.2,36,4.2
1972,2,22,26.5,10.5,47,4.2
1972,3,0,33.4,16.7,40,3.7
1972,4,5,37.6,21.8,23,3.4
1972,5,1,42.7,27.3,12,2.8
1972,6,40,39.7,28.2,45,1.3
1972,7,203,31.4,24.7,131,-2.7
1972,8,363,29.1,23.6,110,-3.3
1972,9,97,31.2,21,109,-4.2
1972,10,47,31.1,17.8,79,-3.2
1972,11,9,28.1,11.6,45,-2.5
1972,12,1,26.4,9.9,37,-2.3
1973,1,4,26.1,10.5,34,-2.5
1973,2,21,29.6,13.5,45,-2.1
1973,3,0,33.7,16.9,25,-2.4
1973,4,2,40.6,24,15,-2.4
1973,5,1,43.2,28.8,9,-2.4
1973,6,37,37.2,28,42,-3.3
1973,7,549,30.4,24.4,116,-1.5
1973,8,436,29.1,23.8,105,2.2
1973,9,197,29.3,23.3,106,2.2
1973,10,67,29.4,19.3,88,3.1
1973,11,0,27.3,11.5,46,3.1
1973,12,2,24.8,8.7,40,3
1974,1,0,24.6,8.4,34,2.2
1974,2,3,28.2,11.3,36,1.8
