Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.4375 North,76.2708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,27.5,11.6,17,0.7
1958,2,0,30,12.5,4,-0.1
1958,3,3,35.6,17.7,6,-0.2
1958,4,1,40.2,23.6,4,0
1958,5,7,42.2,27.4,8,0
1958,6,82,39.7,26.6,80,-0.3
1958,7,385,29.3,23.7,124,0.8
1958,8,331,29.9,23.3,108,1.4
1958,9,349,28.3,22.7,100,2.7
1958,10,35,31.5,18.5,93,2.8
1958,11,32,29.9,13.7,61,3.4
1958,12,0,26.9,11.7,11,3
1959,1,25,26,10.5,30,3.4
1959,2,0,29.6,11.9,4,2.9
1959,3,0,36.9,17.3,3,2.3
1959,4,4,39.4,22.2,6,2.2
1959,5,9,41.7,26.9,10,2.1
1959,6,88,37.3,26.4,85,1.8
1959,7,529,29.1,22.8,122,3.7
1959,8,304,28,22.4,103,3.8
1959,9,505,28.8,22.5,101,6.3
1959,10,78,31.8,19.5,100,7.3
1959,11,17,30,13.2,61,8.1
1959,12,0,27.8,10.6,23,7.7
1960,1,42,25.3,8.9,50,8.5
1960,2,0,32.9,12.1,6,7.6
1960,3,8,33.4,16.7,12,6.9
1960,4,2,38.7,21.6,5,6.3
1960,5,10,41.9,26.1,12,5.9
1960,6,136,37.6,26,130,6.1
1960,7,250,30.8,23.4,130,4.9
1960,8,325,27.8,22.2,105,4.9
1960,9,112,31.3,22.3,115,3.5
1960,10,39,32.5,18.1,95,3.6
1960,11,0,30.3,11.7,26,2.9
1960,12,0,28.4,11.6,11,2.3
1961,1,22,26.3,10.7,27,2.6
1961,2,1,27.4,10.9,4,2.3
1961,3,1,36,18,3,1.7
1961,4,2,38.9,21.7,4,1.5
1961,5,11,41.4,26.6,12,1.6
1961,6,59,36.6,25.2,58,0.8
1961,7,335,29.4,23.1,118,1.1
1961,8,214,28.7,22.9,115,-1.2
1961,9,607,28.4,22.1,101,3.8
1961,10,74,30.8,17.6,103,4.9
1961,11,12,28.8,13.5,52,5.6
1961,12,8,25.5,8.4,28,5.7
1962,1,8,25.3,7.6,17,5.2
1962,2,0,29.6,12.1,6,4.7
1962,3,23,34.3,16.7,26,5
1962,4,6,38.8,21.7,8,4.8
1962,5,6,41.8,26.4,7,4.3
1962,6,27,38.6,25.6,27,2.3
1962,7,403,30.5,23.5,124,3
1962,8,214,29.3,22.6,119,1.8
1962,9,459,29.2,22.2,110,4
1962,10,1,31.9,16,84,3
1962,11,24,30.4,12.9,38,2.7
1962,12,31,26.6,11.2,37,3.3
1963,1,11,26.5,8.1,15,3
1963,2,4,31.7,12.5,7,2.8
1963,3,4,34.6,16.3,6,2.3
1963,4,1,37.3,21,3,2
1963,5,4,40.5,25.8,5,1.6
1963,6,67,36.7,25.3,65,0.8
1963,7,306,31.1,23.1,127,0.6
1963,8,306,28.3,22.4,103,1
1963,9,180,29.9,21.4,115,0.6
1963,10,36,32.8,18.5,101,1
1963,11,16,30.5,15.5,41,1
1963,12,1,27.8,10.3,11,0.6
1964,1,0,25.4,8.3,6,-0.4
1964,2,0,30.1,12,4,-0.8
1964,3,12,37,18.1,15,-0.5
1964,4,0,40.4,23.4,2,-0.6
1964,5,7,41.3,26,8,-0.6
1964,6,151,37.5,25.6,144,1
1964,7,306,30.1,23.3,122,0.9
1964,8,267,28.9,22.7,101,0.8
1964,9,228,30.4,22,115,0.9
1964,10,8,33.2,18.5,90,-0.3
1964,11,0,30,11.6,16,-1.2
1964,12,0,27.4,10,8,-1.6
1965,1,19,27.4,11.2,23,-1.1
