Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.6875 North,76.6875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,6,25.7,9.4,11,1.5
1958,2,0,28.7,9.8,4,1.3
1958,3,2,34.9,16.8,5,1
1958,4,0,40.4,23.4,2,0.8
1958,5,1,43.2,27.4,3,-0.3
1958,6,26,42.7,28.9,26,-1.1
1958,7,394,32.5,26.2,123,2
1958,8,305,32.1,25.1,115,2.2
1958,9,254,30.4,24.5,115,4.4
1958,10,11,31.8,18.5,75,4.7
1958,11,7,29.1,11.4,33,5.1
1958,12,1,25.7,9.8,12,4.6
1959,1,13,23.9,7.6,18,4.5
1959,2,0,27.9,9,4,4
1959,3,0,36.3,16,3,3.2
1959,4,1,39.2,21.6,3,2.9
1959,5,19,42.4,26.8,20,3.4
1959,6,48,40.7,29.5,47,3.2
1959,7,329,32.6,25.6,134,3.9
1959,8,354,30.6,24.6,112,4.4
1959,9,201,31.1,24.5,112,5.5
1959,10,16,32.7,19.9,76,5.8
1959,11,4,29.4,11,34,6.2
1959,12,0,26.6,8.4,11,5.5
1960,1,7,23.6,6.7,13,5
1960,2,0,32.3,10.4,4,4.5
1960,3,10,32.8,15.6,13,4.3
1960,4,1,38,20.7,3,3.9
1960,5,8,43.1,26.4,9,3.6
1960,6,39,41.4,29.2,39,3
1960,7,223,33.9,25.5,147,2.3
1960,8,451,30.3,24.6,111,3.5
1960,9,52,33.7,23.9,102,2.1
1960,10,19,33,18,54,1.5
1960,11,0,29.8,9.2,12,0.9
1960,12,5,26.5,8.7,12,0.8
1961,1,36,23.9,8,38,2.1
1961,2,2,25.7,8.4,5,1.9
1961,3,0,35,16.5,2,1.3
1961,4,1,38.3,20.8,3,1.2
1961,5,3,42.6,27,4,0.9
1961,6,32,39.7,28.1,31,-0.4
1961,7,217,32.8,25.6,133,-1
1961,8,371,30.8,24.8,121,0.5
1961,9,331,30.9,24.4,107,4.4
1961,10,22,31.6,17.9,88,5
1961,11,4,27.3,10.9,29,5.2
1961,12,7,23.8,5.9,17,5.1
1962,1,6,23.4,5.3,12,4.5
1962,2,0,28.2,10.1,4,4
1962,3,10,33.6,15.7,12,3.8
1962,4,2,39.1,21.6,4,3.5
1962,5,2,42.9,26.9,3,2.9
1962,6,6,42.1,28.4,7,1.2
1962,7,339,34.1,26.3,137,2.2
1962,8,291,31.6,24.6,124,2.1
1962,9,206,30.9,23.8,124,3.4
1962,10,0,32.2,16.1,73,3.5
1962,11,3,29.8,10.6,24,3.4
1962,12,8,25.2,8.7,17,3.3
1963,1,5,24.7,5.5,10,2.9
1963,2,1,30.6,10.4,5,2.6
1963,3,3,33.7,15.3,5,2.1
1963,4,1,37.2,20.9,3,1.9
1963,5,3,41.4,26,4,1.5
1963,6,23,39.8,28.4,23,-1.2
1963,7,210,34.9,26,138,-1.6
1963,8,379,30.7,24.8,113,-0.8
1963,9,156,32,23,129,1.1
1963,10,3,33.8,19,81,1.5
1963,11,3,29.9,13.8,20,1.3
1963,12,3,26.3,7.8,11,1.1
1964,1,0,23.1,5.4,5,0.6
1964,2,0,28.3,9.5,3,-0.1
1964,3,3,36.6,17.3,5,-0.8
1964,4,0,40,22.8,2,-0.8
1964,5,16,42,25.6,16,0.6
1964,6,39,40.6,28.6,38,-0.2
1964,7,250,32.7,25.5,132,0
1964,8,344,31.3,25,115,0.9
1964,9,125,31.2,24.2,123,0.8
1964,10,1,33.5,18.2,79,1.3
1964,11,0,29.5,9.1,15,1
1964,12,2,25.9,7.8,9,0.6
1965,1,5,26,9.2,10,-0.2
1965,2,2,28.5,9.6,5,-0.5
1965,3,5,33.3,15.2,7,-0.6
1965,4,1,36.3,20.6,3,0
1965,5,1,41.7,26.6,3,-0.3
1965,6,16,41.8,29.5,16,-1.4
1965,7,242,34,26.3,154,-1.6
1965,8,118,32.4,24.4,127,-3
1965,9,119,32.7,23.1,125,-2.9
1965,10,10,33.8,19.7,32,-3.7
1965,11,0,30.7,11.9,10,-3.8
1965,12,2,25.9,7.1,7,-3.8
1966,1,2,25.5,7.8,6,-3.8
1966,2,1,30.8,12.1,4,-3.6
1966,3,1,34.4,14.9,3,-3.6
1966,4,0,38.7,21.4,2,-3.3
1966,5,7,42.6,26.5,8,-3
1966,6,71,39.7,28.2,69,-1.9
1966,7,165,35.9,26.3,157,-2.8
1966,8,301,31.2,24.3,131,-3.6
1966,9,48,32.9,23.5,110,-4.4
1966,10,2,35,19.1,29,-5.3
1966,11,8,28.7,13.4,18,-5.1
1966,12,0,26.3,6.1,6,-5
1967,1,0,24,5.3,4,-4.9
1967,2,0,31.6,10.4,3,-4.5
1967,3,38,32,15.6,39,-2.2
1967,4,0,37.5,20.7,2,-2.1
1967,5,0,42.7,26.4,2,-2.2
1967,6,58,40.9,28.4,56,-1.6
1967,7,255,33.6,25.9,146,-1.6
1967,8,428,30.3,24.4,115,2.4
1967,9,187,31.2,23.1,118,3.4
1967,10,3,34,18.1,75,3.5
1967,11,0,29.3,12.2,22,3.3
