Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.5208 North,80.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,15,26.5,10.7,44,-0.2
1958,2,4,29,11.6,41,-0.7
1958,3,34,34.1,16.3,62,0.2
1958,4,6,39.7,22.9,20,-0.6
1958,5,0,42.9,27.8,10,-0.8
1958,6,60,40.7,27.9,63,-1.7
1958,7,459,29.4,24.3,111,-1.2
1958,8,394,29.8,23.4,101,-0.8
1958,9,218,28.3,23.8,105,0.3
1958,10,63,29.4,17.9,89,1.8
1958,11,10,27.7,11.6,50,2.3
1958,12,1,25.2,9.3,37,1.9
1959,1,47,25.4,9.6,60,2.5
1959,2,5,28.2,10.5,42,2.4
1959,3,1,35.5,15.5,39,1.9
1959,4,11,39.1,21.6,28,2
1959,5,11,42.3,27.3,21,2.1
1959,6,83,37.4,27.5,86,1.6
1959,7,404,29.5,23.8,116,1.3
1959,8,433,28.6,23.4,94,1.8
1959,9,243,28.7,23.5,100,2.3
1959,10,66,29.7,18.9,84,3.2
1959,11,0,27.5,10.7,47,3.3
1959,12,0,26.3,8.1,36,2.8
1960,1,69,24.8,8.3,68,4
1960,2,0,31.5,10.7,41,3.7
1960,3,29,32.3,15.6,68,4
1960,4,8,38.4,21.2,29,3.8
1960,5,1,42.8,26.7,14,3.3
1960,6,77,38.3,27.4,81,2.5
1960,7,546,30.4,23.3,107,3.2
1960,8,509,28.3,23.3,94,4
1960,9,87,31.1,22.6,98,2.4
1960,10,55,30.2,17,88,3
1960,11,0,27.9,8.9,45,2.7
1960,12,0,25.9,8.1,31,2
1961,1,33,25.5,10.1,48,2.1
1961,2,7,26,10,39,1.9
1961,3,5,34.6,16.6,32,1.2
1961,4,6,38.8,21.4,20,1.1
1961,5,5,42.3,27.2,14,1
1961,6,96,36.5,26.1,98,0.8
1961,7,502,29.3,23.5,104,1.5
1961,8,483,28.8,23.5,97,2.2
1961,9,379,28.3,23.3,90,4.3
1961,10,63,29,17.2,89,5
1961,11,4,25.6,10.7,46,4.9
1961,12,14,23.8,5.8,39,4.7
1962,1,13,24.5,6.7,41,4.2
1962,2,16,27.7,11,43,4.2
1962,3,25,32.9,15.3,59,4.4
1962,4,20,38.3,20.9,40,4.8
1962,5,5,42,26.5,17,4.5
1962,6,39,39.2,26.6,45,2.9
1962,7,418,30.8,24.3,117,2.6
1962,8,461,29.2,22.9,100,3.1
1962,9,343,28.6,22.8,101,4.6
1962,10,2,29.9,15.5,69,3.5
1962,11,3,27.8,10.2,40,3
1962,12,43,25.2,8.7,53,3.6
1963,1,16,25.4,6.5,40,3.2
1963,2,15,29.9,11,44,3.1
1963,3,11,32.9,14.7,42,2.6
1963,4,16,36.5,20.4,31,2.9
1963,5,5,40.7,26,15,2.6
1963,6,123,36.1,25.8,124,2.5
1963,7,495,30.5,22.9,112,2.8
1963,8,414,28.6,23.3,92,3
1963,9,253,29.8,22.2,112,3.3
1963,10,31,30.8,17.7,81,3.1
1963,11,1,28,13.4,47,2.8
1963,12,2,26.1,7.8,34,2.1
1964,1,0,25.3,8.2,35,1.2
1964,2,4,28.7,11.3,35,-1.5
1964,3,18,35.6,16.7,35,-1.8
1964,4,1,39.7,22.7,12,-2.1
1964,5,4,42,26.4,11,-2.1
1964,6,95,37.6,26.8,96,-2.1
1964,7,393,29.4,23.4,115,-2
1964,8,480,29.1,23.5,94,-0.9
1964,9,171,29.9,22.5,106,-1.1
1964,10,14,31.3,17.8,78,-1.3
1964,11,1,27.9,9.2,46,-1.4
1964,12,0,25.9,8,36,-1.8
1965,1,20,26,9.8,43,-1.9
1965,2,2,28.6,11.1,34,-2.4
1965,3,29,33,15.2,44,-2.2
