Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.5208 North,77.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,26.5,12,21,0
1958,2,0,28.9,13,7,-0.3
1958,3,4,34.8,18.3,8,-0.2
1958,4,1,40.3,24.4,5,-0.1
1958,5,4,42.7,28.2,6,-0.6
1958,6,67,40.4,27.4,66,-1
1958,7,522,29.4,24.2,118,0.9
1958,8,376,30,23.7,106,1
1958,9,260,28.8,23.9,110,1.5
1958,10,69,30.8,19.2,106,2.6
1958,11,18,29,14.6,61,3.4
1958,12,0,25.6,12.3,27,2.9
1959,1,27,25.1,10.9,37,3
1959,2,1,28.4,12.3,8,2.6
1959,3,0,36.2,17.7,4,2
1959,4,3,39.5,23,6,1.9
1959,5,12,42.1,27.7,14,1.9
1959,6,91,37.8,27.1,89,1.8
1959,7,528,29.3,23.5,124,2.6
1959,8,442,28.5,23.1,100,3.3
1959,9,425,29.4,23.7,107,5.2
1959,10,54,31.3,20.3,91,5.6
1959,11,5,29.1,14.1,51,5.6
1959,12,0,26.6,11.1,26,5
1960,1,69,24.3,9.3,68,6.3
1960,2,0,31.9,12.7,10,5.7
1960,3,9,32.9,17.5,15,5.2
1960,4,3,38.8,22.5,7,4.8
1960,5,5,42.5,27.2,8,4.3
1960,6,88,38.4,27,86,3.7
1960,7,381,30.8,23.7,123,3.2
1960,8,508,28.1,22.8,104,4.5
1960,9,88,31.7,23.1,107,3
1960,10,62,31.7,18.5,96,3.6
1960,11,0,29.3,12.3,44,3.3
1960,12,2,26.9,11.8,17,2.5
1961,1,27,25.3,11.2,34,2.5
1961,2,1,26.2,11.5,6,2.1
1961,3,2,35.2,18.5,5,1.5
1961,4,2,39,22.6,5,1.4
1961,5,7,42,27.5,9,1.3
1961,6,65,37.1,25.9,63,0.7
1961,7,490,29.4,23.5,114,1.3
1961,8,348,28.9,23.4,110,1
1961,9,529,28.9,23.3,102,4.2
1961,10,82,30.2,18.3,108,5.4
1961,11,11,27.5,14.2,56,5.9
1961,12,12,24.2,8.8,39,5.8
1962,1,11,24.4,8,26,5.3
1962,2,4,28.3,12.6,12,4.9
1962,3,17,33.4,17.2,21,4.8
1962,4,7,38.8,22.4,10,4.7
1962,5,6,42.1,27.1,8,4.2
1962,6,29,39.3,26.4,30,2.4
1962,7,486,30.7,24.2,122,2.8
1962,8,442,29.4,23,112,3.3
1962,9,431,29.4,23,113,5.2
1962,10,2,31.2,16.7,83,4.2
1962,11,11,29.4,13.6,40,3.5
1962,12,51,25.5,11.8,58,4.1
1963,1,17,25.3,8.1,25,3.8
1963,2,8,30.4,12.9,13,3.5
1963,3,3,33.5,16.6,7,2.9
1963,4,3,36.9,21.5,6,2.6
1963,5,6,40.7,26.4,8,2.3
1963,6,82,36.8,25.6,79,1.8
1963,7,385,30.8,23.2,116,1.5
1963,8,311,28.5,22.9,103,0.9
1963,9,275,30.3,22.4,121,1.5
1963,10,28,32.3,19.3,91,1.5
1963,11,5,29.6,16.6,46,1.4
1963,12,1,26.6,10.7,16,0.7
1964,1,0,24.7,9,8,-1.1
1964,2,1,29,12.7,6,-1.2
1964,3,16,36.4,18.8,18,-0.9
1964,4,0,40.4,24.2,3,-0.9
1964,5,10,41.7,26.7,11,-0.7
1964,6,120,38,26.5,115,0.5
1964,7,401,30.1,23.9,123,0
1964,8,384,29.1,23.3,98,0.9
1964,9,182,30.8,22.9,116,0.6
1964,10,8,32.8,19.3,86,-0.4
1964,11,0,29.2,12.4,31,-1.1
1964,12,0,26.3,10.7,13,-1.7
1965,1,18,26.2,11.4,24,-1.6
1965,2,1,28.8,12.7,5,-1.7
1965,3,5,33.5,17,8,-1.8
1965,4,4,37.3,22.5,7,-1.4
1965,5,1,42,27.9,3,-1.6
1965,6,52,39,27.2,51,-2.3
1965,7,294,30.8,24.3,125,-2.8
1965,8,222,30.6,23.4,117,-4.1
1965,9,186,30.9,22.5,124,-4
1965,10,6,32.7,20,83,-4
1965,11,0,30.2,14.5,32,-4.1
1965,12,13,26.4,10.5,25,-3.9
1966,1,11,25.8,10.2,18,-3.8
1966,2,0,30.6,14.6,5,-3.7
1966,3,5,34.4,16.7,8,-3.5
1966,4,1,38.9,22.8,3,-3.3
1966,5,12,41.5,26.6,13,-2.8
1966,6,57,37.6,26.6,56,-3
1966,7,409,32.8,24.8,139,-2.8
1966,8,182,29.4,23.1,118,-4.5
1966,9,121,31.7,23.3,124,-5
1966,10,2,34.2,20,83,-5.1
1966,11,28,29.3,17.1,50,-4.9
1966,12,8,26.7,9.4,18,-4.8
1967,1,0,25.6,8.8,7,-4.9
1967,2,0,31.6,13.2,4,-4.7
1967,3,38,32.1,17.5,39,-3
1967,4,1,37.9,22.1,3,-2.7
1967,5,1,42.5,27.4,3,-2.8
1967,6,98,38.2,26.3,95,-2.3
1967,7,400,30.4,24.1,129,-2.1
1967,8,311,28.4,23.1,108,-2.4
1967,9,171,29.8,22.7,116,-2.5
1967,10,2,33.4,19.4,78,-2.8
1967,11,0,29.5,15.3,32,-3
1967,12,88,25.5,13.2,82,2.2
1968,1,14,23.5,10.1,27,2.4
1968,2,4,27.5,11.7,12,2.3
1968,3,20,34.5,17,24,2.5
1968,4,2,38.4,21,5,2.3
1968,5,0,41.1,26,3,1.8
1968,6,50,38.1,26.3,50,0.7
1968,7,549,30.7,23.5,119,1.7
1968,8,322,29,22.5,109,1.1
1968,9,150,33.1,22.8,133,-1.1
1968,10,26,32.5,18.6,89,-0.8
1968,11,0,30.3,13.4,38,-0.7
