Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.8958 North,75.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,5,31.2,13.7,13,0.1
1958,2,0,33.3,14.9,5,-0.1
1958,3,2,38.2,19,5,-0.1
1958,4,3,42.1,25.4,5,0.1
1958,5,3,43.4,28.8,5,0
1958,6,110,40,27.8,106,-0.2
1958,7,252,30.8,24.3,134,0.3
1958,8,324,31.3,24.3,112,2.1
1958,9,285,29.9,23.2,108,2.8
1958,10,28,33,19.4,91,3
1958,11,37,32.3,15,70,3.8
1958,12,0,30.3,13,15,3.1
1959,1,10,29.9,13.5,17,3.1
1959,2,0,33.3,14.7,5,2.7
1959,3,0,39,19.2,4,2.2
1959,4,6,41.5,24.5,9,2.3
1959,5,2,43.4,28.7,4,1.9
1959,6,102,38.3,27,98,1.5
1959,7,366,30.6,23.4,130,3.6
1959,8,215,29.9,23.4,115,3.7
1959,9,438,30.1,22.8,109,5.8
1959,10,80,32.8,20,104,7.1
1959,11,13,32.1,14.5,68,8.1
1959,12,0,31.1,12.4,25,7.2
1960,1,22,29.4,11.8,32,7.5
1960,2,0,35.8,14.3,6,6.8
1960,3,6,36,18.4,10,6.3
1960,4,1,41.2,23.8,4,5.6
1960,5,9,42.9,27.6,11,5.4
1960,6,167,37.8,26.3,160,5.8
1960,7,174,31.9,24.4,129,4.4
1960,8,199,29.8,23.2,122,3
1960,9,152,31.9,23.2,119,2
1960,10,34,33.5,19,93,2.4
1960,11,0,32.2,13.3,35,2.2
1960,12,2,31.8,13.5,15,1.5
1961,1,3,30.7,13.3,10,1.2
1961,2,1,31.5,13.2,5,1.1
1961,3,1,38.7,19.8,4,0.8
1961,4,1,41.5,24.1,3,0.7
1961,5,13,42.6,27.9,15,1.2
1961,6,76,37.6,25.8,74,-1.1
1961,7,231,30.6,23.7,117,-0.8
1961,8,154,30.7,23.8,122,-1.6
1961,9,466,29.7,22.4,110,2.7
1961,10,72,32.1,18.5,101,4.1
1961,11,6,31.5,14.5,57,5
1961,12,8,29.5,10.8,32,4.6
1962,1,4,29.4,10.1,14,4.3
1962,2,0,33.9,14,6,3.9
1962,3,15,37,18.2,19,4.2
1962,4,7,40.7,23.8,10,4.2
1962,5,7,43,27.6,9,4.1
1962,6,40,38.8,26.6,39,1.7
1962,7,288,31.6,24.1,132,2.5
1962,8,119,31,23.8,121,1.2
1962,9,433,30.6,22.6,113,3.4
1962,10,3,33.5,17.2,88,2.8
1962,11,21,32.5,14.1,44,2.6
1962,12,84,29.8,12.9,84,4.7
1963,1,4,30.3,11.3,13,4.3
1963,2,3,35.1,14.5,8,4
1963,3,3,37.3,18.1,7,3.6
1963,4,1,39.7,22.9,3,3.2
1963,5,2,42.3,27.2,4,2.7
1963,6,97,37.8,25.8,94,2.1
1963,7,236,31.9,23.8,130,2
1963,8,258,30.3,23.3,115,2.4
1963,9,109,31.2,22.3,117,1.2
1963,10,42,33.7,19.3,102,1.9
1963,11,8,32.5,15.9,39,1.6
1963,12,1,31.1,12.2,14,0.9
1964,1,0,29.5,11.2,7,-0.3
1964,2,0,33.8,14,5,-0.9
1964,3,6,39.2,19.4,9,-0.8
1964,4,1,42.4,25.3,4,-0.8
1964,5,1,42.7,27.6,3,-0.9
1964,6,181,38.2,26,174,1.1
1964,7,252,31.6,23.8,126,1.4
1964,8,182,30.5,23.3,112,1
1964,9,272,31.3,22.7,113,1.6
1964,10,12,34.1,19.4,92,1.5
1964,11,1,31.6,12.9,28,0.6
1964,12,0,30.7,11.3,11,-1.4
1965,1,15,31,13.3,20,-0.8
1965,2,0,33.4,14.3,5,-0.8
1965,3,1,37,18.1,4,-1
