Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.6875 North,77.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.4,15,9,-0.2
1958,2,0,34.1,17,6,-0.1
1958,3,4,38.3,20.5,8,-0.1
1958,4,11,41.4,25.8,13,0.3
1958,5,6,43.1,29,8,-0.2
1958,6,82,39.5,28,80,-1.1
1958,7,227,30.2,23.6,136,-0.7
1958,8,231,30.6,23.6,114,1.5
1958,9,140,29.8,23,117,1.2
1958,10,28,32.3,20.3,92,1.5
1958,11,20,31.9,16.4,60,2.2
1958,12,0,30.4,14.5,17,1.9
1959,1,2,30.4,15.3,11,1.6
1959,2,0,34.1,17,6,1.4
1959,3,0,39,20.8,4,0.9
1959,4,22,40.9,25.1,24,1.6
1959,5,3,43.1,29,6,1.1
1959,6,104,37.6,26.5,101,0.9
1959,7,263,30.2,22.8,130,1.6
1959,8,135,29.5,22.9,117,1.4
1959,9,292,29.9,22.6,115,3.1
1959,10,81,32.2,20.9,107,4.2
1959,11,2,31.4,15.7,60,4.9
1959,12,0,31.1,14,28,4.8
1960,1,23,29.9,13.6,34,5.1
1960,2,0,36.1,16.1,7,4.6
1960,3,19,36.3,20.1,23,4.6
1960,4,6,40.7,24.4,9,4.2
1960,5,13,42.6,28,15,3.9
1960,6,146,36.8,25.7,141,4
1960,7,213,31.1,23.6,123,3.7
1960,8,94,29.5,22.7,107,2.3
1960,9,137,31.3,23,118,1.7
1960,10,73,32.5,19.7,93,2
1960,11,1,31.4,14.5,23,1.5
1960,12,3,31.7,15,13,1.1
1961,1,0,31.2,15,6,0.8
1961,2,2,32.3,15.2,6,0.6
1961,3,9,38.9,21.3,11,0.6
1961,4,6,41,24.9,8,0
1961,5,32,42.2,27.9,33,0.9
1961,6,79,36.8,25.3,76,-0.6
1961,7,261,30,23.1,114,1.1
1961,8,137,30.2,23.1,123,1
1961,9,256,29.6,22.2,116,2.3
1961,10,155,31.3,19.2,118,4.8
1961,11,0,30.8,15.4,59,5.5
1961,12,2,29.8,12.6,45,6.4
1962,1,3,29.7,11.6,22,6.1
1962,2,0,34.5,15.7,10,5.6
1962,3,26,37.1,19.7,30,5.9
1962,4,29,39.8,24.2,32,6.4
1962,5,22,42.4,27.5,24,6.3
1962,6,43,37.9,26.3,43,3.9
1962,7,237,30.9,23.4,133,3.9
1962,8,113,30.5,23.2,115,2.9
1962,9,301,30.3,22.3,114,4.3
1962,10,15,32.9,18.1,90,4.1
1962,11,22,31.6,15.1,50,4.4
1962,12,42,29.6,14.3,54,5.6
1963,1,0,30.3,12.7,11,5
1963,2,5,35.3,16,11,4.7
1963,3,8,37.5,19.6,12,4.3
1963,4,9,39.1,23.3,11,4
1963,5,9,42.1,27.4,11,3.5
1963,6,140,36.9,25.1,135,3.7
1963,7,184,31.3,23.2,130,3
1963,8,197,29.8,22.5,116,3.1
1963,9,72,31,22.3,99,1.9
1963,10,77,32.9,20.1,103,2.3
1963,11,0,31.9,16.9,25,1.9
1963,12,0,31.1,13.8,11,1.4
1964,1,0,30.3,13.3,7,1
1964,2,0,34.7,16.1,5,0.7
1964,3,5,39.2,20.9,8,-1.1
1964,4,5,41.8,25.9,7,-1.1
1964,5,0,42.4,27.9,2,-1.5
1964,6,158,37.7,25.8,152,-0.7
1964,7,237,31.2,23.1,126,0.4
1964,8,133,29.9,22.4,114,-0.1
1964,9,165,30.9,22.4,111,0.8
1964,10,33,33.2,20.2,97,1.2
1964,11,0,30.9,14.2,44,1.3
1964,12,0,30.7,12.7,15,0.8
1965,1,16,31,14.5,24,1.1
1965,2,1,34.1,16.2,7,0.9
1965,3,1,37.3,19.7,5,-0.3
1965,4,13,39.8,24,15,0.4
1965,5,1,43.2,28.5,3,-0.5
1965,6,96,38.1,26.2,92,-1
1965,7,220,30.8,23.4,136,-0.8
1965,8,123,31,23.2,118,-1.3
1965,9,70,31,22.2,93,-2.2
1965,10,4,34.2,19.9,22,-3.5
1965,11,0,32.5,15,9,-3.9
1965,12,3,31,13.8,8,-4
1966,1,11,30.3,13.5,14,-3.6
1966,2,0,35.4,17.1,3,-3.4
1966,3,17,37.6,19.4,18,-2.8
1966,4,2,40.5,24.5,4,-2.7
1966,5,27,41.7,27.1,27,-1.9
1966,6,35,38,26.9,35,-3.4
1966,7,292,32.6,24.6,129,-1.9
1966,8,83,30.7,23.4,108,-2.5
1966,9,170,31.6,22.5,127,-2.2
1966,10,1,34.7,20.5,95,-2.1
1966,11,30,32.2,17.9,52,-1.9
1966,12,17,30.6,13.3,27,-1.6
1967,1,1,30.6,13.2,7,-1.6
1967,2,0,35.9,16.4,5,-1.6
1967,3,20,36.3,20.4,22,-0.9
1967,4,4,40.3,24,6,-0.9
1967,5,1,43,28,3,-1.2
1967,6,106,37.6,26.2,102,-1.3
1967,7,259,30.9,23.8,122,0.8
1967,8,95,29.9,23.1,108,-0.7
1967,9,106,30.4,22.5,109,-1.1
1967,10,12,33.7,19.8,68,-1.3
1967,11,0,32.3,15.6,17,-1.6
1967,12,59,30.3,16.4,65,1.9
1968,1,5,28.8,13.4,11,1.7
1968,2,3,32.8,15.9,6,1.5
1968,3,34,37.1,19,35,2.4
1968,4,20,39.7,22.9,21,2.8
1968,5,1,41.8,27,2,2.2
1968,6,51,38.1,26.4,50,0.6
1968,7,225,31.3,23.4,129,0.8
1968,8,155,29.6,22.7,124,0.7
1968,9,162,32.2,22.7,112,0.7
1968,10,10,33.4,18.5,86,0.7
1968,11,3,31.9,14.5,39,0.8
1968,12,2,30.8,13.6,16,-0.1
1969,1,2,30.8,14.8,9,-0.7
1969,2,0,35.1,18.3,5,-0.7
1969,3,0,39.8,22.8,4,-1
1969,4,0,41.6,25.1,3,-1.1
1969,5,4,42.4,28.2,6,-1.3
1969,6,85,38.1,26.5,83,-1.9
1969,7,219,31.1,23,131,-1.5
1969,8,91,30.2,22.5,99,-2.3
1969,9,263,29.8,22.3,113,-1
1969,10,4,33.7,19.3,82,-0.9
1969,11,17,32.5,17,51,1.2
1969,12,0,31.8,13,14,0.9
1970,1,6,30.7,14.3,13,0.8
1970,2,0,34.4,17.9,5,0.6
1970,3,3,37.4,20.8,6,-0.2
1970,4,6,41,25.8,8,0
1970,5,14,42.9,28.9,15,0.1
1970,6,238,35.3,24.4,167,3
1970,7,140,31.4,23.6,127,2.3
1970,8,286,29.9,23,112,4.3
1970,9,238,30.2,22.6,112,5.1
1970,10,13,32.9,19.9,82,4.7
1970,11,0,31,13.1,40,4.5
1970,12,0,30.5,11,15,4.1
1971,1,1,29.5,13.9,9,3.5
1971,2,2,34.9,15.5,7,3.2
1971,3,3,37.9,18.8,7,2.7
1971,4,2,41.2,25.4,5,2.3
1971,5,33,41.1,27.4,33,2.9
1971,6,99,34,25.2,96,2.3
1971,7,68,30.3,24,66,-2.4
1971,8,129,30.2,23.9,118,-3.1
1971,9,121,31.2,22.9,116,-3.2
1971,10,91,31.8,20,88,-2.7
1971,11,0,30.3,14.1,2,-3.3
1971,12,0,29.7,11.5,1,-3.6
1972,1,0,30.8,12.6,1,-3.6
1972,2,0,32.1,15.8,1,-3.5
1972,3,0,38.8,21,1,-3.5
1972,4,2,40.3,24.3,2,-3.4
1972,5,3,42.7,27.9,4,-3.4
1972,6,117,38.8,27,112,-3.2
1972,7,117,31.5,23.8,111,-4.3
1972,8,163,30.2,23.1,130,-4.5
1972,9,79,31.8,22,81,-5.1
1972,10,1,34.1,19.9,5,-6.3
1972,11,12,31.8,14.6,14,-6.2
1972,12,1,31.5,14.8,3,-6.2
1973,1,0,31,14.5,2,-6.1
1973,2,3,34.9,17.4,4,-5.6
1973,3,0,38.6,21.1,1,-5.5
1973,4,2,42.7,27,3,-5.1
1973,5,1,43.6,30,2,-5.1
