Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 18.9792 North,75.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,31.2,14.7,5,0.6
1958,2,0,33.3,16.5,3,-0.2
1958,3,6,37.7,19.9,8,0.1
1958,4,21,39.8,24.5,21,0.6
1958,5,30,40.9,25.9,30,0.8
1958,6,69,36.5,24.9,66,-0.9
1958,7,225,30,21.8,141,1.1
1958,8,352,30,21.4,123,4.4
1958,9,90,29.6,20.8,116,3.2
1958,10,34,31.2,19.7,75,2.5
1958,11,61,31.3,16.1,70,2.7
1958,12,0,29.7,13.9,6,2
1959,1,4,30.1,15.3,8,1.7
1959,2,0,33.4,16.7,3,1.3
1959,3,0,38,20.3,2,0.9
1959,4,21,39.5,24.1,21,1.2
1959,5,27,41.1,25.9,26,1.2
1959,6,163,35.1,23.3,156,2.2
1959,7,163,29.9,20.9,140,2
1959,8,189,29.2,20.8,132,2.2
1959,9,271,29.5,20.5,130,2.8
1959,10,130,30.7,20,126,4.1
1959,11,14,30.6,15.5,75,5
1959,12,0,30.3,13.6,16,4.7
1960,1,1,30.1,14,9,4.3
1960,2,0,35.4,15.7,5,3.7
1960,3,13,35.8,19.7,15,3.7
1960,4,2,39.5,23.3,5,3.1
1960,5,56,40.4,24.8,55,3.9
1960,6,91,34.3,22.7,88,3.1
1960,7,133,30.8,22.2,126,2.5
1960,8,41,29.5,20.7,40,-2.4
1960,9,291,30.4,21.1,120,-1.7
1960,10,65,31.3,19.3,103,-0.9
1960,11,22,30.7,14.8,55,1.5
1960,12,0,30.6,14.4,11,1.1
1961,1,0,31,14.6,6,0.8
1961,2,1,32.1,14.7,5,0.6
1961,3,8,38,20.7,10,0.7
1961,4,14,39.8,23.8,15,0.8
1961,5,72,39.9,24.6,70,2.4
1961,6,156,34.5,22.2,149,3.2
1961,7,225,29.7,21.4,122,4.2
1961,8,112,30,21,121,3.7
1961,9,80,29.5,20.2,105,2.4
1961,10,194,30.2,18.7,115,4.1
1961,11,10,30.4,15.2,67,4.8
1961,12,2,29.5,12.6,24,4.8
1962,1,0,29.7,11.7,9,4.4
1962,2,1,34.5,15.2,6,3.9
1962,3,8,36.6,19.2,11,3.8
1962,4,25,38.6,23.2,26,4.1
1962,5,77,40.4,24.4,75,5.5
1962,6,71,35.3,23.6,69,4
1962,7,132,30.5,21.7,127,3.2
1962,8,189,30,21,125,3.2
1962,9,297,29.9,20.1,125,3.9
1962,10,32,32.2,18.1,97,3.6
1962,11,38,30.6,14.8,51,3.5
1962,12,56,28.7,13.7,60,4.8
1963,1,0,30.3,13.3,4,4.2
1963,2,8,34.4,15.3,11,3.9
1963,3,12,37.1,19.3,13,3.9
1963,4,19,38.2,22.3,20,3.9
1963,5,10,40.4,24.4,11,3.1
1963,6,177,34.7,22.1,169,4.1
1963,7,172,31,21.7,149,3.7
1963,8,261,29.5,20.3,132,4.8
1963,9,76,30.4,20.3,114,3.4
1963,10,68,31.3,19.4,97,3
1963,11,1,30.8,16,11,1.9
1963,12,0,30.1,13.4,6,1.3
1964,1,0,29.6,12.9,4,1.1
1964,2,1,34,15.1,3,0.7
1964,3,6,38.1,20,8,0.6
1964,4,12,40.2,24.3,13,-1.5
1964,5,3,40.3,24.9,4,-2.1
1964,6,97,35.3,22.6,93,-2.2
1964,7,221,30.9,21.2,131,-0.9
1964,8,111,29.6,20.2,119,-1
1964,9,277,30,20.1,118,1.6
1964,10,23,31.3,19.2,86,1.5
1964,11,10,29.8,14,27,0.9
1964,12,1,29.5,11.6,9,-0.4
1965,1,2,30.5,14.1,6,-0.7
1965,2,1,33.3,15.5,4,-0.8
1965,3,0,36.5,19,2,-1
1965,4,22,38.8,22.6,23,0.5
1965,5,2,40.9,24.8,3,-0.7
1965,6,91,35.4,22.8,87,-1.1
1965,7,212,30.3,21.5,147,0.8
1965,8,208,30.4,21,128,1.7
1965,9,87,30.5,20.5,120,0.7
1965,10,5,33.2,19,41,-1.8
1965,11,5,32,14.7,15,-2.6
1965,12,24,30.2,13.5,29,-2.1
1966,1,14,30.2,13.6,17,-1.4
1966,2,0,34.7,16.3,3,-1.6
1966,3,3,37,19.1,5,-1.6
1966,4,5,39.2,23.4,6,-1.7
1966,5,49,39.6,24,47,-0.8
1966,6,56,35.6,23.9,54,-2
1966,7,202,31.7,22.8,129,-1
1966,8,80,30.4,21.3,102,-1.6
1966,9,207,30.8,20.3,133,-1.7
1966,10,5,33.1,19.5,75,-2.1
1966,11,63,31.1,16.8,73,-1.6
1966,12,21,29.3,13.2,27,-1.3
1967,1,1,30,13.1,5,-1.3
1967,2,1,34.8,15.5,3,-1.4
1967,3,4,36.1,20.1,6,-1.3
1967,4,6,39.5,23.1,7,-1.4
1967,5,14,41,25,15,-1.5
1967,6,98,35.3,23.3,94,-1.6
1967,7,274,30.4,22,126,2.1
1967,8,81,29.6,21,110,1.6
1967,9,151,29.9,20.5,123,1
1967,10,33,32.1,18.9,85,0.9
1967,11,2,31.4,14.5,18,-1
1967,12,77,29.1,15.7,79,2.3
1968,1,3,28.5,13.1,7,2.2
1968,2,18,32,15.4,20,2.7
1968,3,20,36.5,18.6,22,3.2
1968,4,23,38.7,22.2,24,3.5
1968,5,1,40.1,24.2,2,2.5
1968,6,63,35.8,23.4,61,1.3
1968,7,194,31,21.8,135,1.8
1968,8,55,29.4,20.9,77,-1.7
1968,9,232,31.2,20.8,114,-1.5
1968,10,37,32.1,17.6,90,-1.1
1968,11,32,30.8,14.1,53,-0.7
1968,12,1,29.8,12.9,10,-0.8
1969,1,0,30.2,14.2,5,-0.8
