Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.5208 North,76.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,28.1,15.1,9,-0.2
1958,2,0,30.4,17.4,5,-0.2
1958,3,3,35,20.6,7,-0.6
1958,4,10,38,25.2,12,0.3
1958,5,7,39.3,26.7,9,-0.2
1958,6,107,35.8,25,104,-1
1958,7,266,28,21.7,128,0.5
1958,8,384,27.7,21.6,109,2.8
1958,9,117,27,21,113,2.3
1958,10,36,29.3,20,90,2.4
1958,11,64,28.7,16.7,82,3.4
1958,12,0,27.2,14.8,18,3
1959,1,4,26.9,15.4,12,2.7
1959,2,0,30.5,17.4,5,2.3
1959,3,0,35.6,20.9,4,1.7
1959,4,21,37.6,24.6,23,2.4
1959,5,8,39.3,26.7,9,1.9
1959,6,132,34.2,23.7,127,1.7
1959,7,257,27.9,20.9,126,1.9
1959,8,205,26.6,20.9,110,1.9
1959,9,204,27.1,20.7,112,2.9
1959,10,103,29,20.4,111,4.1
1959,11,9,28.2,16.2,68,4.8
1959,12,0,27.8,14.4,22,4.3
1960,1,17,26.5,13.8,26,4.4
1960,2,0,32.7,16.7,6,3.9
1960,3,18,33,20.2,20,3.8
1960,4,2,37.4,23.8,5,3.4
1960,5,30,38.8,25.6,31,3.6
1960,6,166,33.4,23,160,3.6
1960,7,196,29,22,121,2.9
1960,8,140,26.6,20.6,116,1.6
1960,9,127,28.4,21.3,114,1.4
1960,10,74,29.5,19.5,98,2
1960,11,3,28.1,15.1,34,2
1960,12,3,28.4,15.4,14,1.4
1961,1,0,27.8,15,6,1
1961,2,4,28.8,15.5,8,0.9
1961,3,10,35.5,21.4,12,0.8
1961,4,6,37.6,24.2,8,0.8
1961,5,54,38.4,25.6,53,2.2
1961,6,112,33.6,22.6,108,1.6
1961,7,254,27.7,21.3,114,2
1961,8,161,27.4,21.2,114,1.4
1961,9,154,26.8,20.3,111,1.7
1961,10,187,28.3,18.9,109,4.6
1961,11,1,27.7,16,59,5
1961,12,5,26.7,13.1,37,5.1
