Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 19.9792 North,79.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,30.4,14.3,45,0
1958,2,2,32.5,16.7,43,-0.1
1958,3,26,37.1,19.6,45,0
1958,4,24,40.2,25.1,35,0.6
1958,5,6,43.1,28.9,13,0.3
1958,6,113,39.7,29.1,113,-1
1958,7,366,29.8,23.8,128,-0.9
1958,8,468,30.5,24.4,111,1.6
1958,9,258,30.2,23.4,118,1.6
1958,10,54,30.9,20.6,93,1.8
1958,11,8,30.3,15.8,61,2
1958,12,0,28.6,12.7,44,1.8
1959,1,3,29.3,14.9,44,1.8
1959,2,7,32.5,16.7,45,1.9
1959,3,1,37.3,19.9,22,1.1
1959,4,21,39.7,24.5,32,1.3
1959,5,6,43,28.7,14,0.9
1959,6,224,37.4,26.6,180,1.9
1959,7,493,30,23.1,129,3.3
1959,8,347,29.5,23.6,112,3.7
1959,9,472,30.3,23.3,116,5.1
1959,10,50,31,21.5,85,4.9
1959,11,0,29.5,15,55,4.6
1959,12,0,28.9,12.3,39,4.2
1960,1,7,29.1,13.4,46,4.2
1960,2,0,33.7,15,40,4
1960,3,77,35.1,19.2,98,5
1960,4,14,39.8,23.7,27,4.5
1960,5,4,42.8,28.1,13,3.8
1960,6,169,37.2,26.6,166,3.5
1960,7,423,30.5,24.1,118,3.7
1960,8,185,30.2,23.9,128,2.3
1960,9,192,31.2,23.8,113,1.8
1960,10,52,31,20.2,89,1.9
1960,11,0,29.5,14.1,56,1.9
1960,12,0,29.7,13.5,44,1.7
1961,1,1,30.4,14.4,42,1.6
1961,2,0,31.3,14.8,40,1.5
1961,3,2,37.8,20.7,23,0.7
1961,4,11,40.3,24.5,23,0.6
1961,5,21,42.4,27.9,28,1
1961,6,148,36.9,25.6,147,0.8
1961,7,424,29.5,23.4,112,1.3
1961,8,460,30.3,23.8,116,3.1
1961,9,385,29.9,22.6,110,4
1961,10,87,30.2,19.9,100,4.6
1961,11,0,28.9,14.2,56,4.6
1961,12,1,27.9,11.1,43,4.4
1962,1,1,28.8,11.2,45,4.4
1962,2,3,32.7,14.3,44,4.5
1962,3,26,36,18.8,54,4.2
1962,4,37,38.8,23.6,51,4.8
1962,5,13,42.3,27.2,22,4.4
1962,6,72,37.5,26.8,75,2.6
1962,7,363,30.4,23.7,133,2.2
1962,8,269,30.3,23.8,116,1.5
1962,9,406,30.6,22.7,111,2.7
1962,10,8,31.6,18.7,80,1.7
1962,11,9,29.6,14.3,53,1.6
1962,12,27,27.8,12.8,52,2.3
1963,1,0,28.6,12,41,2.1
1963,2,3,33,14.8,40,2
1963,3,23,36.2,18.7,42,1.8
1963,4,34,38.1,22.3,45,2.4
1963,5,9,42.2,27.1,17,2
1963,6,203,37,25.4,193,2.4
1963,7,305,30.7,23.5,125,1.7
1963,8,436,30,23.3,109,2.5
1963,9,146,31.3,23.1,125,1.5
1963,10,70,31.4,20.7,99,2
1963,11,0,30.2,15.9,57,2.1
1963,12,0,29.1,12.3,44,1.9
1964,1,0,30.1,13.7,47,1.9
1964,2,1,33.7,15.8,43,1.6
1964,3,8,38,20.2,27,0.9
1964,4,3,40.8,25.1,14,-1
1964,5,1,42.9,28.4,9,-1.5
1964,6,146,37.9,26.2,145,-1.7
1964,7,264,30.9,23.4,125,-2.5
1964,8,461,29.9,23,110,-1.5
1964,9,312,30.8,23,105,-0.7
1964,10,32,31.7,20.8,85,-0.7
1964,11,2,29.1,14,62,-0.7
1964,12,0,29.1,11.2,44,-0.8
1965,1,5,29.8,13.8,43,-0.8
1965,2,3,32.5,15.6,35,-1
1965,3,6,36.2,19,23,-1.5
1965,4,25,39.1,23.2,34,-0.9
1965,5,2,43.4,28.2,9,-1.3
1965,6,152,38.4,26.8,149,-1.6
1965,7,294,30.5,23.9,131,-2.1
1965,8,189,31.1,24.1,119,-3.6
1965,9,358,31,23,124,-2.5
1965,10,0,33.1,20.1,81,-3.2
1965,11,0,31.1,14.4,53,-3.3
1965,12,0,29.6,12.9,39,-3.5
1966,1,5,29.6,13.5,41,-3.4
1966,2,0,33.8,16.3,26,-3.6
1966,3,17,37,19.3,31,-3.7
1966,4,29,40,24.4,37,-2.8
1966,5,28,42.6,27.9,33,-2.1
1966,6,70,38,27.3,72,-3.3
1966,7,512,31.9,25.2,124,-1.6
1966,8,273,30.8,24.2,115,-1.4
1966,9,339,31.6,23.1,125,-0.6
1966,10,3,32.9,20.5,83,-1.3
1966,11,9,30.8,17,61,-1.3
1966,12,20,28.4,12.2,48,-0.8
1967,1,1,29.9,13.5,39,-1
1967,2,0,34,15.7,30,-1.2
1967,3,150,34.9,19.3,149,3.3
1967,4,11,39.6,23.4,24,2.9
1967,5,1,43.3,28.1,10,2.1
1967,6,174,38,27,170,2
1967,7,445,30.6,24.3,120,2.6
1967,8,218,29.9,23.8,116,1.8
1967,9,104,30.7,23.2,110,0.7
1967,10,4,32.1,20.1,76,-2.1
1967,11,0,30.7,14.4,49,-2.3
1967,12,38,28.6,15.1,56,-0.9
1968,1,9,28.2,13.2,42,-0.6
1968,2,19,31.8,16,47,1.9
1968,3,100,35.9,18.3,115,3.7
1968,4,35,38.6,22.3,48,4.2
1968,5,1,42.1,27.2,11,3.4
1968,6,121,38.2,26.8,121,2.4
1968,7,297,31,23.9,121,1.6
1968,8,156,29.9,23.9,121,-3
1968,9,328,31.8,23.4,111,-2.3
1968,10,11,32.1,18.8,81,-2.7
1968,11,1,30.3,14.2,50,-2.6
1968,12,1,29.3,12.4,37,-2.6
1969,1,1,30.2,14.6,39,-2.4
1969,2,0,34.2,18.3,34,-2.4
1969,3,1,39,22.5,18,-2.8
1969,4,9,40.8,24.7,20,-2.8
1969,5,13,42,27.5,20,-2.4
1969,6,114,38.2,26.9,114,-2.8
1969,7,459,30.4,23.3,125,-1.7
1969,8,196,30.4,23.3,114,-2.3
1969,9,397,30,23.2,110,-0.8
1969,10,4,31.5,20.8,77,-1.4
1969,11,3,31.3,17.1,54,-1.5
1969,12,1,28.6,12.3,38,-1.6
1970,1,3,30,13.8,36,-1.6
1970,2,1,33.2,17.4,34,-1.6
1970,3,25,36.6,20.1,41,-1.4
1970,4,21,39.8,25.1,31,-1
1970,5,15,43,28.7,21,-0.8
1970,6,336,35.3,24.6,162,3.2
1970,7,277,30.6,24,123,3.4
1970,8,476,29.9,23.6,109,5.1
1970,9,324,30.5,23.3,112,5.3
1970,10,4,31.5,20.4,77,4
1970,11,0,29.6,12.8,49,3.3
1970,12,0,28.8,9.3,34,2.7
1971,1,2,29.4,13.7,38,2.3
1971,2,4,32.1,16.1,36,2.1
1971,3,35,35.5,18.9,52,2.2
1971,4,12,39.2,24.3,23,1.9
1971,5,24,40.6,26.4,30,2.3
1971,6,248,35.1,24.3,189,3.3
1971,7,148,30.7,24,132,1.4
1971,8,297,30.5,24.2,115,-2.8
1971,9,187,31.4,23.9,121,-3
1971,10,93,31,20.3,103,-1.5
1971,11,0,28.2,13.9,60,-0.9
1971,12,0,27.5,11.2,46,1.7
1972,1,0,29.8,11.8,45,1.9
1972,2,0,30.9,15.8,40,2.1
1972,3,0,37.3,20.1,28,1.4
1972,4,9,39.8,24,24,1.2
1972,5,4,43.3,28.3,14,0.8
1972,6,128,39.4,28.2,128,-1.2
1972,7,213,31.2,24.5,139,-2.6
1972,8,203,30.6,24,124,-4.2
1972,9,57,31.7,23.1,87,-5.3
1972,10,18,31.5,20.8,53,-6.5
1972,11,14,29.5,15.2,36,-6.7
1972,12,1,30.6,14.3,20,-7.3
1973,1,0,30.8,15.1,11,-7.9
1973,2,1,33.7,17.7,9,-8.1
1973,3,1,37.8,21.2,6,-8.1
1973,4,7,41.7,26.7,11,-7.8
1973,5,0,43.9,30.4,4,-7.7
1973,6,98,38.1,27.5,96,-8.1
1973,7,488,30.3,23.5,130,-6.2
1973,8,413,30.4,23.6,111,-4.1
1973,9,221,30.2,23.9,118,-3.8
1973,10,201,30.8,20.2,111,5.3
1973,11,0,28.8,14.6,59,5.3
1973,12,0,28.7,12.4,52,5.3
1974,1,0,29.2,12,49,5.2
1974,2,4,32.9,16,49,5.1
1974,3,3,38,20.5,31,4.1
1974,4,2,40.5,25.3,17,3.3
1974,5,9,42,27.5,18,2.8
1974,6,105,37.5,26.7,106,1.5
1974,7,252,31.2,25,131,-2.7
1974,8,266,30.4,23.6,113,-3.8
1974,9,74,32.3,24,100,-4.5
1974,10,182,30.4,21.5,113,-1.3
1974,11,6,29.4,13.1,68,3.3
1974,12,0,27.7,11.4,48,3.4
1975,1,4,28.5,11.9,49,3.6
1975,2,16,32.4,15.8,56,4.4
1975,3,24,36.6,19.8,55,4.1
1975,4,2,40.5,25.1,18,3.3
1975,5,9,43.4,29.1,19,2.9
1975,6,256,36.8,26.2,210,3.8
1975,7,365,30.3,23.7,128,3.8
1975,8,281,30.3,24.1,117,3.5
1975,9,416,30.4,22.8,120,4.5
1975,10,80,30.8,22,98,4.9
1975,11,0,28,13.4,59,4.8
1975,12,0,28.3,9.6,43,4.5
1976,1,2,28.6,12.2,47,4.4
1976,2,0,32.5,15.6,41,4.3
1976,3,13,37.7,19.1,38,3.7
1976,4,11,39.2,24.2,25,3.2
1976,5,10,42.4,28.1,19,2.8
1976,6,81,37,26.4,83,1.2
1976,7,503,30.5,23.6,122,2.4
1976,8,259,30.2,23.5,117,2
1976,9,262,30.7,23,106,2.1
1976,10,1,32.7,20.8,69,1.1
1976,11,12,31,18,62,1.1
1976,12,0,29.5,14.1,37,0.8
1977,1,0,28.9,13.8,37,-0.2
1977,2,0,32.8,17,35,-1
1977,3,6,38.1,21.4,23,-1.4
1977,4,14,38.9,25.1,24,-1.3
1977,5,24,41.2,27.7,31,-0.7
1977,6,145,37.8,26.8,144,-0.9
1977,7,339,30.8,24.4,124,-1.1
1977,8,428,30,24,115,1
1977,9,146,30.5,23.4,125,-0.7
1977,10,20,32.1,20.2,89,-1.1
1977,11,18,29.9,18.4,58,-0.6
1977,12,0,28.1,12.4,39,-0.7
1978,1,9,28.4,13.5,44,0.3
1978,2,11,31,16.3,43,0.9
1978,3,36,35.2,19.7,56,1.1
1978,4,28,39.2,24.8,40,1.5
1978,5,3,43.5,29.5,12,1.1
1978,6,182,37.1,26.5,175,1.3
1978,7,504,29.9,23.5,128,2.5
1978,8,377,29.2,23.6,114,3.4
1978,9,93,30.8,24,111,2
1978,10,17,31.9,21,82,1.1
1978,11,9,30.4,17.8,55,0.8
1978,12,10,27.8,13.1,41,0.7
1979,1,9,29.1,15.7,42,0.7
1979,2,27,31.4,15.9,52,1.3
1979,3,1,36.1,19.1,19,-1.1
1979,4,5,39.9,24.9,16,-1.3
1979,5,23,41.7,26.8,29,-0.7
1979,6,224,38.6,28.2,204,1.2
1979,7,259,31.3,25.4,146,-1
1979,8,348,30.3,24.4,143,-1.6
1979,9,216,31.9,24.2,122,-1.7
1979,10,3,31.6,22.7,85,-2.3
1979,11,7,30,19,54,-2.3
1979,12,6,28.6,14.2,43,-2.3
1980,1,3,29.2,16.2,40,-2.2
1980,2,1,33.1,17.9,30,-2.4
1980,3,9,36.6,21.6,23,-2.7
