Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 19.0625 North,72.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.4,20.3,17,1.8
1958,2,0,29.8,20.5,10,1.7
1958,3,1,32.1,22.5,8,1.7
1958,4,11,32.9,25.2,15,1.6
1958,5,64,33.3,27.3,64,2.7
1958,6,469,32.8,27.5,160,2.4
1958,7,2232,29.4,25.6,106,2.2
1958,8,237,29.9,25.4,110,1.3
1958,9,351,29.1,24.9,105,2
1958,10,36,31.7,24.5,98,1.1
1958,11,5,32.8,22.9,67,0.6
1958,12,0,31.3,20.9,39,-1.4
1959,1,0,28.8,20.4,17,-1.4
1959,2,0,29.7,20.5,10,-1.3
1959,3,0,32.3,22.8,7,-1.3
1959,4,17,33.2,25.3,21,-0.8
1959,5,34,33.8,27.7,36,0.2
1959,6,584,32.2,26.7,145,0
1959,7,817,29.2,24.5,108,0
1959,8,521,29.2,24.9,101,0.9
1959,9,334,29.1,24.6,102,1.5
1959,10,250,30.8,24.5,126,5.2
1959,11,7,32.1,22.2,78,5.4
1959,12,0,31.8,20.7,58,5.9
1960,1,0,29,19.3,36,5.9
1960,2,0,32.4,20.3,16,5.5
1960,3,0,30.4,22.4,10,5.1
1960,4,5,32.9,24.3,11,4.3
1960,5,117,33.1,26.6,116,7.1
1960,6,262,31.5,26.2,137,6.3
1960,7,765,30.1,25.8,115,5.7
1960,8,300,29.2,24.5,104,4.7
1960,9,189,29.9,25,112,3.6
1960,10,142,31.7,24,128,4.8
1960,11,1,32.7,21.9,79,4.9
1960,12,0,31.8,21,51,5.1
1961,1,0,29.8,19.9,37,5.3
1961,2,0,28.8,18.9,17,5
1961,3,0,32,22.9,10,4.7
1961,4,11,32.7,24.3,17,4.3
1961,5,96,32.5,26.2,96,6.4
1961,6,1235,31.7,25.6,137,5.7
1961,7,624,28.8,24.8,104,5.1
1961,8,336,30,25.1,108,4.4
1961,9,228,29.3,24.5,97,3.7
1961,10,159,30.9,23.8,116,5.3
1961,11,1,32.5,22.5,77,5.4
1961,12,0,31.1,19.7,53,5.6
1962,1,0,28.8,17.1,37,5.9
1962,2,0,31.5,19.7,16,5.5
1962,3,1,31,21.8,11,5.2
1962,4,48,32.1,24.4,52,7
1962,5,109,33.4,26.3,108,9.1
1962,6,264,32.2,26.7,147,8.2
1962,7,763,29.7,25.2,109,7.3
1962,8,419,29.7,24.8,104,6.7
1962,9,389,29.8,24.5,108,7.1
1962,10,28,32.9,23.1,104,5.4
1962,11,3,32.6,22,60,4.1
1962,12,33,30.4,20.9,55,4.5
1963,1,0,30.3,19.6,20,4
1963,2,0,31.8,20.2,11,3.5
1963,3,0,31.9,22.4,7,3.1
1963,4,5,32.1,23.7,10,2.6
1963,5,8,33.1,26.1,12,1.5
1963,6,524,32.2,25.9,145,1.4
1963,7,2223,30.2,25.2,111,1.2
1963,8,157,29.4,24.3,105,-2
1963,9,208,29.8,24.2,123,-2.3
1963,10,52,32,24.4,106,-2.5
1963,11,9,32.5,22.9,71,-2.3
1963,12,0,31.6,20.3,44,-2.4
1964,1,0,27.9,17.5,18,-2.4
1964,2,0,29.9,18.5,10,-2.3
1964,3,0,32,22,7,-2.1
1964,4,1,33.1,24.8,5,-2.4
1964,5,14,32.9,26.4,17,-2.7
1964,6,348,32.2,25.7,149,-2.5
1964,7,703,30.2,24.8,116,-2.2
1964,8,473,29.6,24.3,107,-1.7
1964,9,264,29.5,24.2,111,-1.5
1964,10,157,31.4,23.6,126,2.1
1964,11,5,31.8,21.2,81,2.6
1964,12,0,30.8,18.5,58,3.3
1965,1,0,29.8,19.9,33,3.5
1965,2,0,30.2,19.8,15,3.3
1965,3,0,30.9,21.5,9,3.1
1965,4,60,32.2,23.7,63,5.6
1965,5,4,32.9,25.8,8,4.2
1965,6,671,32.4,26.1,138,3.7
1965,7,845,29.5,25,111,3.3
1965,8,494,30.3,24.9,118,3.3
1965,9,68,30.4,24.9,104,1.5
1965,10,1,33.5,23.6,86,-3.4
1965,11,6,33.7,21.6,45,-5.6
1965,12,14,31.5,20.3,30,-6.1
1966,1,0,29.6,19.4,10,-6
1966,2,0,31.6,20.6,7,-5.7
1966,3,0,31.3,21.6,5,-5.3
1966,4,3,32.1,23.8,6,-5.3
1966,5,38,32.5,25.8,39,-4.4
1966,6,408,32.2,26.7,143,-4
1966,7,721,30.5,25.9,116,-3.6
1966,8,175,30.2,25.2,112,-4.1
1966,9,222,30.6,24.6,128,-4.2
1966,10,17,33.8,24.5,98,-4.9
1966,11,6,32.5,23.4,69,-5.3
1966,12,1,30.7,20,27,-5.7
1967,1,0,28.6,18.1,13,-5.6
1967,2,0,31.4,19.6,8,-5.2
1967,3,0,30.8,23,6,-4.8
1967,4,7,32.9,24.1,11,-4.5
1967,5,2,33.4,26.4,5,-5.1
1967,6,532,31.9,26.2,152,-4.6
1967,7,877,29.5,25.4,111,-4.1
1967,8,274,29.5,25,108,-4.2
1967,9,205,29.7,24.8,114,-4.2
1967,10,51,32.6,23.7,104,-4.2
1967,11,0,32.9,21.3,68,-4.1
1967,12,33,29.9,21.9,61,-2.8
1968,1,0,27.6,18.5,22,-2.5
1968,2,0,28.1,18.9,12,-2.2
1968,3,0,31.4,21.8,8,-2
1968,4,5,32.2,23.3,10,-2
1968,5,1,32.3,25.5,4,-2.8
1968,6,119,32.8,26.7,116,-2.5
1968,7,718,30.3,25.5,117,-2.3
1968,8,269,29.4,25,117,-2.6
1968,9,163,30.9,24.9,119,-3.2
1968,10,76,33,22.9,113,-2.8
1968,11,2,32.9,21.3,73,-2.5
1968,12,0,31.1,19.7,48,-2.4
1969,1,0,29.1,19.4,19,-2.2
1969,2,0,29.6,20.3,11,-2
1969,3,0,31.7,23,7,-1.8
1969,4,2,33.5,24.8,7,-2.1
1969,5,1,33.6,27.2,4,-3
1969,6,324,32.6,26.5,146,-2.7
1969,7,912,30.4,25.4,117,-2.4
1969,8,344,30.1,24.6,116,-2.4
1969,9,388,28.9,24.7,110,-1
1969,10,5,32,24.5,89,-2.2
1969,11,6,33.4,23.8,58,-2.8
1969,12,2,32.1,21.2,33,-3.4
1970,1,0,29.1,18.9,15,-3.3
1970,2,0,29.5,20.3,9,-3.1
1970,3,0,30.6,22.1,6,-2.9
1970,4,34,32.3,25,36,-1.2
1970,5,84,33.1,26.9,83,3.1
1970,6,373,31.1,25.7,133,2.8
1970,7,593,30,25.5,113,2.5
1970,8,589,29.5,24.8,105,3
1970,9,243,29.3,24.6,107,2.6
1970,10,87,32.2,24.2,113,2.7
1970,11,0,32.3,20.2,78,2.6
1970,12,0,30.9,16.9,45,2.4
1971,1,0,27.9,18.3,22,2.1
1971,2,1,28.7,19.4,13,2
1971,3,0,31,22.3,8,1.7
1971,4,0,32.8,25.3,5,1
1971,5,102,32.5,26.5,101,3.5
1971,6,246,30.9,25.6,141,3.1
1971,7,421,29.5,25.2,115,2.8
1971,8,535,29.4,24.6,111,3
1971,9,321,29.9,24.9,114,3.2
1971,10,34,31.1,23.6,95,2.2
1971,11,3,30.5,20.9,67,1.5
1971,12,0,30.9,20,38,0.7
1972,1,0,29.7,17.7,17,-1.6
1972,2,5,27.4,18.9,14,-1.2
1972,3,0,31.5,22.2,6,-1.1
1972,4,6,32.2,23.7,10,-1.3
1972,5,13,33,26.1,16,-1.8
1972,6,186,32.9,27.1,164,-1.6
1972,7,613,30.3,25.8,123,-1.4
1972,8,181,30.2,25.2,121,-2.2
1972,9,83,31,24.9,112,-3.4
1972,10,1,32.2,24.7,80,-4.6
1972,11,29,31.7,22.2,68,-5.1
1972,12,0,33,22.1,23,-6.3
1973,1,0,28.4,18.8,12,-6.1
1973,2,2,30.1,20.9,10,-5.6
1973,3,0,31.4,22.7,5,-5.1
1973,4,12,33.6,25.9,15,-4.6
1973,5,8,33.1,27.7,11,-5
1973,6,203,32.2,26.9,155,-4.4
1973,7,845,29.6,24.9,113,-4
1973,8,436,29.7,24.5,109,-3.4
1973,9,376,28.3,24.5,105,-2
1973,10,53,31.6,24.1,103,-2.2
1973,11,0,31.3,21.8,71,-2.3
1973,12,0,30.9,20,40,-3
1974,1,0,29.2,17.9,17,-2.9
1974,2,0,29.4,19.1,10,-2.6
1974,3,0,32.2,22.6,7,-2.4
1974,4,11,33,25.2,15,-2.1
1974,5,86,32.5,26,86,2
1974,6,576,32.2,26.7,152,1.8
1974,7,415,30.1,26,112,1.6
1974,8,451,30.1,24.9,112,1.7
1974,9,174,31,25.2,113,0.7
