Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 19.7292 North,77.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.4,14.8,8,-0.2
1958,2,0,32.9,17.2,5,-0.2
1958,3,5,37.3,20.2,8,-0.7
1958,4,26,39.7,24.9,28,0.6
1958,5,11,41.9,28,13,-0.1
1958,6,108,38.3,27,104,-1.2
1958,7,441,29.7,22.3,137,1.5
1958,8,423,29.5,22.4,117,3.2
1958,9,150,29.2,21.4,122,2.3
1958,10,36,30.7,19.7,90,2
1958,11,40,30.7,15.8,68,2.5
1958,12,0,29.1,13.8,15,2
1959,1,2,29.4,15.4,10,1.7
1959,2,0,33,17.3,5,1.4
1959,3,1,37.6,20.8,4,0.8
1959,4,36,39.4,24.5,37,1.7
1959,5,7,42,28,9,1.2
1959,6,193,36.6,25,181,1.5
1959,7,346,29.7,21.5,134,1.9
1959,8,242,28.6,21.7,119,1.7
1959,9,389,29.3,21.2,119,3.2
1959,10,106,30.5,20.2,112,4.1
1959,11,6,30,15.1,64,4.5
1959,12,0,29.7,13.6,24,4.2
1960,1,11,29.2,14,21,4.1
1960,2,0,34.8,16.1,6,3.6
1960,3,40,35.4,20,42,4.2
1960,4,5,39.4,23.7,7,3.6
1960,5,24,41.4,27,25,3.5
1960,6,228,35.9,24.5,203,3.8
1960,7,277,30.5,22.7,125,3.4
1960,8,143,28.9,21.6,130,1.8
1960,9,192,30.2,21.8,114,1.5
1960,10,75,30.8,19.2,100,2
1960,11,7,29.9,14.2,60,2.5
1960,12,3,30.2,14.5,19,2
1961,1,0,30.3,14.8,8,1.6
1961,2,1,31.6,15.3,6,1.4
1961,3,19,37.8,21.2,22,1.5
1961,4,15,39.8,24.3,17,1.5
1961,5,45,41,26.7,44,2.4
1961,6,149,36.1,24,143,1.9
1961,7,401,29.4,21.9,119,2.9
1961,8,255,29.4,21.9,124,2.6
1961,9,251,29,20.7,118,2.8
1961,10,215,29.8,18.8,108,5.8
1961,11,0,29.6,14.5,55,5.8
1961,12,2,28.6,12.3,37,5.9
1962,1,2,28.8,11.6,14,5.4
1962,2,1,33.7,15.4,7,4.8
1962,3,21,36.2,19.5,25,4.7
1962,4,51,38.3,23.5,51,5.7
1962,5,32,41.3,26.4,32,5.8
1962,6,71,36.7,25.3,70,3.5
1962,7,292,30.2,22.2,136,2.8
1962,8,232,29.4,21.9,119,2.4
1962,9,378,29.6,20.7,115,3.8
1962,10,20,31.5,17.9,86,3
1962,11,50,30,14.4,63,3.5
1962,12,69,28.1,13.7,70,5.2
1963,1,0,29.1,12.9,14,4.9
1963,2,8,33.9,15.8,15,4.7
1963,3,12,36.5,19.5,16,4.3
1963,4,23,37.7,22.3,25,4.4
1963,5,10,41.2,26.3,12,3.8
1963,6,258,36,23.6,193,4.5
1963,7,250,30.6,22.1,136,4
1963,8,460,28.9,21.2,119,5.9
1963,9,101,30.1,21,115,4.4
1963,10,99,31.1,19.6,114,4.9
1963,11,0,30.4,15.8,48,4.8
1963,12,0,29.5,13.3,14,3.8
1964,1,0,29.4,13.4,7,3.1
1964,2,0,33.9,16,5,2.5
1964,3,11,38.1,20.7,14,2.1
1964,4,7,40.3,25,9,1.6
1964,5,0,41.4,27.1,2,0.8
1964,6,171,36.9,24.4,164,-1.7
1964,7,316,30.7,21.8,129,-1.5
1964,8,232,29,21.1,119,-1.4
1964,9,240,29.8,21,109,-0.9
1964,10,28,31.3,19.6,88,-1.1
1964,11,1,29.3,13.8,30,-1.4
1964,12,0,29.3,12,11,-1.8
1965,1,9,29.8,14.2,15,-1.5
1965,2,2,33,16.1,6,-1.5
1965,3,1,36.3,19.5,4,-1.8
1965,4,23,38.6,23.1,24,-1.2
1965,5,2,42.1,27.2,4,-1.6
1965,6,186,37,24.7,178,-1.5
1965,7,395,30.1,22.1,141,0.9
1965,8,201,30,22,121,-0.5
1965,9,113,30.1,21.1,123,-1.3
1965,10,6,32.8,19,75,-1.9
1965,11,0,31.3,14.2,15,-2.8
1965,12,7,29.7,13.6,14,-3.1
1966,1,15,29.4,13.7,19,-2.6
1966,2,2,34.4,16.9,5,-2.6
1966,3,22,36.7,19.6,23,-2.1
1966,4,8,39.2,23.9,10,-2.1
1966,5,33,40.8,26.2,32,-1.4
1966,6,55,37.2,25.7,53,-3.1
1966,7,352,31.6,23.6,130,-2.3
1966,8,120,29.8,22.2,120,-3.5
1966,9,269,30.6,21,126,-2.6
1966,10,1,32.9,19.7,85,-3.1
1966,11,48,30.9,16.8,61,-3
1966,12,33,28.7,13.1,39,-2.4
1967,1,1,29.6,13.5,6,-2.4
1967,2,1,34.6,16.3,4,-2.3
1967,3,23,35.4,20.2,24,-1.7
1967,4,9,39.2,23.3,10,-1.6
1967,5,5,42,27.1,6,-1.8
1967,6,163,36.8,25,156,-1.8
1967,7,331,30.3,22.7,123,-1.3
1967,8,152,29,21.9,122,-2.2
1967,9,158,29.7,21.2,118,-2.4
1967,10,25,31.9,19.1,82,-2.4
1967,11,4,31,14.4,36,-2.3
1967,12,69,28.9,16,72,1.7
1968,1,10,27.9,13.2,19,1.9
1968,2,4,31.9,16.2,9,1.8
1968,3,55,36,19,56,3.1
1968,4,30,38.2,22.4,31,3.5
1968,5,1,41,26.2,3,2.7
1968,6,108,37.2,25,104,1.4
1968,7,321,30.7,22.3,132,1.4
1968,8,169,28.6,21.6,120,-1.8
1968,9,227,30.9,21.5,106,-1.4
1968,10,11,31.7,17.6,81,-1.8
1968,11,15,30.4,13.8,38,-1.7
1968,12,2,29.5,13.2,12,-1.9
1969,1,1,29.9,14.6,6,-1.9
1969,2,0,34.2,18.4,4,-1.9
1969,3,0,38.5,22.4,3,-2.1
1969,4,2,40.4,24.7,4,-2.2
1969,5,10,41.4,27.2,11,-2.2
1969,6,135,37.3,25.2,130,-2.6
1969,7,307,30.4,21.9,136,-2.4
1969,8,149,29.4,21.3,116,-3.1
1969,9,342,28.8,21,113,-1.5
1969,10,14,31.2,19.6,82,-1.8
1969,11,36,31.1,16.5,59,-1.4
1969,12,0,29,13.4,10,-1.6
1970,1,6,29.8,14.1,11,-1.4
1970,2,0,33.6,17.9,4,-1.4
1970,3,1,36.6,20.6,4,-1.6
1970,4,8,39.4,25.1,10,-1.5
1970,5,22,41.8,27.8,22,-1.1
1970,6,356,34.6,23.2,165,2.8
1970,7,183,30.6,22.6,130,2.4
1970,8,454,29,21.7,113,4.5
1970,9,272,29.5,21.2,113,4.7
1970,10,16,31.2,19.3,79,3.8
1970,11,0,29.6,12.5,28,3.2
1970,12,0,29.1,10.2,11,2.6
1971,1,1,28.9,13.6,7,2.1
1971,2,1,32.9,16.8,5,1.8
1971,3,4,35.8,19.6,6,1.4
1971,4,3,39.5,24.8,5,1
1971,5,31,40.4,26.2,31,1.4
1971,6,156,34.5,22.9,150,1
1971,7,64,30.5,22.5,62,-3
1971,8,220,29.7,22.3,119,-3.7
1971,9,129,30.4,21.7,121,-4
1971,10,120,30.6,18.9,119,-2.4
1971,11,0,28.4,13.7,51,-1.7
1971,12,0,27.4,11.8,15,-1.7
1972,1,0,29.8,12.2,7,-1.5
1972,2,0,31.2,16.1,5,-1.5
1972,3,0,37.6,20.8,3,-1.7
1972,4,2,39.1,23.7,4,-1.8
1972,5,7,41.7,27,9,-1.9
1972,6,176,37.9,26.1,169,-1.8
1972,7,131,30.8,22.7,126,-3
1972,8,194,29.5,21.9,132,-3.8
1972,9,85,30.8,21.1,100,-4.2
1972,10,1,31.8,20.1,14,-5.8
1972,11,28,29.6,14.9,34,-5.4
1972,12,1,30.1,14.5,5,-5.5
1973,1,0,30.1,14.8,3,-5.3
1973,2,2,33.8,17.8,4,-4.9
1973,3,0,37.3,21.2,2,-4.9
1973,4,10,41.1,26.5,11,-4.5
1973,5,1,42.5,29.2,3,-4.6
1973,6,112,36.8,25.4,107,-5.2
1973,7,331,29.9,21.7,136,-4.5
1973,8,448,29.2,21.4,115,-1.8
1973,9,188,28.9,21.5,117,-1.8
1973,10,113,30.4,19,116,3.1
1973,11,1,28.8,14.1,63,3.5
1973,12,0,28.7,13.1,24,3.1
1974,1,0,29.2,12.4,10,2.6
1974,2,1,33.1,16.3,6,2.2
1974,3,3,37.9,20.9,7,1.7
1974,4,9,39.7,24.9,11,1.5
