Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.0208 North,75.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,3,32.1,14.1,28,1.5
1958,2,0,34.1,15.7,13,1.4
1958,3,5,38.8,19.6,13,1.3
1958,4,4,42.2,25.5,9,1.3
1958,5,5,43.2,28.2,8,1
1958,6,125,39.7,27.5,122,0.7
1958,7,264,31.3,23.9,139,0.9
1958,8,348,31.4,23.9,116,3
1958,9,164,30.5,23,116,3
1958,10,43,33.5,19.8,97,3.4
1958,11,59,32.9,15.7,88,4.7
1958,12,0,31.1,13.6,43,4.9
1959,1,7,30.8,14.3,32,4.9
1959,2,0,34.1,15.7,13,4.6
1959,3,0,39.4,19.9,8,4
1959,4,9,41.8,24.9,13,4
1959,5,6,43.3,28.2,10,3.5
1959,6,115,38.2,26.4,112,2.9
1959,7,292,31.1,23,135,3.3
1959,8,200,30.2,23,122,3.2
1959,9,234,30.7,22.7,114,4.2
1959,10,95,33.2,20.2,111,5.6
1959,11,16,32.4,15.2,75,6.2
1959,12,0,31.7,13.2,45,6.2
1960,1,14,30.4,12.6,42,6.5
1960,2,0,36.5,15.1,14,6
1960,3,7,36.8,19.1,15,5.6
1960,4,0,41.5,24.1,6,5
1960,5,34,42.8,27.1,37,5.6
1960,6,150,37.5,25.7,146,5.3
1960,7,193,32.2,24.1,130,4.1
1960,8,158,30.2,22.7,130,2.8
1960,9,137,32,23.2,119,2.2
1960,10,45,33.8,19.4,79,2.1
1960,11,1,32.5,14.1,23,1.1
1960,12,0,32.2,14.1,12,-2.3
1961,1,1,31.7,13.9,8,-2.4
1961,2,1,32.5,13.9,6,-2.2
1961,3,3,39.3,20.4,6,-2.2
1961,4,2,41.7,24.4,5,-1.9
1961,5,44,42.4,27.1,44,1.5
1961,6,104,37.6,25.2,101,0.9
1961,7,232,31,23.4,120,0.9
1961,8,137,31.1,23.4,125,-1.2
1961,9,205,30.4,22.2,115,0.6
1961,10,117,32.6,18.8,115,2.8
1961,11,4,32.1,15.1,66,3.4
1961,12,3,30.4,11.8,52,4.1
1962,1,2,30.3,10.7,32,4.4
1962,2,0,34.9,14.6,14,4.3
1962,3,24,37.7,18.8,31,4.8
1962,4,11,40.8,24,16,5
1962,5,31,42.9,27,33,5.5
1962,6,49,38.5,26.3,50,2.9
1962,7,277,31.9,23.7,137,3.1
1962,8,112,31.2,23.3,117,1.8
1962,9,249,31.1,22.4,116,2.8
1962,10,6,34,17.7,90,2.4
1962,11,28,32.8,14.8,63,2.7
1962,12,47,30.4,13.6,63,3.8
1963,1,2,31.2,12.2,23,3.6
1963,2,2,35.7,15.1,13,3.4
1963,3,7,38.1,18.8,13,3.1
1963,4,2,40.1,23.1,6,2.9
1963,5,2,42.3,26.6,6,2.3
1963,6,131,37.8,25.2,127,2.1
1963,7,251,32.3,23.6,135,2
1963,8,252,30.5,22.7,121,2.4
1963,9,59,31.6,22.3,101,1.1
1963,10,47,34,19.7,99,1.4
1963,11,7,32.9,16.3,52,1
1963,12,0,31.6,13,19,-1.2
1964,1,0,30.4,11.9,10,-1.5
1964,2,0,34.6,14.5,7,-1.5
1964,3,5,39.7,19.9,9,-1.4
1964,4,3,42.5,25.5,6,-1.3
1964,5,3,42.5,27.1,6,-1.5
1964,6,161,38.3,25.5,155,-1
1964,7,268,32.1,23.4,130,0.4
1964,8,158,30.8,22.7,118,-0.4
1964,9,202,31.6,22.5,113,1.1
1964,10,19,34.2,19.6,92,1.1
1964,11,5,31.9,13.7,63,1.1
1964,12,0,31.2,11.8,25,-0.5
1965,1,18,31.7,13.7,29,0.5
1965,2,0,34.2,15,8,-0.1
1965,3,1,37.7,18.7,6,-0.3
