Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.2708 North,86.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,27,29,16,63,0.8
1958,2,46,30.2,18.8,75,1.4
1958,3,8,34.7,21.5,47,1.1
1958,4,12,36.3,25.4,28,0.7
1958,5,10,36.4,27.4,20,-1.3
1958,6,131,36.2,27.3,129,-2
1958,7,400,31.5,25.8,109,-1.8
1958,8,286,31.6,25.9,113,-2
1958,9,289,31.9,25.3,104,-1.5
1958,10,305,30.7,23.4,105,-0.6
1958,11,166,28.9,18.9,106,2.5
1958,12,0,27.5,15.8,55,2.4
1959,1,17,27.6,15.8,56,2.7
1959,2,10,29.7,17.7,55,2.5
1959,3,2,33.5,21.6,32,1.8
1959,4,32,35.7,25.4,44,1.9
1959,5,102,36.3,26.8,105,2.1
1959,6,170,33.5,26,144,1.6
1959,7,314,30.8,25.6,101,0.9
1959,8,336,31,25.5,108,0.8
1959,9,209,30.8,25.1,94,-1
1959,10,361,29.5,23.4,92,1.2
1959,11,0,27.9,17.1,60,-0.6
1959,12,6,26.3,14.4,47,-0.7
1960,1,0,27.5,14.8,41,-1
1960,2,0,31.6,17.9,28,-1.7
1960,3,26,32.2,20.9,38,-1.6
1960,4,3,36.8,25.3,11,-2
1960,5,41,36,27.1,45,-2.1
1960,6,213,34.2,26.4,137,-1.8
1960,7,461,30.5,25.5,100,-0.6
1960,8,345,31.5,26.3,109,1
1960,9,191,31.1,25.8,96,-0.5
1960,10,156,30.5,22.7,106,-0.7
1960,11,3,28,16.9,62,-1.2
1960,12,6,27.7,14.5,46,-1.2
1961,1,40,27.7,15.7,61,0.6
1961,2,69,27.8,17.4,80,1.8
1961,3,1,33.5,24,32,1.2
1961,4,2,36.2,25.4,16,0.6
1961,5,105,36,26.8,108,1.1
1961,6,217,33,25.5,131,1.2
1961,7,341,30.7,25.2,100,1.2
1961,8,473,31.5,26,105,1.9
1961,9,441,31,25.2,97,3.5
1961,10,176,30.3,22.4,104,3.1
1961,11,1,27.5,16.4,62,2.2
1961,12,0,25.7,12.4,46,1.6
1962,1,6,26.7,13,41,1.2
1962,2,15,29.5,17.2,41,0.6
1962,3,44,34.4,20.7,55,0.9
1962,4,47,35.2,24.7,53,1.3
1962,5,17,35.5,26.1,22,-1
1962,6,191,33.2,25.7,128,-0.9
1962,7,378,31.7,25.7,111,-0.7
1962,8,139,31.1,25.5,107,-1.8
1962,9,279,31.7,25.4,106,-1.5
1962,10,335,29.7,22.4,110,1.1
1962,11,1,28.3,16.6,59,-0.6
1962,12,0,27,14.2,48,-0.8
1963,1,0,27.1,13.4,38,-1.2
1963,2,0,31.4,17.8,26,-1.9
1963,3,14,33.9,21,26,-2.1
1963,4,41,34.8,23.5,47,-1.5
1963,5,120,34.9,25.5,120,-0.6
1963,6,170,33.3,25.7,134,-0.7
1963,7,262,31.1,25.8,104,-1.5
1963,8,391,31.5,25.8,109,-1.2
1963,9,297,32.2,25.5,106,-0.7
1963,10,363,30.6,23,103,1.6
1963,11,11,28.9,18,65,1
1963,12,0,27.3,15.2,47,0.6
1964,1,1,27.9,15.8,41,-1
1964,2,21,30.6,18.9,48,-1.2
1964,3,6,34.6,23.1,20,-1.7
1964,4,33,35,25.3,40,-1.4
1964,5,90,35.9,26.4,91,-1
1964,6,104,34.1,26.2,103,-1.8
1964,7,509,30.5,25.2,121,-0.9
1964,8,389,31.1,25.6,104,0.3
1964,9,262,31.5,25.4,102,0.9
1964,10,122,29.9,23.7,106,-0.4
1964,11,16,28.1,18.4,70,-0.8
1964,12,0,27.1,14.9,48,-1
1965,1,11,27.7,15.7,46,-1.1
1965,2,13,30.1,17.9,42,-1.4
1965,3,28,32.9,20.4,41,-1.2
1965,4,28,34.8,24.6,35,-1.1
1965,5,27,36.1,26.9,31,-1.5
1965,6,96,34.7,26.7,96,-2.5
1965,7,406,31.2,25.6,113,-2.4
1965,8,323,31.2,25.7,122,-2.3
1965,9,257,31.6,25.4,102,-2
1965,10,147,30.7,22.9,110,-2.1
1965,11,0,29.4,18,61,-2.5
1965,12,5,26.5,15.8,53,-2.5
1966,1,78,26.9,15.7,82,-0.8
1966,2,21,31.5,18.9,53,-0.6
1966,3,1,34.1,22,24,-1
1966,4,9,36.4,25.5,21,-1.3
1966,5,12,37.2,27.4,19,-2
1966,6,222,33.7,26,142,-1.6
1966,7,312,32.2,25.9,112,-1.7
1966,8,242,31.6,25.7,115,-2.2
1966,9,277,31.4,25.1,114,-1.9
1966,10,133,30.2,22,114,-2.1
1966,11,161,28.8,18.9,99,1.5
1966,12,1,26,14.4,55,1.6
1967,1,55,26.7,16.2,76,2.8
1967,2,0,30.9,18.4,52,2.6
1967,3,48,31.3,21.4,77,3.3
1967,4,47,35.1,23.4,62,3.6
1967,5,12,36.3,26.7,22,2.4
1967,6,216,34.8,26.2,151,2.2
1967,7,406,31.6,25.8,116,2.4
1967,8,336,31.1,25.6,114,2.1
1967,9,293,31.2,25.5,103,2.2
1967,10,50,30.4,22.2,91,1.1
1967,11,2,28.4,16.1,50,-1.4
1967,12,4,27.9,15.9,40,-1.8
1968,1,24,27.1,15,49,-1.7
1968,2,43,29.7,17.7,59,-1.3
1968,3,36,33.4,21.8,47,-1.1
1968,4,7,34.7,24.1,14,-1.5
1968,5,9,36.5,26.5,14,-2.3
1968,6,317,32.5,25.6,133,-1
1968,7,372,30.9,25.9,117,1.9
1968,8,182,31.7,25.9,126,0.6
1968,9,294,32.3,25.8,115,0.8
1968,10,500,29.9,22.4,107,2.8
1968,11,115,28.3,18.2,98,3.4
1968,12,0,27.5,15.1,59,3.2
1969,1,2,27.6,14.5,52,3
1969,2,0,31,19,46,2.3
1969,3,21,34.3,23.4,41,1.9
1969,4,8,36.1,25.4,19,1.2
1969,5,58,35.6,25.6,63,1
1969,6,108,34,26.4,108,-1.7
1969,7,413,31,25.7,111,-1.6
1969,8,401,30.8,25.4,120,-1.1
1969,9,233,31.4,25.5,105,-1.2
1969,10,100,30.4,22.7,108,-1.7
1969,11,107,29.2,18.4,96,-0.8
1969,12,3,26.8,14.6,58,0.3
1970,1,2,27,15.7,48,1
1970,2,40,30.5,18.8,68,1.5
1970,3,75,32.6,22.9,95,2.8
1970,4,23,35.4,25.4,39,2.6
1970,5,102,36.5,26.9,107,2.8
1970,6,404,32.8,25.1,132,4.4
1970,7,338,31.3,25.3,116,4.9
1970,8,409,31.2,25.6,108,4.8
1970,9,124,31.1,25.7,109,3
1970,10,205,29.8,22.9,106,2.8
1970,11,25,28,17.6,78,2.2
1970,12,0,26.4,13.5,49,1.7
1971,1,10,26.6,16,47,1.3
1971,2,57,29.3,17.9,75,1.7
1971,3,7,33.1,20.5,24,1
1971,4,48,32.5,23.5,55,1.4
1971,5,96,33.9,24.8,98,1.8
1971,6,474,31.5,24.7,122,4.2
1971,7,310,30.3,25.3,111,4.5
1971,8,326,30.1,25.2,112,3.9
1971,9,208,31.7,25.5,112,3
1971,10,368,29.8,22.9,106,3.8
1971,11,11,27.1,16.8,68,3
1971,12,0,26.7,14,46,2.4
1972,1,0,27.1,14.5,39,1.7
1972,2,24,27.8,16.7,50,1.3
1972,3,0,33.4,22.1,14,-1.9
1972,4,10,35.2,24.5,18,-2.1
1972,5,16,37,27.5,21,-2.8
1972,6,115,35.6,26.4,114,-3.5
1972,7,248,32.1,25.8,133,-4.3
1972,8,385,31.1,25.4,124,-4.4
1972,9,415,32.4,25.1,121,-2.6
1972,10,110,30.7,22,112,-2.9
1972,11,15,28.8,17.7,73,-3.1
1972,12,0,28.4,14.7,49,-3.1
1973,1,0,28.7,15.7,38,-3.3
1973,2,2,31.3,19.3,23,-4
1973,3,51,32.9,21.4,60,-3.1
1973,4,13,36.4,26.1,19,-3.2
1973,5,97,35.3,26.2,98,-2.5
1973,6,74,33.9,25.8,74,-3.4
1973,7,412,31.2,25.6,105,-3.1
1973,8,416,31.3,25.5,108,-2.3
1973,9,180,31.1,25.6,103,-2.8
1973,10,342,30,23.4,103,-1.5
1973,11,52,27,18.7,83,-1.3
1973,12,50,25.5,15.3,70,2.2
1974,1,0,26.4,14.4,48,2.1
1974,2,0,30,17.1,49,1.7
1974,3,82,33,22.7,97,2.9
1974,4,6,34.6,25.6,18,2.1
1974,5,42,35.3,26.3,48,1.5
1974,6,130,34.3,25.9,128,0.6
1974,7,246,31,25.7,111,-2.4
1974,8,401,31.4,25.8,108,-2.3
1974,9,253,31.5,25.2,105,-2.1
1974,10,301,30.7,23.6,103,-1.1
1974,11,42,28.4,19,82,-1.1
1974,12,0,25.5,13.5,53,-1.1
1975,1,2,26.6,14.6,41,-1.3
1975,2,19,30,18.4,49,-1.4
1975,3,15,34.2,22.3,30,-1.7
1975,4,10,36.1,25.2,19,-1.9
1975,5,29,36.5,26.5,34,-2.4
1975,6,307,33.5,25.6,141,-1.2
1975,7,250,30.5,25.2,126,-1.4
1975,8,419,31.3,25.6,126,-0.9
1975,9,233,30.8,24.9,105,-1
1975,10,250,30.5,23.7,105,0.4
1975,11,77,27.2,17.6,92,1.1
1975,12,0,26,13.2,54,1.2
1976,1,0,26.8,14.4,46,0.9
1976,2,11,29.7,18.8,46,0.7
