Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 16.6875 North,74.2292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.4,15.5,6,0.7
1958,2,0,32.7,16.5,4,-0.1
1958,3,37,36,18.3,38,1
1958,4,54,36.7,21.5,53,1.4
1958,5,102,35.3,22.7,98,1.7
1958,6,71,30.7,23.1,68,0.8
1958,7,739,25.7,21.1,102,2.1
1958,8,241,26.1,21,106,2.2
1958,9,60,27.3,20.3,89,1.2
1958,10,81,29.6,20.1,99,-1.2
1958,11,27,31,17.5,56,-1.7
1958,12,0,29.9,15.4,11,-2.2
1959,1,0,30.3,16.1,6,-2.2
1959,2,0,32.9,16.7,4,-2.1
1959,3,1,36.2,18.7,3,-2.2
1959,4,34,36.6,21.3,34,-2
1959,5,106,35.7,23,102,-1.3
1959,6,201,29.5,21.7,127,1.7
1959,7,619,25.6,20.3,99,2.7
1959,8,166,25.5,20.6,91,2
1959,9,162,27.4,20.1,103,2.4
1959,10,54,29,20.3,92,1.6
1959,11,68,30.3,16.8,87,1.8
1959,12,0,30.6,15.2,24,1.4
1960,1,0,30.7,15.2,10,1.2
1960,2,0,34.6,15.5,6,1
1960,3,14,34.6,18.6,17,1
1960,4,20,36.7,20.6,22,0.6
1960,5,169,35,21.9,157,1.9
1960,6,69,29.1,21.5,69,1.3
1960,7,505,26.5,21.6,107,1.4
1960,8,144,25.9,20.6,95,0.6
1960,9,167,27.9,20.3,99,1.2
1960,10,38,29.8,19.8,83,-0.7
1960,11,36,30.7,16.3,69,-1
1960,12,1,30.6,15.6,13,-1.4
1961,1,0,31.1,15.3,6,-1.4
1961,2,0,31.7,14.8,4,-1.4
1961,3,2,36.1,18.9,5,-1.5
1961,4,36,36.7,20.8,36,-1.3
1961,5,329,34.3,21.4,158,3.4
1961,6,71,29,20.7,103,3.6
1961,7,971,25.2,20.6,95,6
1961,8,206,26.2,20.7,96,5.4
1961,9,100,27.4,19.8,96,4.7
1961,10,128,28.8,19.3,105,4.6
1961,11,10,30.4,16.7,72,4
1961,12,0,30,14.5,24,3.3
1962,1,0,30.3,12.8,10,2.9
1962,2,1,34,15.2,7,2.6
1962,3,3,35,17.7,7,2.2
1962,4,21,35.9,20.7,23,1.7
1962,5,100,35.1,21.5,97,1.9
1962,6,42,29.8,22,41,0.7
1962,7,576,26.1,21,100,1.3
1962,8,226,25.9,20.4,92,1.5
1962,9,101,27.8,19.6,101,1
1962,10,100,31.1,19,113,0.8
1962,11,46,30.3,16,78,1.2
1962,12,123,28.8,15.1,99,3.6
