Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 18.3958 North,76.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.3,14.9,4,0.6
1958,2,0,32.5,16.9,2,-0.2
1958,3,14,36.5,19.6,15,0.3
1958,4,39,38.4,23.9,38,1.2
1958,5,30,39.9,25.6,29,1.3
1958,6,70,35.9,24.6,67,-1.6
1958,7,327,29.2,21,139,1.1
1958,8,348,29.2,20.8,125,3.6
1958,9,84,28.9,20.5,112,2.3
1958,10,47,30.1,19.4,81,1.5
1958,11,47,30.1,16.2,55,1.4
1958,12,0,28.7,14.1,6,0.9
1959,1,0,29.4,15.8,4,0.6
1959,2,0,32.8,17.2,2,-1.6
1959,3,0,36.7,20,2,-1.8
1959,4,30,38.2,23.6,30,-1
1959,5,21,40.1,25.7,21,-1.1
1959,6,222,34.2,22.7,172,1.7
1959,7,245,29.3,20.3,137,2
1959,8,211,28.5,20.3,129,2.4
1959,9,280,29,20.3,126,2.9
1959,10,103,29.6,19.7,116,3.8
1959,11,14,29.4,15.5,62,4.4
1959,12,0,29.2,13.9,12,3.7
1960,1,0,29.5,14.5,6,3.3
1960,2,0,34.1,15.7,4,2.7
1960,3,22,34.8,19.6,23,3.1
1960,4,7,38.2,22.8,9,2.5
1960,5,57,39.5,24.6,55,3.3
1960,6,158,33.6,22.3,151,3.1
1960,7,181,30.1,21.5,125,2.2
1960,8,41,29.1,20.5,63,-2.3
1960,9,292,29.7,20.7,111,-1.7
1960,10,38,30.2,19,91,-1.5
1960,11,31,29.5,14.8,49,-1.2
1960,12,0,29.6,14.6,8,-1.3
1961,1,0,30.3,15,5,-1.2
1961,2,0,31.4,15.2,3,-1.2
1961,3,8,36.9,20.5,10,-1.1
1961,4,26,38.7,23.4,26,-0.6
1961,5,70,38.9,24.3,68,1.9
1961,6,203,33.7,21.7,167,2.8
1961,7,331,29,20.7,119,4.3
1961,8,150,29.2,20.4,131,3.6
1961,9,93,28.9,19.9,112,2.2
1961,10,167,29.2,18.5,115,4.2
1961,11,12,29.2,15.1,64,4.8
1961,12,1,28.5,12.9,22,4.9
1962,1,0,29,12,8,4.6
1962,2,2,33.4,15.3,7,4.2
1962,3,5,35.4,19,8,3.7
1962,4,49,37.2,22.7,48,4.6
1962,5,62,39.4,24.1,61,5.5
1962,6,112,34.5,23.1,108,4.1
1962,7,223,29.7,21,137,3.5
1962,8,244,29.2,20.4,121,4.1
1962,9,320,29.2,19.7,120,4.9
1962,10,38,31.1,17.8,98,4.3
1962,11,46,29.3,14.7,58,4.4
1962,12,37,27.6,13.9,42,5.2
1963,1,0,29.4,13.4,4,4.7
1963,2,7,33.2,15.3,10,4.4
1963,3,17,35.8,19.1,18,4.4
1963,4,34,36.9,21.8,34,4.6
1963,5,18,39.4,24.2,18,4
1963,6,270,33.8,21.5,184,5.5
1963,7,197,30.2,20.9,146,5.1
1963,8,359,28.7,19.7,127,7.3
1963,9,95,29.9,20.1,117,5.6
1963,10,77,30.2,19.1,103,5.3
1963,11,0,29.6,15.9,19,4.1
1963,12,0,29.1,13.6,8,3.4
1964,1,0,29.2,13.5,5,3
1964,2,2,33.1,15.5,5,2.6
1964,3,10,36.9,19.8,11,2.4
1964,4,7,38.9,23.9,8,1.7
1964,5,2,39.5,24.7,3,0.6
1964,6,114,34.5,22.1,109,-2.7
1964,7,322,30.1,20.4,129,-1.2
1964,8,140,28.8,19.6,130,-1.5
1964,9,364,29.2,19.7,108,2.3
1964,10,22,30.2,18.9,83,1.8
1964,11,10,28.5,14,24,1.1
1964,12,1,28.4,11.9,8,0.7
1965,1,0,29.6,14.3,5,0.6
1965,2,1,32.4,15.7,3,-1
1965,3,0,35.4,18.8,2,-1.3
1965,4,20,37.5,22.2,20,-1
1965,5,3,40,24.7,4,-1.7
1965,6,168,34.6,22.3,161,-1.4
1965,7,335,29.6,20.8,144,1.3
1965,8,174,29.7,20.4,126,1.2
1965,9,125,29.9,20.1,129,-0.9
1965,10,4,32.1,18.7,60,-1.8
1965,11,3,30.8,14.7,15,-2.8
