Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.1458 North,84.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,23,26.9,12.3,58,0.6
1958,2,23,28.5,15.1,58,0.6
1958,3,11,33.5,17.9,65,-0.2
1958,4,53,35.5,22.9,76,0.7
1958,5,24,36.3,25.6,37,-0.8
1958,6,116,34.6,25.1,119,-1.9
1958,7,519,27.4,22,95,-1.3
1958,8,272,27.6,22.1,101,-1.4
1958,9,319,28.3,21.3,101,-0.6
1958,10,194,27.9,19.8,103,2
1958,11,50,26.2,14.9,79,2.7
1958,12,0,25.1,11.9,49,2.5
1959,1,25,25.8,12.3,57,2.6
1959,2,27,28.4,14.3,61,2.5
1959,3,0,32.5,18.3,61,1.9
1959,4,28,34.9,22.8,50,1.7
1959,5,55,36.2,25.2,66,1.4
1959,6,223,31.5,23.6,146,1.3
1959,7,426,26.8,21.9,99,1.5
1959,8,250,26.9,21.6,95,0.9
1959,9,205,27.4,21.5,91,-0.4
1959,10,161,27.1,20.4,94,0.9
1959,11,0,25.4,13.3,56,-0.3
1959,12,6,24.2,10.9,45,0
1960,1,1,25.8,11.4,43,-0.5
1960,2,0,29.5,13.7,43,-1.1
1960,3,26,31,17.6,65,-1.1
1960,4,8,35.7,22.3,27,-1.6
1960,5,48,35.6,25.2,57,-1.5
1960,6,231,32.3,23.9,141,-1.2
1960,7,466,26.7,22,95,0.7
1960,8,291,27.4,22.5,100,-0.1
1960,9,207,27.7,22.1,92,-0.5
1960,10,92,27.7,19.1,98,-0.6
1960,11,1,25.5,13.1,54,-0.8
1960,12,9,25.8,10.9,47,-0.7
1961,1,36,26,12.4,58,0.5
1961,2,83,26.2,14,85,2
1961,3,15,32.2,20.4,72,2.2
1961,4,7,35.5,22.9,41,1.6
1961,5,73,35.7,25,87,1.8
1961,6,244,30.8,22.9,144,1.9
1961,7,378,26.6,21.4,92,1.9
1961,8,369,27.3,22.1,95,2.3
1961,9,356,27.2,21.1,93,3.3
1961,10,144,27.4,18.8,101,3.5
1961,11,9,24.9,12.7,60,3.1
1961,12,1,23.7,9,46,2.7
1962,1,12,24.7,9.4,48,2.4
1962,2,21,27.6,13.5,53,2.1
1962,3,29,33,17,71,2
1962,4,50,34.2,22.1,72,2.2
1962,5,33,35.1,24.3,45,1.5
1962,6,161,31.3,23.4,142,0.8
1962,7,489,27.6,21.9,103,1
1962,8,206,27.2,21.7,99,-1.3
1962,9,341,28,21.5,99,1
1962,10,181,27.1,18.9,105,1.9
1962,11,3,25.7,12.7,58,1.5
1962,12,11,25,10.8,51,1.5
1963,1,0,25,9.7,42,1
1963,2,1,29.2,13.5,42,-0.6
1963,3,13,32.5,17.4,54,-1.2
1963,4,88,33.8,20.8,102,1.2
1963,5,79,34.8,23.9,87,1.5
1963,6,176,31.2,23.2,146,0.9
1963,7,305,27,22,106,-1.3
1963,8,330,27.4,21.8,97,-1.3
1963,9,274,28.6,21.6,101,-1
1963,10,230,28,19.6,102,1.9
1963,11,1,26.5,14.4,59,1.4
1963,12,0,25,11.5,45,1
1964,1,1,26.2,12.4,45,0.6
1964,2,32,28.8,15.3,58,0.6
1964,3,4,33.3,19.2,49,-1.1
1964,4,41,34.7,23.2,59,-0.9
1964,5,62,35.8,24.9,71,-0.8
1964,6,155,31.9,23.5,139,-1.4
1964,7,419,26.6,21.6,111,-1.5
1964,8,407,26.8,21.5,93,0.9
1964,9,326,27.8,21.5,96,1.7
1964,10,80,27.3,20.3,94,1.3
1964,11,7,25.1,14.1,59,1
1964,12,1,24.7,11.1,45,0.6
1965,1,13,25.8,12.3,48,-0.1
1965,2,6,28.4,14.2,45,-1.2
1965,3,34,31.9,17.1,67,-1.1
1965,4,33,33.8,22,49,-1
1965,5,29,35.8,25,39,-1.5
1965,6,87,33.1,24.5,90,-2.9
1965,7,521,27.5,22.1,105,-2.2
1965,8,272,27.6,22.2,112,-2.3
1965,9,236,28.1,21.6,102,-2.3
1965,10,53,28.2,19.7,89,-2.7
1965,11,1,26.7,14.1,55,-2.9
1965,12,16,24.5,12.5,51,-2.7
1966,1,112,25.2,12.2,88,2.1
1966,2,13,29.6,14.9,56,1.9
1966,3,1,33.1,18.4,59,1.2
1966,4,12,35.6,22.9,35,0.6
1966,5,27,36.9,25.5,39,-1.5
1966,6,219,32,23.7,144,-1.3
1966,7,333,28.5,22.5,102,-1.6
1966,8,240,27.9,22,100,-2
1966,9,239,28.3,21.5,105,-2
1966,10,62,28.1,19,91,-2.3
1966,11,48,26.6,15.3,73,-1.3
1966,12,6,24.2,10.7,47,-1.2
1967,1,50,24.9,12.7,68,1.5
1967,2,0,29.3,14.7,46,0.9
1967,3,102,30.2,17.9,112,2.6
1967,4,40,34.6,21.2,78,2.9
1967,5,7,36.1,24.9,25,1.7
1967,6,245,33,23.9,149,1.8
1967,7,436,27.8,22.2,108,2.1
1967,8,275,27,21.8,101,1.6
1967,9,244,27.8,21.8,103,1.3
1967,10,20,28,18.9,78,-1.4
1967,11,1,26.2,12.5,51,-1.9
1967,12,44,26,12.6,61,-1.1
1968,1,39,25.1,11.3,59,-0.6
1968,2,32,28.2,14.2,56,0.1
1968,3,34,31.8,17.9,73,1
1968,4,27,33.7,21.4,47,0.7
1968,5,18,36,24.4,29,-0.8
1968,6,293,31.1,23.7,144,0.8
1968,7,405,27.1,22.4,110,1.3
1968,8,105,27.9,22.2,106,-1.7
1968,9,297,28.6,21.8,103,-1.2
1968,10,200,27.3,18.9,103,1.6
1968,11,28,25.6,14.3,68,1.9
1968,12,2,25.5,11.5,49,1.7
1969,1,1,26,11.1,47,1.2
1969,2,0,29.4,15.4,44,-0.6
1969,3,22,33.3,20.1,62,-1.1
1969,4,5,35.7,23.2,25,-1.8
1969,5,95,34.9,23.4,102,-0.9
1969,6,136,32.1,24,133,-1.8
1969,7,529,26.9,21.9,98,-1.1
1969,8,259,27,21.8,103,-1.4
1969,9,253,27.7,21.6,99,-1.2
1969,10,57,27.7,19.2,91,-1.7
1969,11,40,26.6,14.6,68,-1
1969,12,25,24.5,10.8,54,0.5
1970,1,4,25.2,12.4,44,-0.2
1970,2,28,28.9,15.1,60,0.6
1970,3,102,31.4,19.5,114,2.3
1970,4,27,34.6,22.9,62,2.1
1970,5,102,36.2,25,115,2.8
1970,6,396,30.2,22,142,4.4
1970,7,331,27.3,21.7,106,4.8
1970,8,416,27.1,21.8,98,5.3
1970,9,132,27.5,21.9,100,3.4
1970,10,69,27.3,19.6,92,2.6
1970,11,3,25,13.2,59,2
1970,12,0,23.9,9.4,42,1.4
1971,1,7,24.6,12.4,44,0.9
1971,2,66,27.8,14.8,77,1.6
1971,3,11,31.6,16.9,54,1
1971,4,75,31.9,21.6,91,1.9
1971,5,94,33.2,22.8,101,2.4
1971,6,353,29,21.8,137,3.7
1971,7,252,26.5,21.7,109,3.1
1971,8,316,26.5,21.7,101,2.9
1971,9,242,28,21.5,103,2.4
1971,10,131,27,19.4,103,2.6
1971,11,0,24.2,12.7,59,2
1971,12,0,24,9.9,44,1.6
1972,1,0,24.8,10.5,41,1.1
1972,2,39,26.5,13.6,62,1.2
1972,3,0,32.1,18.8,48,-1
1972,4,22,34.7,22.4,42,-1.1
1972,5,14,36.8,25.5,25,-2
1972,6,124,34.3,24.6,125,-3
1972,7,314,28.4,22.5,119,-3.8
1972,8,272,27.6,22.1,113,-4.5
1972,9,350,29,21.2,106,-3
1972,10,83,28,18.4,99,-3
1972,11,19,26.1,13.7,66,-2.5
