Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.7292 North,74.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,29,12.3,18,1.1
1958,2,0,30.4,13.3,9,1
1958,3,4,35,17.2,9,1.1
1958,4,0,37.9,22.3,4,1
1958,5,0,38.4,24.9,3,-0.4
1958,6,131,34.4,24.4,126,0.2
1958,7,336,27.9,22.4,121,-0.2
1958,8,314,27.9,21.9,107,0.9
1958,9,421,27,20.2,101,3.3
1958,10,93,30.3,18.1,114,4.6
1958,11,16,30.1,14.2,71,5.6
1958,12,0,28.3,12.1,38,5.9
1959,1,0,27.3,11.9,17,5.6
1959,2,0,30.3,13.1,9,5.2
1959,3,0,35.4,17.4,6,4.6
1959,4,0,37.6,21.9,4,4.2
1959,5,4,38.4,24.9,7,3.5
1959,6,147,33.3,23.7,142,3.6
1959,7,605,27.5,21.3,120,5.7
1959,8,254,26.5,20.9,104,5.3
1959,9,354,27.1,19.9,103,6.6
1959,10,145,29.9,18.4,120,8.8
1959,11,7,29.6,13.7,68,9.2
1959,12,0,28.8,11.5,46,9.8
1960,1,1,27,10.4,24,9.4
1960,2,0,33.1,13,11,8.7
1960,3,1,32.6,16.5,7,7.9
1960,4,0,37.2,20.9,5,7.2
1960,5,30,37.9,23.9,32,7.5
1960,6,167,32.7,23,161,7.7
1960,7,240,28.8,22.5,124,5.9
1960,8,221,26.4,20.5,106,4.3
1960,9,153,28.5,20.5,111,3.5
1960,10,18,30.8,17.7,91,2.9
1960,11,0,30,12.9,46,2.2
1960,12,0,29.3,12.4,16,1.6
1961,1,0,28.2,11.6,9,1.2
1961,2,0,28.8,11.6,6,1
1961,3,0,35.3,17.8,4,0.7
1961,4,0,37.2,21,3,0.7
1961,5,16,37.7,24,18,1
1961,6,63,32.7,22.5,62,-2.3
1961,7,411,27.4,21.7,109,-1.4
1961,8,214,27.4,21.3,109,-1.7
1961,9,358,27,19.6,101,2
1961,10,45,29.6,17.2,93,2.3
1961,11,1,29.6,13.9,54,2.5
1961,12,0,27.6,10.2,26,2.2
1962,1,0,27.1,8.7,12,2
1962,2,0,31.5,12.5,7,1.8
1962,3,16,33.7,16.4,20,2.7
1962,4,0,36.7,21.1,3,2.4
1962,5,24,38.2,23.9,26,2.9
1962,6,35,33.6,23.5,36,0.8
1962,7,383,28.3,22,123,0.9
1962,8,122,27.5,21.2,111,-2.8
1962,9,325,27.8,19.8,110,-1.1
1962,10,0,30.9,15.9,92,-1.7
1962,11,2,30.2,13.4,35,-2.3
1962,12,6,27.8,12.2,20,-2.2
1963,1,3,28.4,10.6,11,-2
1963,2,0,32.5,13.2,5,-1.9
1963,3,4,34.3,16.5,7,-1.6
1963,4,0,36.3,20.4,3,-1.5
1963,5,1,37.6,23.5,3,-1.8
1963,6,94,33.3,22.9,91,-2
1963,7,354,28.9,21.9,119,-1.9
1963,8,386,27,20.7,105,1.8
1963,9,167,27.9,19.4,121,1.3
1963,10,53,31,18,102,1.8
1963,11,12,30.2,14.9,59,2.3
1963,12,0,28.9,11.4,28,2.2
1964,1,0,26.7,9.4,13,2
1964,2,0,30.8,11.9,7,1.8
1964,3,1,35.5,17.3,6,1.6
1964,4,0,38.1,22.1,4,1.4
1964,5,5,37.7,23.8,7,1
1964,6,96,33.2,22.6,93,-0.4
1964,7,514,28.6,21.7,118,1.6
1964,8,274,27.2,20.7,102,1.9
1964,9,250,28.1,19.8,106,2.3
1964,10,2,30.9,17.7,82,1.5
1964,11,1,29.3,12.5,42,0.8
1964,12,0,28.4,10.1,15,-1.5
1965,1,4,28.8,12,12,-1.3
1965,2,0,30.7,12.8,6,-1.3
1965,3,1,33.7,16.2,4,-1.3
1965,4,0,36.6,20.7,3,-1.2
1965,5,0,37.9,23.8,3,-1.5
1965,6,145,33.9,23.4,140,-1
1965,7,416,28.4,22.1,115,0.6
1965,8,217,28.1,21.2,108,-0.3
1965,9,31,28.5,19.9,87,-1.6
1965,10,1,32.4,17.8,60,-3.1
1965,11,1,31.2,13.3,19,-4.3
1965,12,1,28.8,11.4,11,-4.6
1966,1,0,28.4,11.3,6,-4.5
1966,2,0,32.4,13.9,4,-4.2
1966,3,0,33.9,15.8,3,-4
1966,4,0,36.7,20.7,2,-3.7
1966,5,3,37.2,23.2,4,-3.7
1966,6,107,33.4,23.7,103,-3.6
1966,7,410,29.7,22.9,124,-2.8
1966,8,84,27.7,21.4,100,-4.3
1966,9,215,28.9,20,121,-3.8
1966,10,2,32.9,18.5,91,-4
1966,11,8,30.3,15.6,43,-4.4
1966,12,1,28.3,11,15,-4.5
1967,1,0,27.3,9.7,8,-4.2
1967,2,0,32.6,13,5,-3.8
1967,3,5,33.1,17.2,8,-3.1
1967,4,0,36.9,20.5,3,-2.8
1967,5,1,38.2,23.8,3,-2.9
1967,6,213,32.9,22.8,172,-0.8
1967,7,492,28.2,22.3,117,3.4
1967,8,232,26.9,21.2,103,3
1967,9,178,27.8,20,108,2.6
1967,10,10,31.9,17.7,83,2
1967,11,0,30.7,13.6,43,1.6
1967,12,4,27.6,13.5,22,1.4
1968,1,0,26.1,10.4,9,1.2
1968,2,0,28.8,11.8,6,1.1
1968,3,2,34.1,16.2,6,1.1
1968,4,0,36.7,20,3,1
1968,5,0,37,22.8,2,-0.4
1968,6,46,34.1,23.7,46,-2.1
1968,7,302,29,22.3,117,-2.4
1968,8,309,26.7,20.8,105,-1.3
1968,9,113,29.7,20.4,115,-2.1
1968,10,39,32.1,16.9,89,-1.5
1968,11,0,30.6,12.9,46,-1.1
1968,12,0,28.4,11,25,-0.7
1969,1,0,27.8,11.5,12,0.1
1969,2,0,30.5,13.5,7,0.9
1969,3,0,35.3,18.4,5,0.7
1969,4,0,38.1,21.7,3,0.7
1969,5,0,38,24.4,3,-0.4
1969,6,94,33.8,23.5,92,-0.9
1969,7,428,29,22.2,117,0.7
1969,8,181,27.4,20.6,101,-0.8
1969,9,320,27.4,20.2,110,1.4
1969,10,0,32.1,17.6,77,0.7
1969,11,6,31.5,15.7,44,0.6
1969,12,1,29.9,10.9,19,-0.1
1970,1,0,27.9,11.2,10,-0.5
1970,2,0,30.2,13.6,6,-0.5
1970,3,4,33.5,17,8,-0.2
1970,4,0,37.4,22.2,3,0
1970,5,17,38.2,24.8,19,0.4
1970,6,251,31.8,22.2,152,3.2
1970,7,278,28.7,22.2,119,2.9
1970,8,344,27.1,21.2,106,3.9
1970,9,405,27.4,19.9,101,5.8
1970,10,15,31.4,18.1,77,5.1
1970,11,0,29.6,11.4,41,4.6
1970,12,0,28.5,8.7,24,4.5
1971,1,0,26.6,10.7,12,4.1
1971,2,0,31,11.6,7,3.8
1971,3,0,34.8,15.7,5,3.4
1971,4,0,38.1,22.3,3,3
1971,5,34,37,23.9,35,4
1971,6,139,30.3,22.8,134,4.1
1971,7,253,27.3,22.3,119,2.8
1971,8,235,26.8,21.5,104,1.9
1971,9,221,28.3,20.2,110,2
1971,10,22,29.6,17.7,89,1.8
1971,11,0,28.9,12.4,41,1.6
1971,12,0,27.8,9.5,23,1.4
1972,1,0,28.4,9.8,11,1.3
1972,2,0,27.9,11.5,7,1.3
1972,3,0,34.8,17.2,5,1.1
1972,4,0,36.7,20.6,3,1
1972,5,6,38,23.8,9,0.8
1972,6,58,34.2,23.9,58,-1.7
1972,7,228,28.9,22.4,125,-2.6
1972,8,181,27.5,21.3,118,-4
1972,9,39,29.1,19.7,92,-4.9
1972,10,2,32.5,18.2,50,-6
1972,11,6,30.3,12.8,22,-6.3
1972,12,0,28.6,11.7,9,-6.3
1973,1,3,27.1,10.3,8,-5.7
1973,2,0,31.2,13.6,4,-5.3
1973,3,0,34.5,17.1,3,-4.9
1973,4,0,38.7,23.1,2,-4.4
1973,5,4,38.3,25.4,5,-4.3
1973,6,70,33.3,23.9,68,-4.9
1973,7,399,27.8,21.3,118,-4
1973,8,296,27,20.8,105,-2.9
1973,9,441,26.5,19.7,95,3.7
1973,10,17,30.8,18.1,83,3.2
1973,11,0,29.7,11.9,46,2.8
1973,12,1,27.6,11,21,2.3
1974,1,0,27.7,9.6,10,2.1
1974,2,0,29.8,11.8,6,1.9
1974,3,0,35.5,17.6,4,1.6
1974,4,0,37.7,22.1,3,1.5
1974,5,42,37.1,23.4,42,2.9
1974,6,20,33.4,23.6,21,0.6
1974,7,214,28.9,23,119,-2.9
1974,8,140,27.8,21.3,106,-4.4
1974,9,97,30,21,96,-4.7
1974,10,47,30.4,19.2,85,-4.1
1974,11,0,29.2,11.5,33,-3.9
1974,12,3,27.1,10.5,16,-3.6
1975,1,0,26.5,9.4,8,-3.2
1975,2,0,30,12.4,5,-2.9
1975,3,0,33.2,15.9,4,-2.6
1975,4,0,37.5,21.5,3,-2.4
1975,5,1,37.7,24.1,3,-2.5
1975,6,137,32.4,22.8,132,-2
1975,7,255,28.2,22,118,-2.7
1975,8,355,26.9,21.1,107,-1.6
1975,9,324,27.4,19.9,119,2.1
1975,10,170,29.7,18.9,117,5.4
1975,11,0,28.2,11.8,61,5.9
1975,12,0,28.3,9.1,44,6.8
1976,1,4,27.6,10.6,29,7.1
1976,2,0,30.5,12.9,12,6.7
1976,3,0,34.9,16.7,7,6.1
1976,4,0,36.2,20.9,5,5.6
1976,5,0,37.1,23.6,4,4.6
1976,6,222,32.1,22.6,170,6.2
1976,7,507,28.6,22.1,122,7.5
1976,8,358,27,20.6,107,8.2
1976,9,159,27.7,19.5,112,7
1976,10,0,32.2,18.2,84,5.6
1976,11,43,31,16.5,68,5.8
1976,12,1,28.6,12.5,22,5.1
