Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 18.5208 North,73.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.9,19.3,15,3.5
1958,2,0,30.2,19.4,9,3.4
1958,3,0,33.4,22.1,6,3.2
1958,4,4,34.7,26.1,8,3.1
1958,5,71,35,27.9,71,4.8
1958,6,591,32.7,27.2,154,4.3
1958,7,5282,28.7,24.9,106,3.8
1958,8,811,28.7,24.5,109,3.5
1958,9,404,28.6,23.8,102,3.1
1958,10,72,31,23.3,105,2
1958,11,6,32.4,21.5,67,1.5
1958,12,0,31,19.6,38,0.8
1959,1,0,29.6,19.6,15,-1.5
1959,2,0,30.3,19.5,9,-1.4
1959,3,0,33.6,22.5,6,-1.3
1959,4,7,34.9,26.1,11,-0.8
1959,5,40,35.4,28.2,41,0.4
1959,6,635,32,26.2,141,0
1959,7,2173,28.5,23.9,108,0
1959,8,1226,28,24,98,0
1959,9,582,28.5,23.4,100,0.6
1959,10,310,30.1,23.2,118,5.1
1959,11,15,31.8,20.8,75,5.6
1959,12,0,31.6,19.4,52,6.1
1960,1,0,29.8,18.5,28,6.1
1960,2,0,32.9,19.1,13,5.8
1960,3,0,31.7,22.1,8,5.3
1960,4,2,34.8,25.2,7,4.7
1960,5,119,34.8,27.1,117,8.6
1960,6,433,31.3,25.8,137,7.7
1960,7,1821,29.4,25.2,114,6.9
1960,8,702,28,23.6,100,6.2
1960,9,395,29.3,23.9,107,5.6
1960,10,170,31,22.8,118,6.3
1960,11,5,32.1,20.4,76,6.1
1960,12,0,31.6,19.8,46,6.1
1961,1,0,30.4,18.9,25,5.9
1961,2,0,29.2,17.8,12,5.5
1961,3,0,33.2,22.5,7,5.1
1961,4,4,34.6,25.3,9,4.8
1961,5,129,34.1,26.6,126,9.2
1961,6,1713,31.4,25.2,134,8.2
1961,7,1969,28.1,24.3,104,7.4
1961,8,835,28.7,24.1,104,6.6
1961,9,328,28.7,23.3,93,5.9
1961,10,220,30.1,22.5,107,7.9
1961,11,3,32,21,71,7.4
1961,12,0,30.9,18.5,48,7.4
1962,1,0,29.5,16.2,26,7.3
1962,2,0,31.9,18.5,12,6.8
1962,3,0,32.3,21.5,7,6.3
1962,4,9,34,25.3,13,6.4
1962,5,106,34.9,26.8,104,9.4
1962,6,347,31.9,26.3,144,8.4
1962,7,1973,28.9,24.5,107,7.6
1962,8,1132,28.5,23.9,100,6.8
1962,9,572,29.1,23.2,104,6.2
1962,10,73,32.2,21.9,111,4.7
1962,11,5,32,20.4,62,3.7
1962,12,32,30,19.5,55,5
1963,1,0,30.8,18.5,22,4.9
1963,2,0,31.9,18.6,11,4.6
1963,3,0,33,21.8,7,4.3
1963,4,3,33.8,24.5,7,3.8
1963,5,20,34.8,26.7,23,2.8
1963,6,617,31.9,25.3,142,2.5
1963,7,4629,29.5,24.6,114,2.3
1963,8,651,28.1,23.3,101,2
1963,9,285,29.3,23.1,118,1.7
1963,10,92,31.1,23,112,1.1
1963,11,7,31.9,21.2,70,1.2
1963,12,0,31.3,19,44,0.9
1964,1,0,28.6,16.6,17,-0.3
1964,2,0,30.4,17.4,9,-0.9
1964,3,0,33.1,21.6,6,-0.9
1964,4,1,34.9,25.8,5,-1.2
1964,5,12,34.4,26.9,14,-2.2
1964,6,576,31.9,25.3,148,-2
1964,7,1606,29.4,24.1,117,-1.7
1964,8,1248,28.3,23.3,102,-1.6
1964,9,477,28.8,22.8,107,-1.4
1964,10,263,30.6,22.3,117,3.5
1964,11,11,31.1,19.6,78,3.9
1964,12,0,30.5,17.1,53,4.4
1965,1,0,30.2,18.6,23,4.3
1965,2,0,30.5,18.5,12,4
1965,3,0,31.9,21,7,3.6
1965,4,18,34,24.6,22,4.9
1965,5,9,34.5,26.3,12,3.3
1965,6,630,32.1,25.6,138,2.9
1965,7,2226,28.8,24.4,112,2.6
1965,8,1257,29.1,24,114,2.4
1965,9,115,29.7,23.6,117,1.9
1965,10,3,32.7,22.3,89,-3.2
1965,11,7,33.1,20,48,-6.5
1965,12,14,31.2,19,30,-7.2
1966,1,0,30,18.2,9,-7.1
1966,2,0,31.8,19.2,6,-6.7
1966,3,0,32.5,21.1,4,-6.3
1966,4,0,34,24.8,3,-6.1
1966,5,43,34,26.3,43,-5.1
1966,6,346,32,26.4,141,-4.5
1966,7,1701,29.8,25.3,116,-4.1
1966,8,354,29,24.3,109,-3.7
1966,9,329,30,23.3,122,-3.4
1966,10,25,32.9,23.1,95,-4.8
1966,11,15,31.9,21.8,69,-6
1966,12,1,30.4,18.7,21,-6.9
1967,1,0,29.3,17.2,11,-6.8
1967,2,0,31.7,18.4,7,-6.4
1967,3,0,31.9,22.6,5,-5.9
1967,4,3,34.8,25,6,-5.4
1967,5,6,35.2,27,8,-6.2
1967,6,758,31.8,25.9,151,-5.6
1967,7,2228,28.8,24.8,111,-5
1967,8,698,28.3,24.1,104,-4.5
1967,9,361,29,23.5,109,-4.1
1967,10,90,31.7,22.3,111,-4.1
1967,11,2,32.3,19.7,70,-3.7
1967,12,25,29.7,20.7,55,-2.3
1968,1,0,28.1,17.5,21,-1.9
1968,2,0,28.6,17.9,11,-1.6
1968,3,0,32.6,21.3,7,-1.4
1968,4,5,34,24.2,9,-1
1968,5,3,34.1,26.1,6,-2.3
1968,6,235,32.5,26.2,152,-2.1
1968,7,1639,29.5,24.7,117,-1.9
1968,8,563,28.3,24.2,109,-1.7
1968,9,302,30.1,23.6,112,-1.6
1968,10,109,32.1,21.4,118,-1.5
1968,11,5,32.2,19.7,73,-1
1968,12,1,30.7,18.3,47,0.3
1969,1,0,29.7,18.5,18,0
1969,2,0,30.3,19.4,10,0.5
1969,3,0,33.1,22.8,6,0
1969,4,1,35.4,25.8,5,-0.2
1969,5,3,35.3,27.9,6,-1.8
1969,6,594,32.3,26.1,142,-1.6
1969,7,2209,29.6,24.7,115,-1.4
1969,8,996,28.9,23.7,112,-1.3
1969,9,570,28.3,23.5,107,-1.1
1969,10,20,31.4,23.5,89,-2.8
1969,11,9,32.7,22.2,55,-3.8
1969,12,1,31.5,19.7,26,-4.7
1970,1,0,29.7,17.9,12,-4.5
1970,2,0,30.1,19.3,7,-4.2
1970,3,0,31.9,21.7,5,-3.9
1970,4,8,34.1,26,11,-3
1970,5,90,34.7,27.4,89,3.2
1970,6,468,30.9,25.3,135,2.9
1970,7,1440,29.3,24.9,114,2.6
1970,8,1371,28.2,23.8,101,2.3
1970,9,360,28.6,23.3,103,2
1970,10,140,31.3,22.8,122,2.4
1970,11,0,31.7,18.6,77,2.3
1970,12,0,30.4,15.5,44,2.6
1971,1,0,28.4,17.2,23,2.7
1971,2,0,29.3,18.4,11,2.7
1971,3,0,32.2,21.9,7,2.5
1971,4,0,34.5,26.1,5,1.9
1971,5,88,34.1,26.9,88,4.4
1971,6,456,30.5,25,140,4
1971,7,864,28.8,24.5,116,3.6
1971,8,1340,28.2,23.8,108,3.2
1971,9,547,29.3,23.6,109,3
1971,10,50,30.2,22.2,95,1.5
1971,11,4,29.9,19.3,64,-1.9
1971,12,0,30.5,18.6,31,-2.9
1972,1,0,30.1,16.5,14,-2.9
1972,2,0,28.1,17.9,8,-2.7
1972,3,0,32.9,21.9,5,-2.4
1972,4,3,34,24.7,6,-2.3
1972,5,9,34.6,26.6,12,-3.3
1972,6,294,32.8,26.8,162,-2.9
1972,7,1463,29.6,25.2,122,-2.6
1972,8,351,29.1,24.4,118,-2.4
1972,9,174,30.3,23.6,126,-2.3
1972,10,1,31.9,23.9,84,-4.3
1972,11,29,31.2,20.6,68,-5.1
1972,12,0,33,21.1,22,-6.7
1973,1,0,29.2,18,11,-6.5
1973,2,0,30.7,19.8,7,-6.1
1973,3,0,32.5,22.3,5,-5.6
1973,4,4,35.4,26.8,7,-5.1
1973,5,9,34.7,28.2,11,-5.9
1973,6,385,32,26.5,155,-5.3
1973,7,2281,28.9,24.3,114,-4.7
1973,8,1053,28.4,23.5,106,-4.2
1973,9,510,27.8,23.3,104,-3.7
1973,10,111,30.7,22.8,118,-3.4
1973,11,1,30.8,20.2,75,-2.9
1973,12,0,30.6,18.7,45,-3.2
1974,1,0,29.8,16.9,17,-3
1974,2,0,29.9,18.1,9,-2.7
1974,3,0,33.3,22.1,6,-2.4
1974,4,5,34.7,26.1,9,-2
1974,5,82,34,26.5,81,2.5
1974,6,889,31.9,26.2,153,2.3
1974,7,1082,29.3,25.3,113,2
1974,8,1246,28.8,23.9,108,1.8
1974,9,378,30.3,23.8,110,1.6
1974,10,268,29.9,23.5,125,4.9
1974,11,0,30.9,18.2,75,4.6
1974,12,0,29.6,17.8,50,4.7
1975,1,0,28.9,16.7,21,4.3
1975,2,0,29.9,18.2,11,3.9
1975,3,0,31.5,21,7,3.5
1975,4,0,34.4,25.6,5,2.8
1975,5,39,34.2,26.9,40,2.8
1975,6,663,31,25.5,151,2.5
1975,7,1771,29,24.6,115,2.2
1975,8,1553,28.2,23.9,107,2
1975,9,732,28.8,23.1,118,2
1975,10,218,29.7,23.5,115,4.3
1975,11,3,30.2,19.2,77,4.2
1975,12,0,30.3,16.1,49,4.4
1976,1,0,29.3,17.2,22,4.1
1976,2,0,30.2,18.3,11,3.8
1976,3,0,33.7,21.4,7,3.4
1976,4,1,33.3,24.8,5,2.8
1976,5,3,33.7,26.5,6,1.1
1976,6,1003,31,25.5,138,1
1976,7,1930,29.3,24.7,114,0.9
1976,8,1239,28.6,23.8,107,0.8
1976,9,437,29.2,23.3,110,0.7
1976,10,10,32.6,23.3,84,-3
1976,11,27,32.4,23,70,-3.5
1976,12,1,30.7,19.7,26,-4.4
1977,1,0,28.9,18.1,12,-4.3
1977,2,0,30.2,19.4,7,-4.1
1977,3,0,33.9,23.6,5,-3.9
1977,4,2,33.8,26.5,5,-3.8
1977,5,18,33.9,27.4,20,-4.2
1977,6,1794,31.9,26,147,-3.8
1977,7,945,29,24.8,118,-3.4
1977,8,662,28.6,24.5,110,-3
1977,9,467,28.9,23.7,118,-2.7
1977,10,85,32.5,23.2,114,-3.1
1977,11,52,31.7,23.8,87,2.3
1977,12,3,30.3,19.1,50,3
1978,1,0,28.7,18.2,24,3.4
1978,2,0,29,19.3,12,3.4
1978,3,0,30.6,21.4,7,3.3
1978,4,11,33.7,25.7,15,3.8
1978,5,64,34.7,27.7,64,5
1978,6,621,30.8,25.3,136,4.5
1978,7,1201,28.6,24.4,109,4
1978,8,791,28,24.3,107,3.6
1978,9,337,28.8,23.8,116,3.2
1978,10,80,31.5,23.2,112,2.1
1978,11,27,31.9,22.8,73,2.8
1978,12,1,30.3,20.1,45,2.9
1979,1,0,29.3,20.2,20,2.8
1979,2,0,28.8,18.3,10,2.6
1979,3,0,31.8,21.1,7,2.4
1979,4,0,33.9,25.4,5,1.8
1979,5,2,34.4,26.5,6,-1.8
1979,6,496,32.3,27,152,-1.7
1979,7,1477,29.5,25.8,125,-1.5
1979,8,1418,28.1,24.1,114,-1.3
1979,9,628,29.9,24.1,126,-1.1
1979,10,25,30.8,24.5,88,-2.6
1979,11,81,31,23.6,93,2.9
1979,12,0,30.3,20.4,48,3.1
1980,1,0,28.6,19.9,19,3
1980,2,0,30.3,20.1,10,2.7
1980,3,0,31.7,23,6,2.5
1980,4,9,34.3,26.8,13,2.9
1980,5,2,35.3,27.7,5,1.1
1980,6,579,31.3,24.7,122,1
1980,7,1391,28.8,25.3,115,0.9
1980,8,1463,28.1,24,102,0.8
1980,9,206,29.4,24,118,-1.2
1980,10,25,31.2,23.8,96,-2.8
1980,11,8,32,22.1,60,-4.3
1980,12,15,29.8,18.6,35,-4.6
1981,1,0,28.4,18.5,11,-4.6
1981,2,0,30.2,19,7,-4.4
1981,3,0,32.1,22,5,-4.2
1981,4,2,33.8,25.6,5,-4
1981,5,9,34.3,27.4,12,-4.8
1981,6,395,32,27,146,-4.3
1981,7,2194,28.8,25,117,-3.8
1981,8,915,28,24,109,-3.5
1981,9,903,29.7,24,117,-2.8
1981,10,100,31.2,23.6,115,-2.7
1981,11,11,30.2,19.9,81,-1.8
1981,12,0,29.9,19.2,43,-1.9
1982,1,0,28.4,20,16,-1.7
1982,2,0,29,20.1,9,-1.6
