Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 16.9792 North,73.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.7,20.6,53,1.7
1958,2,0,30.3,21.1,39,1.9
1958,3,4,31.7,22.7,24,2.1
1958,4,13,32,25.5,24,2
1958,5,40,32.4,27.2,47,1.9
1958,6,291,31.2,26.1,125,1.7
1958,7,2009,28.1,24.4,91,1.5
1958,8,415,28.4,24.4,99,1
1958,9,174,28.2,24,95,-1
1958,10,90,30.7,23.8,110,-1.4
1958,11,17,33.1,22.5,84,-1.6
1958,12,0,32,21,71,-2.1
1959,1,0,30.4,21,56,-2.1
1959,2,0,30.4,21.2,38,-2.2
1959,3,0,31.8,23.1,19,-2.3
1959,4,16,32,25.5,27,-1.9
1959,5,49,32.8,27.4,55,-1.4
1959,6,596,30.3,24.9,113,-1.2
1959,7,1338,28,23.5,93,-1.1
1959,8,439,27.7,23.9,84,-1.2
1959,9,417,28.1,23.6,92,1.1
1959,10,118,30,23.9,114,1
1959,11,51,32.5,21.8,96,1.8
1959,12,0,32.7,20.9,75,1.8
1960,1,0,30.8,20.1,63,2.2
1960,2,0,32.6,20.4,48,2.5
1960,3,0,30.1,22.9,29,2.3
1960,4,4,32,24.7,20,1.8
1960,5,99,32.1,26.3,101,3.6
1960,6,255,29.8,24.6,104,3.2
1960,7,1228,28.9,24.8,100,2.9
1960,8,349,28,23.8,90,2
1960,9,340,28.8,24,96,2.2
1960,10,75,30.8,23.5,96,1.4
1960,11,20,33,21.4,83,1
1960,12,1,32.6,21.2,67,-1.3
1961,1,0,31.2,20.2,55,-1.2
1961,2,0,29.3,19.4,42,-1.2
1961,3,0,31.5,23.1,21,-1.2
1961,4,10,31.9,24.8,22,-1.2
1961,5,214,31.3,25.8,148,5.3
1961,6,455,29.7,23.9,107,4.8
1961,7,1730,27.6,23.7,87,4.3
1961,8,509,28.5,24.1,91,3.9
1961,9,233,28.3,23.5,83,3.3
1961,10,186,29.9,23,104,4.3
1961,11,9,32.6,21.8,82,3.4
1961,12,0,32,20.1,70,2.7
1962,1,0,30.4,17.7,55,2.6
1962,2,0,31.8,20,44,2.5
1962,3,2,30.6,22,27,2.4
1962,4,8,31.2,24.7,22,2
1962,5,51,32.2,26,58,2.2
1962,6,174,30.4,25.2,122,2
1962,7,1349,28.5,24.2,93,1.8
1962,8,586,28.1,23.7,86,1.9
1962,9,284,28.6,23.3,96,1.8
