Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.1042 North,77.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,29.7,14.7,6,-0.2
1958,2,0,32.3,16.9,4,-0.5
1958,3,6,36.5,20,8,-0.7
1958,4,24,39.1,24.6,25,0.5
1958,5,9,41,27.3,10,-0.1
1958,6,109,37.7,26.3,105,-1.1
1958,7,411,28.7,21.8,132,0.9
1958,8,439,28.7,21.9,112,2.6
1958,9,152,28.3,21.3,118,1.9
1958,10,36,30.3,19.4,90,1.7
1958,11,33,29.9,15.9,62,2
1958,12,0,28.5,14,11,1.6
1959,1,3,28.6,15.1,9,1.3
1959,2,0,32.4,17,4,1
1959,3,0,37,20.4,3,-0.4
1959,4,37,38.7,24.1,38,1
1959,5,6,41.1,27.3,7,-0.3
1959,6,175,35.7,24.5,167,0.7
1959,7,366,28.7,21.1,129,1.1
1959,8,250,27.7,21.2,113,0.9
1959,9,361,28.4,21,116,2.5
1959,10,101,30.1,20,111,3.4
1959,11,4,29.2,15.1,62,4
1959,12,0,29.1,13.6,19,3.6
1960,1,17,28.4,13.6,25,3.8
1960,2,0,34.2,15.9,5,3.3
1960,3,40,34.6,19.7,42,3.8
1960,4,6,38.6,23.4,8,3.3
1960,5,19,40.6,26.3,20,3.1
1960,6,222,35.1,23.9,203,3.4
1960,7,296,29.6,22.1,122,3.1
1960,8,155,27.9,21.1,123,1.7
1960,9,177,29.6,21.5,114,1.4
1960,10,80,30.4,18.8,103,2
1960,11,4,29.2,14.1,59,2.6
1960,12,3,29.7,14.6,16,2.1
1961,1,0,29.5,14.7,7,1.7
1961,2,2,30.9,15.2,7,1.4
1961,3,19,37.1,21,21,1.4
1961,4,14,39,23.9,16,1.4
