Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.6458 North,93.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,22,22,8.4,46,0.1
1958,2,78,22.4,9.3,76,1.1
1958,3,35,28.6,13,71,-0.7
1958,4,161,29.6,16.6,131,0.2
1958,5,190,28.2,18.2,122,0.5
1958,6,290,29.2,20.7,109,0.1
1958,7,461,28.4,20.8,105,-0.2
1958,8,529,26.8,20.4,93,0.7
1958,9,270,27.8,20.3,95,0.6
1958,10,250,26.8,18.3,92,0.9
1958,11,5,24.6,12.7,49,-0.5
1958,12,9,21.4,9.4,37,-0.6
1959,1,56,20.6,7.9,60,0.9
1959,2,42,21.6,8.6,57,1.1
1959,3,137,26.5,12.7,110,1.9
1959,4,146,29.4,16.5,126,2
1959,5,329,28,17.9,121,3.6
1959,6,560,27.6,20.3,108,3.4
1959,7,412,27.9,20.7,111,2.4
1959,8,413,27.3,20.7,109,2
1959,9,270,26.4,19.9,84,1.9
1959,10,386,25.2,17.5,79,3.3
1959,11,3,23.5,11.8,50,2.3
1959,12,4,22,8.3,36,1.8
1960,1,0,21.3,6.7,33,1
1960,2,5,25.4,10.3,32,-2.1
1960,3,63,26.9,11.9,77,-2.3
1960,4,48,31.2,17.3,58,-3.2
1960,5,131,30,19,126,-3.6
1960,6,660,28,20.5,102,-3.2
1960,7,534,26.6,20.4,98,-2.5
1960,8,306,28.1,21,104,-2.9
1960,9,342,27.3,19.9,92,-1.8
1960,10,135,27,17.7,98,-2.2
1960,11,29,23.5,12.4,58,-1.9
1960,12,2,21.9,9.2,37,-2
1961,1,5,22.4,8.1,36,-2.2
1961,2,12,21.8,8.4,39,-2.4
1961,3,73,26.7,14.7,84,-2.4
1961,4,80,29.4,16.7,92,-2.8
1961,5,135,28.5,18.4,121,-3.1
1961,6,711,27.6,20.3,110,-2.7
1961,7,318,27.6,20.6,112,-3.8
1961,8,429,27.6,21,105,-3.3
1961,9,187,27.3,20,99,-4
1961,10,174,26.4,17.9,96,-3.9
1961,11,17,23.1,11.7,53,-3.7
1961,12,1,20.1,6.4,34,-3.6
1962,1,37,20.1,5.4,51,-2.8
1962,2,58,22.7,9.1,63,-1.9
1962,3,11,28.2,12.2,58,-2.6
1962,4,78,29.8,16.8,90,-3
1962,5,170,28.8,18,124,-3
1962,6,639,27.5,19.9,99,-2.6
1962,7,468,28.4,20.9,116,-2.6
1962,8,400,26.8,20.7,98,-2.5
1962,9,100,28.1,20.1,97,-4.3
1962,10,147,26.5,17.3,97,-4.3
1962,11,3,23.3,11.6,50,-4.4
1962,12,1,21.4,7.9,33,-4.4
1963,1,0,21.3,5.8,34,-4.6
1963,2,6,24.5,9.6,33,-4.9
1963,3,68,27.6,12.6,79,-4.8
1963,4,86,28.4,15.2,92,-4.8
1963,5,124,27.3,17.7,120,-5
1963,6,474,27.1,20.5,103,-4.8
1963,7,583,27.2,20.8,104,-3.6
1963,8,366,27.3,20.7,94,-3.5
1963,9,254,28.1,20.2,102,-3.5
1963,10,249,25.6,17.3,89,-2.7
1963,11,11,23.3,12.1,52,-2.8
1963,12,2,21,8.9,36,-2.9
1964,1,23,19.9,6.5,44,-2.6
1964,2,47,22.8,9.1,59,-2
1964,3,80,27.2,13.5,93,-2
1964,4,181,27.4,15.8,125,-1.3
1964,5,227,28.4,17.7,125,-0.7
1964,6,738,27.1,19.7,107,1.2
1964,7,423,26.2,20,104,0.6
1964,8,372,27.6,20.5,108,-0.3
1964,9,304,27.3,20,94,0.6
1964,10,342,26,18.3,95,1.6
1964,11,19,24.1,13.3,56,1.2
1964,12,3,21.2,8.4,39,0.8
1965,1,1,20.9,7,33,-1
1965,2,90,22.3,8.6,78,1.2
1965,3,80,26.1,11.3,93,1.1
1965,4,61,28.3,15.9,84,-0.7
1965,5,137,28.8,18.3,127,-1.2
1965,6,559,27.3,20.1,107,-1.2
1965,7,504,26.9,19.9,109,-1.1
1965,8,485,26.3,19.8,107,-0.6
1965,9,251,26.9,19.4,92,-0.8
1965,10,113,26.1,17.4,93,-1.4
1965,11,55,23.7,11.6,68,-0.7
1965,12,8,21.5,9.3,39,0.1
1966,1,28,20.7,8,48,0.9
1966,2,3,24.6,10,41,-0.6
1966,3,38,27.5,12.5,70,-1.2
1966,4,57,29.9,16.1,73,-2
1966,5,137,29.6,18.9,132,-2.5
1966,6,850,26,19.9,99,-2
1966,7,410,27.6,20.5,101,-2.4
1966,8,556,26.7,20.6,100,-1.4
1966,9,275,27,19.8,99,-1.3
1966,10,182,25.3,16.7,100,-1.3
1966,11,23,24.2,14,55,-1.3
1966,12,24,20.3,9.2,45,-0.8
1967,1,65,20.4,8.6,64,1.9
