Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.3125 North,94.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,20.6,7.4,42,-0.1
1958,2,59,21.1,8.1,66,0.8
1958,3,72,27.3,11.6,91,1.1
1958,4,103,28.8,15.6,109,1.2
1958,5,156,27.2,17.1,122,1.1
1958,6,269,27.9,19.4,108,0.9
1958,7,397,26.9,19.4,101,-0.4
1958,8,483,25.1,18.9,90,0.6
1958,9,273,26.2,18.8,93,-0.1
1958,10,252,25.1,16.8,90,0.7
1958,11,6,23.1,11.7,48,-0.5
1958,12,9,20.2,8.4,38,-0.6
1959,1,47,19,6.9,56,1
1959,2,40,20.3,7.4,56,1.3
1959,3,93,25.3,11.5,97,2
1959,4,88,28.6,15.5,101,2
1959,5,265,26.9,16.7,121,3.2
1959,6,501,26.3,19.1,108,2.9
1959,7,412,26.4,19.4,108,2.3
1959,8,463,25.4,19.2,104,2.4
1959,9,283,24.7,18.3,82,2.4
1959,10,412,23.5,15.9,76,3.8
1959,11,1,21.9,10.6,47,2.8
1959,12,6,20.7,7.5,37,2.2
1960,1,0,19.9,5.8,34,1.4
1960,2,3,23.9,9,35,-1.9
1960,3,41,25.7,10.7,66,-2.2
1960,4,27,30.4,16.2,46,-3.3
1960,5,109,28.8,17.8,109,-3.7
1960,6,588,26.7,19.2,101,-3.3
1960,7,484,25.1,19.1,95,-2.6
1960,8,269,26.2,19.5,99,-3.4
1960,9,363,25.7,18.4,89,-1.8
1960,10,167,25.3,16.2,94,-2.1
1960,11,27,22,11.4,56,-1.9
1960,12,2,20.5,8.3,36,-2
1961,1,3,20.7,7.2,35,-2.1
1961,2,12,20.4,7.2,41,-2.3
1961,3,38,25.6,13.6,66,-2.4
1961,4,69,28.6,15.6,86,-2.6
1961,5,109,27.5,17.2,107,-3
1961,6,922,26.3,19.1,108,-2.5
1961,7,271,26.1,19.4,106,-3.8
1961,8,442,25.7,19.4,100,-3.2
1961,9,201,25.6,18.4,92,-3.8
1961,10,186,24.7,16.4,93,-3.7
1961,11,14,21.6,10.6,50,-3.6
1961,12,1,18.8,5.6,35,-3.6
1962,1,25,18.7,4.4,45,-2.9
1962,2,47,21.4,7.9,58,-2
1962,3,4,27,11,55,-2.7
1962,4,54,28.9,15.7,76,-3.1
1962,5,144,27.7,16.8,125,-3
1962,6,544,26.1,18.6,96,-2.8
1962,7,430,26.9,19.6,112,-2.7
1962,8,358,25.1,19.2,93,-2.8
1962,9,139,26.5,18.5,94,-4.3
1962,10,197,24.7,15.9,93,-4
1962,11,1,21.8,10.6,48,-4.2
1962,12,0,20.1,7,33,-4.3
1963,1,0,19.9,4.8,34,-4.4
1963,2,4,23.2,8.4,35,-4.7
1963,3,41,26.4,11.5,64,-4.6
1963,4,68,27.3,14.1,81,-4.6
1963,5,113,26.2,16.4,111,-4.7
1963,6,463,25.7,19.2,101,-4.4
1963,7,518,25.7,19.5,100,-3.2
1963,8,351,25.5,19.2,91,-3.3
1963,9,266,26.5,18.6,98,-3.2
1963,10,300,23.9,15.9,84,-2.1
1963,11,8,21.9,11.1,49,-2.4
1963,12,1,19.7,7.9,35,-2.5
1964,1,14,18.5,5.6,41,-2.4
1964,2,37,21.4,7.9,54,-1.9
1964,3,39,26.1,12.5,70,-2.1
1964,4,119,26.6,14.8,116,-1.5
1964,5,203,27.1,16.4,123,-0.8
1964,6,722,25.7,18.4,104,-0.6
1964,7,387,24.7,18.7,101,-1
1964,8,374,25.7,18.9,101,-1.2
1964,9,309,25.7,18.4,90,-0.7
1964,10,364,24.4,16.9,92,1.6
1964,11,20,22.5,12.3,53,1.2
1964,12,1,19.9,7.7,38,0.7
1965,1,2,19.5,6.1,36,-0.4
1965,2,83,21,7.5,78,1.4
1965,3,46,25.1,10.3,77,1.1
1965,4,29,27.6,15,64,-1
1965,5,118,27.6,17.1,116,-1.5
1965,6,511,25.9,18.8,104,-1.4
1965,7,470,25.4,18.6,105,-1
1965,8,471,24.4,18.3,103,0.4
1965,9,240,25.2,17.9,89,-0.4
1965,10,159,24.4,16.1,90,-0.9
1965,11,48,22.2,10.7,64,0.5
1965,12,15,20,8.7,41,0.6
1966,1,17,19.3,7.2,44,0.8
1966,2,1,23.3,8.9,41,-0.5
1966,3,32,26.4,11.5,68,-0.9
1966,4,34,29.2,15.2,62,-1.8
1966,5,108,28.4,17.7,111,-2.5
1966,6,768,24.6,18.6,96,-2.1
1966,7,344,26.1,19.2,98,-2.8
1966,8,502,24.8,19,96,-1.8
1966,9,289,25.4,18.2,95,-1.5
1966,10,231,23.6,15.2,97,-1.3
1966,11,15,22.7,13,51,-1.5
1966,12,27,19.1,8.3,46,-0.9
1967,1,55,18.9,7.8,58,2
1967,2,10,21.5,9,46,1.6
1967,3,105,23.9,11.7,105,2.5
1967,4,62,27.5,14,88,2.1
1967,5,160,27.3,16.9,125,2
1967,6,372,26.3,18.5,108,1.7
1967,7,504,25.9,19.3,99,2
1967,8,292,26,19,104,0.9
1967,9,328,24.9,18.1,88,1.5
1967,10,133,24,15.3,94,0.7
1967,11,8,21.2,9.7,49,-1.2
1967,12,0,19.8,7.5,34,-1.5
1968,1,30,18.8,6.2,47,-0.9
1968,2,18,20.2,6.9,45,-1.1
1968,3,45,25.6,11.4,70,-1.1
1968,4,123,27.2,14.1,119,-0.6
1968,5,198,26.8,16.3,125,0.5
1968,6,766,25.2,18.3,95,0.9
1968,7,470,25.6,19.1,102,1
1968,8,458,25.6,18.9,101,1.3
1968,9,218,25.6,18.4,88,-0.7
1968,10,160,24.5,15.9,91,-1.1
1968,11,8,22,11.9,48,-1.4
1968,12,1,20.2,7.2,36,-1.7
1969,1,10,19,5.5,39,-1.7
1969,2,0,22.4,7.5,36,-2.4
1969,3,85,26.7,12.6,94,-1.8
1969,4,97,28.3,14.9,104,-1.7
1969,5,84,28.5,17.5,95,-2.6
1969,6,461,26.2,18.7,104,-2.4
1969,7,567,26.2,19.4,104,-1.1
1969,8,483,24.6,18.6,93,1.5
1969,9,178,26.1,18.4,97,-1.3
1969,10,113,24.3,15.7,94,-2.1
1969,11,21,21.6,11.7,52,-2
1969,12,1,19.8,7.5,35,-2.1
1970,1,44,18.4,5.6,55,-1
1970,2,22,21.3,8.4,49,-0.9
1970,3,50,25.3,12.2,76,-0.8
1970,4,54,28.2,15.4,79,-1.2
1970,5,114,27.1,17.2,112,-1.6
1970,6,1001,26.3,19.3,107,-1.2
1970,7,457,25.1,19,95,-0.9
1970,8,509,25.4,19.1,99,1.1
1970,9,455,24.9,18.7,91,3.3
1970,10,369,23.4,16.2,87,4.2
1970,11,45,21.1,12.2,58,4.2
1970,12,5,19.6,7.7,39,3.6
1971,1,20,18.4,6.8,44,3.6
1971,2,5,20.8,7.2,41,2.8
1971,3,27,26.5,10.6,63,2
1971,4,47,26.7,14.9,70,1.2
1971,5,67,27.1,17.1,79,-2.4
1971,6,308,25.7,19,97,-2.3
1971,7,410,24.8,18.9,96,-2.4
1971,8,379,24.2,18.4,93,-2.4
1971,9,181,25.4,18.2,93,-3.4
1971,10,213,24.1,16.6,93,-3.1
1971,11,73,21.3,10.6,70,-1.7
1971,12,1,19.6,7.1,40,-1.7
1972,1,3,19.6,6.6,38,-1.7
1972,2,21,19.8,7,47,-1.5
1972,3,43,25.8,11.9,74,-1.5
1972,4,75,26.8,14.1,92,-1.6
1972,5,80,27.5,17.5,94,-2.4
1972,6,383,26.4,18.6,113,-2.3
1972,7,418,26.2,19.2,107,-2.4
1972,8,345,25,18.6,110,-2.7
1972,9,199,26.2,18.3,100,-3.5
1972,10,119,24.7,15.7,101,-4
1972,11,8,22.4,11.7,49,-4.1
1972,12,2,20.3,7.2,36,-4
1973,1,10,20.1,6.7,39,-3.8
1973,2,81,22.5,9.5,78,-2.2
1973,3,55,25.7,11.4,80,-1.9
1973,4,72,28.5,16.2,92,-2
1973,5,370,26.1,16.4,120,3.3
1973,6,424,26,19.1,103,2.9
1973,7,459,26.5,19.4,111,2.7
1973,8,353,25.7,19.1,102,2
1973,9,297,25.1,18.6,92,2
1973,10,173,24.7,16.7,92,1.5
1973,11,111,21.1,12.6,74,3.2
1973,12,51,18.6,8.1,56,4.3
1974,1,8,18.3,6,43,4.1
1974,2,0,21.7,7.5,44,3.3
1974,3,133,24.7,11.5,113,4.5
1974,4,88,26.5,14.9,104,4.4
1974,5,262,26.9,16.8,120,5.5
1974,6,398,25.9,18.7,104,4.9
1974,7,546,24.3,18.6,105,5.2
1974,8,395,25,19.1,99,4.6
1974,9,382,24.7,17.9,91,5.5
1974,10,420,25.4,17.1,92,6.5
1974,11,29,22.5,14.1,55,5.9
1974,12,3,18.6,6.8,37,5
1975,1,2,18.7,6.4,35,4.2
1975,2,19,21.7,8.3,46,3.5
1975,3,25,27.3,12.5,61,2.5
1975,4,98,27.9,15.4,104,2.3
1975,5,148,26.5,16.4,123,1.9
1975,6,614,26.8,19.2,108,1.7
1975,7,632,24.6,19,96,3.2
1975,8,351,25.5,19.1,96,2.5
1975,9,395,24.9,18.2,94,3.7
1975,10,167,24.6,16.9,94,2.9
1975,11,54,20.8,11.5,63,3.2
1975,12,1,19.1,6.1,39,2.7
1976,1,7,18.9,6.5,39,2.3
1976,2,30,21.1,9,52,2.3
1976,3,49,26.2,13.2,79,2
1976,4,53,27.6,15.1,79,1.2
1976,5,181,26.8,16.3,125,1.4
1976,6,1049,25.2,18.2,95,1.5
1976,7,378,25.6,18.9,96,0.8
1976,8,388,24.9,18.5,105,-0.2
1976,9,190,26,18.1,94,-1.7
1976,10,157,24.1,15.4,91,-2.1
1976,11,44,22.2,13,60,-1.5
1976,12,1,19.2,7.5,38,-1.5
1977,1,7,18.7,5.9,38,-1.5
1977,2,55,20.7,8.1,64,-0.6
1977,3,88,26.1,13.4,99,1.4
1977,4,220,24.9,13.9,121,3.3
1977,5,204,25.5,15.9,122,4.1
1977,6,339,24.9,18,98,3.6
1977,7,413,25.8,19.4,100,3
1977,8,353,25.1,18.9,97,2.2
1977,9,162,26,18.7,97,-2.2
1977,10,231,23.6,15,93,-1.8
1977,11,46,21.4,12.7,60,-1.2
1977,12,14,19.4,7.9,43,-0.9
1978,1,0,17.5,5,36,-1.1
1978,2,6,21.1,7.9,40,-1.4
1978,3,18,25.8,10.9,58,-2
1978,4,28,28.2,14.7,53,-2.7
1978,5,227,26.4,16.7,121,-1.6
1978,6,417,25.6,18.5,102,-1.5
1978,7,331,26,19.1,98,-2.3
1978,8,360,26.6,19.6,99,-2.5
1978,9,272,25.1,18.3,95,-2.3
1978,10,146,25.4,16.9,97,-2.7
1978,11,9,22.1,12.1,49,-2.9
1978,12,0,20.5,7.6,35,-3
1979,1,3,20.1,6.7,37,-3.1
1979,2,13,21.3,8,43,-3.3
1979,3,16,25.7,11.8,52,-4
1979,4,58,29.1,15.9,71,-4.3
1979,5,83,29,18.3,88,-5.3
1979,6,759,26.8,19.7,114,-4.7
1979,7,369,25.8,19.4,105,-4.9
1979,8,452,25.3,19.3,94,-4.1
1979,9,550,25.1,18.3,91,3.8
1979,10,158,24.3,15.8,96,2.9
1979,11,15,22.9,13.3,51,2.3
1979,12,47,19.2,9.6,54,3.1
1980,1,1,18.6,6.3,38,2.5
1980,2,38,20.9,8.4,56,2.6
1980,3,53,25.2,12.5,77,2.4
1980,4,46,28.9,16,79,1.4
1980,5,201,26.8,16.4,123,1.8
1980,6,308,26.5,19.2,93,1.5
1980,7,433,26.3,19.3,100,1.2
1980,8,371,25.5,18.9,97,0.8
1980,9,256,26.1,18.7,88,-0.2
1980,10,271,23.9,15.7,86,0.5
1980,11,0,22.5,11.5,50,-0.9
1980,12,1,20.3,9,36,-1.3
1981,1,44,18.8,7.4,53,0.8
1981,2,28,21.3,8.8,51,0.7
1981,3,77,24.8,11.7,87,1.1
1981,4,225,26,14.6,116,3.1
1981,5,154,26.5,17,117,3.2
1981,6,564,26.8,19.2,101,3
1981,7,487,25.1,19.4,104,3
1981,8,326,25.8,19.5,97,2.1
1981,9,212,25.5,18.6,100,1
1981,10,24,25.1,16.3,70,-2.7
1981,11,0,23,12.4,40,-3.2
1981,12,40,19.4,8.3,47,-2.4
1982,1,2,20,7.2,31,-2.7
1982,2,16,20.6,9,38,-2.9
1982,3,29,25.1,11.1,57,-3.3
1982,4,102,26.7,14.3,100,-2.8
1982,5,103,28.5,17.3,108,-3.5
1982,6,434,25.7,19,96,-3.2
1982,7,399,26,19.2,109,-3.3
1982,8,683,25.5,19.3,96,-1
1982,9,270,25.2,18.5,93,-1
1982,10,62,24.9,16.3,84,-2.1
1982,11,26,21.4,11.2,52,-2
1982,12,6,18.9,7.4,35,-2
1983,1,9,18.1,6.7,34,-2
1983,2,49,19.9,7.6,58,-1.2
1983,3,135,23.7,12.3,98,2.1
1983,4,85,27.3,14.3,102,2.2
1983,5,142,27,16.8,124,1.9
1983,6,308,26.8,19.2,108,1.6
1983,7,515,26.2,19.3,100,2.1
1983,8,417,25.6,19.2,85,2
1983,9,292,25.4,18.7,85,2.1
1983,10,290,25,16.7,84,2.5
1983,11,8,22.5,12.8,48,1.8
1983,12,37,18.7,7.6,50,2.3
1984,1,14,18.2,6,40,2.2
1984,2,5,21.4,7.8,40,1.5
1984,3,10,26.8,12,57,-1.4
1984,4,157,28.8,15.3,137,0.7
1984,5,194,26.2,16.5,104,1.3
1984,6,324,26.7,19.2,94,1.1
1984,7,577,25.6,18.8,104,2.1
1984,8,302,26,19.1,104,1.1
1984,9,306,24.8,17.5,92,1.3
1984,10,178,25.2,16.6,89,0.9
1984,11,6,22.1,11.4,53,-1.2
1984,12,23,19.8,7.9,44,-0.8
1985,1,14,19.3,6.9,42,-0.8
1985,2,28,21.5,7.9,49,-0.6
1985,3,104,25.4,13.5,105,1.1
1985,4,54,27.6,15.7,80,0.6
1985,5,204,27.2,16.6,130,1
1985,6,737,26.1,18.8,97,1.1
1985,7,353,25.1,18.4,100,-0.8
1985,8,292,26.1,19.2,100,-1.6
1985,9,264,25.4,18.1,90,-1.5
1985,10,58,25.5,16,82,-2.6
1985,11,20,21.9,11.1,52,-2.6
1985,12,8,20.4,9,36,-2.6
1986,1,7,19,7.4,34,-2.7
1986,2,3,21.9,8.4,37,-3.2
1986,3,35,26.6,11.8,62,-3.6
1986,4,96,27.2,14.3,98,-3.2
1986,5,89,27.7,16.3,98,-4
1986,6,289,27.5,19.5,115,-3.8
1986,7,515,25.6,19.1,95,-3.2
1986,8,382,26.1,19.2,104,-3.1
1986,9,216,24.7,17.9,83,-3.4
1986,10,407,24,15.1,91,-1.5
1986,11,92,21.9,12.2,71,2.9
1986,12,2,20.1,8.4,40,2.4
1987,1,11,20,7.3,42,2.3
1987,2,24,22.6,9.4,50,2.1
1987,3,74,24.7,11.7,87,2.4
1987,4,106,27.2,14.9,113,2.5
1987,5,71,28.4,17.2,102,1
