Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.7708 North,93.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,20,22.3,8.2,44,0
1958,2,71,22.7,9.2,72,1
1958,3,23,29.3,13.2,62,-0.8
1958,4,144,30.4,17,130,0.2
1958,5,185,29,18.8,123,0.1
1958,6,323,30.2,21.6,112,-0.9
1958,7,469,29.2,21.6,108,-1
1958,8,539,27.2,20.6,95,0.8
1958,9,281,28.3,20.6,96,-0.1
1958,10,273,27.1,18.4,93,1.2
1958,11,5,24.9,12.7,49,-0.5
1958,12,9,21.6,9.1,37,-0.6
1959,1,50,20.8,7.7,57,1.1
1959,2,40,22,8.5,55,1.3
1959,3,120,27.2,12.9,111,2
1959,4,142,30.2,17,124,2.2
1959,5,317,28.8,18.6,121,3.8
1959,6,591,28.5,21.2,111,3.7
1959,7,403,28.8,21.5,115,2.5
1959,8,410,27.9,21.1,110,2.1
1959,9,283,26.9,20.2,85,2
1959,10,382,25.5,17.6,80,3.3
1959,11,5,23.8,11.8,50,2.4
1959,12,3,22.2,8.1,35,1.8
1960,1,0,21.6,6.5,33,1
1960,2,5,25.8,10.2,32,-2
1960,3,55,27.7,12.2,71,-2.3
1960,4,45,32,17.7,53,-3.2
1960,5,129,30.9,19.7,125,-3.6
1960,6,667,29,21.4,104,-3.2
1960,7,537,27.4,21.1,100,-2.5
1960,8,307,28.6,21.5,106,-3
1960,9,360,27.7,20.2,93,-1.8
1960,10,125,27.3,17.8,99,-2.3
1960,11,27,23.7,12.4,57,-2.1
1960,12,3,22,8.8,36,-2.1
1961,1,5,22.6,7.9,35,-2.3
1961,2,17,22.2,8.4,41,-2.4
1961,3,72,27.4,14.6,84,-2.3
1961,4,75,30.2,17.1,89,-2.7
1961,5,138,29.4,19.1,122,-2.8
1961,6,533,28.6,21.2,113,-2.8
1961,7,341,28.5,21.4,115,-3.8
1961,8,415,28,21.4,108,-3.5
1961,9,215,27.8,20.3,100,-4
1961,10,190,26.7,18.1,97,-3.7
1961,11,21,23.3,11.7,54,-3.5
1961,12,1,20.2,6.2,35,-3.4
1962,1,33,20.4,5.2,49,-2.7
1962,2,55,23,8.9,62,-1.7
1962,3,11,28.8,12.4,56,-2.5
1962,4,75,30.5,17.2,87,-2.8
1962,5,176,29.7,18.8,124,-2.6
1962,6,667,28.5,20.8,100,-2.2
1962,7,451,29.2,21.6,120,-2.5
1962,8,424,27.3,21.1,98,-2.2
1962,9,94,28.5,20.3,96,-4.1
1962,10,149,26.7,17.4,97,-4.1
1962,11,4,23.6,11.6,50,-4.3
1962,12,2,21.5,7.7,33,-4.2
1963,1,1,21.5,5.5,34,-4.4
1963,2,6,24.8,9.3,33,-4.7
1963,3,58,28.2,12.9,72,-4.7
1963,4,92,29,15.7,95,-4.6
1963,5,124,28.2,18.5,119,-4.8
1963,6,520,28.1,21.4,106,-4.6
1963,7,565,28,21.6,107,-3.6
1963,8,376,27.7,21.1,95,-3.5
1963,9,268,28.6,20.6,104,-3.5
1963,10,251,25.8,17.4,89,-2.6
1963,11,12,23.4,11.9,52,-2.7
1963,12,3,21.1,8.6,36,-2.8
1964,1,20,20.1,6.2,43,-2.5
1964,2,42,23.1,8.8,56,-2
1964,3,76,27.9,13.5,90,-1.9
1964,4,155,28.1,16.2,124,-1.3
1964,5,204,29.2,18.6,126,-0.8
1964,6,703,28,20.5,109,1.1
1964,7,475,27,20.8,106,0.8
1964,8,418,28.1,20.9,110,0.6
1964,9,336,27.7,20.3,95,1.1
1964,10,339,26.4,18.5,96,2.1
1964,11,18,24.3,13.3,55,1.6
1964,12,4,21.2,8,39,1.2
1965,1,1,21.1,6.7,33,-0.5
1965,2,77,22.6,8.5,75,1
1965,3,69,26.7,11.4,86,0.8
1965,4,55,29,16.3,77,-0.8
1965,5,128,29.6,19,124,-1.4
1965,6,567,28.3,20.9,110,-1.4
1965,7,483,27.8,20.8,113,-1.5
1965,8,479,26.8,20.2,108,-1
1965,9,269,27.2,19.7,93,-1.1
1965,10,125,26.2,17.6,93,-1.6
1965,11,62,23.8,11.5,70,-0.7
1965,12,12,21.5,9.2,41,0.2
1966,1,26,21,7.8,48,1.2
1966,2,4,25,9.9,42,-0.5
1966,3,23,28.3,12.8,62,-1.3
1966,4,63,30.6,16.5,76,-2
1966,5,134,30.4,19.7,130,-2.4
1966,6,883,27,20.7,103,-1.7
1966,7,459,28.4,21.3,103,-1.8
1966,8,563,27.1,21,102,-0.7
1966,9,276,27.4,20.1,100,-0.8
1966,10,164,25.6,16.8,100,-1.1
1966,11,24,24.4,13.9,56,-1.1
1966,12,20,20.5,8.9,43,-0.7
1967,1,56,20.6,8.4,59,1.5
1967,2,17,23.2,10.1,47,1.2
1967,3,136,25.6,13,112,2.2
1967,4,77,29,15.5,97,1.8
1967,5,192,29.3,18.9,128,1.8
1967,6,425,28.5,20.7,112,1.4
1967,7,535,28.2,21.3,107,1.5
1967,8,273,28.5,21.1,117,-1
1967,9,344,26.9,20,95,0.6
1967,10,100,26,16.9,96,-0.8
1967,11,14,22.9,10.7,52,-1.1
1967,12,0,21.1,8.1,34,-1.3
1968,1,21,20.4,7,42,-1.1
1968,2,14,21.9,7.9,40,-1.4
1968,3,56,27.4,12.8,73,-1.6
1968,4,147,28.8,15.7,124,-1.2
1968,5,222,28.7,18.3,125,-0.5
1968,6,582,27.7,20.6,101,0.1
1968,7,554,27.9,21.2,107,1.2
1968,8,466,28,20.9,109,1.3
1968,9,242,27.6,20.4,92,0.7
1968,10,127,26.5,17.5,96,-1
1968,11,9,23.6,12.8,50,-1.4
1968,12,1,21.6,7.7,35,-1.6
1969,1,21,20.6,6.3,42,-1.4
1969,2,0,24.1,8.5,34,-2.1
1969,3,100,28.6,13.9,103,-1.7
1969,4,106,29.9,16.4,109,-1.8
1969,5,97,30.6,19.6,103,-2.7
1969,6,548,28.6,20.9,110,-2.6
1969,7,635,28.5,21.5,112,-1.4
1969,8,502,27,20.6,100,-0.7
1969,9,177,28.2,20.3,103,-1.9
1969,10,110,26.2,17.4,97,-2.5
1969,11,26,23.3,12.7,56,-2.3
1969,12,1,21.2,8.2,35,-2.3
1970,1,64,19.9,6.3,63,-0.8
1970,2,31,22.9,9.3,52,1.3
1970,3,92,27.1,13.4,100,1.6
1970,4,72,29.7,16.8,91,1
1970,5,121,29,19.2,118,-0.5
1970,6,1021,28.6,21.4,112,0.9
1970,7,622,27.4,21.2,101,1.8
1970,8,555,27.7,21,106,2.4
1970,9,480,27,20.4,97,4.3
1970,10,333,25.4,17.7,91,5
1970,11,36,22.8,13.2,57,4.6
1970,12,0,20.9,8.2,37,3.9
1971,1,26,20,7.5,45,3.8
1971,2,10,22.4,8.2,40,3
1971,3,34,28.2,12.1,64,2
1971,4,78,28.3,16.5,87,1.3
1971,5,81,29.2,19.3,88,-2.4
1971,6,405,28,21.1,102,-2.7
1971,7,360,27.3,21,103,-3.5
1971,8,358,26.7,20.4,99,-3.6
1971,9,192,27.4,20,98,-4.3
1971,10,255,26,18,97,-3.4
1971,11,101,22.8,11.6,72,-1.4
1971,12,2,20.9,7.7,41,-1.4
1972,1,9,21.3,7.5,40,-1.3
1972,2,30,21.6,8.2,51,-1
1972,3,79,27.5,13.1,95,-0.8
1972,4,114,28.1,15.5,116,-0.8
1972,5,112,29.4,19.4,115,-1.5
1972,6,468,28.7,20.7,118,-1.7
1972,7,500,28.2,21.1,113,-1.6
1972,8,304,27.4,20.6,119,-2.3
1972,9,191,28.1,20,104,-3.2
1972,10,114,26.7,17.3,104,-3.6
1972,11,7,24,12.7,51,-3.8
1972,12,1,21.7,7.9,35,-3.8
1973,1,14,21.7,7.4,39,-3.6
1973,2,100,24.2,10.5,80,-1.7
1973,3,79,27.4,12.7,95,-1.4
1973,4,105,30,17.6,112,-1.4
1973,5,384,28.3,18.6,124,3.5
1973,6,575,28.3,21.3,109,3.4
1973,7,477,28.8,21.5,119,2.7
1973,8,306,28.1,21.1,110,1.7
1973,9,288,27.2,20.5,98,1.5
1973,10,146,26.7,18.2,96,0.9
1973,11,104,22.8,13.6,77,2.4
1973,12,45,19.9,8.8,55,3.4
1974,1,15,19.9,6.7,46,3.4
1974,2,2,23.4,8.6,43,2.6
1974,3,87,26.5,12.8,97,2.7
1974,4,122,28.1,16.4,120,2.5
1974,5,270,28.8,18.9,123,3.4
1974,6,466,28.2,20.8,109,3
1974,7,580,26.6,20.7,114,3.3
1974,8,403,27.4,21,107,2.8
1974,9,392,26.8,19.7,96,3.7
1974,10,394,27.4,18.7,96,4.8
1974,11,19,24.2,15,53,4.1
1974,12,1,20,7.4,35,3.4
1975,1,10,20.4,7.2,37,2.8
1975,2,24,23.4,9.3,46,2.3
1975,3,71,29.3,13.8,86,1.9
1975,4,103,29.6,16.8,106,1.4
1975,5,186,28.7,18.6,127,1.3
1975,6,665,29.1,21.3,114,1.3
1975,7,540,26.9,21.1,98,1.6
1975,8,400,27.9,21,102,1.3
1975,9,407,27.1,20,100,2.4
1975,10,150,26.7,18.5,96,1.8
1975,11,45,22.7,12.4,62,2
1975,12,2,20.6,6.5,39,1.6
1976,1,10,20.5,7.2,39,1.3
1976,2,28,22.7,10.1,49,1.2
1976,3,91,28,14.6,101,1.2
1976,4,57,29.3,16.8,80,-0.7
1976,5,222,28.9,18.4,129,0.4
1976,6,845,27.5,20.4,99,1.1
1976,7,489,27.9,21,100,0.9
1976,8,331,27.2,20.5,112,-0.6
1976,9,204,28,19.9,99,-1.6
1976,10,125,26.1,17,94,-2
1976,11,24,23.9,13.9,55,-1.9
1976,12,1,20.6,8,36,-2
1977,1,12,20.3,6.6,38,-2
1977,2,49,22.5,9.3,59,-1.4
1977,3,116,27.9,14.8,114,-0.7
1977,4,264,26.5,15.5,124,2.6
1977,5,224,27.5,17.9,126,3.4
1977,6,450,27.2,20.1,101,3
1977,7,471,28.1,21.5,107,2.4
1977,8,424,27.3,20.8,103,2.2
1977,9,159,28,20.6,102,-1.7
1977,10,266,25.5,16.6,98,-1
1977,11,48,23.1,13.6,63,0.4
1977,12,14,20.7,8.5,43,1
1978,1,1,19.1,5.8,36,0.6
