Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.6458 North,93.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,19,22.1,8.3,44,0
1958,2,68,22.7,9.3,71,0.9
1958,3,36,29.3,13.1,71,-0.5
1958,4,131,30.5,17.1,127,0.2
1958,5,175,29.2,19,124,0.5
1958,6,318,30.2,21.5,112,0
1958,7,460,29.4,21.8,109,-0.3
1958,8,545,27.3,20.8,96,0.8
1958,9,291,28.6,20.9,97,0.6
1958,10,273,27.2,18.6,94,1.1
1958,11,5,24.8,12.8,49,-0.5
1958,12,11,21.5,9.2,38,-0.6
1959,1,54,20.7,7.7,59,0.9
1959,2,40,21.9,8.6,56,1.2
1959,3,113,27.2,12.9,109,1.9
1959,4,125,30.3,17,122,2.1
1959,5,299,29,18.7,123,3.6
1959,6,587,28.5,21.2,112,3.4
1959,7,415,28.9,21.7,116,2.3
1959,8,439,27.8,21.2,111,2.1
1959,9,294,27.1,20.4,87,2
1959,10,399,25.6,17.8,80,3.4
1959,11,4,23.6,11.8,49,2.4
1959,12,4,22,8.2,36,1.8
1960,1,0,21.5,6.6,33,1
1960,2,4,25.7,10.3,33,-2.1
1960,3,52,27.6,12.1,70,-2.4
1960,4,40,32.1,17.7,50,-3.3
1960,5,122,31,19.8,119,-3.6
1960,6,669,29,21.3,105,-3.3
1960,7,536,27.6,21.3,101,-2.6
1960,8,308,28.6,21.5,106,-3.1
1960,9,375,27.9,20.4,94,-1.9
1960,10,138,27.4,18,99,-2.3
1960,11,27,23.6,12.5,57,-2.1
1960,12,3,21.9,8.9,36,-2.2
1961,1,5,22.4,8,36,-2.3
1961,2,16,22.1,8.5,41,-2.5
1961,3,62,27.5,14.7,79,-2.4
1961,4,72,30.2,17.2,88,-2.8
1961,5,128,29.6,19.2,122,-3
1961,6,659,28.6,21.2,113,-2.7
1961,7,329,28.6,21.6,116,-3.8
1961,8,438,28,21.5,108,-3.4
1961,9,219,28,20.6,101,-3.9
1961,10,193,26.8,18.2,98,-3.7
1961,11,19,23.2,11.7,53,-3.5
1961,12,1,20.1,6.3,35,-3.5
1962,1,33,20.2,5.3,49,-2.7
1962,2,54,23.1,9,61,-1.8
1962,3,9,28.8,12.4,58,-2.5
1962,4,68,30.6,17.2,84,-2.9
1962,5,165,29.8,18.8,126,-2.7
1962,6,657,28.4,20.7,101,-2.4
1962,7,458,29.4,21.8,120,-2.6
1962,8,422,27.3,21.2,99,-2.3
1962,9,109,28.8,20.6,100,-4.2
1962,10,163,26.8,17.6,98,-4.1
1962,11,3,23.4,11.7,49,-4.3
1962,12,2,21.4,7.7,33,-4.3
1963,1,0,21.4,5.6,34,-4.5
1963,2,6,24.8,9.4,34,-4.8
1963,3,54,28.2,12.9,70,-4.8
1963,4,83,29,15.7,90,-4.7
1963,5,119,28.4,18.5,116,-4.9
1963,6,519,28.1,21.4,106,-4.6
1963,7,568,28.2,21.8,108,-3.6
1963,8,382,27.7,21.2,96,-3.5
1963,9,277,28.8,20.8,104,-3.4
1963,10,268,25.9,17.6,89,-2.6
1963,11,11,23.4,12,51,-2.7
1963,12,3,21,8.7,36,-2.8
1964,1,20,20,6.3,43,-2.5
1964,2,41,23.1,9,56,-2.1
1964,3,66,28,13.6,85,-2
1964,4,144,28.2,16.3,127,-1.4
1964,5,201,29.4,18.6,127,-0.9
1964,6,736,28,20.5,109,0.3
1964,7,460,27.2,21,107,-0.3
1964,8,421,28.1,21,110,-0.1
1964,9,342,28,20.5,96,0.9
1964,10,353,26.5,18.7,97,1.9
1964,11,18,24.1,13.4,54,1.4
1964,12,4,21.1,8.2,38,1
1965,1,1,21,6.9,34,-1
1965,2,80,22.6,8.6,77,1.1
1965,3,63,26.8,11.5,84,0.9
1965,4,47,29.1,16.4,73,-0.8
1965,5,124,29.7,19.1,121,-1.4
1965,6,571,28.3,20.9,110,-1.4
1965,7,493,28,20.9,114,-1.3
1965,8,495,26.8,20.3,109,-0.9
1965,9,272,27.4,19.9,94,-1
1965,10,134,26.4,17.8,94,-1.5
1965,11,58,23.8,11.6,68,-0.7
1965,12,15,21.4,9.3,41,0.2
1966,1,25,20.9,7.9,47,1.1
1966,2,3,25,10,42,-0.5
1966,3,27,28.3,12.8,66,-1.2
1966,4,54,30.7,16.6,71,-1.9
1966,5,126,30.6,19.8,124,-2.4
1966,6,881,27,20.7,103,-1.9
1966,7,438,28.6,21.5,104,-2.1
1966,8,568,27.1,21.1,103,-1
1966,9,291,27.7,20.3,101,-1.1
1966,10,183,25.7,17,101,-1.2
1966,11,22,24.3,14.1,54,-1.2
1966,12,27,20.4,9,45,-0.7
1967,1,61,20.5,8.6,61,1.7
1967,2,15,23.2,10.2,48,1.4
1967,3,127,25.7,13,113,2.4
1967,4,72,29.1,15.5,96,2
1967,5,181,29.4,18.9,129,2
1967,6,423,28.6,20.7,112,1.6
1967,7,540,28.4,21.5,108,1.7
1967,8,289,28.4,21.1,116,0.6
1967,9,353,27.1,20.3,95,1.2
1967,10,110,26.1,17.1,98,-0.8
1967,11,12,22.8,10.8,51,-1.3
1967,12,1,21.1,8.2,34,-1.6
1968,1,25,20.4,7,44,-1.3
1968,2,15,21.9,8,42,-1.5
1968,3,54,27.4,12.8,73,-1.7
1968,4,138,28.9,15.7,127,-1.2
1968,5,213,28.9,18.4,127,-0.6
1968,6,652,27.6,20.6,101,0.2
1968,7,544,28.1,21.4,108,1.1
1968,8,481,28,21,109,1.3
1968,9,243,27.8,20.6,93,0.6
1968,10,136,26.6,17.7,96,-1.1
1968,11,9,23.5,12.9,49,-1.4
1968,12,1,21.5,7.8,35,-1.7
1969,1,19,20.5,6.4,42,-1.6
1969,2,0,24.1,8.6,35,-2.2
1969,3,97,28.6,13.9,101,-1.8
1969,4,103,30,16.4,108,-1.8
1969,5,91,30.8,19.6,99,-2.7
1969,6,543,28.5,20.8,110,-2.6
1969,7,634,28.7,21.7,113,-1.3
1969,8,517,27,20.7,101,-0.6
1969,9,184,28.4,20.6,104,-1.9
1969,10,112,26.3,17.6,98,-2.5
1969,11,25,23.2,12.8,55,-2.3
1969,12,2,21.1,8.3,34,-2.4
1970,1,63,19.9,6.4,63,-0.9
1970,2,29,22.9,9.5,52,-0.7
1970,3,80,27.1,13.5,93,1.4
1970,4,67,29.8,16.9,89,0.9
1970,5,116,29.2,19.2,115,-0.5
1970,6,1053,28.6,21.4,112,0.8
1970,7,592,27.6,21.4,102,1.6
1970,8,563,27.7,21.1,106,2.2
1970,9,493,27.2,20.7,98,4.1
1970,10,350,25.5,17.9,91,4.8
1970,11,38,22.7,13.3,57,4.6
1970,12,1,20.8,8.3,37,3.9
1971,1,27,19.9,7.6,46,3.8
1971,2,9,22.4,8.3,41,3
1971,3,31,28.3,12,64,2
1971,4,68,28.4,16.5,81,1.3
1971,5,76,29.3,19.3,84,-2.4
1971,6,391,28,21.1,102,-2.6
1971,7,382,27.4,21.2,104,-3.2
1971,8,375,26.7,20.5,100,-3.2
1971,9,196,27.7,20.3,99,-4
1971,10,251,26.1,18.2,97,-3.3
1971,11,94,22.7,11.7,72,-1.5
1971,12,2,20.9,7.8,40,-1.5
1972,1,8,21.2,7.6,40,-1.5
1972,2,28,21.5,8.3,50,-1.2
1972,3,69,27.6,13.2,89,-1.1
1972,4,101,28.3,15.6,109,-1.1
1972,5,102,29.6,19.5,109,-1.8
1972,6,461,28.7,20.7,118,-1.9
1972,7,489,28.5,21.3,114,-1.8
