Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.7708 North,93.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,21,22.4,8.4,45,0.1
1958,2,74,22.8,9.5,74,1
1958,3,26,29.3,13.4,65,-0.8
1958,4,155,30.5,17.2,130,0.2
1958,5,191,29.2,19,123,0.2
1958,6,315,30.5,21.9,112,-0.8
1958,7,475,29.6,22,109,-0.9
1958,8,538,27.6,21.1,96,0.8
1958,9,278,28.6,21,97,-0.1
1958,10,265,27.2,18.6,94,1.1
1958,11,5,25,12.9,49,-0.5
1958,12,9,21.7,9.3,37,-0.6
1959,1,51,20.9,7.9,58,1.1
1959,2,40,22,8.8,56,1.3
1959,3,129,27.2,13.1,111,1.9
1959,4,150,30.3,17.1,124,2.1
1959,5,328,29,18.8,121,3.8
1959,6,586,28.8,21.5,112,3.6
1959,7,409,29.2,21.9,115,2.5
1959,8,406,28.3,21.5,111,2.1
1959,9,279,27.2,20.5,86,1.9
1959,10,380,25.6,17.9,80,3.3
1959,11,4,23.9,12,51,2.4
1959,12,3,22.4,8.3,35,1.8
1960,1,0,21.7,6.7,33,0.9
1960,2,5,25.9,10.5,32,-2.1
1960,3,59,27.7,12.4,74,-2.3
1960,4,49,32.1,17.9,57,-3.2
1960,5,133,31,19.9,127,-3.6
1960,6,670,29.3,21.7,104,-3.2
1960,7,542,27.8,21.6,101,-2.5
1960,8,309,29,21.8,107,-2.9
1960,9,355,28,20.5,94,-1.8
1960,10,125,27.5,18,100,-2.2
1960,11,28,23.9,12.6,58,-2.1
1960,12,3,22.2,9,37,-2.1
1961,1,5,22.7,8.1,36,-2.2
1961,2,15,22.2,8.6,40,-2.4
1961,3,76,27.4,14.9,86,-2.3
1961,4,80,30.2,17.3,92,-2.7
1961,5,140,29.5,19.3,121,-2.9
1961,6,557,28.9,21.5,114,-2.8
1961,7,342,28.9,21.8,117,-3.8
1961,8,415,28.5,21.8,109,-3.5
1961,9,206,28.1,20.7,102,-4
1961,10,183,26.9,18.3,98,-3.8
1961,11,20,23.4,11.9,54,-3.6
1961,12,1,20.4,6.3,35,-3.5
1962,1,35,20.5,5.4,50,-2.7
1962,2,56,23.1,9.2,62,-1.8
1962,3,12,28.8,12.6,58,-2.5
1962,4,79,30.6,17.4,90,-2.9
1962,5,177,29.8,18.9,123,-2.7
1962,6,665,28.8,21.1,101,-2.3
1962,7,457,29.6,22.1,121,-2.6
1962,8,418,27.7,21.5,100,-2.3
1962,9,94,28.9,20.7,96,-4.2
1962,10,145,26.9,17.6,98,-4.2
1962,11,3,23.7,11.9,50,-4.4
1962,12,2,21.7,7.8,34,-4.3
1963,1,1,21.6,5.7,34,-4.5
1963,2,6,24.9,9.6,33,-4.8
1963,3,63,28.2,13.1,76,-4.7
1963,4,93,29.1,15.8,97,-4.7
1963,5,126,28.4,18.6,121,-4.9
1963,6,508,28.4,21.7,107,-4.7
1963,7,576,28.4,22,109,-3.7
1963,8,373,28.1,21.5,96,-3.6
1963,9,265,28.9,20.9,105,-3.5
1963,10,246,26,17.6,90,-2.7
1963,11,12,23.6,12.2,53,-2.8
1963,12,3,21.3,8.7,36,-2.8
1964,1,21,20.2,6.4,44,-2.6
1964,2,44,23.2,9.1,57,-2.1
1964,3,81,27.9,13.8,94,-2
1964,4,169,28.1,16.3,124,-1.3
1964,5,216,29.4,18.7,126,-0.8
1964,6,709,28.4,20.9,110,1.2
1964,7,464,27.4,21.2,107,0.8
1964,8,400,28.5,21.3,112,-0.2
1964,9,326,28.1,20.6,97,1
1964,10,337,26.5,18.7,97,1.9
1964,11,18,24.4,13.5,56,1.5
1964,12,4,21.4,8.2,39,1
1965,1,1,21.2,6.9,33,-1
1965,2,81,22.7,8.7,77,1.1
1965,3,75,26.7,11.6,90,0.9
1965,4,61,29.1,16.4,81,-0.7
1965,5,133,29.8,19.2,127,-1.3
1965,6,570,28.6,21.3,111,-1.4
1965,7,490,28.2,21.2,115,-1.4
1965,8,479,27.2,20.6,110,-0.9
1965,9,266,27.5,20,94,-1
1965,10,118,26.4,17.8,94,-1.5
1965,11,62,24,11.8,71,-0.7
