Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.8542 North,91.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,15,20.5,8.5,37,0.2
1958,2,42,20,9.5,51,1.1
1958,3,19,26.9,13.8,36,-1.3
1958,4,245,27.8,17.6,118,-0.6
1958,5,334,25.8,18.3,111,0.5
1958,6,353,27.8,20.3,111,-1
1958,7,743,27.1,20.5,105,-0.9
1958,8,664,25.8,20.2,82,-0.7
1958,9,310,26.7,20.1,87,-1
1958,10,149,25.7,17.7,84,-1.2
1958,11,7,24,12.9,46,-1.7
1958,12,4,21.1,10,30,-1.7
1959,1,34,18.8,7.8,45,-0.6
1959,2,10,19.6,8.5,33,-0.7
1959,3,108,25.2,13.5,103,1.2
1959,4,216,27.5,17.9,120,1.4
1959,5,481,25.5,18,109,2.7
1959,6,749,26,20.1,95,2.4
1959,7,601,26.4,20.4,106,2.1
1959,8,400,26.6,20.1,104,1.7
1959,9,342,25.4,19.4,81,1.5
1959,10,364,23.6,17,76,3.3
1959,11,3,23.2,12.3,46,2.2
1959,12,0,21.7,8.9,30,1.5
1960,1,0,19.7,6.7,28,0.7
1960,2,6,22.9,10.8,22,-2.3
1960,3,64,24.8,13.1,69,-2.5
1960,4,59,30,18.1,62,-3.8
1960,5,282,27.6,19,125,-4.3
1960,6,827,26.7,20.1,111,-3.8
1960,7,874,25.2,19.8,90,-3.4
1960,8,368,26.8,20.5,100,-3.2
1960,9,457,25.6,19.6,86,-2.1
1960,10,106,25.6,16.7,93,-2.7
1960,11,25,23,12.4,54,-2.6
1960,12,1,21.9,9.3,34,-2.5
1961,1,3,20.7,8.2,30,-2.6
1961,2,9,19.6,8.6,29,-2.8
1961,3,81,25.4,14.9,84,-2.5
1961,4,103,27.8,17.8,104,-3.1
1961,5,303,26,18.6,117,-3.5
1961,6,684,26.1,20,122,-3.4
1961,7,587,26.7,20.3,115,-3.1
1961,8,524,26.6,20.8,106,-2.8
1961,9,295,26.2,20,101,-3.1
1961,10,137,25.3,17.4,93,-3.3
1961,11,25,22,12,53,-3.1
1961,12,1,19.4,7.3,32,-3
1962,1,19,18.6,5.8,39,-2.3
1962,2,28,20.3,9.2,41,-1.6
1962,3,15,26.4,13,33,-2.8
1962,4,118,28.1,17.9,116,-3.2
1962,5,289,25.9,17.8,121,-3.6
1962,6,978,26,19.6,97,-2.7
1962,7,668,27,20.6,115,-2.5
1962,8,489,25.5,20.6,88,-2.3
1962,9,143,26.7,20,96,-3.9
1962,10,116,25.3,16.4,95,-4.2
1962,11,2,23.2,12,46,-4.6
1962,12,1,20.9,8.8,31,-4.6
1963,1,0,19.6,6.2,29,-4.8
1963,2,3,22.1,9.5,17,-5.3
1963,3,95,25.4,13.5,95,-4.7
1963,4,156,26.3,16.4,123,-4.5
1963,5,328,24.8,17.5,117,-4.3
1963,6,789,25.7,20,99,-3.8
1963,7,865,25.8,20.4,94,-3.4
1963,8,564,26,20.5,88,-3
1963,9,361,26.9,19.9,98,-2.8
1963,10,174,24.5,16.5,89,-2.6
1963,11,16,22.2,12.6,52,-2.8
1963,12,2,20.5,9.5,34,-2.7
1964,1,6,18.6,6.3,32,-2.7
1964,2,19,20.6,8.9,37,-2.7
1964,3,116,25.9,14.2,112,-2
1964,4,257,25.5,16.9,122,-1.1
