Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.5625 North,90.2292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,24.3,12.8,40,-0.1
1958,2,29,25.1,14.3,50,0.8
1958,3,17,30.7,17.7,56,-1.3
1958,4,204,32.7,22,141,-1
1958,5,365,30.8,23.1,135,-1.4
1958,6,392,30.7,23.2,118,-1.8
1958,7,799,30,23.7,112,-1.6
1958,8,931,28.8,23.5,86,-1.4
1958,9,394,29.7,23.4,92,-1.5
1958,10,167,29,21.1,92,-1.8
1958,11,15,27.1,16,52,-1.8
1958,12,1,24.6,14,35,-1.6
1959,1,41,22.5,11.9,54,1.5
1959,2,4,24.6,13.3,39,1.2
1959,3,110,29.1,17.3,110,2.1
1959,4,224,32,22.2,140,2.4
1959,5,660,30.4,22.6,130,3.2
1959,6,931,29,22.8,101,3
1959,7,647,29.2,23.5,113,2.7
1959,8,747,29.1,23.1,105,2.4
1959,9,380,28.6,22.5,90,1.8
1959,10,550,27,20.3,83,5.3
1959,11,1,25.8,15.3,47,4
1959,12,0,24.7,13,34,3.4
1960,1,0,23.3,10.8,35,2.4
1960,2,1,28,15.1,32,1.4
1960,3,93,28.3,16.9,99,1.5
1960,4,46,35,22.2,69,-3.3
1960,5,398,32.2,23.6,142,-3.6
1960,6,789,29.6,22.9,122,-3.3
1960,7,1023,28.2,23.1,96,-2.9
1960,8,439,29.7,23.8,108,-2.6
1960,9,574,28.8,23,91,-1.1
1960,10,114,29,20.3,101,-2
1960,11,11,26,15.3,51,-2.2
1960,12,0,25.2,13.2,35,-2.1
1961,1,9,23.9,12.3,37,-1.9
1961,2,18,23.9,13.2,42,-1.4
1961,3,50,29.8,19.1,77,-1.9
1961,4,111,32.8,21.9,119,-2.7
1961,5,379,30.6,23,137,-3
1961,6,856,28.8,22.7,128,-2.7
1961,7,582,29.5,23.4,123,-2.4
1961,8,599,29.4,23.8,115,-2.2
1961,9,262,29.5,23.1,110,-3.4
1961,10,267,28.6,20.6,98,-2.4
1961,11,10,25,14.8,50,-2.5
1961,12,1,22.9,11,35,-2.4
1962,1,16,22.4,9.9,42,-1.8
1962,2,15,25.6,13.9,40,-1.4
1962,3,11,30.7,16.8,53,-2.7
1962,4,77,32.7,21.7,92,-3.8
1962,5,508,30.4,22.4,137,-3.6
1962,6,933,28.9,22.4,108,-3.1
1962,7,754,29.9,23.7,125,-2.7
1962,8,711,28.6,23.6,95,-2.5
1962,9,167,29.9,23.1,104,-4.4
1962,10,117,28.6,19.7,101,-4.9
1962,11,0,26.2,14.8,46,-5.1
1962,12,0,24.4,12.6,33,-4.8
1963,1,0,23.5,10.3,37,-5
1963,2,1,28,14,36,-5.3
1963,3,97,29.7,17.3,104,-4.6
1963,4,146,31.1,20.5,141,-4.6
1963,5,375,29.4,22,135,-4.8
1963,6,894,28.7,22.6,105,-4.2
1963,7,1036,28.9,23.7,102,-3.8
1963,8,600,29.2,23.8,99,-3.4
1963,9,405,30,23.3,105,-3.3
1963,10,215,28.2,20,99,-2.9
1963,11,15,25.8,15.6,55,-2.8
1963,12,1,24.5,13.3,38,-2.7
1964,1,8,22.4,10.5,41,-2.6
1964,2,14,26.3,13.7,46,-2.5
1964,3,67,30.6,18.7,88,-2.9
1964,4,245,30.6,21.3,151,-2.1
1964,5,515,30.1,22.2,144,-1.6
1964,6,907,29,22.6,103,-1.3
1964,7,1016,28,23,104,-1.2
1964,8,438,29.4,23.5,113,-1.1
1964,9,368,29.3,23.1,97,-1.5
1964,10,401,28.5,21.5,95,2.1
1964,11,7,26.4,16.4,56,1.2
1964,12,0,24.8,13,41,0.7
1965,1,0,23.7,11.3,34,-1.6
1965,2,18,25.8,13.5,42,-1.4
1965,3,75,28.8,15.8,90,-1.6
1965,4,106,31.3,21.1,113,-2.5
1965,5,406,31.1,22.9,138,-2.7
1965,6,759,28.7,22.4,115,-2.6
1965,7,849,28.6,22.9,113,-2.3
1965,8,910,27.9,22.5,104,-2.1
1965,9,340,28.9,22.5,98,-2.6
1965,10,69,28.2,19.7,86,-3.7
1965,11,37,26.2,15.3,61,-2.7
1965,12,1,24.9,13.2,38,-2.5
1966,1,26,22.5,11.4,47,-1.6
1966,2,1,27.5,15,37,-2
1966,3,11,30.4,16.9,45,-3.5
1966,4,59,33.2,21.3,72,-4.9
1966,5,343,31.6,23.3,146,-5.2
1966,6,858,28.3,22.3,111,-4.7
1966,7,780,29.2,23.3,113,-4.2
1966,8,826,28.8,23.6,104,-3.8
1966,9,315,28.9,22.6,111,-4.4
1966,10,145,27.3,19,100,-4.6
1966,11,39,26.2,16.8,60,-3.3
1966,12,4,23.8,13,41,-2.6
1967,1,26,23,11.8,50,-1.4
1967,2,4,26.6,14.3,43,-1.3
1967,3,214,27.4,17,120,4.8
1967,4,180,30.9,19.5,143,4.7
1967,5,436,30.5,22.3,139,4.5
1967,6,561,29,22.2,125,3.7
1967,7,1025,29,23.2,112,3.3
1967,8,410,29.4,23,123,2.9
1967,9,423,28.6,22.2,102,2.5
1967,10,112,27.8,19.2,101,1.2
1967,11,7,24.8,13.8,50,0.6
1967,12,0,24.3,12.9,34,-1.7
1968,1,15,22.1,11.4,40,-1.3
1968,2,2,24.6,12.4,35,-1.6
1968,3,65,29.1,17.7,84,-1.7
1968,4,206,31,20.5,147,-1.4
1968,5,414,30.3,22.2,136,-1.5
1968,6,1029,27.8,21.9,106,-1.1
1968,7,1053,28.3,23.3,103,-1
1968,8,579,29.3,23.3,114,-0.9
1968,9,353,29.3,23.3,101,-1.4
1968,10,143,28.1,19.9,98,-2
1968,11,12,25.6,15.9,50,-2.1
1968,12,0,23.9,12.6,36,-2
1969,1,16,22.9,10.6,43,-1.6
