Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.5625 North,91.2708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,19,17.5,7.2,40,-0.2
1958,2,82,17,8.4,69,2.3
1958,3,30,22.9,11.7,64,-2
1958,4,611,24.3,15.3,111,-1.8
1958,5,592,23.7,16.8,109,-1.6
1958,6,588,25.1,18.6,106,-1.4
1958,7,1910,24.7,19.1,101,-1.3
1958,8,1398,23.6,18.6,80,-1.2
1958,9,590,24.2,18.4,82,-1
1958,10,246,23.1,15.8,81,-1.1
1958,11,13,20.9,10.7,47,-2.2
1958,12,11,17.9,8.2,34,-2.4
1959,1,48,15.8,6.4,53,2
1959,2,19,16.6,7.3,42,1.3
1959,3,195,21.2,11.3,100,2.5
1959,4,585,23.9,15.6,113,2.2
1959,5,966,23.4,16.5,105,2
1959,6,1355,23.4,18.4,91,1.8
1959,7,1458,24.1,18.9,102,1.6
1959,8,973,24.1,18.6,100,1.4
1959,9,663,23,17.8,79,1.3
1959,10,581,21.1,15,74,3.5
1959,11,3,19.9,10,44,1.5
1959,12,0,18.2,7.1,31,-2.6
1960,1,0,16.8,5.3,30,-3.8
1960,2,4,20.2,9.4,29,-5.4
1960,3,112,20.7,10.9,104,-5.6
1960,4,163,26.5,15.9,129,-5
1960,5,542,25.2,17.4,120,-4.5
1960,6,1414,23.9,18.4,108,-4.1
1960,7,2116,22.8,18.4,87,-3.6
1960,8,730,24.6,19,98,-3.3
1960,9,884,23.4,18,83,-2.9
1960,10,163,23.1,14.8,90,-3.5
1960,11,34,19.9,10.2,55,-3.5
1960,12,2,18.4,7.5,35,-4
1961,1,6,17.5,6.7,33,-4.3
1961,2,24,16.1,7.4,42,-4.3
1961,3,114,21.6,13.1,100,-4.4
1961,4,268,24.3,15.5,119,-4
1961,5,531,23.9,16.9,113,-3.6
1961,6,1207,23.2,18.1,116,-3.2
1961,7,1376,24.4,18.8,110,-2.9
1961,8,1015,24.3,19.1,104,-2.6
1961,9,481,23.9,18.2,96,-2.3
1961,10,236,22.7,15.4,88,-2.4
1961,11,28,19.2,9.6,52,-2.7
1961,12,2,16.4,5.3,33,-3.2
1962,1,25,15.7,4.4,43,-2.4
1962,2,47,17.5,8,54,-1.3
1962,3,16,22.9,10.9,55,-3.7
1962,4,253,24.7,15.6,121,-3.3
1962,5,604,23.7,16.2,116,-3
1962,6,1569,23.4,17.7,94,-2.7
1962,7,1732,24.7,19,112,-2.4
1962,8,956,23.6,18.9,88,-2.2
1962,9,238,24.6,18.2,93,-1.9
1962,10,173,22.8,14.4,92,-2.5
1962,11,2,19.8,9.7,44,-3.9
1962,12,1,17.8,6.8,31,-4.6
1963,1,0,16.9,4.8,32,-5.6
1963,2,3,19.7,8.2,30,-7.1
1963,3,142,21.8,11.3,109,-6.7
1963,4,351,22.8,14,116,-6
1963,5,547,22.4,15.8,112,-5.4
1963,6,1323,23.1,18.2,94,-4.9
1963,7,2129,23.6,18.9,92,-4.4
1963,8,1055,24,19,88,-3.9
1963,9,690,24.5,18.3,93,-3.5
1963,10,287,22.2,14.6,87,-3.1
1963,11,23,19.7,10.3,53,-3.6
1963,12,6,17.6,7.7,36,-4
1964,1,12,15.5,5,37,-4.1
1964,2,38,18,7.7,52,-3.7
1964,3,154,22.4,12.5,111,-3.2
1964,4,626,22.1,14.7,113,-2.9
1964,5,835,23.4,16,118,-2.6
1964,6,1376,23.1,17.8,92,-2.3
1964,7,2015,22.8,18.3,93,-2.1
1964,8,814,24.4,18.7,103,-1.8
1964,9,689,23.9,18,86,-1.7
1964,10,491,22.5,16,84,1.6
1964,11,23,20.5,11.2,55,-1
1964,12,1,18,7.1,36,-2
1965,1,0,16.8,5.6,29,-3.1
1965,2,62,17.5,7.5,62,-1.6
1965,3,152,20.8,9.6,107,-1.2
1965,4,281,22.9,14.7,116,-1.1
1965,5,603,24.1,16.6,114,-1
1965,6,1336,23,17.8,99,-0.9
1965,7,1814,23.5,18.1,102,-0.8
1965,8,1293,22.9,17.6,98,-0.7
1965,9,595,23.5,17.5,88,-0.6
1965,10,119,22.3,14.5,87,-1.7
1965,11,80,20.1,9.6,68,1.3
1965,12,7,18.4,7.7,38,0.9
1966,1,27,16.3,6,45,1.9
1966,2,3,19.6,9,39,-1.3
1966,3,30,22.4,10.8,63,-3.6
1966,4,170,24.8,14.8,124,-3.2
1966,5,490,24.9,17.2,122,-2.9
1966,6,1831,22.5,17.8,94,-2.6
1966,7,1843,23.9,18.6,101,-2.3
1966,8,1365,23.5,18.7,95,-2.1
1966,9,617,23.4,17.8,97,-1.8
1966,10,206,21.3,13.8,89,-2.2
1966,11,66,20.2,11.8,64,-1.1
1966,12,24,17.2,7.7,44,1.4
1967,1,37,16.2,6.6,51,3.1
1967,2,17,18,8.7,47,2.5
1967,3,280,19.3,11.3,100,5.6
1967,4,354,22.6,13.3,115,5
1967,5,740,23.5,16.3,115,4.5
1967,6,893,23.3,17.6,106,4.1
1967,7,2116,23.6,18.6,98,3.6
1967,8,702,24.4,18.5,114,3.3
1967,9,741,23.1,17.5,91,2.9
1967,10,108,21.9,14,90,1.4
1967,11,28,18.8,8.7,52,0.6
1967,12,1,17.4,7.3,32,-2.4
1968,1,14,15.4,6,36,-2.3
1968,2,9,16.4,6.6,35,-3.4
1968,3,108,21.2,11.7,103,-3.8
1968,4,587,22.7,14.2,115,-3.4
1968,5,716,23.2,15.9,110,-3
1968,6,1442,22.2,17.3,94,-2.7
1968,7,2148,23,18.6,93,-2.4
1968,8,1019,24.1,18.6,102,-2.2
1968,9,489,23.7,18.2,89,-2
1968,10,178,22.2,14.6,86,-2.5
1968,11,18,19.6,10.9,48,-3.2
1968,12,2,17.6,7.1,33,-3.8
1969,1,19,16,5.3,40,-3.3
1969,2,0,18.5,7.7,31,-4.8
1969,3,191,22.6,12.4,106,-3.4
1969,4,346,24,14.7,117,-3.1
1969,5,376,24.8,16.9,118,-2.7
1969,6,1279,23.2,18,100,-2.5
1969,7,2382,24,18.8,97,-2.2
1969,8,1180,23.1,18.1,93,-2
1969,9,508,24,18,94,-1.8
1969,10,148,22,14.6,90,-2.5
1969,11,41,19.3,11,55,-2.4
1969,12,2,17.6,7.6,34,-2.8
1970,1,56,15.1,5.6,56,2.7
1970,2,32,17.3,8.4,49,2.7
1970,3,135,21.1,11.7,102,2.7
1970,4,218,24.1,15,114,2.4
1970,5,320,24.2,17,116,2.2
1970,6,2226,23.4,18.4,107,1.9
1970,7,2760,23,18.6,91,1.7
1970,8,1545,23.8,18.6,102,1.6
1970,9,1158,23.3,18.2,87,1.4
1970,10,463,21.6,15,84,2.6
1970,11,50,19.3,11,60,2.6
1970,12,0,17.7,7,34,1.6
1971,1,21,15.4,6.2,41,1.9
1971,2,10,17.1,7.2,38,0.6
1971,3,80,21.4,10.5,87,-2.3
1971,4,295,21.6,14.7,107,-2.1
1971,5,296,23.1,16.6,120,-1.9
1971,6,961,22.8,18.2,100,-1.7
1971,7,1381,23,18.1,101,-1.5
1971,8,956,23.1,17.5,92,-1.4
1971,9,493,23.4,17.6,88,-1.2
1971,10,301,22.1,15.2,81,-0.9
1971,11,167,18.8,10.1,65,5
1971,12,5,17.5,7.3,40,4
1972,1,7,16.9,6.6,37,3.3
1972,2,49,15.6,6.9,55,4
1972,3,149,21.8,11.7,105,4
1972,4,362,23,13.7,114,3.6
1972,5,453,24.1,17.1,118,3.2
1972,6,1198,23.5,17.4,114,2.9
1972,7,1713,24.1,18.5,103,2.6
1972,8,856,23.7,18,115,2.3
1972,9,425,24,17.4,93,2.1
1972,10,150,22.8,14.4,93,0.9
1972,11,15,20.1,10.4,49,-2
1972,12,0,17.6,7.4,32,-2.9
1973,1,11,16.7,6.6,35,-3.2
1973,2,117,18.5,9.6,73,3.9
1973,3,172,20.5,11.1,104,4.6
1973,4,399,24.1,15.8,121,4.1
1973,5,1350,22.6,16.2,109,3.7
1973,6,1366,23,18,91,3.3
1973,7,1777,24.2,18.3,107,3
1973,8,673,24.2,18.4,109,2.7
1973,9,771,23.3,17.9,90,2.4
1973,10,218,22.1,15.2,87,1.7
1973,11,146,18.8,11.5,68,5.4
1973,12,93,16.3,8,58,9.1
1974,1,17,15,6,44,9
1974,2,0,17.8,7.8,41,6.9
1974,3,184,20.7,11.7,103,7.4
1974,4,455,22.4,15.1,112,6.7
1974,5,929,23.1,16.3,108,6
1974,6,1083,23.1,17.6,92,5.4
1974,7,2637,22.5,17.9,101,4.8
1974,8,947,23.9,18.2,107,4.3
1974,9,755,23.1,17.1,89,3.9
1974,10,608,23.6,15.9,88,5.8
1974,11,17,21.1,11.8,51,4.1
1974,12,1,16.6,6.1,33,2.7
1975,1,5,15.8,6,31,1.5
1975,2,20,17.7,8.2,40,-3.4
1975,3,77,22.6,11.4,85,-4.7
1975,4,465,24.1,15.1,117,-4.2
1975,5,616,23.4,16.4,112,-3.7
1975,6,1445,23.9,18.3,104,-3.4
1975,7,2574,22.2,18.3,85,-3
1975,8,952,24.1,18.4,95,-2.7
1975,9,1148,23.2,17.4,89,-2.4
1975,10,244,22.9,16,85,-2.4
1975,11,43,19.5,9.9,59,-2.3
1975,12,2,17.4,5.4,36,-2.8
1976,1,11,16,6.1,36,-2.8
1976,2,29,17.5,9.5,48,-2.8
1976,3,130,21.3,12.8,109,-2.8
1976,4,250,23.3,15.2,121,-2.5
1976,5,713,22.9,16,114,-2.3
1976,6,1807,22.3,17.4,98,-2
1976,7,1855,23.5,18.2,92,-1.8
1976,8,967,23.2,17.9,105,-1.6
1976,9,497,24.1,17.4,90,-1.5
1976,10,173,22.2,14.2,86,-2.1
1976,11,18,20.6,12.1,51,-2.9
1976,12,1,17.3,7.1,34,-3.7
1977,1,11,15.6,5.7,35,-3.8
1977,2,38,17.2,8.6,51,-3.4
1977,3,200,22.1,13.4,111,-2
1977,4,981,20.6,13.7,108,-1.8
1977,5,845,21.6,15.2,112,-1.6
1977,6,1075,22.1,17.2,89,-1.5
1977,7,1958,23.7,18.9,101,-1.3
1977,8,967,23.8,18.5,97,-1.2
1977,9,373,24.2,18.2,97,-1
1977,10,443,21.2,14,89,1.7
1977,11,65,19.1,11.9,65,2.3
1977,12,28,16.6,7.8,46,2.9
1978,1,0,14.4,4.5,35,2.2
1978,2,13,16.8,8,41,1.2
1978,3,64,20.8,10.6,82,-2.6
1978,4,299,23,14.4,107,-2.3
1978,5,826,22.4,16.3,104,-2.1
1978,6,1278,22.5,17.5,94,-1.8
1978,7,1535,23.6,18.4,96,-1.7
1978,8,767,24.9,18.9,95,-1.5
1978,9,602,23.3,17.8,91,-1.3
1978,10,119,23.4,15.9,88,-2.4
1978,11,31,19.8,11.7,52,-2.6
1978,12,0,18.1,7.4,34,-3.2
