Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.5208 North,92.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,23.5,12.2,42,-0.2
1958,2,18,24.2,12.5,49,0.1
1958,3,27,29.7,16.3,64,-0.2
1958,4,64,31.3,20.4,82,-1.3
1958,5,201,29.5,21,135,-1.5
1958,6,409,28.2,21.2,118,-1.4
1958,7,406,27.2,20.6,108,-1.2
1958,8,663,26.2,20.2,97,-1.1
1958,9,562,26.8,20,99,0.7
1958,10,239,26.9,19.9,100,-0.1
1958,11,5,24.6,15.8,53,-1
1958,12,9,22,13.1,44,-1.3
1959,1,40,21.8,11.7,57,1
1959,2,35,23.1,12.3,59,1.5
1959,3,97,27.9,16.4,104,3.2
1959,4,25,30.8,20.1,71,1.7
1959,5,252,29.5,20.5,133,1.6
1959,6,762,27.3,20.6,112,1.4
1959,7,564,26.9,20.5,110,1.3
1959,8,1015,25.8,20.4,103,1.2
1959,9,565,25.2,19.6,90,1.9
1959,10,445,25.3,18.9,89,3.3
1959,11,0,23.3,14.3,53,1.9
1959,12,29,22.4,12.2,51,2
1960,1,0,22.1,10.8,40,1.3
1960,2,1,26.2,13.4,40,-1.8
1960,3,43,28.3,15.3,72,-1.7
1960,4,7,31.7,20.6,31,-3.4
1960,5,168,30.5,21.2,145,-3.7
1960,6,423,27.4,20.8,115,-3.4
1960,7,746,25.9,20.5,96,-3
1960,8,631,26.6,20.8,104,-2.7
1960,9,568,26.4,19.8,89,-1.6
1960,10,268,26.4,19.2,97,-1.2
1960,11,75,23.3,14.8,78,-0.9
1960,12,3,22.3,12.9,44,-1.1
1961,1,2,23,11.9,43,-1
1961,2,14,22.9,11.6,50,-0.9
1961,3,14,28.3,18.7,61,-1.1
1961,4,78,31,20.3,99,-1.7
1961,5,129,29.6,20.9,125,-2.4
1961,6,2849,27,20.6,112,-2.2
1961,7,233,26.3,20.7,103,-2
1961,8,1114,26.3,20.7,100,-1.8
1961,9,397,25.8,19.8,94,-2
1961,10,270,26.2,19.3,100,-1.6
1961,11,7,23.1,14.4,53,-2.3
1961,12,0,20.6,10.2,40,-2.7
1962,1,12,21.1,9.2,44,-2.6
1962,2,28,24.1,12.6,53,-2
1962,3,3,29.5,16.1,52,-2.7
1962,4,60,30.7,20.1,79,-3.4
1962,5,308,29.4,19.9,139,-2.6
1962,6,373,26.5,20.4,101,-2.3
1962,7,662,27.6,21,112,-2.1
1962,8,581,26,20.5,101,-1.9
1962,9,338,27.1,20.1,100,-2.6
1962,10,313,26.1,19.2,102,-1.8
1962,11,0,23.6,14.3,52,-2.7
1962,12,0,22.1,11.7,38,-3.1
1963,1,0,22.4,9.7,38,-3.4
1963,2,0,25.9,13.6,38,-4
1963,3,20,29,16.4,54,-4.3
1963,4,105,29.6,18.6,110,-4.2
1963,5,307,27.9,19.5,141,-3.3
1963,6,426,26.2,20.7,98,-3
1963,7,761,26.3,20.9,98,-2.7
1963,8,429,26.5,20.7,105,-2.4
1963,9,336,27,19.9,105,-3.1
1963,10,392,25.8,19.2,94,-1.6
1963,11,3,23.9,15.2,53,-2.4
1963,12,0,22,12.5,39,-2.9
1964,1,9,21.5,11,41,-2.9
1964,2,25,24.4,13.3,52,-2.5
1964,3,7,29.1,18.1,51,-3.1
1964,4,141,29.2,19.7,137,-2.5
1964,5,160,29.1,19.9,136,-3
1964,6,1315,26.9,20.3,111,-2.6
1964,7,400,25.4,20.2,103,-2.4
1964,8,700,26.4,20.5,107,-2.1
1964,9,479,26.4,20.2,97,-1.8
1964,10,421,25.8,20,102,1.5
1964,11,54,24.1,16.6,70,1.2
1964,12,0,22.4,12.9,44,0.6
1965,1,1,22.3,11.3,42,-0.3
1965,2,71,23.8,12.7,77,1.9
1965,3,15,27.8,15.5,65,1.6
1965,4,16,29.9,19.4,53,-1.6
1965,5,258,29.4,20.7,143,-1.4
1965,6,507,26.3,20.3,104,-1.3
1965,7,1126,25.8,20.2,107,-1.1
1965,8,768,25,19.9,105,-1
1965,9,392,26,19.6,100,-1.4
1965,10,221,26.1,19.1,99,-1.5
1965,11,32,24.2,15.4,65,-1.9
1965,12,43,22.2,13.8,56,-0.8
1966,1,11,21.8,12.3,47,1.1
1966,2,0,25.8,14,45,0.6
1966,3,75,28.4,16.7,94,1.7
1966,4,50,31.1,20,85,-1
1966,5,325,30.1,21.2,152,0.5
1966,6,382,25.4,20.4,96,0.5
1966,7,747,26.9,20.7,102,0.4
1966,8,725,25.8,20.6,98,0.4
1966,9,661,26,19.8,103,1.8
1966,10,293,25.5,18.2,108,1.9
1966,11,22,24.5,16.7,61,1
1966,12,71,21.1,13,66,2.6
1967,1,51,21.5,12.6,62,4.3
1967,2,0,24.4,13.5,51,3.9
1967,3,41,26.9,16.6,79,4.1
1967,4,118,29.9,18.6,125,3.9
1967,5,104,29.2,20.4,113,2.4
1967,6,527,27.2,20.3,116,2.2
1967,7,712,26.7,20.7,102,1.9
1967,8,571,26.4,20.4,103,1.7
