Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.9375 North,92.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,12,24.1,11.8,46,-0.1
1958,2,59,24.1,12.6,69,0.9
1958,3,50,30.1,16.6,83,-0.5
1958,4,181,31,20.3,139,0
1958,5,272,29.5,21,125,-0.7
1958,6,267,29.8,21.9,117,-0.6
1958,7,366,29.1,21.8,109,-1
1958,8,490,28,21.5,95,0.4
1958,9,336,28.8,21.9,96,0.1
1958,10,271,28.6,21,100,0.8
1958,11,7,26.5,15.6,53,-0.7
1958,12,4,23.5,12.7,42,-0.8
1959,1,48,22.5,11.1,60,1
1959,2,42,23.4,11.8,60,1.4
1959,3,197,28.2,16.4,119,2.7
1959,4,152,30.7,20,134,2.5
1959,5,514,29.3,20.5,123,3.6
1959,6,501,28.3,21.5,110,3.2
1959,7,400,28.6,21.8,107,2.7
1959,8,487,28,21.6,109,2.7
1959,9,354,27.3,21.5,89,2.9
1959,10,436,26.9,20,86,4
1959,11,0,25.2,14.4,53,2.8
1959,12,3,24.1,11.5,40,2.2
1960,1,0,23.3,10.1,39,1.4
1960,2,2,26.9,13.2,37,-2.2
1960,3,80,28.4,15.4,93,-2.3
1960,4,49,32.3,20.8,78,-3
1960,5,223,30.9,21.3,139,-3.3
1960,6,590,28.7,21.7,108,-2.9
1960,7,493,27.4,21.6,97,-2
1960,8,276,28.8,22,104,-2.3
1960,9,439,28.3,21.6,94,-0.9
1960,10,186,28.4,20.2,103,-1.1
1960,11,47,25.2,14.9,68,-0.8
1960,12,1,23.9,12.3,42,-0.8
1961,1,4,24.1,11.2,41,-0.9
1961,2,12,23.1,11.2,46,-1.2
1961,3,51,28.6,18.7,79,-1.6
1961,4,102,31,20.5,114,-2
1961,5,171,29.7,21,127,-2.5
1961,6,1160,28.2,21.4,115,-2.2
1961,7,250,28.3,21.8,110,-3.4
1961,8,498,28.4,21.9,105,-2.7
1961,9,230,28.2,21.6,102,-3.4
1961,10,186,28.1,20.5,102,-3.3
1961,11,10,25,14.3,54,-3.6
1961,12,0,22.4,9.8,40,-3.5
1962,1,29,22.1,8.7,52,-2.8
1962,2,47,24.5,12.3,61,-1.9
1962,3,8,30,16.1,61,-2.8
1962,4,107,31.1,20.3,114,-3.1
1962,5,274,29.7,20.2,132,-3.1
1962,6,514,28.1,21.1,105,-2.8
1962,7,466,29.2,22,118,-2.3
1962,8,370,27.9,21.8,100,-2.1
1962,9,156,29.3,21.9,101,-3.7
1962,10,229,28.1,20.1,104,-3.3
1962,11,0,25.3,14.4,52,-3.8
1962,12,0,23.6,11.2,39,-3.8
1963,1,0,23.4,9.2,39,-4
1963,2,4,26.4,13.1,39,-4.3
1963,3,58,29.3,16.4,80,-4.5
1963,4,89,29.8,18.9,100,-4.7
1963,5,168,28.2,19.9,134,-4.9
1963,6,380,27.7,21.6,101,-4.4
1963,7,528,27.9,21.9,102,-3.1
1963,8,317,28.4,22,101,-3.2
1963,9,270,29.1,21.8,106,-3.5
1963,10,347,27.5,20.2,94,-2.3
1963,11,10,25.5,15,56,-2.7
1963,12,0,23.4,12.2,40,-2.7
1964,1,22,22,10.1,47,-2.3
1964,2,49,24.6,12.6,64,-1.5
1964,3,45,29.5,18.1,79,-2
1964,4,241,28.8,19.6,135,-1.4
1964,5,339,29.3,20.2,132,-1
1964,6,722,28.1,21.1,112,-0.9
1964,7,386,27.1,21.3,103,-1.1
1964,8,353,28.5,21.7,109,-1.2
1964,9,367,28.5,21.8,98,-0.7
1964,10,428,27.8,21.1,104,1.7
1964,11,37,26.1,16.4,66,1.4
1964,12,0,23.9,12.2,43,1.1
1965,1,0,23.2,10.8,38,0.6
1965,2,82,24.3,12.2,79,2
1965,3,61,28.1,15.3,87,1.5
1965,4,42,29.8,19.6,80,-1.1
1965,5,199,29.7,20.9,132,-1.6
1965,6,490,27.7,21.1,106,-1.4
1965,7,521,27.6,21.2,110,-0.5
1965,8,522,27.1,20.9,108,1.2
1965,9,284,28,21.2,98,0.6
1965,10,135,28,20.1,100,-0.6
1965,11,64,26,15,76,0.4
1965,12,7,23.8,13,45,0.6
1966,1,22,22.7,11.6,50,1
1966,2,0,26.5,13.5,44,-0.5
1966,3,69,29,16.3,91,-0.7
1966,4,73,31.4,19.9,98,-1.4
1966,5,193,30.6,21.3,144,-1.9
1966,6,674,26.7,21.1,95,-1.7
1966,7,288,28.4,21.7,106,-2.6
1966,8,481,27.8,21.8,102,-2
1966,9,427,28.1,21.5,104,-0.8
1966,10,249,27.1,19.3,108,-0.6
1966,11,19,26,16.8,58,-1
1966,12,19,22.7,12.6,47,1.1
1967,1,63,22.5,12,67,2.6
1967,2,9,24.7,13.5,49,2.1
1967,3,174,26.8,16.6,119,3.1
1967,4,143,29.8,18.6,136,2.7
1967,5,282,29.4,20.5,134,2.3
1967,6,284,28.4,21,115,2.1
1967,7,470,28.2,21.7,102,2.2
1967,8,313,28.6,21.5,114,1.6
1967,9,430,27.5,21.3,100,2.5
1967,10,178,27.5,19.5,103,1.9
1967,11,3,24.9,13.4,53,1
1967,12,0,23.4,11.7,40,-1.3
1968,1,17,22.3,10.5,45,-1.2
1968,2,12,23.4,11.4,43,-1.5
1968,3,91,28.8,16.6,100,-1.4
1968,4,149,29.7,19,136,-1.5
1968,5,393,29,19.9,131,-1.1
1968,6,844,26.9,20.6,99,-1
1968,7,455,27.8,21.5,104,-0.6
1968,8,459,28.2,21.5,105,0.2
1968,9,229,28.3,21.7,96,-1
1968,10,126,28,20.2,103,-1.5
1968,11,15,25.6,15.8,56,-1.9
