Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.4792 North,92.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,22.6,11.4,41,-0.2
1958,2,17,23.6,11.9,47,0
1958,3,27,29.4,16,62,-0.1
1958,4,58,31.2,20.4,73,-1.3
1958,5,188,29.6,20.9,137,-1.5
1958,6,420,28,21,118,-1.4
1958,7,382,27.1,20.6,108,-1.2
1958,8,624,26,20,98,-1.1
1958,9,533,26.7,19.9,100,0.7
1958,10,231,26.6,19.7,100,-0.1
1958,11,6,24.1,15.2,53,-1
1958,12,9,21.3,12.4,43,-1.3
1959,1,41,20.9,10.9,57,1
1959,2,33,22.5,11.8,57,1.6
1959,3,86,27.7,16.1,98,3.1
1959,4,23,30.8,20.1,67,1.6
1959,5,228,29.5,20.4,135,1.5
1959,6,747,27.1,20.4,112,1.4
1959,7,528,26.8,20.5,111,1.2
1959,8,963,25.6,20.1,103,1.1
1959,9,538,25,19.5,90,1.8
1959,10,426,25.1,18.7,90,3.3
1959,11,0,22.7,13.8,52,1.9
1959,12,29,21.7,11.5,51,1.9
1960,1,0,21.2,10,39,1.3
1960,2,1,25.6,12.8,39,-1.7
1960,3,38,28.1,15,68,-1.7
1960,4,6,31.6,20.6,26,-3.4
1960,5,156,30.5,21.1,146,-3.8
1960,6,385,27.2,20.6,115,-3.4
1960,7,695,25.9,20.5,97,-3
1960,8,597,26.5,20.5,104,-2.7
1960,9,539,26.3,19.7,90,-1.6
1960,10,263,26.2,19,98,-1.2
1960,11,74,22.7,14.2,77,-0.9
1960,12,3,21.6,12.2,44,-1.1
1961,1,2,22.1,11.1,41,-1.1
1961,2,14,22.3,11,49,-0.9
1961,3,13,28.1,18.4,59,-1.1
1961,4,73,31,20.3,94,-1.7
1961,5,119,29.6,20.8,117,-2.5
1961,6,2667,26.9,20.4,113,-2.2
1961,7,216,26.2,20.6,103,-2
1961,8,1049,26.2,20.4,100,-1.8
1961,9,382,25.7,19.7,94,-2
1961,10,262,26,19.1,100,-1.6
1961,11,7,22.5,13.9,52,-2.3
1961,12,0,19.9,9.5,39,-2.7
1962,1,13,20.2,8.4,43,-2.5
1962,2,27,23.6,12,51,-2
1962,3,3,29.2,15.7,48,-2.6
1962,4,56,30.7,20.1,73,-3.3
1962,5,290,29.4,19.8,141,-2.5
1962,6,347,26.4,20.2,101,-2.2
1962,7,616,27.6,21,112,-2
1962,8,546,25.8,20.3,101,-1.8
1962,9,324,27,20,100,-2.6
1962,10,304,25.9,19,102,-1.8
1962,11,0,23,13.7,52,-2.6
1962,12,0,21.4,11,38,-3
1963,1,0,21.5,8.9,37,-3.4
1963,2,0,25.3,13,37,-3.9
1963,3,17,28.8,16.1,48,-4.3
1963,4,103,29.5,18.6,108,-4
1963,5,282,27.9,19.5,142,-3.2
1963,6,425,26,20.5,99,-2.9
1963,7,705,26.3,20.9,98,-2.6
1963,8,407,26.3,20.4,105,-2.3
1963,9,324,26.9,19.8,106,-3
1963,10,379,25.6,19,94,-1.5
1963,11,3,23.3,14.6,53,-2.3
1963,12,0,21.3,11.8,38,-2.8
1964,1,9,20.5,10.2,40,-2.8
1964,2,24,23.9,12.7,50,-2.5
1964,3,6,28.9,17.8,46,-3.1
1964,4,131,29.2,19.7,129,-2.5
1964,5,150,29.1,19.8,137,-2.9
1964,6,1247,26.7,20.1,111,-2.6
1964,7,368,25.4,20.1,103,-2.3
1964,8,666,26.3,20.3,108,-2.1
1964,9,456,26.3,20.1,97,-1.8
1964,10,407,25.6,19.8,102,1.5
1964,11,53,23.5,16,69,1.2
1964,12,0,21.7,12.2,43,0.6
1965,1,1,21.4,10.5,41,-0.3
1965,2,69,23.3,12.1,75,1.9
1965,3,13,27.6,15.2,63,1.6
1965,4,16,29.9,19.5,46,-1.6
1965,5,245,29.4,20.6,144,-1.3
1965,6,489,26.1,20.1,105,-1.2
1965,7,1060,25.8,20.1,108,-1.1
1965,8,721,24.8,19.7,105,-0.9
1965,9,378,25.9,19.5,100,-1.4
1965,10,221,25.9,18.9,100,-1.4
1965,11,32,23.7,14.9,64,-1.8
1965,12,44,21.5,13.1,55,-0.7
1966,1,11,20.9,11.5,46,1.1
1966,2,0,25.3,13.4,44,0.6
1966,3,68,28.2,16.4,89,1.6
1966,4,47,31.1,20,81,-1
1966,5,313,30.2,21.1,153,0.7
1966,6,355,25.3,20.2,97,0.6
1966,7,712,26.9,20.7,102,0
1966,8,675,25.6,20.3,98,0
1966,9,623,25.9,19.7,103,1.8
1966,10,281,25.3,18,109,1.9
1966,11,22,24,16.1,60,1
1966,12,70,20.4,12.3,66,2.6
1967,1,53,20.6,11.8,61,4.3
1967,2,0,23.9,12.9,50,3.9
1967,3,36,26.7,16.3,76,4.2
1967,4,110,29.9,18.6,120,3.9
1967,5,96,29.2,20.3,108,2.4
1967,6,517,27,20.1,117,2.2
1967,7,666,26.7,20.7,103,1.9
