Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.3542 North,92.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,6,20.9,10.2,40,-0.1
1958,2,43,21.8,11.2,59,0.5
1958,3,36,28.1,15,71,0.2
1958,4,114,29.7,18.9,117,-0.2
1958,5,206,28.4,19.5,125,-0.2
1958,6,218,28.2,20.5,114,0
1958,7,293,27.1,20.1,105,-0.9
1958,8,488,25.9,19.8,93,0.4
1958,9,392,26.4,19.8,95,0.8
1958,10,252,25.7,18.8,96,0.8
1958,11,6,23.1,14,50,-0.7
1958,12,8,20.1,11.1,41,-0.8
1959,1,37,19.3,9.5,52,0.8
1959,2,43,20.8,10.7,59,1.3
1959,3,136,26.2,15.1,116,2.6
1959,4,85,29.2,18.6,104,2.2
1959,5,343,28.1,18.9,123,3
1959,6,483,26.8,19.9,109,2.6
1959,7,334,26.7,20,106,2.2
1959,8,560,25.8,19.9,105,2.7
1959,9,389,24.7,19.3,87,2.9
1959,10,425,24.2,17.9,84,4
1959,11,0,21.8,12.8,50,2.8
1959,12,14,20.5,10.1,43,2.4
1960,1,0,19.9,8.6,36,1.7
1960,2,1,24.2,11.8,36,0.8
1960,3,59,26.4,13.8,79,0.6
1960,4,28,30.6,19.3,50,-2.7
1960,5,162,29.5,19.7,136,-3.1
1960,6,453,27.2,20.2,107,-2.8
1960,7,426,25.6,20,95,-2
1960,8,321,26.6,20.2,101,-2.2
1960,9,442,26,19.4,90,-1.1
1960,10,204,25.5,18.1,96,-1.1
1960,11,50,21.9,13.3,66,-0.9
1960,12,2,20.4,10.7,40,-1
1961,1,3,20.8,9.8,38,-1.1
1961,2,13,20.6,10,45,-1.2
1961,3,28,26.6,17.3,64,-1.5
1961,4,82,29.6,19.1,98,-1.9
1961,5,128,28.5,19.4,123,-2.5
1961,6,1583,26.6,19.8,110,-2.3
1961,7,188,26.2,20.1,103,-3.2
1961,8,632,26.3,20.2,100,-1.8
1961,9,255,25.6,19.4,95,-2.5
1961,10,210,25.2,18.3,97,-2.4
1961,11,5,21.7,12.8,49,-2.8
1961,12,0,18.8,8.2,37,-2.9
1962,1,17,18.8,7.1,42,-2.5
1962,2,43,21.9,11,57,-1.8
1962,3,5,27.8,14.6,54,-2.4
1962,4,72,29.5,18.8,88,-2.9
1962,5,232,28.4,18.7,130,-2.7
1962,6,386,26.4,19.8,101,-2.4
1962,7,408,27.3,20.4,112,-1.9
1962,8,385,25.7,20,98,-1.8
1962,9,207,26.8,19.8,97,-3
1962,10,262,25.1,18,99,-2.5
1962,11,0,22,12.7,49,-3
1962,12,0,20.1,9.6,36,-3.2
1963,1,0,20.1,7.6,35,-3.4
1963,2,3,23.8,11.9,36,-3.7
1963,3,34,27.3,15,62,-3.9
1963,4,80,28.3,17.4,90,-4.1
1963,5,189,27,18.3,132,-4.1
1963,6,282,26.1,20.2,98,-3.7
1963,7,471,26.1,20.3,98,-2.5
1963,8,310,26.3,20.2,100,-2.8
1963,9,261,26.8,19.7,103,-3.4
1963,10,355,24.7,18,89,-2.1
1963,11,5,22.3,13.5,51,-2.6
1963,12,0,20,10.6,37,-2.8
1964,1,14,18.9,8.7,41,-2.5
1964,2,43,22.2,11.6,59,-1.8
1964,3,18,27.5,16.7,60,-2.2
1964,4,170,27.6,18.2,133,-1.6
1964,5,229,28.2,18.7,129,-1.5
1964,6,824,26.6,19.7,110,-1.3
1964,7,287,25.1,19.6,101,-1.6
1964,8,405,26.3,20,106,-1.6
1964,9,390,26,19.8,95,-1
1964,10,411,24.9,18.9,99,1.6
1964,11,37,22.6,14.8,62,1.3
1964,12,0,20.5,10.7,41,0.9
1965,1,0,19.9,9.2,37,-0.3
1965,2,83,21.7,11,79,1.6
1965,3,32,26.1,14,71,1.2
1965,4,24,28.4,18.2,62,-1.2
1965,5,166,28.4,19.3,132,-1.7
1965,6,401,26.1,19.7,103,-1.5
1965,7,518,25.6,19.6,106,1.1
1965,8,526,24.9,19.4,105,1.5
1965,9,296,25.6,19.2,96,0.8
1965,10,146,25.2,18,96,-1
1965,11,48,22.6,13.6,67,-0.9
1965,12,20,20.4,11.6,45,0.3
1966,1,14,19.5,10.1,44,0.6
1966,2,0,23.8,12.3,42,-0.5
1966,3,68,26.9,15.1,88,0.3
1966,4,57,29.9,18.6,85,-0.9
1966,5,162,29.3,19.9,143,-1.5
1966,6,502,25.2,19.7,94,-1.3
1966,7,241,26.6,20.1,101,-2
1966,8,473,25.6,20.1,98,-1.5
1966,9,490,25.8,19.5,100,1.6
1966,10,266,24.4,17.1,103,1.6
1966,11,14,23,15.2,54,0.9
1966,12,47,19.2,11,55,1.8
1967,1,48,19.2,10.5,57,3
1967,2,5,22.2,12.1,47,2.5
1967,3,91,25,15.3,100,3
1967,4,115,28.6,17.3,120,2.7
1967,5,172,28.1,19,132,2.1
1967,6,217,26.9,19.6,113,1.8
1967,7,415,26.4,20.1,99,2
1967,8,348,26.4,19.8,105,1.4
1967,9,494,25.1,19.3,94,2.7
1967,10,207,24.7,17.4,98,2.2
1967,11,0,21.7,11.8,50,1.2
1967,12,0,20.2,10.1,37,0.6
1968,1,17,19.2,8.9,42,0.6
1968,2,13,21,10.3,42,-1.4
1968,3,62,26.9,15.2,81,-1.2
1968,4,79,28.4,17.7,93,-1.6
1968,5,335,27.7,18.4,131,-0.8
1968,6,1018,25.4,19.1,97,-0.7
1968,7,320,26.2,19.9,103,-0.9
1968,8,521,26,19.7,102,0.5
1968,9,210,26.1,19.6,92,-1.3
1968,10,121,25.2,17.9,96,-1.9
1968,11,12,22.5,14.2,52,-2.2
1968,12,0,20.6,10.2,40,-2.5
1969,1,4,19.3,8.4,37,-2.6
1969,2,0,23.1,10.9,37,-3
1969,3,126,27.4,16.1,122,-1.8
1969,4,185,29.1,18.1,137,-1.1
1969,5,61,29.1,19.6,93,-2.2
1969,6,396,26.8,19.6,106,-2
1969,7,486,26.7,20.3,103,-0.9
1969,8,585,25.1,19.5,96,1.7
1969,9,300,26.4,19.5,100,1
1969,10,67,25.1,17.6,85,-1.5
1969,11,30,22.3,13.9,57,-1.6
1969,12,0,20.3,10.2,37,-1.9
1970,1,27,18.9,8.5,47,-1.3
1970,2,24,22,11.7,49,-1.2
1970,3,25,26.5,16,61,-1.6
1970,4,112,29.1,18.7,114,-1.6
1970,5,128,28.1,19.6,122,-2.3
1970,6,899,26.6,20,110,-2
1970,7,259,25.7,19.8,95,-2.4
1970,8,409,26,19.9,101,-2.2
1970,9,456,25.2,19.8,91,-0.9
1970,10,444,24.1,18.1,91,2.5
1970,11,99,21.3,14.4,72,3.2
1970,12,0,20,10.3,42,2.7
1971,1,16,19,9.6,45,2.8
1971,2,3,21.5,10.3,43,2.2
1971,3,6,27.2,13.6,56,1.3
1971,4,20,27.2,17.8,48,-2
1971,5,90,27.7,18.9,95,-3
1971,6,257,25.8,19.7,99,-2.7
1971,7,429,24.9,19.6,94,-2.4
1971,8,446,24.8,19.3,92,-1.9
1971,9,240,25.8,19.3,95,-2.8
1971,10,183,24.9,18.5,97,-2.8
1971,11,82,21.6,13.1,75,-1.8
1971,12,0,20,9.9,43,-1.9
1972,1,1,20.1,9.3,40,-1.8
1972,2,19,20,9.6,48,-1.6
1972,3,26,26.6,15.2,67,-1.8
1972,4,87,27.8,17.5,100,-2.1
1972,5,81,28.3,19.6,95,-3.2
1972,6,241,26.9,19.5,115,-2.8
1972,7,324,26.7,20.1,111,-3.5
1972,8,418,25.5,19.4,109,-3.2
1972,9,267,26.6,19.3,105,-3.7
1972,10,135,25.4,17.6,107,-4
1972,11,1,23,14.1,50,-4.4
1972,12,0,20.9,9.6,38,-4.5
1973,1,8,20.5,9.2,38,-4.3
1973,2,44,23.2,12.7,60,-3.5
1973,3,36,26.4,14.6,68,-3.5
1973,4,109,29,19.6,114,-3.4
1973,5,519,26.8,18.1,124,-0.8
1973,6,266,26.5,20.1,105,-0.7
1973,7,346,26.8,20.3,110,-0.7
1973,8,268,26.1,20,106,-1.4
1973,9,482,25.4,19.6,97,2
1973,10,194,25.3,18.5,96,1.5
1973,11,166,21.7,14.8,80,3.5
1973,12,53,18.7,10.9,60,4.6
1974,1,8,18.7,8.8,45,4.5
1974,2,0,22.1,10.3,46,3.8
1974,3,143,25.9,15.4,121,5.1
1974,4,110,27.8,18.5,119,4.7
1974,5,341,27.6,18.7,126,5.3
1974,6,389,26.2,19.5,105,4.8
1974,7,501,24.6,19.5,103,5.3
1974,8,389,25.6,20.1,104,4.6
1974,9,438,25.2,19.2,97,4.9
1974,10,301,25.7,18.8,96,4.9
1974,11,49,22.8,16.2,64,4.5
1974,12,0,18.8,9.5,39,3.8
1975,1,0,19.1,9.1,37,3.2
1975,2,14,22.1,11.6,46,2.6
1975,3,7,27.7,15.8,53,1.6
1975,4,62,28.7,18.9,81,0.6
1975,5,218,27.7,18.8,131,-2
1975,6,367,27.2,20,109,-1.8
1975,7,462,25,19.6,95,-0.8
1975,8,311,26.1,20,100,-1.3
1975,9,379,25.3,19.4,98,-0.9
1975,10,258,25.1,19.1,97,-0.6
1975,11,113,20.7,14,75,1.8
1975,12,0,19.1,9.1,42,1.4
1976,1,1,19.5,9.1,39,1.2
1976,2,7,21.9,12,43,0.7
1976,3,38,26.8,16.5,74,-0.3
1976,4,50,28.6,18.6,77,-1.5
1976,5,223,27.8,18.1,131,-1.5
1976,6,1167,25.7,19.1,100,-1.4
1976,7,264,26.1,19.9,100,-1.8
1976,8,403,25.6,19.4,105,-1.7
1976,9,233,26.2,19.3,99,-2.7
1976,10,199,25,17.5,94,-2.6
1976,11,106,22.8,15.3,74,-1.2
1976,12,1,19.6,10.2,43,-1.3
1977,1,4,19.3,8.7,41,-1.1
1977,2,68,21.1,11,73,2
1977,3,14,27.1,17.2,67,1.4
1977,4,353,25.9,17.2,128,3.6
1977,5,281,26.2,17.8,129,4.3
1977,6,368,25.5,19.1,98,3.8
1977,7,354,26.1,20.3,101,3.4
1977,8,318,25.7,20,101,2.6
1977,9,196,26.3,19.9,103,0.8
1977,10,172,24.5,17.1,99,-2.2
1977,11,56,22.1,15.2,68,-1.7
1977,12,9,19.7,10.6,45,-1.5
1978,1,0,17.8,7.6,38,-1.5
1978,2,3,21.6,11.1,40,-1.8
1978,3,11,26.6,14.1,56,-2.3
1978,4,67,28.6,17.8,82,-2.7
1978,5,330,27.2,18.7,126,-1.8
1978,6,341,26,19.3,103,-1.6
1978,7,243,26.4,20,102,-2.2
1978,8,359,27,20.5,101,-2.3
1978,9,397,25.5,19.4,97,-1.6
1978,10,171,26.1,19,103,-1.9
1978,11,4,22.9,14.8,51,-2.4
1978,12,0,20.9,10.5,38,-2.6
1979,1,8,20.6,9.6,40,-2.6
1979,2,10,21.8,11.1,42,-2.9
1979,3,22,26.5,15.3,56,-3.4
1979,4,48,29.5,18.9,63,-4
1979,5,119,29.4,20.2,123,-4.8
1979,6,561,27,20.5,115,-4.3
1979,7,327,26.4,20.3,108,-4.1
1979,8,498,25.7,20,93,-3.2
1979,9,507,25.6,19.5,94,-1.4
1979,10,101,25.1,17.9,101,-2.2
1979,11,32,23.6,15.8,61,-2.2
1979,12,49,19.6,12.3,58,-0.9
1980,1,0,19.1,9.3,39,-0.9
1980,2,38,21.5,11.6,58,1.7
1980,3,72,26.2,16.1,91,2
1980,4,53,29.5,19.3,88,1
1980,5,371,27.3,18,132,1.9
1980,6,194,26.8,19.9,96,1.7
1980,7,379,26.6,20,97,1.7
1980,8,404,26,19.7,97,1.5
1980,9,292,26.4,19.8,95,0.8
1980,10,288,24.6,17.7,91,1.2
1980,11,0,23,13.7,53,-0.8
1980,12,1,20.6,11.7,38,-1.3
1981,1,44,19.1,10.1,54,0.9
1981,2,11,21.5,11.8,43,-0.4
1981,3,109,25.8,15,107,1.3
1981,4,347,26.5,17.4,115,3.6
1981,5,265,27.1,18.7,121,4.2
1981,6,629,27.2,20.1,104,3.8
1981,7,529,25.3,20,96,4.6
1981,8,335,26.5,20.3,96,3.8
1981,9,257,25.7,19.7,102,2.4
1981,10,26,25.8,18.2,75,1
1981,11,0,23.4,14.3,44,-3
1981,12,37,19.4,10.7,48,-2.3
1982,1,0,20.4,9.6,31,-2.7
1982,2,26,21.2,12.2,45,-2.6
1982,3,31,26,14.4,60,-2.9
1982,4,166,27.8,17.6,122,-2.2
1982,5,118,29.3,19.3,125,-2.9
1982,6,342,26.2,19.9,95,-2.6
1982,7,373,26.7,20.2,110,-2.3
1982,8,642,25.8,20,96,-0.9
1982,9,414,25.6,19.7,96,1.7
1982,10,37,25.7,18.3,80,-1.2
1982,11,28,21.8,13.3,55,-1.4
1982,12,7,19.2,9.8,36,-1.7
1983,1,11,18.7,9.6,35,-1.7
1983,2,50,20.7,11,59,-0.9
1983,3,167,24.9,16.1,107,2.5
1983,4,198,28.4,17.8,132,3.2
1983,5,273,27.6,18.5,127,3.7
1983,6,465,27.1,20.1,111,3.3
1983,7,322,26.8,20.3,102,2.7
1983,8,446,26.3,20,93,2.6
1983,9,321,25.8,19.8,89,2.2
1983,10,348,25.5,18.4,86,2.8
1983,11,36,22.8,15.1,59,2.4
1983,12,52,19.1,10.2,59,3.4
1984,1,9,18.8,8.8,41,3.4
1984,2,3,21.9,10.8,43,2.8
1984,3,4,27.6,15.4,60,1.8
1984,4,168,29.6,18.6,141,1.8
1984,5,363,27.2,18.5,116,2.8
1984,6,268,26.9,19.8,94,2.5
1984,7,541,26.2,19.7,103,3.5
1984,8,390,26.6,19.9,105,3
1984,9,405,25.5,18.9,101,3.2
1984,10,190,26,18.5,92,2.6
1984,11,6,22.8,13.8,55,1.6
1984,12,11,20.2,10.6,42,1.3
1985,1,17,19.6,9.7,43,1.3
1985,2,14,22.2,10.9,44,0.8
1985,3,122,26.4,17.3,117,1.8
1985,4,95,28.5,19.3,105,1.4
1985,5,363,27.9,18.4,133,2.2
1985,6,736,26.7,19.8,100,2
1985,7,172,25.7,19.3,103,-1.3
1985,8,386,26.7,20,102,-1.3
1985,9,362,25.9,19.4,97,-1
1985,10,59,26.3,17.9,86,-2
1985,11,64,22.5,13.4,71,-1.5
1985,12,4,20.8,11.7,40,-1.6
1986,1,7,19.4,10,36,-1.6
1986,2,2,22.7,11.7,40,-2.1
1986,3,15,27.8,15.5,55,-2.7
1986,4,150,28.4,17.7,128,-2.2
1986,5,148,28.5,18.2,142,-2.7
1986,6,270,27.8,20.4,115,-2.4
1986,7,471,26.2,19.9,98,-1.6
1986,8,319,26.9,20.2,105,-1.9
1986,9,359,25.1,19.1,86,-1.5
1986,10,318,25,17.3,96,-0.8
1986,11,156,22.5,14.5,74,2.8
1986,12,0,20.6,11.1,43,2.3
1987,1,5,20.5,9.9,42,2.1
1987,2,21,23.2,12.2,50,1.9
1987,3,90,25.9,15.4,99,2.5
1987,4,220,28.3,18.3,136,3.2
1987,5,78,29,19.3,123,1.8
1987,6,950,27.5,21.3,116,1.7
1987,7,259,26.3,20.4,102,0.8
1987,8,561,25.9,20.2,101,1.5
1987,9,502,26,20,94,2.8
1987,10,165,26.2,18.1,105,2
1987,11,45,23.4,15.6,67,1.7
1987,12,26,20.8,11.4,51,2
