Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.3125 North,94.5208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,17,20.4,5.6,38,0.1
1958,2,41,19,7.1,51,0.8
1958,3,10,25.7,10.4,47,-0.9
1958,4,107,26.2,14.2,105,-1
1958,5,322,25.7,16.6,106,1
1958,6,231,28.7,19.9,107,0.6
1958,7,432,27.4,20.3,109,0.7
1958,8,525,25.4,19.3,86,1.6
1958,9,238,27.1,19.5,90,1.3
1958,10,229,25.4,16.6,81,2.5
1958,11,4,23.8,10.4,43,1.7
1958,12,8,20.8,7.1,33,1.4
1959,1,33,19.2,5.5,45,1.8
1959,2,31,18.2,6.8,45,1.8
1959,3,62,23.1,10.7,72,1.8
1959,4,128,26.1,14.2,106,2
1959,5,387,25.2,16.6,101,3.7
1959,6,356,26.4,19.4,95,4.2
1959,7,292,27.2,20.1,112,2.1
1959,8,309,27,19.5,102,1.1
1959,9,245,25.9,18.6,81,1.1
1959,10,241,23.6,16.1,73,2.5
1959,11,17,22.8,10,49,1.9
1959,12,5,21.7,6.6,35,1.6
1960,1,1,19.9,4.2,32,0.9
1960,2,18,22.1,8.5,39,-1.3
1960,3,28,23.9,10.4,52,-1.8
1960,4,50,27.8,14.6,63,-3
1960,5,171,27.7,17.7,118,-3.3
1960,6,349,27.3,19.8,101,-3.2
1960,7,463,25.9,19.6,92,-2.1
1960,8,364,27.1,20,105,-2.3
1960,9,256,26,19.1,86,-1.9
1960,10,45,25.5,16,75,-2.7
1960,11,21,22.7,10.5,48,-2.9
1960,12,6,21.5,6.7,32,-2.9
1961,1,9,20.9,6.1,31,-3
1961,2,19,19.4,7,36,-3.1
1961,3,90,23.2,11.4,87,-2.2
1961,4,93,25.8,14.2,96,-2.4
1961,5,236,25.9,17.4,111,-2
1961,6,239,27.4,19.7,115,-2.4
1961,7,314,27.4,20,112,-3.5
1961,8,361,26.8,20.4,107,-3.6
1961,9,224,26.7,19.4,101,-3.6
1961,10,158,25.2,16.6,91,-2.9
1961,11,34,21.4,10,55,-2.6
1961,12,1,18.6,5,32,-2.5
1962,1,26,18.6,3.6,43,-1.8
1962,2,45,19.4,6.8,52,-1.1
1962,3,25,24.1,9.9,57,-1.5
1962,4,70,26.1,14.4,82,-2.1
1962,5,273,25.8,17,111,-1.3
