Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.7292 North,95.0625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,19,21.6,7.3,39,0
1958,2,34,20,8.8,47,0.1
1958,3,11,26.7,12.4,48,-1.1
1958,4,128,27.3,16.1,110,-1.7
1958,5,464,26.8,18.6,107,-0.7
1958,6,289,30.4,22.1,105,-1.1
1958,7,539,29.2,22.4,113,-0.6
1958,8,582,27.2,21.7,87,1.6
1958,9,268,29,21.5,93,1.4
1958,10,297,27.1,18.7,84,3.1
1958,11,3,25.5,12.3,45,2.1
1958,12,12,22.2,8.8,35,1.8
1959,1,35,20.7,7.3,46,2.1
1959,2,46,19,8.6,52,2.3
1959,3,77,24.2,12.4,81,2.1
1959,4,171,27.1,16.1,103,2.2
1959,5,503,26.3,18.5,101,3.5
1959,6,417,28.2,21.5,94,3.9
1959,7,353,29,22.2,115,1.8
1959,8,344,29.1,21.9,106,0.8
1959,9,265,27.7,20.7,87,0.8
1959,10,271,25.4,18.2,76,2.3
1959,11,22,24.5,11.7,51,1.8
1959,12,12,23,8.3,39,1.6
1960,1,2,21.2,5.9,33,0.9
1960,2,25,23,10.3,44,-1.2
1960,3,29,25,12.3,55,-1.9
1960,4,74,28.7,16.4,86,-3.4
1960,5,239,29,19.6,119,-3.6
1960,6,367,29.1,21.8,105,-3.6
1960,7,583,27.7,21.8,96,-2.2
1960,8,424,29.2,22.3,112,-2.2
1960,9,263,27.8,21.2,89,-2
1960,10,41,27.3,18,75,-2.9
1960,11,20,24.4,12.2,49,-3.2
1960,12,12,22.8,8.5,36,-3.2
1961,1,14,22.3,8,34,-3.2
1961,2,28,20.5,9.1,42,-3.2
1961,3,139,24,13.1,91,-1.9
1961,4,152,26.9,16.1,111,-1.7
1961,5,335,27.2,19.2,114,-1.1
1961,6,260,29.4,21.6,116,-1.9
1961,7,397,29.2,22,111,-2.8
1961,8,396,28.7,22.8,110,-3
1961,9,241,28.5,21.5,104,-3.1
1961,10,211,26.9,18.6,94,-2.1
1961,11,36,22.9,11.7,57,-1.8
1961,12,3,19.7,6.8,33,-1.8
1962,1,29,19.9,5.5,44,-1.3
1962,2,54,20.2,8.5,56,-0.6
1962,3,40,25,11.7,66,-1
1962,4,96,27,16.2,99,-1.9
1962,5,400,27,18.7,114,-1.2
1962,6,421,28,21.6,89,1.2
1962,7,346,29.2,22.4,119,-1.8
1962,8,588,27.3,22.2,91,1.1
1962,9,137,28.2,21.5,102,-1.6
1962,10,107,26.7,17.3,95,-1.9
1962,11,15,24.5,11.4,51,-2.1
1962,12,8,21.7,8.1,35,-2.1
1963,1,5,20.8,5,34,-2.3
1963,2,13,21.6,8.6,36,-2.7
1963,3,42,24.5,12.3,60,-3.1
1963,4,162,25.3,15.3,109,-3
1963,5,221,26.6,18.4,116,-3.1
1963,6,373,28.3,21.6,103,-2.6
1963,7,515,28.2,22.4,107,-2.2
1963,8,426,27.6,22.2,95,-2.1
1963,9,183,29.2,21.5,103,-2.9
1963,10,160,25.7,17,87,-2.4
1963,11,29,23,11.4,54,-2.3
1963,12,8,21.3,7.9,37,-2.2
1964,1,19,20.1,5.9,42,-2
1964,2,35,20.6,8.3,49,-1.8
1964,3,108,24.7,11.8,102,-1.2
1964,4,147,24.7,15.3,103,-1.1
1964,5,190,27.3,18.5,116,-1.5
1964,6,433,28.3,20.9,96,0.8
1964,7,537,27.5,21.3,105,1.1
1964,8,486,28.5,21.6,111,1.2
1964,9,302,27.9,21.2,93,1.4
1964,10,193,27.4,18.5,93,1.8
1964,11,9,24.7,12.8,51,1
1964,12,22,21.2,7.4,45,1
1965,1,5,20.7,5.5,32,-0.5
1965,2,56,19.7,8.1,58,0.5
1965,3,52,23.1,10.6,68,0.1
1965,4,117,25.8,15.2,105,-0.7
1965,5,199,27.4,18.9,112,-1.1
1965,6,350,28.6,21.5,102,-1.4
1965,7,452,28.2,21.5,108,-1.7
1965,8,480,27,21.2,101,-1.3
1965,9,299,27.5,20.6,91,-0.9
1965,10,97,25.8,17.3,87,-1.3
1965,11,131,22.8,10.9,67,2.1
1965,12,18,21.9,9.1,39,2.2
1966,1,14,20.9,6.5,38,2.1
1966,2,14,23,9,40,1.5
1966,3,22,26.1,12,56,-1.1
1966,4,130,26.6,15.3,111,-1.6
1966,5,283,28.8,19.6,121,-1.6
1966,6,529,27.1,20.8,95,1.7
1966,7,525,28.6,21.9,101,1.8
1966,8,683,27.5,21.9,94,3.4
1966,9,224,27.4,20.8,101,2.5
1966,10,96,25.3,16.3,92,1.6
1966,11,40,25.3,13.6,54,1.6
1966,12,12,21.5,8.9,37,1.6
1967,1,25,20.9,7.8,44,1.7
1967,2,20,21.2,8.9,44,1.2
1967,3,106,22.6,12.1,93,1.7
1967,4,93,25.2,14.9,97,0.7
1967,5,208,27.3,18.5,115,-1.1
1967,6,346,28.1,21,105,-1.2
1967,7,425,28.7,21.8,108,-1.9
1967,8,269,29.7,22,123,-3.2
1967,9,317,27.9,20.8,98,-2.4
1967,10,60,26.2,16.1,78,-3
1967,11,24,22.1,11.1,51,-3
1967,12,2,21.1,8.2,30,-3.2
1968,1,30,19.8,6.3,42,-2.7
1968,2,50,19.4,7.5,54,-2
1968,3,59,23.9,12.2,72,-2.1
1968,4,170,25.2,14.8,105,-1.7
1968,5,427,26.8,18.3,106,-0.6
1968,6,333,28.1,21.5,101,-0.6
1968,7,460,27.8,22,101,-0.9
1968,8,442,28.9,22,107,-0.9
1968,9,310,28.2,21.4,89,0.5
1968,10,104,25.8,17,91,-0.5
1968,11,4,24.2,11.8,45,-1
1968,12,1,21.8,7.4,33,-1.4
1969,1,39,20.4,6.1,48,-0.8
1969,2,2,21.8,8.1,32,-1.5
1969,3,113,26.1,13.1,101,-1
1969,4,109,26.6,15.6,107,-1.7
1969,5,213,29,19.5,124,-2
1969,6,328,28.4,21.8,102,-2.4
1969,7,510,28.6,22.4,109,-2.1
1969,8,536,27.9,21.6,97,-1.2
1969,9,169,28.3,21.3,103,-2.3
1969,10,106,26,17.2,91,-2.5
1969,11,23,24.2,12.3,50,-2.4
1969,12,3,21.6,8.4,33,-2.5
1970,1,39,19.5,5.8,48,-1.6
1970,2,47,20.5,8.5,54,-1.1
1970,3,108,24.5,12.5,97,1.4
1970,4,131,26.4,15.4,107,1
1970,5,407,27.3,18.9,114,1.7
1970,6,367,29,21.8,109,1.7
1970,7,547,27.7,22,94,2.2
1970,8,512,28.6,21.9,110,2.4
1970,9,329,28.1,20.9,96,2.7
1970,10,220,26,17.4,89,3.3
1970,11,23,23.2,12.9,51,2.8
1970,12,1,21.6,7.9,34,2.1
1971,1,26,19.9,6.4,41,2.1
1971,2,24,20.5,7.7,43,1.6
1971,3,53,25.4,12,72,1
1971,4,156,25.6,15.7,107,0.7
1971,5,208,27.4,18.9,120,-1.3
1971,6,389,28.3,21.9,98,-0.9
1971,7,489,28.4,21.6,114,-1
1971,8,458,27.9,21.2,102,-0.8
1971,9,232,28.3,20.8,97,-1.2
1971,10,288,26.2,17.6,88,1.6
1971,11,117,22.7,11.4,69,3.3
1971,12,7,20.7,7.4,41,2.9
1972,1,25,21.2,6.9,44,2.9
