Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.6458 North,94.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,14,19.4,4.4,38,0
1958,2,39,18.5,5.6,51,0.8
1958,3,7,25,9.1,46,-0.7
1958,4,79,25.8,13,86,-0.7
1958,5,197,24.9,15,109,0.6
1958,6,236,27.3,18.5,107,-0.6
1958,7,376,25.9,18.7,103,-0.7
1958,8,482,24,17.7,88,1.1
1958,9,222,25.7,17.8,90,0.7
1958,10,225,24.1,15.2,83,1.8
1958,11,4,22.6,9.1,46,1
1958,12,8,19.6,5.9,34,0.8
1959,1,31,18.1,4,45,1.2
1959,2,29,17.7,5.4,46,1.3
1959,3,55,22.6,9.2,70,1.6
1959,4,88,25.7,12.9,93,1.8
1959,5,275,24.6,15,106,3.4
1959,6,383,25.3,18.1,98,4.1
1959,7,287,25.6,18.6,108,2.4
1959,8,328,25.4,18.1,101,1.7
1959,9,234,24.4,17.2,81,1.6
1959,10,262,22.4,14.9,73,3.1
1959,11,10,21.8,8.5,49,2.3
1959,12,4,20.3,5.4,35,1.8
1960,1,1,18.9,2.9,32,1.1
1960,2,10,21.5,7,35,-1.5
1960,3,26,23.3,8.7,51,-2
1960,4,30,27.6,13.2,42,-3
1960,5,122,26.8,16,116,-3.2
1960,6,397,26,18.2,99,-3
1960,7,415,24.1,18.2,90,-2.1
1960,8,306,25.6,18.4,102,-2.5
1960,9,253,24.9,17.3,87,-2
1960,10,68,24.5,14.5,82,-2.6
1960,11,22,21.4,9.1,51,-2.7
1960,12,4,20.2,5.6,34,-2.7
1961,1,7,19.8,4.5,33,-2.8
1961,2,19,18.5,5.4,39,-2.7
1961,3,56,22.8,10.2,68,-2.2
1961,4,55,25.5,13,71,-2.4
1961,5,156,25.3,15.5,111,-2.2
1961,6,274,25.8,18.3,110,-2.6
1961,7,272,25.7,18.6,108,-3.9
1961,8,341,25.2,18.7,105,-3.8
1961,9,206,25.2,17.8,97,-3.9
1961,10,163,24,15.1,90,-3.3
1961,11,31,20.5,8.5,55,-3
1961,12,2,17.8,3.4,34,-2.8
1962,1,23,17.7,2,42,-2.2
1962,2,42,18.8,5.4,52,-1.3
1962,3,11,23.9,8.5,52,-1.7
1962,4,47,25.7,13.1,67,-2.1
1962,5,189,25.5,15.1,114,-1.5
1962,6,413,25.2,17.9,90,-0.7
1962,7,310,26,18.8,112,-1.7
