Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.1042 North,94.2708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,17,19,4.2,39,0.1
1958,2,42,17.7,5.5,51,0.6
1958,3,9,24.3,8.8,48,-0.8
1958,4,94,24.9,12.6,95,-0.8
1958,5,261,24.4,14.9,106,1
1958,6,212,27.1,18.2,107,-0.3
1958,7,394,26,18.6,106,0.6
1958,8,505,23.9,17.5,85,1.5
1958,9,222,25.6,17.7,88,1.2
1958,10,203,23.8,14.8,80,2.2
1958,11,4,22.2,8.8,43,1.4
1958,12,7,19.3,5.5,32,1.2
1959,1,32,17.8,4,45,1.6
1959,2,27,16.9,5.2,44,1.6
1959,3,59,21.8,9,71,1.7
1959,4,107,24.8,12.6,103,1.9
1959,5,334,24,14.9,102,3.8
1959,6,339,25,17.7,96,4.3
1959,7,279,25.7,18.4,109,2.4
1959,8,302,25.4,17.8,100,1.4
1959,9,231,24.3,16.9,79,1.4
1959,10,232,22,14.4,72,2.8
1959,11,13,21.4,8.3,48,2.1
1959,12,4,20.2,5.1,34,1.7
1960,1,1,18.5,2.8,32,1
1960,2,15,20.8,7,37,-1.3
1960,3,27,22.4,8.6,52,-1.8
1960,4,39,26.6,13.1,52,-2.9
1960,5,145,26.4,16,117,-3.2
1960,6,351,25.7,18.1,100,-3.1
1960,7,421,24.2,17.9,90,-2.1
1960,8,341,25.4,18.3,101,-2.4
1960,9,252,24.5,17.3,85,-1.8
1960,10,47,24,14.2,74,-2.6
1960,11,21,21.1,8.8,48,-2.7
1960,12,4,20,5.2,32,-2.8
1961,1,8,19.5,4.6,31,-2.9
1961,2,15,18,5.3,34,-3
1961,3,73,21.9,9.9,77,-2.4
1961,4,70,24.6,12.7,79,-2.6
1961,5,195,24.6,15.7,110,-2.2
1961,6,235,25.7,18,115,-2.7
1961,7,282,25.8,18.3,110,-3.9
1961,8,353,25.2,18.6,105,-3.9
1961,9,208,25,17.6,99,-3.9
1961,10,139,23.6,14.7,89,-3.4
1961,11,31,19.9,8.2,54,-3
1961,12,1,17.3,3.3,32,-2.8
1962,1,26,17.3,2,43,-2.1
1962,2,42,18.1,5.2,51,-1.3
1962,3,18,22.9,8.3,55,-1.7
1962,4,57,24.8,12.8,73,-2.2
1962,5,219,24.7,15.3,112,-1.6
1962,6,381,24.9,17.7,90,-0.5
1962,7,300,25.9,18.7,113,-1.7
1962,8,459,23.8,18.2,87,-1
1962,9,106,25,17.6,96,-2.6
1962,10,86,23.4,13.6,87,-2.9
1962,11,9,21.2,8.1,47,-3.1
1962,12,3,19,4.9,32,-3
1963,1,2,18.1,2,33,-3.2
1963,2,8,19.6,5.6,33,-3.5
1963,3,36,22.2,8.9,55,-3.6
1963,4,80,23.2,11.8,84,-3.6
1963,5,153,23.9,14.8,114,-3.7
1963,6,309,24.9,17.9,100,-3.7
1963,7,396,24.9,18.6,101,-3.2
1963,8,379,24.3,18.2,87,-2.9
1963,9,195,25.8,17.6,98,-3.2
1963,10,138,22.6,13.5,84,-2.7
1963,11,24,19.9,8.3,51,-2.6
1963,12,3,18.5,5,34,-2.4
1964,1,14,17.1,2.6,39,-2.2
1964,2,27,18.2,5,45,-2
1964,3,70,22.3,8.8,81,-1.5
1964,4,101,22.3,11.9,99,-1.1
1964,5,166,24.5,14.9,114,-1.1
1964,6,350,24.9,17.2,97,-0.7
1964,7,384,24.1,17.7,95,-0.6
1964,8,395,25.1,17.7,103,-0.6
1964,9,254,24.7,17.3,87,0.3
1964,10,174,23.9,14.8,89,1.3
1964,11,13,21.5,9.5,51,0.7
1964,12,7,18.6,4.4,38,-0.1
1965,1,2,17.9,2.6,30,-0.9
1965,2,45,17.4,4.8,51,0.5
1965,3,44,20.8,7.3,62,-0.1
1965,4,61,23.4,11.8,74,-0.9
1965,5,149,24.8,15.4,110,-1.2
1965,6,306,25.2,17.7,100,-1.4
1965,7,345,24.8,17.6,102,-1.8
1965,8,422,23.6,17.1,99,-1.4
1965,9,238,24.3,16.7,87,-1.2
1965,10,72,22.8,13.6,77,-1.6
1965,11,110,19.8,7.7,66,1.7
1965,12,7,19.3,5.9,36,1.7
1966,1,15,17.9,3.7,39,1.7
1966,2,7,20.5,6,38,1.2
1966,3,11,23.6,8.4,51,-1
1966,4,57,24.4,11.9,74,-1.6
1966,5,174,26,16,120,-1.7
1966,6,479,23.7,17.1,94,1.1
1966,7,379,25.3,18.1,97,1
1966,8,579,24,17.9,93,2.4
1966,9,203,24.3,16.9,96,1.7
1966,10,85,21.9,12.9,86,1
1966,11,36,22,10.3,52,1
1966,12,7,18.5,5.7,35,1
1967,1,26,17.9,4.7,43,1.4
1967,2,16,18.7,5.9,41,1.1
1967,3,76,20.1,8.8,81,1.6
1967,4,58,23,11.4,75,1
1967,5,179,24.5,15.1,115,0.9
1967,6,258,24.8,17.2,103,-0.4
1967,7,372,25.3,18,101,-0.8
1967,8,234,26,17.9,115,-2.2
1967,9,258,24.5,16.8,93,-1.7
1967,10,43,22.9,12.6,70,-2.4
1967,11,23,19.1,7.5,48,-2.5
1967,12,1,18.4,4.9,28,-2.7
1968,1,22,17.1,3.3,38,-2.3
1968,2,28,17.1,4,43,-2
1968,3,38,21.5,8.8,57,-2.1
1968,4,108,23,11.2,104,-1.6
1968,5,251,24.2,14.7,106,-0.6
1968,6,289,24.6,17.6,97,1.4
1968,7,370,24.3,18.3,95,1.2
1968,8,391,25.2,17.9,104,0.9
1968,9,234,24.8,17.5,84,0.9
1968,10,86,22.7,13.4,85,-0.5
1968,11,6,20.9,8.9,43,-1.1
1968,12,1,19,4.3,32,-1.3
1969,1,26,17.5,2.9,42,-0.8
1969,2,1,19.4,5,31,-1.5
1969,3,75,23.4,9.9,83,-1.1
1969,4,61,24.2,12.2,75,-1.6
1969,5,136,26.2,16,121,-2.1
1969,6,277,25.1,18,101,-2.7
1969,7,431,25.3,18.6,103,-1.8
1969,8,445,24.2,17.5,94,-1.2
1969,9,140,24.9,17.4,98,-2.4
1969,10,76,22.6,13.7,82,-2.8
1969,11,24,20.8,9,49,-2.7
1969,12,1,18.9,5.2,32,-2.6
1970,1,43,16.7,2.8,49,-1.4
1970,2,32,18.1,5.3,47,-1
1970,3,68,22.1,9.1,79,1.4
1970,4,63,24.1,12.2,79,1
1970,5,202,24.7,15.3,112,1.2
1970,6,477,25.4,18.1,105,2.6
1970,7,437,24.3,18.1,90,3.2
1970,8,515,24.7,17.9,102,3.8
1970,9,351,24.6,17.2,92,4.9
1970,10,202,22.4,14,83,5.4
1970,11,27,20.1,9.6,50,4.8
1970,12,0,18.8,5,33,4.1
1971,1,21,16.9,3.6,39,3.9
1971,2,13,18,4.4,38,3.2
1971,3,41,22.7,8.5,64,2.6
