Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.4792 North,86.8958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,26,29.2,15,62,0.6
1958,2,55,30.2,17.5,76,1
1958,3,10,35.5,20.7,43,-0.4
1958,4,27,37.2,25.1,41,-0.9
1958,5,35,36.9,27.4,42,-1.7
1958,6,123,36.1,27.3,123,-2.7
1958,7,293,31.9,26.4,114,-3.1
1958,8,271,31.3,26.1,115,-3.6
1958,9,286,31.7,25.6,101,-3.2
1958,10,209,31.2,24.2,101,-2.6
1958,11,65,29.2,18.5,88,-1.7
1958,12,0,27.8,15.1,51,-1.3
1959,1,32,27.3,14.3,59,-0.6
1959,2,14,29.4,16,53,-0.7
1959,3,11,34,20.4,39,-1
1959,4,61,36.3,24.9,73,-0.7
1959,5,130,36.3,26.5,132,1.2
1959,6,211,33.6,26.2,151,0.8
1959,7,242,31.2,26.2,108,-0.7
1959,8,342,31.1,26.1,110,0.3
1959,9,357,30.4,25.2,89,1
1959,10,410,29.4,23.7,90,3
1959,11,0,28.2,16.7,58,2.1
1959,12,3,26.7,13.9,46,1.8
1960,1,0,27,13,40,1.1
1960,2,0,32.3,17.3,30,-1.8
1960,3,40,32.6,19.8,53,-1.6
1960,4,4,37.9,25.2,13,-2.4
1960,5,62,36.4,27.1,65,-2.5
1960,6,177,34.5,26.7,145,-2.8
1960,7,434,30.6,25.8,107,-1.7
1960,8,293,31.3,26.6,107,-1.5
1960,9,271,30.7,25.9,93,-1.4
1960,10,137,30.7,23.2,107,-1.6
1960,11,6,28.2,16.4,61,-1.8
1960,12,2,27.8,13.6,45,-1.8
1961,1,44,27.5,14.4,62,-0.9
1961,2,75,27.3,15.7,82,1.7
1961,3,5,34.2,23.1,43,1.2
1961,4,8,37.1,25.1,25,-1
1961,5,124,36,26.6,127,0.5
1961,6,256,33,25.6,129,0.7
1961,7,215,31.2,25.9,111,-0.5
1961,8,394,31.3,26.4,102,1.3
1961,9,395,30.9,25.6,91,2.2
1961,10,161,30.6,23,102,1.9
1961,11,0,28,16.2,61,1.2
1961,12,0,25.6,11.5,46,0.8
1962,1,12,26.5,11.7,45,-0.2
1962,2,17,30.1,16.6,45,-1.3
