Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.2708 North,83.5208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,16,30.1,13.9,56,0.2
1958,2,18,31.7,16.2,60,0
1958,3,19,37.4,19.4,76,-0.2
1958,4,31,40.9,25.4,86,0.2
1958,5,6,42.6,29.1,34,-0.6
1958,6,104,40.3,28.8,115,-2
1958,7,520,30.9,24.6,106,-1.1
1958,8,312,30.8,25,107,-0.9
1958,9,369,30.9,23.7,105,2
1958,10,120,31.2,22.2,114,3.1
1958,11,12,29.4,16.6,70,3.5
1958,12,0,28.3,13.5,49,3.2
1959,1,22,28.7,13.7,58,3.5
1959,2,10,31.3,15.2,60,3
1959,3,1,36.6,19.9,68,2.1
1959,4,29,40.1,25.3,77,2.1
1959,5,18,42.2,28.5,42,1.8
1959,6,176,37.3,27.3,169,1.3
1959,7,436,30.3,24.7,108,1.2
1959,8,308,30.2,24.6,104,0.9
1959,9,250,30.2,23.9,92,0.7
1959,10,101,30.6,23,100,1.6
1959,11,0,28.8,15.2,58,1.6
1959,12,2,27.5,12.8,48,1.7
1960,1,7,28.7,12.7,50,1.6
1960,2,0,33,15.3,51,1
1960,3,40,35,19.2,85,1.4
1960,4,16,40.9,24.5,73,1.4
1960,5,12,41.9,28.6,39,1.2
1960,6,196,38.1,27.7,177,1
1960,7,489,30.1,24.7,101,1.6
1960,8,364,30.4,25.1,104,1.9
1960,9,197,30.5,24.6,96,0.7
1960,10,61,31.1,21.6,92,0.8
1960,11,0,28.8,14.7,56,0.6
1960,12,3,28.8,12.4,46,0
1961,1,26,29,13.9,55,0.5
1961,2,59,29.1,15,77,1.8
1961,3,16,36.3,21.8,77,1.6
1961,4,7,40.7,25.1,66,1.3
1961,5,23,41.8,28.4,50,1.4
1961,6,247,36.3,26.4,177,1.8
1961,7,425,30,24,103,2.2
1961,8,426,30.5,24.9,101,2.8
1961,9,426,30.1,23.6,95,4.8
1961,10,84,30.8,21.2,99,4.9
1961,11,2,28.1,14.4,57,4.6
1961,12,3,26.7,10.5,48,4.3
1962,1,7,27.7,10.9,49,3.8
1962,2,21,30.7,14.7,57,3.6
1962,3,32,36.9,18.4,81,3.5
1962,4,39,39.3,24.4,86,4
1962,5,9,41.3,27.7,40,3.4
1962,6,151,37.3,27.3,150,2.4
1962,7,446,31.2,24.7,119,2.1
1962,8,244,30.3,24.5,109,1.2
1962,9,345,30.6,23.7,106,2.1
1962,10,70,30.4,21.3,100,2.1
1962,11,1,29.3,14.6,56,1.9
1962,12,9,28.3,12.5,50,1.9
1963,1,0,28,11.1,44,1.4
1963,2,5,32.6,14.8,49,0.8
1963,3,24,36.1,18.7,74,0.7
1963,4,50,38.9,23,88,1.5
1963,5,28,40.6,26.9,53,1.7
1963,6,175,36.5,26.5,169,1.1
1963,7,335,30.3,24.5,118,-1.4
1963,8,405,30.5,24.6,102,-1.6
1963,9,314,31.1,23.8,108,-0.9
1963,10,135,31.6,22.2,110,2.1
1963,11,0,30.2,16.5,61,2.1
1963,12,0,28.2,13,49,2
1964,1,0,29,13.6,51,1.6
1964,2,27,31.9,16.2,63,1.7
1964,3,5,37.4,20.8,69,1.1
1964,4,25,40.1,25.8,75,0.9
1964,5,17,41.6,28,41,0.7
1964,6,152,37.5,27.1,149,-0.5
1964,7,434,29.9,24.2,118,-1
1964,8,485,30.1,24.5,96,0.9
1964,9,300,30.6,23.9,102,1.3
1964,10,51,30.9,22.9,88,1
1964,11,4,28.5,15.9,60,0.9
1964,12,0,28,12.7,48,0.6
1965,1,10,29,13.7,49,-0.1
1965,2,4,31.7,15.4,52,-0.9
1965,3,35,35.8,18.4,79,-0.8
1965,4,26,39.1,24.2,67,-0.7
1965,5,9,42,28.3,31,-1
1965,6,88,38.9,28.3,98,-2.6
1965,7,471,31,24.9,117,-2.2
1965,8,263,31,25.3,116,-2.5
1965,9,255,30.8,23.9,110,-2.6
1965,10,30,31.8,22.2,87,-3
1965,11,0,30.1,16,57,-3.1
1965,12,5,27.6,13.7,50,-3
1966,1,62,28.1,13.5,74,-1.1
1966,2,9,33.1,16.4,55,-1.4
1966,3,2,37,19.8,65,-2.1
1966,4,9,40.9,25.2,47,-2.5
1966,5,17,42.8,28.8,37,-2.5
1966,6,214,37.6,27.3,177,-2.1
1966,7,326,32.2,25.5,113,-2.7
1966,8,256,30.9,24.8,104,-3.5
1966,9,235,31.2,24.1,114,-3.8
1966,10,28,31.9,21.9,85,-4.1
1966,11,14,30.1,17.3,62,-3.5
1966,12,6,27.4,12.4,49,-3.2
1967,1,26,28.1,13.9,57,-2.5
1967,2,0,32.9,16.2,46,-2.9
1967,3,102,34,19.2,114,-0.6
1967,4,27,39.6,23.2,80,2.4
1967,5,5,42.3,28.3,35,1.7
1967,6,219,38.8,27.7,181,1.7
1967,7,438,31.3,24.9,120,1.8
1967,8,393,30.3,24.5,107,2.2
1967,9,269,30.6,24,108,1.8
1967,10,13,31.8,21.5,80,0.7
1967,11,0,29.8,14.6,53,-1.5
1967,12,19,29.2,14.1,53,-1
1968,1,25,28.1,12.7,56,-0.6
1968,2,29,31.1,15,58,0.2
1968,3,36,35.7,19.5,85,0.8
1968,4,25,38.8,23.7,70,0.8
1968,5,4,41.9,27.6,28,-0.6
1968,6,227,36.5,27.1,173,0.4
1968,7,418,30.4,25,119,0.1
1968,8,182,30.9,24.8,116,-1
1968,9,327,31.4,24.2,110,0.7
1968,10,93,30.9,21.4,107,1.4
1968,11,6,29.1,16.1,60,1.6
1968,12,1,28.6,13.1,49,1.5
1969,1,2,28.9,12.6,48,1.1
1969,2,1,32.7,16.6,50,-0.5
1969,3,14,37.3,21.6,71,-1
1969,4,5,40.5,25.2,50,-1.6
1969,5,32,40.9,26.7,53,-1
1969,6,109,37.7,27.5,118,-2.2
1969,7,589,30.4,24.6,109,-0.6
1969,8,328,30.1,24.5,112,1.3
1969,9,299,30.4,23.9,105,1.6
1969,10,24,31.4,21.9,83,0.7
1969,11,8,30.3,16.8,58,-0.1
1969,12,9,27.8,12.6,47,0
1970,1,10,28.2,13.8,47,-0.7
1970,2,24,31.7,16.1,60,-0.6
1970,3,84,35.1,20.5,109,1.5
1970,4,16,40.1,25.4,72,1.3
1970,5,26,42.4,28.4,51,1.5
1970,6,354,35.7,25.5,169,3.4
1970,7,377,30.7,24.4,119,3.9
1970,8,460,30.4,24.7,107,4.5
1970,9,219,30.1,24.1,106,3.3
1970,10,34,30.9,22.3,86,2.4
1970,11,1,28.4,15,59,1.9
1970,12,0,27.3,11.3,43,1.3
1971,1,14,27.7,13.7,50,1.2
1971,2,39,30.8,15.6,65,1.5
1971,3,13,35.4,18.2,67,1
1971,4,41,37.2,23.9,83,1.4
1971,5,41,39.2,26.2,62,2.2
1971,6,401,34.4,25.2,163,4.6
1971,7,329,29.6,24,120,4.9
1971,8,400,29.6,24.4,110,5
1971,9,225,30.7,23.8,111,3.7
1971,10,95,30.5,21.8,104,4.1
1971,11,0,27.7,14.6,59,3.8
1971,12,0,27.3,11.4,48,3.5
1972,1,1,27.9,12,44,2.9
1972,2,34,29.4,14.4,65,3.2
1972,3,0,35.8,19.8,64,2.4
1972,4,19,39.9,24.5,70,2.1
1972,5,4,42.7,28.6,29,1.3
1972,6,108,39.9,28.2,119,-2.2
1972,7,335,31.7,25,132,-3.2
1972,8,328,30.5,24.7,122,-4
1972,9,321,31.4,23.3,116,-3.1
1972,10,53,31.6,20.9,92,-2.9
1972,11,7,29.3,15.3,60,-2.4
1972,12,0,29.4,13,49,-2.4
1973,1,1,29.8,13.6,45,-2.6
1973,2,8,32.7,16.7,52,-2.8
1973,3,27,36.1,19.6,73,-2.7
1973,4,9,41.5,26.3,50,-3.1
1973,5,14,42.2,29,36,-3
1973,6,113,37.8,27.2,121,-4
1973,7,430,30.7,24.8,118,-3.9
1973,8,366,30.6,24.6,104,-3.5
1973,9,205,30.3,24.3,108,-4.1
1973,10,122,30.6,22.3,109,-2.3
1973,11,2,27.4,16.3,60,-1.8
1973,12,14,26.5,13.2,54,-0.9
1974,1,0,27.5,12.1,47,-0.9
1974,2,2,31.6,14.6,52,-1.2
1974,3,49,36.4,21.2,91,1.8
1974,4,4,39.7,26.2,67,1.4
1974,5,11,41.2,27.9,39,1.1
1974,6,157,38.1,27.2,157,-0.7
1974,7,328,30.8,25.1,120,-2
1974,8,333,30.6,24.7,105,-2.7
1974,9,197,31.3,24.2,108,-3.5
1974,10,112,31.5,22.5,109,-2
1974,11,4,28.4,15.9,65,-1.4
1974,12,0,26.8,11.3,49,-1.2
1975,1,6,27.5,12.1,49,-1
1975,2,19,31.2,15.8,60,-0.8
1975,3,26,36.6,19.8,83,-0.6
1975,4,7,41,25.1,62,-0.9
1975,5,12,42.9,28.6,38,-1.1
1975,6,322,37,26.6,185,1.8
1975,7,377,30.1,24.3,122,2
1975,8,365,30.6,24.7,119,2.1
1975,9,325,30.1,23.5,108,2.6
1975,10,111,31.4,22.9,111,3.5
1975,11,4,27.8,15.3,64,3.4
1975,12,0,27.1,11.1,48,3.2
1976,1,1,28,12.2,49,2.7
1976,2,4,31.1,16.3,50,2
1976,3,12,35.9,20.8,67,1.5
1976,4,34,39.8,24.2,81,1.7
1976,5,18,41.3,27.5,41,1.4
1976,6,92,37.9,27,103,-1.8
1976,7,482,31,24.3,117,-1.3
1976,8,479,30.3,24.4,109,1.3
1976,9,312,30.8,23.4,103,1.7
1976,10,16,32.4,22.1,74,0.7
1976,11,9,30.8,18,64,0.6
1976,12,1,28.9,13,45,-1.1
1977,1,7,28.4,12.7,45,-1.3
1977,2,1,31.9,15.6,47,-2
1977,3,2,37.1,21.4,59,-2.9
1977,4,38,38.9,24.9,67,-2.5
1977,5,38,39.9,26.5,54,-1.6
1977,6,195,37,27,186,-1.8
1977,7,470,30.4,24.8,114,-1.4
1977,8,394,30.7,24.8,109,-0.8
1977,9,305,30.7,23.8,120,1.1
1977,10,38,31.2,21.8,91,-0.5
1977,11,18,29.6,18.3,61,0.9
1977,12,4,27.1,12.7,46,0.8
1978,1,16,27.4,12.2,51,0.9
1978,2,41,30.1,15.3,68,1.4
1978,3,43,35,18.6,86,1.8
1978,4,38,39.6,24.3,88,2.4
1978,5,14,42.4,28.8,43,2.1
1978,6,235,37.1,27.1,173,2.4
1978,7,397,30.5,24,115,2.2
1978,8,374,30,24.3,105,2.4
1978,9,277,30.2,24.1,111,2.1
1978,10,51,31.1,22.4,93,1.7
1978,11,4,30.2,17.4,56,1.5
1978,12,23,27.5,12.8,55,2.1
1979,1,10,28.7,13.9,51,1.9
1979,2,42,29.8,15.5,70,2.4
1979,3,1,35.5,19.2,67,1.6
1979,4,29,40,25,75,1.6
1979,5,11,42.3,27.3,35,1.1
1979,6,187,38.3,27.6,179,0.7
1979,7,333,31.8,25.4,135,-1.9
1979,8,261,31.1,25.4,131,-3.1
1979,9,237,31.5,24.5,118,-4
1979,10,32,32.4,22.5,90,-4.2
1979,11,6,30.8,18.5,59,-3.9
1979,12,4,27.5,14.5,48,-3.7
1980,1,17,28.5,14.4,51,-3.3
1980,2,17,31.2,17.2,56,-3.2
1980,3,13,35.4,21.2,65,-3.3
1980,4,16,40.6,26.2,55,-3.4
1980,5,10,42.5,28.6,31,-3.5
1980,6,346,36,26.5,146,-1
1980,7,448,30.3,24.7,110,3.7
1980,8,335,30.3,24.8,106,3.5
1980,9,275,30.8,24.4,104,3.2
1980,10,31,31.3,22.3,90,2.2
1980,11,1,29.8,16.1,56,1.6
1980,12,6,27.9,13.8,44,1.2
1981,1,16,26.7,13.6,50,1.2
1981,2,4,30.7,17,48,-1.4
1981,3,60,34.3,20.3,92,0.7
1981,4,22,38.3,25.4,69,0.7
1981,5,25,40.2,27.6,48,0.9
1981,6,136,37.7,27.8,138,-0.8
1981,7,360,30.3,24.9,120,-1.6
1981,8,317,30.6,24.9,115,-2.3
1981,9,401,30.8,24.3,109,1.8
1981,10,15,32.1,21.5,83,0.6
1981,11,0,29.4,14.9,58,-1.4
1981,12,8,26.8,13.5,47,-1.4
1982,1,9,29.3,14.2,44,-1.6
1982,2,21,30.2,16.9,55,-1.5
1982,3,52,34.1,19.9,85,-0.8
1982,4,36,38.9,24.6,80,0.4
1982,5,20,41.8,27.1,43,0.9
1982,6,180,37.7,27.1,173,-0.4
1982,7,328,32.4,25.9,137,-1.6
1982,8,416,30.1,24.7,104,-1.9
1982,9,277,31.3,23.9,124,-1.9
1982,10,50,32.3,21.6,93,-1.9
1982,11,5,29.2,16.3,58,-1.7
1982,12,1,28.4,12.9,48,-1.8
1983,1,3,27.8,13.3,47,-2
1983,2,51,30.4,16.8,70,-0.9
1983,3,13,35.2,21.2,73,-1.2
1983,4,28,39.3,24.4,71,-1.1
1983,5,24,41.3,27.3,46,-0.8
1983,6,184,39.2,28,175,-1
1983,7,366,31.6,25.2,128,-1.6
1983,8,394,30.9,25.4,109,-1.7
1983,9,281,30.5,24.3,99,-1.3
1983,10,78,30.5,21.9,98,-0.7
1983,11,0,28.6,14.9,62,-0.5
1983,12,6,27.4,12.5,49,0.2
1984,1,20,28.2,14,51,1.1
1984,2,34,29.7,15.4,63,1.5
1984,3,1,36.7,19.4,71,0.9
1984,4,15,40.1,24.7,65,0.6
1984,5,11,42.1,29.3,36,-0.3
1984,6,210,35.8,26.4,162,0.3
1984,7,437,30.4,24.5,116,0.6
1984,8,461,30.4,24.5,112,1.6
1984,9,173,30.5,23.3,124,-1.7
1984,10,28,31.6,22.2,80,-2.1
1984,11,0,29,14,59,-2.2
1984,12,0,28.7,13.3,48,-2.4
1985,1,29,28.4,14.6,54,-1.7
1985,2,19,31.2,15.5,57,-1.7
1985,3,3,36.9,21.9,64,-2.4
1985,4,7,40.7,25.7,44,-2.9
1985,5,9,42.1,28,29,-3
1985,6,193,37.8,27.2,184,-2.9
1985,7,379,30.2,24.2,114,-3.2
1985,8,434,30.8,24.7,107,-2.6
1985,9,277,30.5,23.7,107,-2.3
1985,10,136,30.9,20.7,116,1.9
1985,11,0,29.5,15.1,63,1.8
1985,12,0,29,13.4,51,1.8
1986,1,32,27.8,13.3,64,2.4
1986,2,31,31.3,15.6,60,2.7
1986,3,5,36.6,19.3,72,2.2
1986,4,29,39.9,24.8,86,2.4
1986,5,17,41.6,27.1,46,2.2
1986,6,256,37.2,26.5,170,2.8
1986,7,444,30.7,24.1,114,3.2
1986,8,453,31,24.1,118,3.8
1986,9,209,31.3,24.1,117,2.3
1986,10,37,31.4,21.6,90,1.6
1986,11,18,28.9,17.2,60,1.9
1986,12,11,27.8,14.2,49,1.9
1987,1,5,28.1,13.3,48,1.5
1987,2,4,31.2,15.7,49,0.8
1987,3,14,35.2,19.7,67,-1.4
1987,4,12,39.8,25.2,53,-1.8
1987,5,18,41,26.6,39,-1.6
1987,6,76,39.2,28.3,86,-3.3
1987,7,307,31.2,25.2,136,-4.5
1987,8,350,31.2,24.9,119,-5.2
1987,9,252,31.7,24.8,113,-5.1
1987,10,45,32.2,22,92,-4.9
1987,11,9,29.4,17.1,58,-4.2
1987,12,2,28.1,13.6,49,-3.9
1988,1,1,29.1,14,45,-3.9
1988,2,12,31.9,16.7,51,-3.9
1988,3,29,35.8,21,78,-3.6
1988,4,25,40.1,25.3,66,-3.2
1988,5,24,41.6,29.6,45,-2.7
1988,6,176,36.8,27.2,167,-2.7
1988,7,489,30.5,24.7,113,-1.9
1988,8,211,30.6,25.2,109,-2.3
1988,9,317,31.5,24.3,103,-1.4
1988,10,34,31.2,21.8,91,-1.9
1988,11,1,29.1,16.1,59,-2.1
1988,12,2,27.8,14.5,46,-2.2
1989,1,0,27.8,12.6,45,-2.6
