Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.6875 North,83.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,15,30.2,14.4,55,0.1
1958,2,14,32,17.2,56,-0.1
1958,3,11,37.4,20,62,-0.2
1958,4,31,40.3,25.9,53,0.3
1958,5,13,42.3,29.8,26,-0.6
1958,6,110,39.9,29.1,114,-2.2
1958,7,535,30.7,24.9,110,-1.3
1958,8,312,30.7,25,109,-1.4
1958,9,350,31.1,24,108,1.4
1958,10,127,31.2,22.5,113,2.5
1958,11,20,29.5,17.1,73,3.1
1958,12,0,28.3,13.9,49,3
1959,1,21,29,14.3,57,3.2
1959,2,14,31.8,16.3,58,3
1959,3,0,36.6,20.6,53,2.4
1959,4,24,39.6,25.7,46,2.4
1959,5,26,42,29.2,38,2
1959,6,216,36.8,27.5,173,1.8
1959,7,460,30.2,24.9,112,2
1959,8,296,29.9,24.4,106,1.5
1959,9,244,30.4,24.3,97,1.2
1959,10,103,30.5,23.3,101,2
1959,11,0,28.8,15.7,58,1.9
1959,12,3,27.5,13.1,46,1.9
1960,1,5,28.9,13.3,47,1.7
1960,2,0,33,15.9,48,1.2
1960,3,24,34.9,19.8,68,1.4
1960,4,11,40.3,25,33,1
1960,5,24,41.6,29.5,36,0.9
1960,6,223,37.5,27.9,174,0.9
1960,7,493,30.1,25,104,1.5
1960,8,338,30.3,25.2,108,1.4
1960,9,205,30.6,24.9,99,0.6
1960,10,64,31.1,21.9,93,0.6
1960,11,0,28.9,15.2,56,-0.1
1960,12,3,29,12.8,45,-0.5
1961,1,24,29.2,14.4,53,0.4
1961,2,55,29.6,16,74,1.6
1961,3,14,36.1,22.5,68,1.8
1961,4,7,40.2,25.7,31,1.3
1961,5,36,41.6,29,49,1.4
1961,6,253,36,26.8,176,1.7
1961,7,428,30,24.3,105,2
1961,8,405,30.3,24.9,103,2.5
1961,9,385,30.1,23.9,100,3.9
1961,10,96,30.8,21.4,102,4.2
1961,11,5,28.2,14.9,59,4
1961,12,2,26.9,11.1,47,3.8
1962,1,8,27.8,11.4,48,3.5
1962,2,19,31,15.5,54,3.3
1962,3,20,36.7,19,68,3.3
1962,4,38,38.8,24.9,59,3.7
1962,5,15,41.1,28.6,28,2.9
1962,6,158,36.8,27.5,154,1.9
