Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.5208 North,84.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,26,29.5,13.6,59,0.8
1958,2,40,31,15.9,69,1.1
1958,3,16,37.5,19.5,72,1
1958,4,15,40.6,24.8,52,0.8
1958,5,9,41.9,27.9,27,-0.9
1958,6,133,38.5,27.3,137,-2.1
1958,7,537,30.9,24.7,107,-1.7
1958,8,341,30.7,24.6,110,-2
1958,9,287,31.3,24.1,102,-1.1
1958,10,131,31,22.2,110,1.7
1958,11,18,29,16.7,71,2.2
1958,12,0,27.7,13.1,47,2.2
1959,1,19,28,13.3,55,2.3
1959,2,11,30.5,14.7,55,1.8
1959,3,1,36.4,19.6,60,1.1
1959,4,16,39.8,24.7,43,1
1959,5,43,41.5,27.4,56,1
1959,6,191,35.8,26,165,-0.5
1959,7,402,30.3,24.7,103,-1.4
1959,8,366,30.2,24.3,104,-1.4
1959,9,207,30.3,24,87,-1.6
1959,10,139,29.9,22.5,98,1.4
1959,11,0,28.3,15.2,55,1.2
1959,12,1,26.8,12.1,44,1.4
1960,1,1,28,12.3,44,1
1960,2,0,32.4,15.1,47,-0.6
1960,3,34,34.9,19,75,0.4
1960,4,4,40.9,24.2,37,-0.7
1960,5,21,41.2,27.5,38,-0.9
1960,6,229,36.6,26.4,162,-0.9
1960,7,540,29.9,24.5,98,0.7
1960,8,415,30.5,24.9,103,0.9
1960,9,188,30.6,24.7,96,-0.7
1960,10,60,30.7,21.4,90,-0.8
1960,11,0,28.3,14.7,52,-1
1960,12,1,27.9,11.8,42,-0.9
1961,1,40,28.1,13.3,60,0.8
1961,2,79,28.5,14.6,85,2.3
1961,3,5,36.3,21.8,68,2.2
1961,4,1,40.4,24.6,40,1.7
1961,5,48,41.1,27.3,65,1.9
1961,6,277,35,25.3,159,2.1
1961,7,394,30.1,24.1,99,1.9
1961,8,519,30.5,24.7,100,2.8
1961,9,371,30.3,23.9,93,4.6
1961,10,87,30.4,21.1,98,4.5
1961,11,1,27.6,14.4,55,4
1961,12,1,26,10,46,3.7
1962,1,9,27,10.5,48,3.3
1962,2,18,30.3,14.5,52,2.9
1962,3,33,37.1,18.5,74,3
1962,4,25,39.1,23.9,57,3.1
1962,5,11,40.6,26.6,28,2.1
1962,6,211,35.6,25.8,150,1.7
1962,7,452,31.2,24.8,116,1.5
1962,8,214,30.2,24.2,104,-2.1
1962,9,282,31,24.2,104,-1.3
1962,10,104,30,21.1,110,-0.6
1962,11,0,28.8,14.6,54,-0.6
1962,12,1,27.5,11.9,46,1
1963,1,1,27.3,10.6,43,0.7
1963,2,2,32.2,14.8,44,-0.6
1963,3,25,36.3,18.9,69,0
1963,4,27,38.9,22.8,54,0.4
1963,5,69,39.9,25.9,81,1.2
1963,6,192,35.3,25.4,158,0.7
1963,7,329,30.4,24.6,110,-1.3
1963,8,445,30.6,24.5,105,-1.2
1963,9,280,31.5,24.3,104,0.6
1963,10,165,30.9,21.8,108,2.2
1963,11,2,29.5,16.3,60,2.1
1963,12,0,27.7,12.7,47,2
1964,1,0,28.2,13.1,48,1.6
1964,2,27,31.4,16,59,1.5
1964,3,5,37.4,21,60,0.9
1964,4,23,39.3,24.9,50,1
1964,5,48,40.9,26.8,61,1.1
1964,6,171,36.1,25.9,153,-0.6
1964,7,562,29.6,23.8,115,0.4
1964,8,486,30.2,24.3,96,1.3
1964,9,256,30.8,24.2,100,1.4
1964,10,53,30.2,22.5,87,0.9
1964,11,8,28.2,16.1,59,0.8
1964,12,0,27.5,12.4,45,0.6
1965,1,9,28.4,13.3,45,-0.2
1965,2,12,30.9,15,50,-1
1965,3,27,35.8,18.3,68,-1.1
1965,4,22,38.7,23.7,44,-0.9
1965,5,16,41.3,27.3,29,-1.3
1965,6,102,37.1,26.9,106,-2.6
