Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 19.1875 North,84.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,24,25.3,12.6,60,0.2
1958,2,14,26.4,15.1,56,-0.2
1958,3,12,30.4,17.3,62,-0.6
1958,4,154,31.3,21.6,150,1.1
1958,5,40,31.5,23.7,65,-0.9
1958,6,105,31.4,23.7,107,-1.9
1958,7,636,25.3,20.4,89,-1.2
1958,8,322,25.9,20.7,96,-1.4
1958,9,372,26.5,20,98,-0.8
1958,10,448,26.1,19,99,1.4
1958,11,151,24.6,14.9,92,2.7
1958,12,0,23.8,12.3,53,2.3
1959,1,29,24.3,12.8,60,2.4
1959,2,39,26.6,14.5,69,2.6
1959,3,0,29.3,17.8,63,1.9
1959,4,42,30.8,21.4,70,1.4
1959,5,66,31.4,23.4,78,0.7
1959,6,231,28.3,22.1,128,0.7
1959,7,515,24.6,20.3,91,1.1
1959,8,249,25.1,20.3,92,-1.1
1959,9,224,25.6,20.3,93,-1.7
1959,10,354,25.2,19.6,92,-1
1959,11,0,23.8,13.3,56,-1.5
1959,12,7,22.7,11.4,46,-1.6
1960,1,0,24.4,11.9,42,-1.9
1960,2,0,27.1,13.4,39,-2.4
1960,3,29,27.9,17.3,60,-2.6
1960,4,9,31.5,21.1,24,-3.2
1960,5,72,30.9,23.5,78,-3.2
1960,6,219,29,22.4,121,-2.8
1960,7,540,24.7,20.6,90,-2
1960,8,331,26,21.4,99,-2.1
1960,9,270,25.8,20.9,91,-2.2
1960,10,196,26,18.4,102,-2.1
1960,11,2,24.2,13.2,57,-2.5
1960,12,21,24.7,11.5,52,-2.2
1961,1,36,24.4,12.7,60,-1.7
1961,2,79,24.4,14.1,83,1.4
1961,3,16,29,20,71,1.1
1961,4,13,31.3,21.7,46,-0.7
1961,5,103,30.9,23.1,111,0.1
1961,6,237,27.6,21.5,124,0.2
1961,7,387,24.5,19.9,82,-0.1
1961,8,435,25.7,20.9,93,0.6
1961,9,379,25.4,19.9,92,1.1
1961,10,325,25.8,18,98,1.4
1961,11,22,23.4,12.6,65,0.9
1961,12,2,22.4,9.5,48,-0.3
1962,1,17,23.3,9.8,51,-0.6
1962,2,15,25.5,13.3,49,-0.8
1962,3,33,29.8,16.6,68,-1
1962,4,79,30,20.8,94,-0.8
1962,5,78,30.5,22.6,88,-1
1962,6,133,28.1,21.9,125,-1.7
1962,7,614,25.5,20.3,95,-1.1
1962,8,250,25.6,20.4,93,-1.7
1962,9,489,26.2,20.2,96,1.4
1962,10,521,25.3,18.3,101,2.4
1962,11,12,24.2,12.6,60,1.7
1962,12,14,23.6,11.2,54,1.4
1963,1,0,23.5,10.2,43,0.9
1963,2,0,26.7,13.2,40,-1.4
1963,3,13,29.3,17,48,-2
1963,4,228,29.6,19.6,148,2.1
1963,5,105,30.2,22.2,121,2.5
1963,6,193,28.1,21.7,126,2.2
1963,7,341,25,20.5,95,1.7
1963,8,351,25.7,20.4,93,1.4
1963,9,310,26.7,20.4,99,1.2
1963,10,558,26,18.9,99,2.4
1963,11,3,24.6,14.4,58,1.6
1963,12,0,23.5,12.1,46,0.9
1964,1,1,24.6,13,42,-1.4
1964,2,22,26.5,15.5,51,-1.5
1964,3,6,30,18.7,40,-2.2
1964,4,73,30.5,21.9,86,-2
1964,5,102,31.2,23.2,108,-1.9
1964,6,179,28.7,22,124,-2.1
1964,7,423,24.7,20.2,103,-2.1
1964,8,501,25,20,93,-1
1964,9,440,25.8,20,93,1.8
1964,10,164,25.5,19.4,103,1.4
1964,11,21,23.6,14,65,0.9
1964,12,4,23.2,11.4,49,-0.3
1965,1,12,24.2,12.7,50,-0.9
1965,2,5,26.5,14.1,45,-1.4
1965,3,57,28.8,16.7,81,-1.2
1965,4,65,29.7,20.9,84,-1.2
1965,5,45,31.1,23.1,55,-1.8
1965,6,69,30,23,74,-3.1
1965,7,654,25.4,20.6,94,-2.2
1965,8,354,26.1,20.9,108,-2.2
1965,9,284,26.3,20.4,97,-2.2
1965,10,124,26.4,19,109,-2.4
1965,11,3,25.2,14,58,-2.8
1965,12,44,23.2,13.2,68,-2
1966,1,130,23.7,12.6,88,2.7
1966,2,9,27.4,14.7,60,2.5
1966,3,1,30,18,69,1.9
1966,4,16,31.5,21.5,54,1.1
1966,5,47,32.2,23.6,63,-1.6
1966,6,220,28.9,22.3,123,-1.3
1966,7,359,26.4,20.9,93,-1.5
1966,8,293,26.3,20.7,99,-1.9
1966,9,257,26.4,20.1,101,-2.2
1966,10,160,26.3,18.1,108,-2.2
1966,11,141,25.1,15.1,92,-0.7
1966,12,8,22.8,11.1,56,-0.6
1967,1,55,23.3,13.3,74,2
1967,2,0,27.1,14.6,53,1.6
1967,3,212,27.2,17.5,132,4.2
1967,4,63,30.6,20,109,4.7
1967,5,9,31.5,23.2,85,3.5
1967,6,239,29.7,22.4,129,3.4
1967,7,490,25.7,20.7,99,3.5
1967,8,281,25.4,20.7,98,2.5
1967,9,267,26,20.7,99,1.9
1967,10,39,26.1,18.1,83,1
1967,11,1,24.7,12.3,51,-2
1967,12,97,24.5,13.2,84,1.4
1968,1,46,23.6,11.7,67,1.8
1968,2,24,26.2,14.4,56,1.6
1968,3,40,28.7,17.5,77,1.4
1968,4,45,29.5,20.1,72,1.1
1968,5,29,31.2,22.6,43,-1.2
1968,6,308,28,22.4,125,0.9
1968,7,477,25.1,21,101,1.3
1968,8,101,26.4,21.1,103,-1.8
1968,9,313,26.7,20.4,101,-1.7
1968,10,438,25.5,18.1,99,-0.7
1968,11,77,24,14.3,84,1.2
1968,12,4,24.1,11.9,54,0.9
1969,1,0,24.5,11.5,49,0.6
1969,2,0,27.1,15.4,46,-0.5
1969,3,44,30.1,19.5,80,-0.9
1969,4,7,31.6,21.9,30,-1.8
1969,5,186,30.1,21.4,152,1.2
1969,6,150,28.9,22.6,134,-0.6
1969,7,579,24.9,20.5,91,0.9
1969,8,252,25.5,20.7,97,-0.8
1969,9,296,25.8,20.4,95,-0.8
1969,10,135,25.9,18.5,110,-1.1
1969,11,127,25,14.5,88,1.1
1969,12,37,23.1,11.2,67,1.7
1970,1,2,23.6,12.7,51,1.5
1970,2,22,27,15.2,62,1.4
1970,3,180,28.3,19.2,136,3.6
1970,4,43,30.4,21.7,100,3.6
1970,5,207,31.4,23.1,159,4.9
1970,6,375,27,20.6,125,6.3
1970,7,347,25.3,20.2,96,6
1970,8,486,25.4,20.3,93,6.1
1970,9,142,25.6,20.7,96,4.2
1970,10,150,25.5,18.8,102,3.5
1970,11,7,23.5,13.2,64,2.5
1970,12,0,22.4,9.8,46,1.8
1971,1,4,23.1,13,43,1.1
1971,2,78,25.9,15,84,1.9
1971,3,23,28.6,16.6,66,1.3
1971,4,168,27.8,20.4,146,2.5
1971,5,122,28.6,21.1,125,2.8
1971,6,255,26,20.6,118,3
1971,7,227,24.6,20.5,98,2
1971,8,364,24.9,20.6,93,1.8
1971,9,341,26.1,20.2,99,1.8
1971,10,244,25.3,18.7,100,1.7
