Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.8542 North,86.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,30,29,15.3,63,0.6
1958,2,53,30.5,17.8,76,1.2
1958,3,9,36,21,46,0.8
1958,4,18,38.1,25.4,33,-0.4
1958,5,20,37.8,27.6,29,-1.6
1958,6,124,36.9,27.4,124,-2.3
1958,7,361,31.7,25.8,111,-2.5
1958,8,280,31.5,25.9,114,-2.7
1958,9,288,31.8,25.3,102,-2.2
1958,10,254,30.5,23.7,103,-1.4
1958,11,107,29,18.6,103,1.8
1958,12,0,27.5,15.2,52,1.8
1959,1,24,27.5,14.9,57,2.1
1959,2,11,29.9,16.7,52,1.9
1959,3,5,34.7,21,33,1.3
1959,4,55,37.4,25.4,65,1.6
1959,5,126,37.6,27.1,128,1.8
1959,6,177,34.3,26.2,149,1.3
1959,7,289,31,25.6,103,-0.6
1959,8,348,30.9,25.5,108,0.1
1959,9,261,30.7,25.1,91,0.1
1959,10,373,29.2,23.6,91,1.7
1959,11,0,28,16.8,56,1
1959,12,6,26.4,13.9,44,0.7
1960,1,0,27.4,13.8,37,-0.4
1960,2,0,32,17.1,26,-1.7
1960,3,32,33.4,20.4,43,-1.5
1960,4,5,38.6,25.3,12,-2
1960,5,53,37.3,27.3,55,-2.2
1960,6,203,35.1,26.7,140,-2
1960,7,482,30.7,25.4,102,-0.7
1960,8,322,31.4,26.3,106,-0.8
1960,9,221,31,25.8,95,-1.1
1960,10,145,30.2,22.9,104,-1.2
1960,11,4,28.1,16.6,57,-1.6
1960,12,6,27.8,13.9,44,-1.5
1961,1,47,27.6,14.9,62,-0.6
1961,2,71,27.9,16.3,79,1.8
1961,3,2,34.8,23.5,35,1.3
1961,4,4,38,25.5,19,0.6
1961,5,128,37.2,27,130,1.1
1961,6,232,33.6,25.6,135,1.2
1961,7,305,30.9,25.2,104,1.1
1961,8,450,31.4,26,102,2
1961,9,427,30.9,25.2,95,3.4
1961,10,164,30,22.6,102,2.9
1961,11,0,27.6,16.1,58,2.1
1961,12,0,25.6,11.7,43,1.5
1962,1,8,26.6,12.1,40,1.1
1962,2,16,29.9,16.4,40,0.6
1962,3,46,35.7,20.1,56,0.8
