Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.3125 North,73.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.9,13.7,42,2.8
1958,2,0,32.4,14.3,34,2.6
1958,3,0,36.9,18.5,18,2.2
1958,4,0,40.1,23.6,11,2
1958,5,0,40.6,26.9,8,1.8
1958,6,83,37.8,27.7,84,1.3
1958,7,312,31.6,25.8,132,1.1
1958,8,249,31.9,25.6,117,1
1958,9,529,31,24.2,111,3.6
1958,10,80,33.9,21.1,118,5.3
1958,11,2,33.3,16.4,73,5.8
1958,12,0,30.7,13.9,44,5.8
1959,1,0,28.9,13,43,5.9
1959,2,0,32.1,13.9,34,5.8
1959,3,0,37.3,18.4,17,5.3
1959,4,0,40,23.3,11,4.9
1959,5,0,40.8,27.1,8,4.4
1959,6,83,36.7,27.2,84,3.7
1959,7,723,31.1,24.5,129,5.7
1959,8,217,30.2,24.5,114,5.4
1959,9,462,31.1,23.8,109,7.1
1959,10,77,33.5,21.5,115,8.3
1959,11,3,32.8,15.9,72,8.5
1959,12,0,31.1,13.2,49,8.3
1960,1,1,28.8,11.7,46,8.2
1960,2,0,35.2,14.1,31,7.7
1960,3,0,34.4,17.5,17,7
1960,4,0,39.3,22.1,10,6.4
1960,5,2,40.1,25.8,10,5.9
1960,6,157,36.1,26.5,154,6.5
1960,7,210,32.4,25.7,141,5.2
1960,8,147,30.3,24.3,115,3.5
1960,9,132,32.8,24.5,125,2.8
1960,10,6,34.5,20.9,45,1.5
1960,11,0,33.5,15.3,19,-4
1960,12,0,31.5,14,12,-4.5
1961,1,0,29.8,12.7,8,-4.7
1961,2,5,30.8,12.6,10,-4.4
1961,3,0,37.1,18.9,4,-4.4
1961,4,0,39.3,22.2,3,-4.1
1961,5,1,40,26.1,3,-3.8
1961,6,79,36,26,78,-3.7
1961,7,479,31.1,25,121,-2.4
1961,8,224,31.3,25.1,121,-1.9
1961,9,327,31.1,23.7,106,2.3
1961,10,19,33.3,20.4,97,2.8
1961,11,0,32.7,16.2,64,2.9
1961,12,0,29.9,11.9,47,2.9
1962,1,0,28.9,10,35,2.8
1962,2,0,33.5,13.7,21,2.6
1962,3,36,35.6,17.6,46,4
1962,4,0,39.1,22.5,8,3.6
1962,5,2,40.7,26.2,8,3.3
1962,6,46,37,26.9,49,1.9
1962,7,294,32,25.3,135,1.6
1962,8,138,31.4,24.8,125,-2
1962,9,302,32,24,122,-1
1962,10,0,34.4,18.9,106,-0.6
1962,11,3,33.6,15.8,59,0.1
1962,12,5,30.1,13.9,38,1.1
1963,1,8,30.4,12,44,1.2
1963,2,0,34.7,14.4,18,1
1963,3,18,36.4,17.9,28,1.6
1963,4,0,38.9,22.1,8,1.4
1963,5,1,40,25.7,6,1.2
1963,6,37,36.9,26.7,39,-1.1
1963,7,315,32.7,25.4,134,-1.1
1963,8,402,30.9,24.5,118,1.4
1963,9,272,32,23.4,134,2
1963,10,29,34.7,21.2,106,2.8
1963,11,17,33.4,17.2,69,3.4
1963,12,0,31.4,13.3,50,3.5
1964,1,0,28.1,10.3,42,3.5
1964,2,0,32.7,13,23,3.2
1964,3,0,37.4,18.4,13,2.8
1964,4,0,40.2,23.2,9,2.5
1964,5,2,40,25.9,8,2.3
1964,6,61,36.5,26.1,63,1.5
1964,7,506,32.2,25,130,2.4
1964,8,246,31,24.4,112,2.7
1964,9,187,32.3,23.8,113,2.7
1964,10,0,34.3,20.6,91,2.7
1964,11,0,32.7,14.7,69,2.6
1964,12,0,30.6,11.9,41,2.4
1965,1,8,30.9,13.6,38,2.4
1965,2,0,32.9,14,18,2
1965,3,1,35.6,17.4,12,1.6
1965,4,0,38.6,21.9,8,1.5
1965,5,0,40,25.7,6,1.2
1965,6,2,37.2,26.8,7,-2.1
1965,7,496,32,25.4,126,-0.8
1965,8,156,31.9,24.8,120,-1.1
1965,9,23,32.6,23.9,91,-1.8
1965,10,0,35.9,20.9,88,-2.1
1965,11,1,34.6,15.8,56,-2.7
1965,12,0,31.1,13,28,-3.2
1966,1,1,30.5,12.8,16,-3.5
1966,2,0,34.6,15.3,10,-3.5
1966,3,0,35.8,16.9,7,-3.5
1966,4,0,38.9,22,5,-3.3
1966,5,1,39.8,25.6,4,-3.1
1966,6,74,36.6,27.1,74,-3.2
1966,7,389,33.2,26,139,-2.6
1966,8,39,31.6,25.1,87,-3.8
1966,9,218,33,23.9,132,-3.3
1966,10,0,36.5,21.5,92,-2.9
1966,11,0,33.4,17.8,62,-2.8
1966,12,0,30.7,12.6,39,-2.8
1967,1,0,28.8,10.6,23,-2.8
1967,2,0,34.6,14,13,-2.6
1967,3,11,35.1,18.5,19,-2
1967,4,0,39.1,21.9,6,-1.8
1967,5,0,40.4,25.8,5,-1.7
1967,6,129,36.1,26.2,126,-0.8
1967,7,508,31.8,25.5,127,1.9
1967,8,209,30.7,24.8,112,1.9
1967,9,131,31.8,23.9,115,1.6
1967,10,0,35.4,20.7,90,1.7
1967,11,0,34,16,52,1.7
1967,12,8,29.9,15.2,42,2.1
1968,1,0,27.8,11.6,34,2.3
1968,2,2,30.7,12.7,31,2.5
1968,3,3,36,17.4,19,2.4
1968,4,0,39.2,21.4,10,2.4
1968,5,0,39.4,25,7,2.1
1968,6,25,37.5,27.3,28,0.6
1968,7,213,32.9,25.8,129,-1.8
1968,8,275,30.6,24.5,121,-1.8
1968,9,58,33.9,24.3,99,-2.3
1968,10,8,35.9,20.4,71,-2.5
1968,11,0,34.2,15.5,41,-2.7
1968,12,0,30.7,12.8,25,-2.6
1969,1,0,29.9,13.1,17,-2.6
1969,2,0,32.3,14.4,11,-2.5
1969,3,0,37.3,19.7,7,-2.5
1969,4,0,40.4,23,5,-2.3
1969,5,0,40.5,26.7,4,-2.2
1969,6,89,37.4,27.2,88,-2.1
1969,7,284,33,25.8,133,-2.1
1969,8,116,31.3,24.4,110,-3
1969,9,216,31.9,24.5,126,-2.5
1969,10,0,35.9,20.8,75,-2.3
1969,11,3,35.2,18.4,48,-2.1
1969,12,3,32.4,12.9,32,-1.8
1970,1,0,29.7,12.5,26,-1.4
1970,2,1,32.1,14.5,16,-1.2
1970,3,15,35.4,18.2,24,0.6
1970,4,0,39.7,23.5,7,0.9
1970,5,4,40.7,27.1,9,1
