Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.1458 North,79.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,4,29.9,14.6,45,0.3
1958,2,1,32.3,16.2,32,-0.4
1958,3,15,37,19.5,30,-0.1
1958,4,27,40.8,24.7,36,0.2
1958,5,5,43.1,28.5,11,-0.7
1958,6,128,40,28.4,126,-1.3
1958,7,307,30.4,24.2,128,-1.4
1958,8,366,31,24.2,107,0.8
1958,9,274,30.5,23.8,118,1.3
1958,10,66,31.8,20.6,102,1.7
1958,11,21,30.7,16.8,69,2.3
1958,12,0,28.1,13.9,40,1.9
1959,1,18,28.9,14.6,50,2.1
1959,2,4,32,15.8,40,2
1959,3,1,37.8,19.5,18,1.4
1959,4,44,40.2,23.8,52,2
1959,5,24,42.8,28.2,30,1.7
1959,6,229,37.2,26.6,180,2.3
1959,7,410,30.4,23.5,130,3.2
1959,8,239,29.8,23.6,111,2.9
1959,9,350,30.7,23.6,116,3.9
1959,10,69,32.1,21.6,95,4.1
1959,11,0,30.1,15.9,55,3.9
1959,12,0,28.9,13.2,37,3.4
1960,1,47,28.4,13.1,65,4.3
1960,2,0,33.9,14.8,40,4.3
1960,3,50,35,18.9,71,4.8
1960,4,32,40,23.3,44,4.7
1960,5,7,42.8,27.5,15,3.9
1960,6,171,37.4,26.5,168,3.4
1960,7,455,31.5,24.1,116,4.2
1960,8,198,29.8,23.5,124,3.3
1960,9,130,32.3,23.6,120,2.3
1960,10,53,32.2,20,91,2.5
1960,11,0,30.2,14.6,58,2.3
1960,12,1,29.5,14.2,40,1.8
1961,1,5,29.7,14.6,40,1.5
1961,2,2,30.2,14.5,31,1.2
1961,3,4,37.7,20.4,18,0.6
1961,4,16,40.6,23.8,25,-1.1
1961,5,39,42.2,27.4,44,0.6
1961,6,139,36.6,25.5,136,-0.4
1961,7,390,30.3,23.7,113,0.7
1961,8,395,30.3,23.8,115,2.3
1961,9,459,30.1,22.9,115,4.3
1961,10,86,31.2,19.8,105,4.8
1961,11,1,29.1,15.6,54,4.6
1961,12,10,27.4,11.7,45,4.3
1962,1,4,28.2,11.1,44,4
1962,2,6,31.8,14.6,41,4
1962,3,31,35.8,18.6,51,4
1962,4,56,39.3,23,65,4.7
1962,5,35,42.1,26.7,41,4.6
1962,6,59,38,26.4,62,2.6
1962,7,342,31.3,24.1,131,2.4
1962,8,271,30.6,23.6,114,2.1
1962,9,324,30.9,23.1,112,3
1962,10,4,32.5,18.5,82,2.1
1962,11,12,30.3,15.3,51,1.9
1962,12,82,27.7,13.7,78,3.6
1963,1,1,28.5,11.6,39,3.3
1963,2,12,32.9,14.8,44,3.4
1963,3,11,35.9,18.3,30,2.9
1963,4,61,38,21.9,70,3.8
1963,5,18,41.6,26.6,24,3.2
1963,6,221,36.4,25.2,201,3.4
1963,7,279,31.4,23.5,127,2.8
1963,8,337,30.1,23.5,106,3
1963,9,158,31.8,23,126,2.2
1963,10,78,32.7,20.6,106,2.8
1963,11,0,30.7,17.5,53,2.7
1963,12,0,28.9,13,40,2.2
1964,1,0,29.4,13.3,45,1.9
1964,2,2,32.9,15.6,32,1.5
1964,3,7,38.2,20,23,1
1964,4,1,41.3,24.8,11,-1.2
1964,5,1,42.6,27.5,8,-1.8
1964,6,185,37.7,26.2,180,-1.6
1964,7,259,31.4,23.9,121,-1.9
1964,8,423,30.1,23.2,103,-0.7
1964,9,182,31.8,23.1,110,-0.7
1964,10,27,33.2,20.7,87,-0.8
1964,11,2,30,14.6,62,-0.9
1964,12,0,28.7,12.4,38,-1.3
1965,1,18,29.3,13.8,45,-1.2
1965,2,6,32,15.4,27,-1.4
1965,3,14,36.1,18.7,25,-1.5
1965,4,38,39,23,43,-0.9
1965,5,6,43.2,28.2,11,-1.3
1965,6,192,38.3,26.7,186,-1.1
1965,7,220,31.4,24.3,131,-1.9
1965,8,133,31.5,23.9,115,-3.6
1965,9,225,31.8,22.8,125,-3.7
1965,10,3,33.7,20.6,69,-4.2
1965,11,0,31.4,15.7,40,-4.4
1965,12,0,29.2,13.3,29,-4.6
1966,1,9,29.1,13.2,27,-4.8
1966,2,0,33.5,16.5,11,-4.9
1966,3,15,37,18.8,22,-4.6
1966,4,23,40.3,23.8,27,-4.2
1966,5,89,42.2,27.1,88,-2.1
1966,6,86,37.7,27.1,85,-3
1966,7,409,33.3,25.3,129,-2.1
1966,8,193,30.9,24,117,-2.3
1966,9,202,32.5,23.3,129,-2.2
1966,10,3,34.4,20.8,86,-2.6
1966,11,29,31.1,18.6,71,-2
1966,12,33,28.7,12.4,54,-1.5
1967,1,2,29.6,12.9,38,-1.6
1967,2,0,34.1,15.5,22,-1.8
1967,3,88,34.7,19.1,96,1.7
1967,4,22,39.5,22.9,29,1.6
1967,5,4,43.1,27.6,10,0.8
1967,6,183,38,26.7,176,0.8
