Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.1875 North,85.6042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,31,29.8,16.5,66,0.9
1958,2,45,30.7,19,75,1.4
1958,3,10,34.7,21.2,58,1.1
1958,4,24,36.6,25.7,42,0.8
1958,5,9,37,27.6,20,-1.2
1958,6,133,36.8,27.7,132,-1.8
1958,7,434,31.3,25.3,107,-1.4
1958,8,258,31.4,25.4,112,-1.6
1958,9,296,31.9,24.9,106,-1
1958,10,311,31.2,23.3,108,1.3
1958,11,150,29.5,19.4,110,2.7
1958,12,0,28.3,16.3,54,2.7
1959,1,17,28.4,16.3,57,2.9
1959,2,12,30.3,18,56,2.6
1959,3,1,33.6,21.4,37,1.9
1959,4,37,35.9,25.6,52,1.9
1959,5,91,36.8,27.1,97,2.1
1959,6,175,34,26.3,148,1.6
1959,7,334,30.6,25.2,102,1.1
1959,8,284,30.8,25,106,0.9
1959,9,175,30.9,24.8,95,-1.1
1959,10,315,30.1,23.4,95,1
1959,11,0,28.5,17.6,59,-0.5
1959,12,5,27.2,15,46,-0.6
1960,1,0,28.4,15.3,41,-0.9
1960,2,0,31.9,18,36,-1.5
1960,3,27,32.2,20.7,42,-1.4
1960,4,4,37.1,25.5,14,-1.9
1960,5,39,36.5,27.3,44,-2
1960,6,226,34.8,26.8,140,-1.5
1960,7,445,30.4,25.2,99,1.1
1960,8,312,31.4,25.9,109,1.1
1960,9,174,31.2,25.5,95,-0.5
1960,10,151,31,22.6,107,-0.6
1960,11,1,28.8,17.5,60,-1.1
1960,12,6,28.7,15.1,46,-1.1
1961,1,46,28.5,16.3,65,0.7
1961,2,78,28.3,17.7,85,2
1961,3,2,33.5,23.7,45,1.7
1961,4,2,36.6,25.8,20,0.9
1961,5,98,36.4,27,104,1.4
1961,6,216,33.4,25.8,138,1.4
1961,7,363,30.5,24.8,100,1.5
1961,8,426,31.3,25.5,104,2.2
1961,9,433,31,24.8,99,3.6
1961,10,184,30.7,22.3,106,3.3
1961,11,4,28.2,17,63,2.5
1961,12,0,26.5,13,47,2
1962,1,7,27.3,13.4,43,1.6
1962,2,17,29.9,17.4,47,1.1
1962,3,49,34.4,20.3,65,1.4
1962,4,62,35.4,24.9,69,1.8
1962,5,17,36,26.3,23,1
1962,6,186,33.7,26,134,0.8
1962,7,412,31.5,25.3,110,1
1962,8,127,31,25.1,108,-1.4
1962,9,293,31.7,25.1,107,-0.9
1962,10,327,30.3,22.4,112,1.3
1962,11,2,29,17.2,59,0.7
1962,12,1,27.9,14.8,49,-0.2
1963,1,0,27.8,13.8,39,-0.9
1963,2,0,31.7,17.8,35,-1.6
1963,3,15,33.9,20.8,30,-1.8
1963,4,62,35.1,23.8,68,-1
1963,5,115,35.5,25.8,116,1.3
1963,6,160,33.9,26.1,139,0.9
1963,7,262,30.9,25.4,106,-1.2
1963,8,358,31.3,25.3,108,-1
1963,9,277,32.3,25.2,106,-0.7
1963,10,365,31.1,22.9,104,1.5
1963,11,7,29.7,18.6,63,0.9
