Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 18.8125 North,82.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,4,26.7,12.2,46,0.1
1958,2,1,28.7,14.7,39,-0.1
1958,3,8,33.2,16.5,24,-0.3
1958,4,108,34.5,20.7,113,1
1958,5,53,34.6,23.5,57,0.6
1958,6,87,33.6,23.7,87,-1.4
1958,7,618,25.3,20,99,0.7
1958,8,366,25.7,20.4,102,-0.2
1958,9,338,26.6,19.8,104,1
1958,10,258,26.5,18.7,103,2.4
1958,11,55,26.1,14.6,78,2.8
1958,12,0,25.4,11.4,50,2.5
1959,1,12,26,12.5,49,2.6
1959,2,13,29.1,14.2,50,2.8
1959,3,0,32.5,17.2,19,2
1959,4,41,34.2,20.5,50,1.6
1959,5,31,34.6,23.5,36,0.6
1959,6,251,30,22.5,147,1.2
1959,7,584,24.8,19.9,103,2.1
1959,8,346,24.6,20,96,1.6
1959,9,287,26,20,99,1.7
1959,10,167,26.2,19.5,100,2
1959,11,0,25.3,13.2,57,1.4
1959,12,3,24.7,10.9,43,1
1960,1,0,26.2,11.7,40,0.8
1960,2,0,29.3,12.3,28,-0.3
1960,3,21,30.9,16.8,34,-0.8
1960,4,17,35.1,19.6,24,-1.4
1960,5,71,34.5,23.2,73,-1.1
1960,6,210,30.6,22.5,141,-0.8
1960,7,464,25.1,20.4,97,0.3
1960,8,299,25.9,20.7,100,-0.6
1960,9,295,26.7,20.4,100,0.3
1960,10,126,27,18,106,0
1960,11,3,26,12.8,58,-0.6
1960,12,13,26.7,11,51,0
1961,1,3,26.4,12.3,42,-0.5
1961,2,27,27.3,13.5,51,0.1
1961,3,25,32.1,19,40,0.2
1961,4,22,34.8,20.7,30,-0.4
1961,5,58,34.5,23,62,-0.1
1961,6,240,29.6,21.7,144,0.5
1961,7,424,24.6,19.6,93,0.7
1961,8,383,25.5,20.4,98,0.6
1961,9,277,25.7,19.6,96,0.7
1961,10,232,26.1,18,99,1.8
1961,11,32,24.8,12.4,67,1.9
1961,12,2,24.5,9.1,47,1.6
