Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.0208 North,86.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,22,27.7,12.8,50,0.7
1958,2,42,29.2,15.3,59,1.1
1958,3,13,35.5,19.1,28,-0.4
1958,4,27,38.3,24.2,34,-0.8
1958,5,30,37.6,25.9,35,-1.7
1958,6,125,35.9,25.9,123,-2.8
1958,7,368,30.6,24.6,105,-3.2
1958,8,338,29.8,23.9,106,-3.2
1958,9,300,30.2,23.4,95,-2.9
1958,10,151,29.6,21.7,100,-2.2
1958,11,31,27.4,15.7,69,-1.5
1958,12,0,26.1,12.5,43,-1.1
1959,1,27,25.8,12.1,50,-0.6
1959,2,10,28.4,13.9,39,-0.7
1959,3,10,34.2,18.9,22,-1.2
1959,4,51,37.5,24.1,56,-0.9
1959,5,102,37,25.2,102,0.4
1959,6,217,33.3,24.7,143,-0.3
1959,7,293,29.8,24.4,102,-1
1959,8,392,29.8,24.1,102,-0.5
1959,9,366,29,23.1,85,1.1
1959,10,282,27.9,21.4,89,3.2
1959,11,0,26.5,13.9,52,2.6
1959,12,1,25.1,11.4,37,2.3
1960,1,0,25.6,10.9,33,1.8
1960,2,0,31.3,15.2,21,0.9
1960,3,44,32.7,18.4,53,1
1960,4,5,39,24.2,11,-1.6
1960,5,49,37,25.6,51,-1.9
1960,6,180,34.2,25.2,139,-2.3
1960,7,509,29.2,24.1,102,-1.2
1960,8,345,30,24.6,99,-1.3
1960,9,281,29.3,23.8,90,-1.3
1960,10,91,29.1,20.8,97,-1.5
1960,11,2,26.5,13.6,50,-1.6
1960,12,1,26.2,11,35,-1.5
1961,1,37,26,12.1,53,-0.7
1961,2,65,26.3,13.6,71,1.8
1961,3,5,34.4,21.5,26,1.1
1961,4,7,38.3,24.2,17,-1.2
1961,5,102,36.6,25.1,104,-0.6
1961,6,275,32.5,24,125,0.3
1961,7,255,29.9,24.1,104,-0.4
1961,8,450,30,24.4,95,1.3
1961,9,405,29.4,23.4,86,2.3
1961,10,117,29,20.6,98,2.1
1961,11,0,26.1,13.5,52,1.6
1961,12,0,23.9,8.9,39,1.4
1962,1,11,25,9.4,38,1.2
1962,2,14,29,14.4,35,0.9
1962,3,37,35.2,18.2,46,0.8
1962,4,64,37,23.5,67,1.1
1962,5,33,36.1,24.4,36,-0.7
1962,6,225,33.1,24.5,117,-0.7
1962,7,306,30.8,24.7,112,-1
1962,8,234,29.7,23.9,101,-2.4
1962,9,280,30,23.6,99,-2.4
1962,10,164,28.4,20.4,106,-1.6
1962,11,0,27.2,13.6,50,-1.8
1962,12,0,25.5,10.9,39,-1.6
1963,1,0,25.5,9.9,33,-1.7
1963,2,1,31.2,15,20,-2.2
1963,3,28,34.6,18.7,36,-2.2
1963,4,62,36.6,22.2,66,-1.6
1963,5,109,35.3,23.6,108,-0.9
1963,6,257,32.9,24.2,133,-0.7
1963,7,296,29.9,24.5,103,-0.9
1963,8,322,30.1,24.2,104,-1.3
1963,9,377,30.4,23.6,98,0.8
1963,10,216,29.2,21,99,2
1963,11,11,27.6,15,58,1.7
1963,12,0,26,12,41,1.6
1964,1,1,25.6,11.5,37,1.1
1964,2,18,29.6,15.5,36,0.6
1964,3,14,35.5,20.7,23,-1.1
1964,4,71,36.6,23.9,73,0.5
1964,5,90,36.3,24.5,90,0.6
1964,6,140,33.8,24.8,133,-1
1964,7,518,28.8,23.3,116,0.5
1964,8,343,30,24.3,100,0.3
1964,9,251,30,23.8,99,-0.3
1964,10,114,28.5,21.8,101,-0.4
1964,11,18,26.9,15.4,64,-0.2
1964,12,0,25.9,11.8,44,-0.1
1965,1,6,26.1,12.2,37,-0.3
1965,2,20,29.1,14.5,39,-0.5
1965,3,44,33.5,17.7,52,-0.3
1965,4,44,36.6,23.3,48,-0.3
1965,5,36,37.1,25.4,39,-1
