Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 20.1042 North,85.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,29,29.4,16,65,0.9
1958,2,40,30.4,18.6,70,1.2
1958,3,11,34.8,21.4,60,0.9
1958,4,41,36.7,26,59,0.8
1958,5,13,37.8,28.6,23,-1
1958,6,121,37.2,28.5,123,-1.8
1958,7,401,30.9,25.3,108,-1.2
1958,8,210,31,25.5,113,-1.3
1958,9,289,31.4,24.6,108,-0.7
1958,10,290,30.6,22.9,108,1.6
1958,11,115,29.1,18.8,107,2.8
1958,12,0,27.9,15.8,55,2.8
1959,1,20,28.1,15.9,60,3
1959,2,20,30.1,17.6,58,2.8
1959,3,0,33.7,21.5,42,2.2
1959,4,37,35.9,25.9,54,2
1959,5,69,37.5,28.1,76,2
1959,6,184,34.3,27,156,1.6
1959,7,311,30.3,25.2,105,1.3
1959,8,210,30.4,25,106,1
1959,9,175,30.5,24.7,96,-0.5
1959,10,274,29.6,23.2,97,1
1959,11,0,28.1,17.1,58,-0.5
1959,12,5,26.9,14.7,46,-0.5
1960,1,0,28,14.8,40,-0.8
1960,2,0,31.5,17.4,38,-1.4
1960,3,29,32.2,20.8,45,-1.3
1960,4,6,37,25.7,16,-1.8
1960,5,38,37.1,28.2,43,-1.9
1960,6,214,35.1,27.4,145,-1.5
1960,7,386,30.1,25.2,100,1.1
1960,8,245,31,25.9,111,1.1
1960,9,180,30.8,25.3,95,-0.4
1960,10,137,30.4,22.2,107,-0.6
1960,11,1,28.3,17,57,-1
1960,12,7,28.4,14.7,47,-0.9
1961,1,44,28.2,15.9,64,0.7
1961,2,82,28,17.4,85,2
1961,3,6,33.6,23.7,53,1.8
1961,4,4,36.7,26.1,23,1
1961,5,79,37,28,86,1.4
1961,6,215,33.6,26.4,148,1.4
1961,7,304,30.1,24.7,102,1.4
1961,8,327,30.9,25.6,105,2.1
1961,9,383,30.5,24.5,100,3.4
1961,10,181,30.2,22,105,3.2
1961,11,8,27.7,16.5,63,2.5
1961,12,1,26.3,12.6,48,2.1
1962,1,9,27,13.1,45,1.7
1962,2,18,29.5,16.9,48,1.3
1962,3,46,34.3,20.3,65,1.4
1962,4,64,35.4,25.3,73,1.8
1962,5,23,36.6,27.3,29,1
1962,6,167,33.9,26.6,144,0.7
1962,7,378,31.1,25.3,112,1
1962,8,121,30.7,25.2,109,-1.2
1962,9,310,31.2,24.8,107,0.7
1962,10,308,29.8,22,111,1.8
1962,11,4,28.6,16.6,59,1.2
1962,12,3,27.6,14.5,49,0.9
1963,1,0,27.4,13.4,39,-0.3
1963,2,0,31.3,17.1,36,-1.4
1963,3,16,33.8,20.8,33,-1.7
1963,4,89,35,24,95,-0.5
1963,5,92,36.1,26.8,94,1.5
1963,6,161,34.1,26.7,145,1
1963,7,234,30.5,25.4,109,-1.1
1963,8,273,30.9,25.3,108,-1.3
1963,9,263,31.8,25,107,-0.9
1963,10,348,30.6,22.6,105,1.7
1963,11,4,29.3,18.1,62,1.1
1963,12,0,27.8,15.3,46,0.8
1964,1,1,28.4,16,43,-0.4
1964,2,26,30.8,18.8,50,-1
1964,3,6,34.5,22.7,25,-1.5
1964,4,48,35.5,26.1,56,-1.3
1964,5,71,37.2,27.8,75,-1
1964,6,128,34.8,27.1,126,-1.5
1964,7,394,30,24.9,120,-1.2
1964,8,310,30.4,25,103,0.7
1964,9,286,31,24.7,102,1.3
1964,10,103,29.9,23.3,105,0.7
1964,11,11,28.2,18.2,65,-0.3
1964,12,1,27.5,14.9,48,-0.9
1965,1,13,28.2,15.8,48,-0.9
1965,2,10,30.2,17.7,43,-1.3
1965,3,36,33,20.3,51,-1.2
1965,4,42,35.1,25.2,50,-1
