Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 19.8125 North,85.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,27,28.6,18.2,68,1.4
1958,2,38,28.8,20.7,71,1.9
1958,3,6,31.8,23.4,55,1.7
1958,4,13,32.5,26.3,33,1.5
1958,5,9,33.5,28.3,21,-0.8
1958,6,115,34.4,28.5,116,-1.5
1958,7,362,30.6,26.4,103,-1
1958,8,216,31.2,26.5,112,-1
1958,9,292,31.8,26.1,109,0.4
1958,10,349,31.5,24.9,114,1.5
1958,11,219,29.6,20.9,119,3.1
1958,12,0,27.9,17.9,61,3.1
1959,1,17,27.3,18.1,61,3.3
1959,2,13,28.4,19.8,58,3.1
1959,3,0,30.7,23.6,42,2.6
1959,4,16,31.9,26.3,33,2.5
1959,5,75,33.4,27.8,82,2.5
1959,6,162,31.6,27.2,136,2.1
1959,7,278,30,26.3,99,1.7
1959,8,227,30.6,26.1,107,1.2
1959,9,176,30.8,26,100,0.6
1959,10,349,30.4,25,102,1.5
1959,11,0,28.6,19.1,66,0.7
1959,12,5,26.7,16.5,52,-0.1
1960,1,0,27.3,17.1,46,-1
1960,2,0,30,19.6,36,-1.7
1960,3,17,29.3,22.8,33,-1.6
1960,4,2,33,26.1,12,-1.9
1960,5,35,33.1,28.1,40,-2
1960,6,194,32.4,27.6,131,-1.7
1960,7,360,29.8,26.2,98,-0.6
1960,8,261,31.2,27,111,1.1
1960,9,178,31,26.6,99,-0.5
1960,10,167,31.2,24.1,114,-0.6
1960,11,2,28.9,19.1,69,-1.2
1960,12,6,28.2,16.7,52,-1.2
1961,1,40,27.4,18,66,0.6
1961,2,68,26.5,19.4,79,1.8
1961,3,2,30.5,25.8,41,1.5
1961,4,1,32.5,26.4,19,1
1961,5,81,33,27.7,88,1.4
1961,6,190,31.1,26.7,126,1.5
1961,7,281,29.9,25.9,94,1.5
1961,8,352,31,26.6,106,2.3
1961,9,408,30.8,26,102,3.6
1961,10,207,31,23.8,113,3.3
1961,11,8,28.4,18.6,72,2.5
1961,12,0,26.1,14.5,53,2
1962,1,7,26.2,15.2,48,1.5
1962,2,14,28.1,19.1,45,1.1
1962,3,30,31.5,22.5,49,1.1
1962,4,27,31.4,25.6,37,1.3
1962,5,19,32.5,27,26,-1
1962,6,158,31.3,26.9,124,-1.1
1962,7,343,30.8,26.3,106,-0.6
1962,8,111,30.8,26.2,107,-1.5
1962,9,308,31.6,26.2,109,-0.7
1962,10,385,30.6,24,119,1.6
1962,11,5,29.2,18.8,67,0.9
1962,12,1,27.5,16.4,56,0.6
1963,1,0,26.7,15.7,44,-1.1
1963,2,0,29.7,19.6,35,-1.7
1963,3,9,31,23,26,-1.9
1963,4,33,31,24.4,41,-1.3
1963,5,95,32,26.5,97,1.1
1963,6,147,31.5,26.9,128,0.7
1963,7,214,30.3,26.5,102,-1.1
1963,8,287,31.1,26.4,108,-1.4
1963,9,271,32.1,26.3,111,-1
1963,10,419,31.3,24.4,110,1.6
1963,11,9,29.8,20.2,71,0.9
1963,12,0,27.7,17.3,53,0.6
1964,1,1,27.5,18.1,46,-1
1964,2,20,29.2,20.9,49,-1.2
1964,3,4,31.7,24.9,23,-1.6
1964,4,19,31.3,26.3,30,-1.4
1964,5,73,33.1,27.4,77,-1.1
1964,6,109,32.2,27.3,108,-1.7
1964,7,382,29.8,25.9,118,-1.1
1964,8,316,30.6,26.1,105,1.1
1964,9,280,31.3,26.1,105,1.3
1964,10,121,30.6,25.1,115,0.7
1964,11,16,28.7,20.4,77,-0.5
1964,12,0,27.5,17,54,-1
1965,1,11,27.4,18,51,-1
1965,2,9,28.7,19.9,44,-1.4
1965,3,21,30.1,22.3,40,-1.3
1965,4,17,31,25.5,27,-1.2
1965,5,21,33,27.6,27,-1.6
1965,6,66,33,28,68,-2.8
1965,7,364,30.5,26.3,111,-2.2
1965,8,236,31,26.5,123,-2.1
1965,9,240,31.5,26.2,106,-1.9
1965,10,138,31.5,24.5,119,-2.1
1965,11,1,30.1,20,67,-2.5
1965,12,8,26.9,18.1,62,-2.4
1966,1,89,26.6,18,92,1.7
1966,2,19,29.9,20.7,54,1.7
1966,3,0,31.1,23.9,33,1.1
1966,4,5,32.6,26.4,21,0.8
1966,5,13,34.2,28.3,22,-1.3
1966,6,194,31.8,27.2,131,-1
1966,7,255,31.4,26.6,110,-1.1
1966,8,186,31.4,26.5,115,-1.7
1966,9,263,31.3,26,118,-1.4
1966,10,141,31,23.5,123,-1.6
1966,11,210,29.7,21.1,111,1.7
1966,12,1,26.5,16.6,63,1.9
1967,1,55,26.4,18.5,80,3.1
1967,2,0,29.4,20.3,53,2.8
1967,3,46,28.5,23.3,78,3.9
1967,4,24,31.5,24.5,50,4
1967,5,7,33.3,27.6,21,2.8
1967,6,197,32.9,27.3,140,2.6
1967,7,330,30.8,26.5,112,2.8
1967,8,242,30.8,26.3,115,2.5
1967,9,272,31.2,26.4,111,2.5
1967,10,40,31.2,23.7,94,1.4
1967,11,3,29.3,18.3,56,-1.5
1967,12,10,28.4,18.1,49,-1.8
1968,1,28,26.7,17.3,55,-1.6
1968,2,38,28.4,19.9,57,-1.3
1968,3,26,30.5,23.7,42,-1.2
1968,4,5,30.9,25,15,-1.4
1968,5,9,33.4,27.2,16,-2.1
1968,6,277,30.8,26.9,128,-0.9
1968,7,301,30.2,26.6,114,1.6
1968,8,108,31.6,26.8,119,-1.1
1968,9,287,32.2,26.5,117,-0.7
1968,10,525,30.7,23.9,118,2.5
1968,11,138,29.1,20.3,110,3.1
1968,12,0,27.9,17.2,66,3.1
1969,1,1,27.3,16.9,57,2.9
